L' R F' U' L B'
R2 L' U' L B' R'
R L' F' U' L B'
D2 L' F U' L B'
L' R2 U' L B' R'
B' R U L' F' U'
F2 R' B' D' R2 F2
F2 R' B' D' F2 R2
B' U D2 L' F U'
D' F' D R F' B'
D' F' D R B' F'
D' F' D B' R F'
D' F' B' D R F'
B' D' F' D R F'
B' D2 U L' F U'
D2 B' U L' F U'
R B' U L' F' U'
D' B' F' D R F'
L' R D F' R U' L
B2 L D L' F2 B R'
B2 L D L' B R' F2
B2 L D L' B F2 R'
B2 L D B L' R' F2
B2 L D B L' F2 R'
B2 L D B R' L' F2
L' R F' R U' L B'
L' R F' R' U' L B'
L' R F' R2 U' L B'
L' R F' U' L D B'
L' R F' U' L D' B'
L' R F' U' L D2 B'
L' R F' U' L B' D
L' R F' U' L B' D'
L' R F' U' L B' D2
L' R' U' L B' D' R2
R' L' U' L B' D' R2
R2 L' U' L R B' R'
R2 L' U' L R' B' R'
R2 L' U' L R2 B' R'
R2 L' U' L D B' R'
R2 L' U' L D' B' R'
R2 L' U' L D2 B' R'
R2 L' U' L B' R' D
R2 L' U' L B' R' D'
R2 L' U' L B' R' D2
R2 L' U' L B' D R'
R2 L' U' L B' D' R'
R2 L' U' L B' D2 R'
R2 L' U' R L B' R'
R2 L' U' R' L B' R'
R2 L' U' R2 L B' R'
D2 L' R F U' L B'
U L' R D F' R U'
B L' R F' U' L B2
D2 L' R' F U' L B'
R L' D F' R U' L
D2 L' R2 F U' L B'
B2 L' U' L D B R'
D L' U' L B R' B2
B2 L' U' D L B R'
R2 L' F U' L B' R'
R L' F' R U' L B'
R L' F' R' U' L B'
R2 L' F' U' L B' R'
R L' F' R2 U' L B'
R L' F' U' L D B'
R L' F' U' L D' B'
R L' F' U' L D2 B'
R L' F' U' L B' D
R L' F' U' L B' D'
R L' F' U' L B' D2
R2 L' F2 U' L B' R'
B2 L' D U' L B R'
D2 L' F R U' L B'
D2 L' F R' U' L B'
D2 L' F R2 U' L B'
D2 L' F U' L D B'
D2 L' F U' L D' B'
D2 L' F U' L D2 B'
D2 L' F U' L B' D
D2 L' F U' L B' D'
D2 L' F U' L B' D2
D' L' F' U' L R B'
D' L' F' U' L B' R
D' L' F' U' R L B'
L' R2 U' L R B' R'
L' R2 U' L R' B' R'
L' R2 U' L R2 B' R'
L' R2 U' L D B' R'
L' R2 U' L D' B' R'
L' R2 U' L D2 B' R'
L' R2 U' L B' R' D
L' R2 U' L B' R' D'
L' R2 U' L B' R' D2
L' R2 U' L B' D R'
L' R2 U' L B' D' R'
L' R2 U' L B' D2 R'
L' R2 U' R L B' R'
L' R2 U' R' L B' R'
L' R2 U' R2 L B' R'
L' R2 F U' L B' R'
L' R2 F' U' L B' R'
L' R2 F2 U' L B' R'
R U L' D F' R U'
D2 R L' F U' L B'
B R L' F' U' L B2
U R L' D F' R U'
B' R U L F' L2 U'
B' R U L' D F' U'
B' R U L' D' F' U'
B' R U L' D2 F' U'
B' R U L' F' U' D
B' R U L' F' U' D'
B' R U L' F' U' D2
B' R U L' F' D U'
B' R U L' F' D' U'
B' R U L' F' D2 U'
B' R U L2 F' L U'
B' R U D L' F' U'
B' R U D' L' F' U'
B' R U D2 L' F' U'
B R U L' F' U' B2
F2 R U F' U' F B'
F2 R U F' U' B' F
B' R D U L' F' U'
B' R D' U L' F' U'
L' U' L R' B' D' R2
L' U' L D B R' B2
B' R D2 U L' F' U'
L' U' L B2 D B R'
D' R F' D R F' B'
D' R F' D R B' F'
D' R F' D B' R F'
F R F' L' U' L B'
D' R F' B' D R F'
L' U' R' L B' D' R2
D2 R B' U L' F U'
F2 R B' U F' U' F
D' R B' F' D R F'
B R B2 U L' F' U'
D2 R' L' F U' L B'
B' R' U L' U2 B U
B' R' U' B U2 L' U'
R' U' B U2 L' U' B2
F2 R' U' B R2 U B2
F2 R' D' F2 B' D' R2
F2 R' D' B' F2 D' R2
F2 R' F B' D' R2 F2
F2 R' F B' D' F2 R2
D' R' F' D R F' B'
D' R' F' D R B' F'
D' R' F' D B' R F'
D' R' F' B' D R F'
F2 R' F' B' D' R2 F2
F2 R' F' B' D' F2 R2
B' R' F2 U' B R U
F2 R' F2 B' D' R2 F2
F2 R' F2 B' D' F2 R2
U' R' B U2 L' U' B2
D2 R' B' U L' F U'
F2 R' B' U' R2 B2 U
F2 R' B' U' B2 R2 U
D' R' B' F' D R F'
F2 R' B' D' R' F2 R'
F2 R' B' D' R2 F2 D
F2 R' B' D' R2 F2 D'
F2 R' B' D' R2 F2 D2
F2 R' B' D' F R2 F
F2 R' B' D' F2 R2 D
F2 R' B' D' F2 R2 D'
F2 R' B' D' F2 R2 D2
F2 R' B' F D' R2 F2
F2 R' B' F D' F2 R2
F2 R' B' F' D' R2 F2
F2 R' B' F' D' F2 R2
F2 R' B' F2 D' R2 F2
F2 R' B' F2 D' F2 R2
D2 R2 L' F U' L B'
B' R2 U L' F U' R
R2 D L' U' L B' R'
R D L' F' U' L B'
L D L' F2 B R' B2
L D L' B R' F2 B2
L D L' B R' B2 F2
L D L' B F2 R' B2
D' R2 F' D R F' B'
D' R2 F' D R B' F'
D' R2 F' D B' R F'
U R2 F U' B' R' F'
D' R2 F' B' D R F'
D2 R2 B' U L' F U'
D' R2 B' F' D R F'
B' U L' R F' R' U'
B' U L' D' F' U' R
B2 U L' U' D B R'
B2 U L' D U' B R'
B U L' R F' U' B2
B' U R L' F' R' U'
B U R L' F' U' B2
L D B L' R' F2 B'
L D B L' R' B' F2
L D B L' F2 R' B'
L D B R' L' F2 B'
L D B R' L' B' F2
B2 U D L' U' B R'
R D B' U L' F' U'
B' U D' L' F' U' R
L D B2 L' F2 B' R'
L D B2 L' B' R' F2
L D B2 L' B' F2 R'
B' U D2 L' D F U'
B' U D2 L' D' F U'
B' U D2 L' D2 F U'
B' U D2 L' F U' D
B' U D2 L' F U' D'
B' U D2 L' F U' D2
B' U D2 L' F D U'
B' U D2 L' F D' U'
B' U D2 L' F D2 U'
B2 U D2 L' F U' B
R2 D' L' U' L B' R'
R D' L' F' U' L B'
B' U' R U2 L' F' U'
F2 U' R U2 F' U' B'
B' U' R' B U2 L' U'
F2 U' R' B R2 U B2
F U' R' B U F' B2
F U' R' B U B2 F'
R D' B' U L' F' U'
R2 D2 L' U' L B' R'
R D2 L' F' U' L B'
R D2 B' U L' F' U'
L' F R F' U' L B'
L' F R2 U' L B' R'
U F R2 U' B' R' F'
B2 D L' U' L B R'
F' D R D2 F' R B'
F' D R D2 F' B' R
F' D R D2 B' F' R
F' D R F' B R' B2
F' D R B F' R' B2
F' D R2 B R' F' B2
F' D R2 B R' B2 F'
B2 D U L' U' B R'
L' F' R F' U' L B'
B2 D F2 B R' D' F2
F' D B R F' R2 B2
F' D B R F' B2 R2
F' D B R B2 F' R2
B2 D B R' U L' U'
B2 D B U L' U' R'
F2 D B R' B2 D' F2
L' F' R2 U' L B' R'
B2 D B F2 R' D' F2
D2 F' D R F' R B'
D2 F' D R F' B' R
D' F' D R D F' B'
D' F' D R D B' F'
D' F' D R D' F' B'
D' F' D R D' B' F'
D' F' D R D2 F' B'
D' F' D R D2 B' F'
D2 F' D R B' F' R
D' F' D R F' D B'
D' F' D R F' D' B'
D' F' D R F' D2 B'
D' F' D R F' B' D
D' F' D R F' B' D'
D' F' D R F' B' D2
D' F' D R B' D F'
D' F' D R B' D' F'
D' F' D R B' D2 F'
D' F' D R B' F' D
D' F' D R B' F' D'
D' F' D R B' F' D2
D2 F' D F' R F' B'
D2 F' D F' R B' F'
D2 F' D F' B' R F'
D' F' D B R F' B2
D' F' D B R B2 F'
D2 F' D B' R F' R
D' F' D B' R D F'
D' F' D B' R D' F'
D' F' D B' R D2 F'
D' F' D B' R F' D
D' F' D B' R F' D'
D' F' D B' R F' D2
D2 F' D B' F' R F'
D' F' D' B' D2 R F'
B' D' R F' D R F'
B' D' R' F' D R F'
B' D' R2 F' D R F'
D2 F' B' D R F' R
D2 F' B' D F' R F'
D' F' B' D R D F'
D' F' B' D R D' F'
D' F' B' D R D2 F'
D' F' B' D R F' D
D' F' B' D R F' D'
D' F' B' D R F' D2
B' D' U L' F' U' R
D' F' B2 D B R F'
B' D' F' D R D F'
B' D' F' D R D' F'
B' D' F' D R D2 F'
B' D' F' D R F' D
B' D' F' D R F' D'
B' D' F' D R F' D2
F' D' F' D2 R F' B'
F' D' F' D2 R B' F'
F' D' F' D2 B' R F'
B2 D' F' D B R F'
F' D' F' B' D2 R F'
B2 D' F' B D R F'
L' F2 R F' U' L B'
B' D' F2 U' R B U
B D' F' D R F' B2
B D' F' D R B2 F'
B D' F' D B2 R F'
L' F2 R2 U' L B' R'
B2 D' B F' D R F'
F' D' B' F' D2 R F'
D' F2 U' R B U B2
R' F2 U' B R U B2
B2 D2 L' F U' L B
B' D2 R U L' F U'
B' D2 R' U L' F U'
B' D2 R2 U L' F U'
R' F2 B' R' D' R2 F2
R' F2 B' R' D' F2 R2
R' F2 B' U' R B2 U
R' F2 B' U' B2 R U
D' F2 B' U' R B U
B' D2 U L' D F U'
B' D2 U L' D' F U'
B' D2 U L' D2 F U'
B' D2 U L' F U' D
B' D2 U L' F U' D'
B' D2 U L' F U' D2
B' D2 U L' F D U'
B' D2 U L' F D' U'
B' D2 U L' F D2 U'
D F2 B R' B2 D' F2
B2 D2 U L' F U' B
D2 B L' F U' L B2
D B L' U' L R' B2
D B L' U' R' L B2
B' D2 F' D R F' R
B' D2 F' D F' R F'
R B L' F' U' L B2
B2 D2 B U L' F U'
D B R' U L' U' B2
D2 B U L' F U' B2
D B R' B2 U L' U'
D B U L' U' R' B2
R B U L' F' U' B2
B' F U' R' B U F'
R' B' L D L' F2 R
D B F2 R' B2 D' F2
D2 B' R U L' F U'
D' B' R F' D R F'
D2 B' R' U L' F U'
D' B' R' F' D R F'
D2 B' R2 U L' F U'
R2 B' R' U L' F' U'
D' B' R2 F' D R F'
R' B' U L' U' D' R2
R' B' U L' U2 B2 U
R' B' U L' D' U' R2
R' B' U L' D2 F2 U'
D2 B' U L' D F U'
D2 B' U L' D' F U'
D2 B' U L' D2 F U'
D2 B' U L' F U' D
D2 B' U L' F U' D'
D2 B' U L' F U' D2
D2 B' U L' F D U'
D2 B' U L' F D' U'
D2 B' U L' F D2 U'
D' B' U L' F' U' R
R' B' U D' L' U' R2
R' B' U D2 L' F2 U'
D' B' U D' L' F U'
R2 B' U L' F U' R
D B' U L' U L2 U2
D B' U L' U' D2 R2
D B' U L' D F2 U'
D B' U L' D2 U' R2
R' B' U' B2 U2 L' U'
R B' U L F' L2 U'
F2 B' R U F' U' F
R B' U L' D F' U'
R B' U L' D' F' U'
R B' U L' D2 F' U'
R B' U L' F' U' D
R B' U L' F' U' D'
R B' U L' F' U' D2
R B' U L' F' D U'
R B' U L' F' D' U'
R B' U L' F' D2 U'
R B' U L2 F' L U'
R B' U D L' F' U'
R B' U D' L' F' U'
R B' U D2 L' F' U'
D B' U2 L U' L2 U'
D B' U2 L U2 D F2
D B' U2 L D U2 F2
D B' U2 L D' B2 U2
D2 B' D F' D R F'
F2 B' R' U' B R2 U
R' B' D' R2 U L' U'
R' B' D' U L' U' R2
D' B' D' U L' F U'
R' B' D2 U L' F2 U'
R B' D U L' F' U'
F2 B' U' R U2 F' U'
F2 B' U' R' B R2 U
R B' D' U L' F' U'
D2 B' F' D R F' R
D2 B' F' D F' R F'
D' B' F' D R D F'
D' B' F' D R D' F'
D' B' F' D R D2 F'
D' B' F' D R F' D
D' B' F' D R F' D'
D' B' F' D R F' D2
R' B' F2 R' D' R2 F2
R' B' F2 R' D' F2 R2
R' B' F2 U' R B2 U
B' F' D R D2 F' R
R' B' F2 U' B2 R U
R B' D2 U L' F' U'
D' B' F2 U' R B U
F B' U' R' B U F'
F' B' D R D2 F' R
B2 F' D B R F' R2
B' F' D' F' D2 R F'
F' B' D' F' D2 R F'
D2 B2 L' F U' L B
R B2 L' F' U' L B
B' F2 R U F' U' F
L2 B2 R' B U L2 B'
D2 B2 U L' F U' B
B' F2 R' U' B R2 U
R B2 U L' F' U' B
B' F2 U' R U2 F' U'
B' F2 U' R' B R2 U
F' B2 D B R F' R2
B2 F2 D B R' D' F2
F2 B2 D B R' D' F2
D' B2 F' D B R F'
