D L U L2 R2 F
D L U L2 F R2
D L U R2 L2 F
D L' R2 D' F B2
D L' R2 D' B2 F
D L' R2 F D' B2
D L' F R2 D' B2
D R2 L' D' F B2
D R2 L' D' B2 F
D R2 L' F D' B2
D L R U L2 R F
D L R U R L2 F
D L R' U L2 R' F
D L R' U L2 F R'
D L R' U R' L2 F
D' L U L2 F2 R F'
D L U L2 R' F R'
D L U L2 R2 D F
D L U L2 R2 D' F
D L U L2 R2 D2 F
D L U L2 R2 F D
D L U L2 R2 F D'
D L U L2 R2 F D2
D L U L2 F R2 D
D L U L2 F R2 D'
D L U L2 F R2 D2
D L U L2 F' R2 F2
D L U R' L2 F R'
D L U R2 L2 D F
D L U R2 L2 D' F
D L U R2 L2 D2 F
D L U R2 L2 F D
D L U R2 L2 F D'
D L U R2 L2 F D2
D L U R2 F L2 F
D L U R2 F' L2 F
D L U R2 F2 L2 F
D L U F L2 R2 F
D L U F L2 F R2
D L U F R2 L2 F
D L U F' L2 R2 F
D L U F' L2 F R2
D L U F' R2 L2 F
D L U F2 L2 R2 F
D L U F2 L2 F R2
D L U F2 R2 L2 F
D L U' L2 F R2 B
D L U' B' U2 L2 R2
D L U' B' U2 R2 L2
D L F U L2 R2 F
D L F U L2 F R2
D L F U R2 L2 F
D2 L F' R B2 U L2
D L F' U L2 R2 F
D L F' U L2 F R2
D L F' U R2 L2 F
D2 L F' B2 R U L2
D L F2 U L2 R2 F
D L F2 U L2 F R2
D L F2 U R2 L2 F
B' L F2 U' L' B' L'
B' L F2 B' R' U' L2
B' L B' R' F2 U' L2
B' L B' F2 R' U' L2
D L B2 U L2 R2 F'
D L B2 U R2 L2 F'
D L B2 U R2 F' L2
D2 L B2 F' R U L2
D L' R D' R F B2
D L' R D' R B2 F
D L' R D' B2 R F
D L' R' D' R' F B2
D L' R' D' R' B2 F
D L' R' D' F R' B2
D L' R' F R' D' B2
D L' R' F D' R' B2
D L' R2 D' F B2 D
D L' R2 D' F B2 D'
D L' R2 D' F B2 D2
D L' R2 D' B2 D F
D L' R2 D' B2 D' F
D L' R2 D' B2 D2 F
D L' R2 D' B2 F D
D L' R2 D' B2 F D'
D L' R2 D' B2 F D2
D L' R2 D2 F D B2
D L' R2 F U' L2 U
D L' R2 F D' B2 D
D L' R2 F D' B2 D'
D L' R2 F D' B2 D2
D L' R2 F B D' B2
D L' R2 F B' D' B2
D L' R2 F B2 D' B2
D L' R2 F2 D' F' B2
D L' R2 F2 D' B2 F'
D L' R2 B D' F B2
D L' R2 B D' B2 F
D L' R2 B F D' B2
D L' R2 B' D' F B2
D L' R2 B' D' B2 F
D L' R2 B' F D' B2
D L' R2 B2 D' F B2
D L' R2 B2 D' B2 F
D L' R2 B2 F D' B2
B2 L' U R' F2 U' F
B2 L' U F2 R' U' F'
D L' D' B2 D R2 F
D L' D' B2 D F R2
D L' F R D' R B2
D L' F R D' B2 R
D L' F R' D' R' B2
D L' F R2 U' L2 U
D L' F R2 D' B2 D
D L' F R2 D' B2 D'
D L' F R2 D' B2 D2
D L' F R2 B D' B2
D L' F R2 B' D' B2
D L' F R2 B2 D' B2
D L' F U' L2 U R2
D L' F D' B2 D R2
D L' F B R2 D' B2
D L' F B' R2 D' B2
D L' F B2 R2 D' B2
