U' L' U' B L
U2 B L D F2
U2 L D F2 B L
U2 L D B L F2
U2 L D B F2 L
U2 L B D L F2
U2 L B D F2 L
U' L' U' L B L
U' L' U' L' B L
U' L' U' L2 B L
U' L' U' D B L
U' L' U' D' B L
U' L' U' D2 B L
U' L' U' B L D
U' L' U' B L D'
U' L' U' B L D2
U' L' U' B D L
U' L' U' B D' L
U' L' U' B D2 L
U' L' D U' B L
U' L' D' U' B L
U' L' D2 U' B L
U' D L' U' B L
U2 D B L D F2
U' D' L' U' B L
D2 U' L' U' B L
D' U' L' U' B L
D U' L' U' B L
U2 D' B L D F2
U' D2 L' U' B L
D' U2 B L D F2
U2 D2 B L D F2
D2 U2 B L D F2
D U2 B L D F2
F' U2 D' L' F B
F' U2 D' L' B F
F' U2 D' B L' F
F' U2 B D' L' F
U F U B L F
R2 F' U2 D' L' F
R2 F' D' U2 L' F
F' D' U2 L' F B
F' D' U2 L' B F
F' D' U2 B L' F
U2 B L U L2 U'
U2 B L D F2 D
U2 B L D F2 D'
U2 B L D F2 D2
U2 B L F D F2
U2 B L F' D F2
U2 B L F2 D F2
U2 B U L' U' L2
U2 B D L D F2
U2 B D' L D F2
U2 B D2 L D F2
U2 L U L2 U' B L
U' L U' D F2 B L
U' L U' D B L F2
U' L U' D B F2 L
U' L U' B D L F2
U' L U' B D F2 L
U L U2 L2 B' U' B2
U2 L D L F2 B L
U2 L D L B L F2
U2 L D L B F2 L
U2 L D L' F2 B L
U2 L D L' B L F2
U2 L D L' B F2 L
U2 L D L2 F2 B L
U2 L D L2 B L F2
U2 L D L2 B F2 L
U' L D U' F2 B L
U' L D U' B L F2
U' L D U' B F2 L
U2 L D F' B L F'
U2 L D F2 L B L
U2 L D F2 L' B L
U2 L D F2 L2 B L
U2 L D F2 D B L
U2 L D F2 D' B L
B L D F' L' F' R
U2 L D F2 D2 B L
U2 L D F2 B L D
U2 L D F2 B L D'
U2 L D F2 B L D2
U2 L D F2 B D L
U2 L D F2 B D' L
U2 L D F2 B D2 L
U2 L D B L F2 D
U2 L D B L F2 D'
U2 L D B L F2 D2
U2 L D B L' F2 L2
U L D F U F B
U L D F U B F
U2 L D B F' L F'
U2 L D B F2 L D
U2 L D B F2 L D'
U2 L D B F2 L D2
U2 L D B F2 D L
U2 L D B F2 D' L
U2 L D B F2 D2 L
U2 L D2 B L D' F2
U2 L D2 B D' L F2
U2 L D2 B D' F2 L
U2 L F D F2 B L
U2 L F D B L F2
U2 L F D B F2 L
U L F U D F2 B
U L F U D B F2
U L F U B D F2
U L F U2 L2 U' B
U2 L F B D L F2
U2 L F B D F2 L
U L F D U F2 B
U L F D U B F2
U2 L F' D F2 B L
U2 L F' D B L F2
U2 L F' D B F2 L
U2 L F' B D L F2
U2 L F' B D F2 L
U2 L F2 D F2 B L
U2 L F2 D B L F2
U2 L F2 D B F2 L
U2 L F2 B D L F2
U2 L F2 B D F2 L
U2 L B L U L U'
U2 L B U L2 U' L'
U2 L B D L F2 D
U2 L B D L F2 D'
U2 L B D L F2 D2
U2 L B D L' F2 L2
U2 L B D F' L F'
U2 L B D F2 L D
U2 L B D F2 L D'
U2 L B D F2 L D2
U2 L B D F2 D L
U2 L B D F2 D' L
U2 L B D F2 D2 L
U2 L B D' L D2 F2
U2 L B D2 L D' F2
U2 L B F D L F2
U2 L B F D F2 L
U2 L B F' D L F2
U2 L B F' D F2 L
U2 L B F2 D L F2
U2 L B F2 D F2 L
U' L' R D B R' U'
U' L' R B R' U' B
U' L' U R2 F' U2 L'
U' L' U F' U2 L' B
U' L' U F' U2 B L'
U' L' U' L D B L
U' L' U' L D' B L
U' L' U' L D2 B L
U' L' U' L B L D
U' L' U' L B L D'
U' L' U' L B L D2
U' L' U' L B D L
U' L' U' L B D' L
U' L' U' L B D2 L
U' L' U' L' D B L
U' L' U' L' D' B L
U' L' U' L' D2 B L
U' L' U' L' B L D
U' L' U' L' B L D'
U' L' U' L' B L D2
U' L' U' L' B D L
U' L' U' L' B D' L
U' L' U' L' B D2 L
U L' U B D L2 F
U' L' U' L2 D B L
U' L' U' L2 D' B L
U' L' U' L2 D2 B L
U' L' U' L2 B L D
U' L' U' L2 B L D'
U' L' U' L2 B L D2
U' L' U' L2 B D L
U' L' U' L2 B D' L
U' L' U' L2 B D2 L
U' L' U' D L B L
U' L' U' D L' B L
U' L' U' D L2 B L
U' L' U' D B L D
U' L' U' D B L D'
U' L' U' D B L D2
U' L' U' D B D L
U' L' U' D B D' L
U' L' U' D B D2 L
U' L' U' D' L B L
U' L' U' D' L' B L
U' L' U' D' L2 B L
U' L' U' D' B L D
U' L' U' D' B L D'
U' L' U' D' B L D2
U' L' U' D' B D L
U' L' U' D' B D' L
U' L' U' D' B D2 L
U' L' U' D2 L B L
U' L' U' D2 L' B L
U' L' U' D2 L2 B L
U' L' U' D2 B L D
U' L' U' D2 B L D'
U' L' U' D2 B L D2
U' L' U' D2 B D L
U' L' U' D2 B D' L
U' L' U' D2 B D2 L
U' L' U' F B L F'
U' L' U' F2 B L F2
U' L' U' B L2 D L'
U' L' U' B L2 D' L'
U' L' U' B L2 D2 L'
U' L' U' B D L D
U' L' U' B D L D'
U' L' U' B D L D2
U' L' U' B D' L D
U' L' U' B D' L D'
U' L' U' B D' L D2
U' L' U' B D2 L D
U' L' U' B D2 L D'
U' L' U' B D2 L D2
U' L' U' B F L F'
U' L' U' B F2 L F2
U' L' U' B' L B2 L
U' L' U' B' L' B2 L
U' L' U' B' L2 B2 L
U' L' U2 L F U B
U' L' U2 F U B L
U' L' U2 F' U B L
U' L' U2 F2 U B L
U' L' D U' L B L
U' L' D U' L' B L
U' L' D U' L2 B L
U' L' D U' B L D
U' L' D U' B L D'
U' L' D U' B L D2
U' L' D U' B D L
U' L' D U' B D' L
U' L' D U' B D2 L
