D' F U2 F R
D' L2 B' R' F2 L'
D L2 B2 U2 B R'
F U R B R U
L2 D B2 U2 B R'
L2 D' B' R' F2 L'
F U2 D' F R F
D' F L2 B' U2 R'
F U2 F D' R F2
F U2 F' D' F2 R
D' F U2 R F R
D' F U2 R' F R
D' F U2 R2 F R
D' F U2 D F R
D' F U2 D' F R
D' F U2 D2 F R
D' F U2 F R D
D' F U2 F R D'
D' F U2 F R D2
D' F U2 F D R
D' F U2 F D' R
D' F U2 F D2 R
D' F D U2 F R
D' F D' U2 F R
D' F D2 U2 F R
D F B L B U2
D' F B' U2 R' F
D' F B' U2 F R'
B' D F B2 L U2
B D F L B2 U2
B D F B2 U2 R'
F D B L B U2
B' D B2 F L U2
B D B2 F U2 R'
B' D' F U2 R' F
B' D' F U2 F R'
F D' U2 F R F
F D' B L U2 F2
F D' B' U2 R' F2
F D' B' U2 F2 R'
B F L U R2 U
B F L U2 D' F2
B F L D B2 U2
F B L U R2 U
B F L D' U2 F2
F B L U2 D' F2
F B L D B2 U2
F B L D' U2 F2
D B F L B U2
B' F U R2 U R
B' F U2 D' R' F2
B' F U2 D' F2 R'
B' F U2 D' F2 R'
B' F D B2 L U2
B' F D' U2 R' F2
B' F D' U2 F2 R'
B F D L B2 U2
F B D L B2 U2
B F D B2 U2 R'
B F D' L U2 F2
F B D B2 U2 R'
F B D' L U2 F2
L2 B' D' R' F2 L'
D' B' F U2 R' F
D' B' F U2 F R'
F B' U R2 U R
F B' U2 D' R' F2
F B' U2 D' F2 R'
F B' D B2 L U2
F B' D' U2 R' F2
F B' D' U2 F2 R'
D B2 D2 F L' U2
B L U L R2 U B'
F L U R B R U
B L U R2 L U B'
D2 L U' L F U' B'
F L U2 D' F R F
F L U2 F D' R F2
F L U2 F' D' F2 R
F L D B L B U2
F L D' U2 F R F
F L D' B L U2 F2
F L D' B' U2 R' F2
F L D' B' U2 F2 R'
D' L B L U2 F2 B'
D' L B L U2 B' F2
D L B L B U2 B2
F L B L U R2 U
F L B L U2 D' F2
F L B L D B2 U2
F L B L D' U2 F2
F L B D L B2 U2
F L B D B2 U2 R'
F L B D' L U2 F2
F L B' U R2 U R
F L B' U2 D' R' F2
F L B' U2 D' F2 R'
F L B' D B2 L U2
F L B' D' U2 R' F2
F L B' D' U2 F2 R'
D' L' R' F2 L' B' R'
B' L' U R2 U R B
F L' U R B R U
D' L' U2 F R F B
D' L' U2 F R B F
F L' U2 D' F R F
F L' U2 F D' R F2
F L' U2 F' D' F2 R
B' L' D B2 L F U2
F L' D B L B U2
B' L' D' R' F2 L' B'
F L' D' U2 F R F
F L' D' B L U2 F2
F L' D' B' U2 R' F2
F L' D' B' U2 F2 R'
D' L' F U2 F R B
D' L' B L F U2 F
D L' B L F B U2
D L' B L B F U2
F L' B L U R2 U
F L' B L U2 D' F2
F L' B L D B2 U2
F L' B L D' U2 F2
F L' B D L B2 U2
F L' B D B2 U2 R'
F L' B D' L U2 F2
D' L' B' R' F2 L' B'
F L' B' U R2 U R
F L' B' U2 D' R' F2
F L' B' U2 D' F2 R'
F L' B' D B2 L U2
F L' B' D' U2 R' F2
F L' B' D' U2 F2 R'
D L' B2 U2 R B R'
U L2 R B R U B2
D' L2 R' F2 B' L' R'
D' L2 R' F2 B' R' L'
D' L2 R' B' F2 L' R'
D' L2 R' B' F2 R' L'
B' L2 U R2 U R B'
B' L2 U R2 U B' R
F L2 U R B R U
B' L2 U2 D' R' F2 B'
B' L2 U2 D' R' B' F2
B' L2 U2 D' F2 R' B'
D' L2 U2 F R F B'
D' L2 U2 F R B' F
D' L2 U2 F B' R F
B L2 U2 D' F2 R B'
B L2 U2 D' F2 B' R
D' L2 U2 B' F R F
B L2 U2 D' B' F2 R
F L2 U2 D' F R F
F L2 U2 F D' R F2
F L2 U2 F' D' F2 R
B L2 U2 B' D' F2 R
B' L2 D B2 L U2 B
F L2 D B L B U2
B' L2 D' R' F2 B' L'
B' L2 D' R' B' F2 L'
B L2 D B2 L' U2 B
B' L2 D' U2 R' F2 B'
B' L2 D' U2 R' B' F2
B' L2 D' U2 F2 R' B'
B L2 D' U2 F2 R B'
B L2 D' U2 F2 B' R
B L2 D' U2 B' F2 R
F L2 D' U2 F R F
F L2 D' B L U2 F2
F L2 D' B' U2 R' F2
F L2 D' B' U2 F2 R'
D' L2 D2 B2 U2 B R'
D L2 D2 B' R' F2 L'
D' L2 F U2 F R B'
D' L2 F U2 F B' R
D' L2 F U2 B' F R
D L2 F B2 U2 B R'
L' U R B L R U
L' U R B R L U
D L2 F' B2 U2 B R'
L2 U R B R U B2
D' L2 B L U2 F2 B2
D' L2 B L U2 B2 F2
D L2 F2 B2 U2 B R'
D L2 B L B U2 B
F L2 B L U R2 U
F L2 B L U2 D' F2
F L2 B L D B2 U2
F L2 B L D' U2 F2
D' L2 B U2 F2 B2 R'
D' L2 B U2 B2 R' F2
D' L2 B U2 B2 F2 R'
D' L2 B' L R' F2 L'
D' L2 B' L' R' F2 L'
D' L2 B' L2 R' F2 L'
F L2 B D L B2 U2
F L2 B D B2 U2 R'
F L2 B D' L U2 F2
D' L2 B' R' L F2 L'
D' L2 B' R' L' F2 L'
D' L2 B' R' L2 F2 L'
D' L2 B' R' F2 L' D
D' L2 B' R' F2 L' D'
D' L2 B' R' F2 L' D2
D' L2 B' R' F2 D L'
D' L2 B' R' F2 D' L'
D' L2 B' R' F2 D2 L'
F L2 B' U R2 U R
F L2 B' U2 D' R' F2
F L2 B' U2 D' F2 R'
F L2 B' D B2 L U2
F L2 B' D' U2 R' F2
F L2 B' D' U2 F2 R'
D L2 B2 L U2 B R'
D L2 B2 L' U2 B R'
D L2 B2 L2 U2 B R'
D' L2 B2 U2 F2 B R'
D' L2 B2 U2 B R' F2
D' L2 B2 U2 B F2 R'
D L2 B2 U2 B R' D
D L2 B2 U2 B R' D'
D L2 B2 U2 B R' D2
D L2 B2 U2 B D R'
D L2 B2 U2 B D' R'
D L2 B2 U2 B D2 R'
D L2 B2 F U2 B R'
D L2 B2 F' U2 B R'
D L2 B2 F2 U2 B R'
U R L2 B R U B2
D' R F R' U2 F R
U R B L2 R U B'
U R B R L2 U B'
U R B R U' F U2
D' R' L' F2 L' B' R'
D' R' L2 F2 B' L' R'
D' R' L2 F2 B' R' L'
D' R' L2 B' F2 L' R'
D' R' L2 B' F2 R' L'
D' R' F U2 F L' R
D' R' F U2 F R L'
L' U2 D' F R F B
L' U2 D' F R B F
L2 U2 D' F R F B'
L2 U2 D' F R B' F
L2 U2 D' F B' R F
L2 U2 D' B' F R F
L' U2 F D' R F2 B
L' U2 F D' R B F2
L2 U2 F D' R F2 B'
L2 U2 F D' R B' F2
L2 U2 F D' B' R F2
L2 U2 F B' D' R F2
L' U2 F' D' F2 R B
B' R2 U D2 L2 R B'
B' R2 U D2 L2 B' R
B' R2 U D2 R L2 B'
L2 U2 F' D' F2 R B'
L2 U2 F' D' F2 B' R
L2 U2 F' D' B' F2 R
L2 U2 F' B' D' F2 R
B' R2 U' R2 F U2 R'
B R2 U' R2 F L U2
B R2 U' F L R2 U2
B R2 U' F R2 L U2
U R2 U' D' F L' U2
L2 U2 B' D' F R F
L2 U2 B' F D' R F2
L2 U2 B' F' D' F2 R
B' R2 D2 U L2 R B'
B' R2 D2 U L2 B' R
B' R2 D2 U R L2 B'
U R2 D' U' F L' U2
D R2 D2 L2 F2 B' R'
D R2 D2 L2 B' R' F2
D R2 D2 L2 B' F2 R'
D' R2 F R2 U2 F R
U R2 D2 L2 U B' R'
L' D L' B2 U2 B R'
F2 R2 B' U R' B2 L
B' U L2 R2 U R B'
B' U L2 R2 U B' R
L2 D F B2 U2 B R'
U2 D L2 B' L2 F R
L2 D F' B2 U2 B R'
L' D B L F B U2
L' D B L B F U2
F2 U R B R U B
L2 D F2 B2 U2 B R'
F U R D B R U
L2 D B L B U2 B
F U R D' B R U
F U R D2 B R U
F U R B R U D
F U R B R U D'
F U R B R U D2
F U R B R D U
F U R B R D' U
F U R B R D2 U
F U R B D R U
F U R B D' R U
F U R B D2 R U
F U R B' R B2 U
B' U R2 L2 U R B'
B' U R2 L2 U B' R
F U R B2 R B' U
F2 U R2 U D B R'
F2 U R2 D U B R'
B U R2 U' F L U2
L' D B2 U2 R B R'
L2 D B2 L U2 B R'
F U R2 D B U R'
L2 D B2 L' U2 B R'
L2 D B2 L2 U2 B R'
L2 D B2 U2 B R' D
L2 D B2 U2 B R' D'
L2 D B2 U2 B R' D2
L2 D B2 U2 B D R'
L2 D B2 U2 B D' R'
L2 D B2 U2 B D2 R'
L2 D B2 F U2 B R'
L2 D B2 F' U2 B R'
L2 D B2 F2 U2 B R'
L' D' L F U2 F R
U2 D F' D2 F2 R B2
U2 D F' D2 F2 B2 R
U2 D F' D2 B2 F2 R
F U D' R B U F2
L' D' L' B' R' F2 L'
L2 D' L2 F U2 F R
L' D' R' F2 L' B' R'
L2 D' R' F2 B' L' R'
L2 D' R' F2 B' R' L'
L2 D' R' B' F2 L' R'
L2 D' R' B' F2 R' L'
D2 U' L F L U' B'
F U B R B R U
F U B' R B R U
L' D' U2 F R F B
L' D' U2 F R B F
F U B2 R B R U
L2 D' U2 F R F B'
L2 D' U2 F R B' F
L2 D' U2 F B' R F
L2 D' U2 B' F R F
L' D' F U2 F R B
F U' L D' F U' F
F U' L D2 F L2 U'
F U' L F U' D' F2
F U' L F U2 R2 U
F U' L F D' U' F2
F U' L F D2 L2 U'
L2 D' F U2 F R B'
