R' L D B' U2 L B2
B2 L' R' D' F L' B
B2 L' R' D' F B L'
B2 L' R' D' B F L'
L R' D B' U2 L B2
B2 L' R' B D' F L'
B2 L' F R' D' L2 B
B2 L' F R' D' B L2
B2 L' F R' B D' L2
B2 L' F' U R' F2 B
B2 L' F' U R' B F2
B2 L' F' U F2 R' B
R U L F' B' U2 L'
R U L B' F' U2 L'
R U F' L U2 L2 F
R U F' L B' U2 L2
F' R U' L F' B' U2
F' R U' L B' F' U2
F' R U' F' L B' U2
R U' L F' B' R' U2
R U' L B' F' R' U2
B2 R' L' D' F L' B
B2 R' L' D' F B L'
B2 R' L' D' B F L'
B2 R' L' B D' F L'
R U' F' L B' R' U2
F' R' U' L B' U2 B2
B2 R' B L' D' F L'
L D B' U L F' U
L D B' U F' L U
B2 F' L' U R' F B
B2 F' L' U R' B F
B2 F' L' U F R' B
F' B2 L' U R' F B
F' B2 L' U R' B F
F' B2 L' U F R' B
