R' U L2 F' B U2
R' U L2 B F' U2
R U L2 U2 F' B
R U L2 U2 B F'
R' U F' L2 B U2
R' U F' B L2 U2
R' U B L2 F' U2
R' U B F' L2 U2
R' U' D2 R2 F' B
R' U' D2 R2 B F'
R U' D2 F' B R2
R U' D2 B F' R2
R U' F' D2 B R2
R U' F' B D2 R2
R U' B D2 F' R2
R U' B F' D2 R2
R D F2 U' F B
R D F2 U' B F
R' D2 U' R2 F' B
R' D2 U' R2 B F'
R D2 U' F' B R2
R D2 U' B F' R2
L' R U L' U2 F' B
L' R U L' U2 B F'
R' L U L F' B U2
R' L U L B F' U2
L R U L U2 F' B
L R U L U2 B F'
R L U L U2 F' B
R L U L U2 B F'
R' L U F' L B U2
L' R U' F' D2 B R'
L' R U' F2 B R F
L' R U' B F2 R F
L R U' F' B2 R' B'
L R U' B D2 F' R
R L U' F' B2 R' B'
L R U' B2 F' R' B'
R L U' B D2 F' R
R L U' B2 F' R' B'
L' R F2 U' B R F
L' R' U L' F' B U2
R' L' U L' F' B U2
L' R' U L' B F' U2
R' L' U L' B F' U2
L R' U L F' B U2
L R' U L B F' U2
R L' U L' U2 F' B
R L' U L' U2 B F'
L' R' U B L' F' U2
R' L' U B L' F' U2
L R' U F' L B U2
R L' U' F' D2 B R'
R L' U' F2 B R F
R L' U' B F2 R F
D2 L' R U' B R F
U2 L' U F2 R F' B'
U2 L' U F2 R B' F'
U2 L' U F2 B' R F'
U2 L' U B' F2 R F'
L2 R' F' B U' B' U'
R L' F2 U' B R F
L2 R' B F' U' B' U'
R' L2 F' B U' B' U'
U L2 U' R U' F' B
U L2 U' R U' B F'
R' L2 B F' U' B' U'
R' U L F' L B U2
R' U L' B L' F' U2
R' U L2 D F' B U2
R' U L2 D B F' U2
R' U L2 D' F' B U2
R' U L2 D' B F' U2
R' U L2 D2 F' B U2
R' U L2 D2 B F' U2
R' U L2 F' D B U2
R' U L2 F' D' B U2
R' U L2 F' D2 B U2
R' U L2 F' B U2 D
R' U L2 F' B U2 D'
R' U L2 F' B U2 D2
R' U L2 F' B D U2
R' U L2 F' B D' U2
R' U L2 F' B D2 U2
R' U L2 B D F' U2
R' U L2 B D' F' U2
R' U L2 B D2 F' U2
R' U L2 B F' U2 D
R' U L2 B F' U2 D'
R' U L2 B F' U2 D2
R' U L2 B F' D U2
R' U L2 B F' D' U2
R' U L2 B F' D2 U2
U L2 F U' R U' F'
R U L2 U2 D F' B
R U L2 U2 D B F'
R U L2 U2 D' F' B
R U L2 U2 D' B F'
R U L2 U2 D2 F' B
R U L2 U2 D2 B F'
R U L2 U2 F' D B
R U L2 U2 F' D' B
R U L2 U2 F' D2 B
R U L2 U2 F' B D
R U L2 U2 F' B D'
R U L2 U2 F' B D2
R U L2 U2 B D F'
R U L2 U2 B D' F'
R U L2 U2 B D2 F'
R U L2 U2 B F' D
R U L2 U2 B F' D'
R U L2 U2 B F' D2
R U L2 D U2 F' B
R U L2 D U2 B F'
R U L2 D' U2 F' B
R U L2 D' U2 B F'
R U L2 D2 U2 F' B
R U L2 D2 U2 B F'
R U L2 F U2 F2 B
R U L2 F U2 B F2
R U L2 F2 U2 F B
R U L2 F2 U2 B F
R U L2 B' U2 F' B2
R U L2 B' U2 B2 F'
R U L2 B2 U2 F' B'
R U L2 B2 U2 B' F'
R' U D2 F' U2 R2 F'
R' U D2 F' B U2 R2
R' U D2 B U2 R2 B
R' U D2 B F' U2 R2
D2 R L' U' B R F
R' U F L2 F2 B U2
R' U F L2 B F2 U2
R' U F B L2 F2 U2
R U F L2 U2 F2 B
R U F L2 U2 B F2
R' U F' L' B L' U2
R' U F' L2 D B U2
R' U F' L2 D' B U2
R' U F' L2 D2 B U2
R' U F' L2 B U2 D
R' U F' L2 B U2 D'
R' U F' L2 B U2 D2
R' U F' L2 B D U2
R' U F' L2 B D' U2
R' U F' L2 B D2 U2
R' U F' U2 D2 R2 F'
F' R U L2 U2 F' B
F' R U L2 U2 B F'
R' U F' D2 U2 R2 F'
R' U F' D2 B U2 R2
R' U F' B L2 U2 D
R' U F' B L2 U2 D'
R' U F' B L2 U2 D2
R' U F' B L2 D U2
R' U F' B L2 D' U2
R' U F' B L2 D2 U2
R' U F' B U2 D2 R2
R' U F' B D2 U2 R2
R' U F' B' L2 B2 U2
R' U F' B2 L2 U2 F
F2 R U L2 U2 F' B
F2 R U L2 U2 B F'
R' U F2 L2 B U2 B2
F R U L2 U2 F' B
F R U L2 U2 B F'
R' U F2 B L2 U2 B'
R' U B L F' L U2
D2 R U' D2 B R F'
R U F2 L2 B' U2 B2
R' U B L2 D F' U2
R' U B L2 D' F' U2
R' U B L2 D2 F' U2
R' U B L2 F' U2 D
R' U B L2 F' U2 D'
R' U B L2 F' U2 D2
R' U B L2 F' D U2
R' U B L2 F' D' U2
R' U B L2 F' D2 U2
F' R U' D2 F' B R2
F' R U' D2 B F' R2
F' R U' F' D2 B R2
F' R U' F' B D2 R2
D2 R U' B D2 R F'
F2 R U' D2 F' B R2
F2 R U' D2 B F' R2
F' R U' B D2 F' R2
F' R U' B F' D2 R2
F2 R U' F' D2 B R2
F2 R U' F' B D2 R2
R' U B U2 D2 R2 B
F2 R U' B D2 F' R2
F2 R U' B F' D2 R2
R' U B D2 U2 R2 B
R' U B D2 F' U2 R2
F R U' D2 F' B R2
F R U' D2 B F' R2
R' U B F L2 F2 U2
R' U B F' L2 U2 D
R' U B F' L2 U2 D'
R' U B F' L2 U2 D2
R' U B F' L2 D U2
R' U B F' L2 D' U2
R' U B F' L2 D2 U2
R' U B F' U2 D2 R2
R' U B F' D2 U2 R2
R' U B F2 L2 U2 B'
F R U' F' D2 B R2
F R U' F' B D2 R2
F R U' B D2 F' R2
F R U' B F' D2 R2
R' U B' L2 F' B2 U2
R' U B' L2 B2 F' U2
R' U B' F' L2 B2 U2
R U B' L2 U2 F' B2
R U B' L2 U2 B2 F'
R' U B2 L2 F' U2 F2
F' R D F2 U' F B
F' R D F2 U' B F
F2 R D F2 U' F B
F2 R D F2 U' B F
R' U B2 F' L2 U2 F
F R D F2 U' F B
F R D F2 U' B F
R U B2 L2 F U2 F2
D2 R D2 U' B R F'
F' R D2 U' F' B R2
F' R D2 U' B F' R2
F2 R D2 U' F' B R2
F2 R D2 U' B F' R2
F R D2 U' F' B R2
F R D2 U' B F' R2
R' U' L2 F' B U2 L2
R' U' L2 B F' U2 L2
R U' L2 U2 L2 F' B
R U' L2 U2 L2 B F'
R U' L2 U2 F' L2 B
R U' L2 U2 F' B L2
R U' L2 U2 B L2 F'
R U' L2 U2 B F' L2
R' U' R2 D2 F' B R2
R' U' R2 D2 B F' R2
