U' R D' L2 F'
U' R D' F' L2
U' L R D' L2 F'
U' L R D' F' L2
U' L' R D' L2 F'
U' L' R D' F' L2
D2 L' B2 U' R F
U' L2 R D' L2 F'
U' L2 R D' F' L2
U' R L D' L2 F'
U' R L D' F' L2
U' R L' D' L2 F'
U' R L' D' L2 F'
U' R L' D' F' L2
U' R L2 D' L2 F'
U' R L2 D' F' L2
U' R U' F2 U F
U' R D F' D2 L2
U' R D' L F' L
U' R D' L2 D F'
U' R D' L2 D' F'
U' R D' L2 D2 F'
U' R D' L2 F' D
U' R D' L2 F' D'
U' R D' L2 F' D2
U' R D' F L2 F2
U' R D' F' L2 D
U' R D' F' L2 D'
U' R D' F' L2 D2
U R D' F' L2 B'
U' R D2 F' D L2
L' U' R D' L2 F'
L' U' R D' F' L2
U' R F' U' F' U
L2 U' R D' L2 F'
L2 U' R D' F' L2
L U' R D' L2 F'
L U' R D' F' L2
U2 R' F2 U R2 F'
U' R2 D' L2 R' F'
U' R2 D' R' L2 F'
U' R2 D' R' F' L2
R2 D R' F' B2 L
R2 D R' B2 L F'
R2 D R' B2 F' L
U' D' L2 D R F'
D' U' L2 D R F'
B2 U' R D' L2 F'
B2 U' R D' F' L2
B' U' R D' L2 F'
B' U' R D' F' L2
B U' R D' L2 F'
B U' R D' F' L2
R' F2 L' U R2 F'
U2 F2 U F2 R F'
D2 B2 L' U' R F
D2 B2 U' D2 R F'
D2 B2 D2 U' R F'
U' L R U' F2 U F
U' L R D F' D2 L2
U' L R D' L F' L
U' L R D' L2 D F'
U' L R D' L2 D' F'
U' L R D' L2 D2 F'
U' L R D' L2 F' D
U' L R D' L2 F' D'
U' L R D' L2 F' D2
U' L R D' F L2 F2
U' L R D' F' L2 D
U' L R D' F' L2 D'
U' L R D' F' L2 D2
U' L R D2 F' D L2
U' L R F' U' F' U
U L R D' F' L2 B'
U' L R2 D' L2 R' F'
U' L R2 D' R' L2 F'
U' L R2 D' R' F' L2
R2 L D R' F' B2 L
R2 L D R' B2 L F'
R2 L D R' B2 F' L
D' L U' L D R F'
B' L U' R D' L2 F'
B' L U' R D' F' L2
D2 L U' R D L2 F
B2 L U' R D' L2 F'
B2 L U' R D' F' L2
B L U' R D' L2 F'
B L U' R D' F' L2
D' L U' D L R F'
D2 L U' D L2 R F
D2 L U' D R L2 F
D' L U' D R L F'
D' L U' D R F' L
U L U2 R D' L2 F'
U L U2 R D' F' L2
D2 L D U' L2 R F
D2 L D U' R L2 F
D' L D U' L R F'
D' L D U' R L F'
D' L D U' R F' L
U' L D' L2 D R F'
R' L F2 L' U R2 F'
D2 L B2 U B U2 R
D2 L B2 U' R2 F' R'
U' L' R U' F2 U F
U' L' R D F' D2 L2
U' L' R D' L F' L
U' L' R D' L2 D F'
U' L' R D' L2 D' F'
U' L' R D' L2 D2 F'
U' L' R D' L2 F' D
U' L' R D' L2 F' D'
U' L' R D' L2 F' D2
U' L' R D' F L2 F2
U' L' R D' F' L2 D
U' L' R D' F' L2 D'
U' L' R D' F' L2 D2
U' L' R D2 F' D L2
U' L' R F' U' F' U
U L' R D' F' L2 B'
R2 L' D R' F' B2 L
R2 L' D R' B2 L F'
R2 L' D R' B2 F' L
U' L' R2 D' L2 R' F'
U' L' R2 D' R' L2 F'
U' L' R2 D' R' F' L2
D' L' U' L' D R F'
D2 L' U' R D F L2
D2 L' U' R F D L2
D' L' U' R D' L' F
B' L' U' R D' L2 F'
B' L' U' R D' F' L2
D2 L' U' D R F L2
D' L' U' D L' R F'
D' L' U' D R L' F'
B2 L' U' R D' L2 F'
B2 L' U' R D' F' L2
D' L' U' D' L' R F
D' L' U' D' R L' F
F L' U' R F' L' R
F L' U' R F' R L'
B L' U' R D' L2 F'
B L' U' R D' F' L2
F L' U' F' L' R F'
F L' U' F' R L' F'
U L' U2 R D' L2 F'
U L' U2 R D' F' L2
R' L' F2 L' U R2 F'
L' R' F2 L' U R2 F'
L2 R' F2 L' U R2 F'
L R' F2 L' U R2 F'
D2 L' D U' R F L2
D' L' D U' L' R F'
D' L' D U' R L' F'
U' L' D' L2 D R F'
D' L' D' U' L' R F
D' L' D' U' R L' F
F L' F' U' R F' L'
L' R2 D R' F' B2 L
L' R2 D R' B2 L F'
L' R2 D R' B2 F' L
L2 R2 D R' F' B2 L
L2 R2 D R' B2 L F'
L2 R2 D R' B2 F' L
R2 L2 D R' F' B2 L
R2 L2 D R' B2 L F'
R2 L2 D R' B2 F' L
L R2 D R' F' B2 L
L R2 D R' B2 L F'
L R2 D R' B2 F' L
D2 L' B2 U' R D F
D2 L' B2 U' R D' F
D2 L' B2 U' R D2 F
D2 L' B2 U' R F D
D2 L' B2 U' R F D'
D2 L' B2 U' R F D2
D2 L' B2 U' R' F R2
D2 L' B2 U' R2 F R'
D2 L' B2 U' D R F
D2 L' B2 U' D' R F
D2 L' B2 U' D2 R F
D2 L' B2 D U' R F
D2 L' B2 D' U' R F
D2 L' B2 D2 U' R F
U' L2 R U' F2 U F
U' L2 R D F' D2 L2
U' L2 R D' L F' L
U' L2 R D' L2 D F'
U' L2 R D' L2 D' F'
U' L2 R D' L2 D2 F'
U' L2 R D' L2 F' D
U' L2 R D' L2 F' D'
U' L2 R D' L2 F' D2
U' L2 R D' F L2 F2
U' L2 R D' F' L2 D
U' L2 R D' F' L2 D'
U' L2 R D' F' L2 D2
U' L2 R D2 F' D L2
U2 L2 R D' L2 F' B2
U2 L2 R D' L2 B2 F'
U2 L2 R D' F' L2 B2
U2 L2 R D' F' B2 L2
U2 L2 R D' B2 L2 F'
U2 L2 R D' B2 F' L2
U' L2 R F' U' F' U
U L2 R D' F' L2 B'
U' L2 R2 D' L2 R' F'
U' L2 R2 D' R' L2 F'
U' L2 R2 D' R' F' L2
R' L2 F2 L' U R2 F'
B' L2 U' R D' L2 F'
B' L2 U' R D' F' L2
B2 L2 U' R D' L2 F'
B2 L2 U' R D' F' L2
B L2 U' R D' L2 F'
B L2 U' R D' F' L2
U L2 U2 R D' L2 F'
U L2 U2 R D' F' L2
U' L2 D' L2 D R F'
L' U R D' F' L2 B'
L2 U R D' F' L2 B'
F L2 F' B' U' R F'
L U R D' F' L2 B'
D2 L2 B2 L U' R F
F L2 B' U' R F' R
F L2 B' U' F' R F'
F L2 B' F' U' R F'
U' R L U' F2 U F
U' R L D F' D2 L2
U' R L D' L F' L
U' R L D' L2 D F'
U' R L D' L2 D' F'
U' R L D' L2 D2 F'
U' R L D' L2 F' D
U' R L D' L2 F' D'
U' R L D' L2 F' D2
