B L F R F2 U' L2
U2 L F' L' U' L' B'
B L F' U2 L' U L'
U L' R' D' F' R B'
U L' R' D' F' B' R
U L' R' D' B' F' R
U L' R' B' D' F' R
U L' B' R' D' F' R
U L' B' U F' L' U'
U2 R U' L' B' R' F'
F R F2 U' L F L'
U R' L' D' F' R B'
U R' L' D' F' B' R
U R' L' D' B' F' R
U R' L' B' D' F' R
U R' D' L' F' R B'
U R' D' L' F' B' R
U R' D' L' B' F' R
L U2 F' L' U' L' B'
B' R2 B R U L' B'
B2 R2 B R' U L' B'
F' U' L F D' L' B2
F' U' L F D' B2 L'
F' U2 L' U L F L'
F' U2 L' F R U L'
F' U2 D' L' F R U
F' U2 F R U L' B'
L2 F R F2 U' L F
L2 F' U' L D' F B2
L2 F' U' L D' B2 F
L2 F' U' L F D' B2
F' D' U2 L' F R U
R2 B U L' D F2 B'
R2 B U L' D B' F2
R2 B U L' B' D F2
R' B' R' B U L' B'
R2 B' R' B2 U L' B'
