R' U' F2 R F' L'
B2 L U F L' F2 R
B2 L F U L' F2 R
F L' F R D F B2
F L' F R D B2 F
F L' F R F D B2
F2 R D F' L' F2 B2
F2 R D F' L' B2 F2
F2 R D F' B2 L' F2
F2 R D B2 F' L' F2
F2 R F' L' F2 D B2
R' U' F L' F R F'
R' U' F D2 L' F R
R' U' F2 L R F' L'
R' U' F2 L' R F' L'
R' U' F2 L2 R F' L'
R' U' F2 R L F' L'
R' U' F2 R L' F' L'
R' U' F2 R L2 F' L'
R' U' F2 R D F' L'
R' U' F2 R D' F' L'
R' U' F2 R D2 F' L'
R' U' F2 R F' L' D
R' U' F2 R F' L' D'
R' U' F2 R F' L' D2
R' U' F2 R F' D L'
R' U' F2 R F' D' L'
R' U' F2 R F' D2 L'
F2 R' U' R2 D' F L'
U' R' U' F2 R F' L'
U2 R' U' F2 R F' L'
U R' U' F2 R F' L'
F2 R' F R2 D B2 L
F2 R' F' U' L' R2 F2
F2 R' F' U' L' F2 R2
F2 R' F' U' R2 L' F2
D R' F2 B U' R F'
D R' B U' F2 R F'
D R' B F2 U' R F'
L D F2 R' B U' F
L F L' F2 R D B2
L F R' U' L' F2 R
L' F U' R' U' L' F2
L' F' R D' F2 U2 F2
R' F' U R U2 F' R
R' F' U' F' R F' L'
D' F2 R D F L' B2
D' F2 R D F B2 L'
D' F2 R D B2 F L'
D F2 R' B U' R2 F
D F2 R' B U' F R2
R' B U' F2 R F' L'
R' B' U' F2 R F' L'
R' B2 U' F2 R F' L'
