U L R' F R F2
U L R2 F R F'
U L F R' F' R2
U L F2 R' F' R
U' L' U2 L2 F R
U' L' B' U2 L2 R'
U' L' B' U2 R' L2
U' L2 U2 L' F R
B' R B R2 U L
U R' L F R F2
B' R' U2 F' U' L'
U R' F L R F2
U R' F R L F2
U R' F R F2 L
U R' F' L D2 R2
R' U2 F' L' U' L2
U R2 L F R F'
U R2 F L R F'
U R2 F R L F'
U R2 F R F' L
U F L R' F' R2
U F R' L F' R2
U F R' F' L R2
U F R' F' R2 L
U F2 L R' F' R
U F2 R' L F' R
U F2 R' F' L R
U F2 R' F' R L
R2 B' R' B U L
U' B' U2 R' F' L'
U L R U2 B L U2
U L R F R2 F' R'
U L R F2 R2 F' R
U L R' D F R F2
U L R' D' F R F2
U L R' D2 F R F2
U L R' F R F2 D
U L R' F R F2 D'
U L R' F R F2 D2
U L R' F R' F2 R2
U L R' F R2 F2 R'
U L R' F' U2 L' U2
U L R2 F R D F'
U L R2 F R D' F'
U L R2 F R D2 F'
U L R2 F R F' D
U L R2 F R F' D'
U L R2 F R F' D2
U L R2 F2 R F' R
U L U2 L U2 F R
B L U2 L' B' U L
U L U2 L' B' U2 R'
U L U2 B L U2 F
U L U2 B' U2 R' F'
U L D R' F R F2
U L D R2 F R F'
U L D F R' F' R2
U L D F2 R' F' R
U L D' R' F R F2
U L D' R2 F R F'
U L D' F R' F' R2
U L D' F2 R' F' R
U L D2 R' F R F2
U L D2 R2 F R F'
U L D2 F R' F' R2
U L D2 F2 R' F' R
U' L F R' B' R' B
U' L F R2 B' R' B2
U L F R U2 B U2
U L F R' F R2 F2
U L F R' F' R2 D
U L F R' F' R2 D'
U L F R' F' R2 D2
U L F R' F2 R2 F
U' L F U2 F' L' U2
U L F D R' F' R2
U' L F B' R2 B R
U L F D' R' F' R2
U' L F B2 R2 B R'
U L F D2 R' F' R2
U2 L F' L' F2 U' L
U L F' R' F2 R F
U L F' R2 F2 R F'
U L F' U2 L' B' U2
U L F2 R' F' R D
U L F2 R' F' R D'
U L F2 R' F' R D2
U L F2 R' F' D R
U L F2 R' F' D' R
U L F2 R' F' D2 R
U L F2 R2 F' R F'
U' L B L U2 L' F
U' L B' R F R2 B
U' L B' F R2 B R
U' L B2 F R2 B R'
U' L' R U2 L2 F R
U' L' R B' U2 L2 R'
U' L' R B' U2 R' L2
U' L' R' U2 L2 F R
U L' R' F L2 R F2
U L' R' F R L2 F2
U L' R' F R F2 L2
U' L' R' B' U2 L2 R'
U' L' R' B' U2 R' L2
U' L' R2 U2 L2 F R
U L' R2 F L2 R F'
U L' R2 F R L2 F'
U' L' R2 B' U2 L2 R'
U L' R2 F R F' L2
U' L' R2 B' U2 R' L2
U' L' U2 L2 R F R
U' L' U2 L2 R' F R
U' L' U2 L2 R2 F R
U' L' U2 L2 D F R
U' L' U2 L2 D' F R
U' L' U2 L2 D2 F R
U' L' U2 L2 F R D
U' L' U2 L2 F R D'
U' L' U2 L2 F R D2
U' L' U2 L2 F D R
U' L' U2 L2 F D' R
U' L' U2 L2 F D2 R
U' L' U2 R L2 F R
U' L' U2 R' L2 F R
U' L' U2 R2 L2 F R
U' L' U2 F L2 R F
U' L' U2 F R L2 F
U2 L' U2 B' R' U L2
U' L' D2 R2 B' U2 R'
U' L' D2 B' R2 U2 R
U L' F L2 R' F' R2
U L' F R' L2 F' R2
U L' F R' F' L2 R2
U L' F R' F' R2 L2
U' L' F' L2 F B' R'
U' L' F' L2 B' R' F
U' L' F' L2 B' F R'
U L' F2 L2 R' F' R
U L' F2 R' L2 F' R
U L' F2 R' F' L2 R
U L' F2 R' F' R L2
U' L' B L B2 R' U2
U' L' B' L U2 L R'
U' L' B' L U2 R' L
U' L' B' L' U2 L' R'
U' L' B' L' U2 R' L'
U' L' B' R U2 L2 R2
U' L' B' R U2 R2 L2
U' L' B' R2 U2 L2 R
U' L' B' R2 U2 R L2
U' L' B' U2 L2 R' D
U' L' B' U2 L2 R' D'
U' L' B' U2 L2 R' D2
U' L' B' U2 L2 D R'
U' L' B' U2 L2 D' R'
U' L' B' U2 L2 D2 R'
U' L' B' U2 R' L2 D
U' L' B' U2 R' L2 D'
U' L' B' U2 R' L2 D2
U' L' B' D2 R2 U2 R
U' L2 R U2 L' F R
U' L2 R' U2 L' F R
U' L2 R2 U2 L' F R
U L2 R2 D2 L' F R
U L2 R2 F R F' L'
U' L2 U2 L' R F R
U' L2 U2 L' R' F R
U' L2 U2 L' R2 F R
U' L2 U2 L' D F R
U' L2 U2 L' D' F R
U' L2 U2 L' D2 F R
U' L2 U2 L' F R D
U' L2 U2 L' F R D'
U' L2 U2 L' F R D2
U' L2 U2 L' F D R
U' L2 U2 L' F D' R
U' L2 U2 L' F D2 R
U' L2 U2 R L' F R
U' L2 U2 R' L' F R
U' L2 U2 R2 L' F R
R' U L R' D' F' R
R' U L U F' L' U'
R2 U L D' R' F' R
U L2 F R' F' L' R2
U L2 F R' F' R2 L'
U2 L2 F' L' F U' L'
R' U R' L D' F' R
R' U R' D' L F' R
R' U R' D' F' L R
R' U R' D' F' R L
U' L2 B L U2 L2 F
U' L2 B L B' U2 L2
U' L2 B' U2 L' R' F
