U' B U' R' B2 U'
L2 R D2 F L' U F
B' L' D2 R2 F' U' F'
L2 R2 D2 F L' U F2
R2 L2 D2 F L' U F2
R L2 D2 F L' U F
D2 L2 R2 F L' U F2
B L2 U' R' F B2 U'
B L2 U' R' B2 F U'
B L2 U' F R' B2 U'
D2 L2 F L' R2 U F'
D2 L2 F L' U' B U2
D2 L2 F R2 L' U F'
B R U' B2 R2 F' U'
U2 R D B' L U' B'
L' U' D' B R' U2 B
U2 R' B R' B2 U' F'
U2 R' B' U2 L U F
R U2 D B' L U' B'
D2 R2 L2 F L' U F2
R2 U2 B' U2 L U F'
U2 R2 B' U2 L U F'
R D U2 B' L U' B'
L' D' U' B R' U2 B
B U' R B2 R2 F' U'
B U' R' B2 U2 B U
R2 D2 L2 F L' U F2
F' U' B U' R' B2 U'
F2 U' B U' R' B2 U'
L2 D2 R2 F L' U F2
F U' B U' R' B2 U'
B' U2 L D' B R2 U
B' U2 L D2 B U F2
B U' B2 U2 L B U
B' U2 L B R2 U F'
B' U2 L B U' B U2
L2 D2 F L' R2 U F'
L2 D2 F L' U' B U2
L2 D2 F R2 L' U F'
B' U2 D' L B R2 U
B' U2 D2 L B U F2
L2 F U' B U' R' U'
B' D L2 U2 L' B U
B' D L2 U2 B L' U
U' F B U' R' B2 U'
U' F' B U' R' B2 U'
B' D' U2 L B R2 U
U' F2 B U' R' B2 U'
B' D2 U2 L B U F2
U' B R U' R2 B2 U'
U' B R U' B2 R2 U'
U' B R U2 D L2 B2
U' B R U2 D B2 L2
U' B R D U2 L2 B2
U' B R D U2 B2 L2
U' B R D' R2 F2 U2
U' B R D' F2 R2 U2
U' B R' U' B2 U' B2
U' B R2 U' R B2 U'
U' B R2 U' B2 R U'
U2 B R' B2 U B2 U2
U2 B R' B2 U' D2 F2
U2 B R' B2 D L2 U'
U2 B R' B2 D2 U' F2
U' B U' R B2 R2 U'
U' B U' R' U' D L2
U' B U' R' D U' L2
U' B U' R' B2 U' D
U' B U' R' B2 U' D'
U' B U' R' B2 U' D2
U' B U' R' B2 D U'
U' B U' R' B2 D' U'
U' B U' R' B2 D2 U'
U' B U' R2 B2 R U'
U' B U' D R' U' L2
U' B U' B2 U2 L U
U2 B U' R' B2 U' R
U' B D U' R' U' L2
U' B D' R2 U' R U'
U' B F U' R' B2 U'
U' B F' U' R' B2 U'
U' B F2 U' R' B2 U'
U2 B' L U B2 U2 B2
U2 B' L' D2 R2 U' F2
U2 B' U B2 U' R' U'
R' B' U2 L B U F
U2 B' U2 L U D2 F2
U2 B' U2 L U' B2 U2
U2 B' U2 L D' R2 U
U2 B' U2 L D2 U F2
U2 B' U2 D' L R2 U
U2 B' U2 D' R2 L U
U2 B' U2 D2 L U F2
R2 B' U2 L B U F'
U2 B' D L2 U2 L' U
U2 B' D' U2 L R2 U
U2 B' D' U2 R2 L U
U2 B' D2 U2 L U F2
