L U R2 F U R B
R2 U D B L R' B2
R2 U D B R' L B2
R U B R U L B2
D' R' F' U' F' B' L'
D' R' F' U' B' F' L'
U2 R' F' R' U B' R'
R2 U2 R F' B U' B2
R2 U2 R B F' U' B2
U2 R2 U D B' L R'
U2 R2 U D B' R' L
U2 R2 D U B' L R'
U2 R2 D U B' R' L
R2 D U B L R' B2
R2 D U B R' L B2
U' D B2 U2 B L R'
U' D B2 U2 B R' L
U' D' F' B' L' F' R'
D' U' F' B' L' F' R'
D' U' F2 D2 B' L R'
D' U' F2 D2 B' R' L
U' D' F2 D2 B' L R'
U' D' F2 D2 B' R' L
U' D' B' R' F' L' F'
D' U' B' R' F' L' F'
U' D' B' F' L' F' R'
D' U' B' F' L' F' R'
D U' B2 U2 B L R'
D U' B2 U2 B R' L
U' F D' F2 B' L' R'
U' F D' F2 B' R' L'
U' F D' B' F2 L' R'
U' F D' B' F2 R' L'
U' F B' D' F2 L' R'
U' F B' D' F2 R' L'
D' F' U' F' B' L' R'
D' F' U' F' B' R' L'
D' F' U' B' F' L' R'
D' F' U' B' F' R' L'
R' F' U2 R' F' U B'
U' F' D' B' L' R' F2
U' F' D' B' L' F2 R'
U' F' D' B' R' L' F2
U' F' B' L' D' R' F2
U' F' B' L' D' F2 R'
U' F' B' D' L' R' F2
U' F' B' D' L' F2 R'
U' F' B' D' R' L' F2
R B L R F U B2
R B R L F U B2
R B R U B L B
U' B' R' U' R' F' U
U' B' D' R' F' L' F'
U' B' D' F' L' F' R'
U' B' F D' F2 L' R'
U' B' F D' F2 R' L'
U' B' F' L' D' R' F2
U' B' F' L' D' F2 R'
U' B' F' D' L' R' F2
U' B' F' D' L' F2 R'
U' B' F' D' R' L' F2
R2 B2 U D B L R'
R2 B2 U D B R' L
R2 B2 D U B L R'
R2 B2 D U B R' L
