B2 L' U' R U' L2
L' R' B2 U' R2 U'
L' R' B2 U2 D B2
L' R' B2 D U2 B2
R' L' B2 U' R2 U'
L' R' B2 D' F2 U2
R' L' B2 U2 D B2
R' L' B2 D U2 B2
R' L' B2 D' F2 U2
R U L' R2 B2 U2
R U L' B2 R2 U2
R U R2 L' B2 U2
R U R2 B2 L' U2
R U B2 L' R2 U2
R U B2 R2 L' U2
R U' D2 F2 L2 R
R U' D2 F2 R L2
R D L2 B2 U' R'
R D2 U' F2 L2 R
R D2 U' F2 R L2
R' B2 L' U' R2 U'
R' B2 L' U2 D B2
R' B2 L' D U2 B2
R' B2 L' D' F2 U2
L' B2 U' R U' L
R' B2 D L' U2 B2
R' B2 D' L' F2 U2
R' B2 D' F2 U2 R
L2 R U L R2 B2 U2
L2 R U L B2 R2 U2
L R U L2 R2 B2 U2
L R U L2 B2 R2 U2
L2 R U R2 L B2 U2
R L U L2 R2 B2 U2
L R U R2 L2 B2 U2
L2 R U R2 B2 U2 R'
R L U L2 B2 R2 U2
L R U R2 B2 L2 U2
R L U R2 L2 B2 U2
R L U R2 B2 L2 U2
L R U B2 L2 R2 U2
L2 R U B2 R2 U2 R
L R U B2 R2 L2 U2
R L U B2 L2 R2 U2
R L U B2 R2 L2 U2
L R U' D2 L2 R2 F2
L2 R U' D2 L2 F2 R
L R U' D2 L2 F2 R2
L R U' D2 R2 L2 F2
L R U' D2 R2 F2 L2
L R U' D2 F2 L2 R2
L R U' D2 F2 R2 L2
R L U' D2 L2 R2 F2
R L U' D2 L2 F2 R2
R L U' D2 R2 L2 F2
R L U' D2 R2 F2 L2
R L U' D2 F2 L2 R2
R L U' D2 F2 R2 L2
L R D L2 F2 B2 U'
L R D L2 B2 F2 U'
R L D L2 F2 B2 U'
R L D L2 B2 F2 U'
L R D F2 L2 B2 U'
L R D F2 B2 L2 U'
R L D F2 L2 B2 U'
L2 R D B2 L2 U' R'
L R D B2 L2 F2 U'
R L D F2 B2 L2 U'
L R D B2 F2 L2 U'
R L D B2 L2 F2 U'
R L D B2 F2 L2 U'
L R D2 U' L2 R2 F2
L R D2 U' L2 F2 R2
L2 R D2 U' L2 F2 R
L R D2 U' R2 L2 F2
L R D2 U' R2 F2 L2
L R D2 U' F2 L2 R2
L R D2 U' F2 R2 L2
R L D2 U' L2 R2 F2
R L D2 U' L2 F2 R2
R L D2 U' R2 L2 F2
R L D2 U' R2 F2 L2
R L D2 U' F2 L2 R2
R L D2 U' F2 R2 L2
R' L B2 L2 U' R2 U'
R' L B2 L2 U2 D B2
R' L B2 L2 D U2 B2
R' L B2 L2 D' F2 U2
L' R B2 R2 U' R2 U'
L' R B2 R2 U2 D B2
L' R B2 R2 D U2 B2
L' R B2 R2 D' F2 U2
L' R' U D2 L2 U F2
R' L' U D2 L2 U F2
R' L' U' R2 U B2 U2
R' L' U' R2 U' D2 F2
R' L' U' R2 D L2 U'
L' R' U' R2 U B2 U2
L' R' U' R2 U' D2 F2
R' L' U' R2 D2 U' F2
L' R' U' R2 D L2 U'
L' R' U' R2 D2 U' F2
R' L' U' D L2 U' B2
L' R' U' D L2 U' B2
R' L' U2 D B2 D F2
L' R' U2 D B2 D F2
R' L' U2 D2 F2 D' B2
L' R' U2 D2 F2 D' B2
B2 L' R U2 L2 D' B2
R' L' D U' L2 U' B2
L' R' D U' L2 U' B2
D2 L' R' U' R2 U' F2
R' L' D U2 B2 D F2
L' R' D U2 B2 D F2
D2 L' R' U2 F2 D B2
D L' R' U' L' R2 U'
D L' R' U' R2 L' U'
B2 L' R' U' R2 U' L2
B2 L' R' U2 L2 D B2
U' L' R' B2 U' R2 U'
U' L' R' B2 U2 D B2
U' L' R' B2 D U2 B2
U' L' R' B2 D' F2 U2
U2 L' R' B2 U' R2 U'
U2 L' R' B2 U2 D B2
U2 L' R' B2 D U2 B2
U2 L' R' B2 D' F2 U2
B2 L' R2 U' R' U' L2
U L' R' B2 U' R2 U'
U L' R' B2 U2 D B2
U L' R' B2 D U2 B2
U L' R' B2 D' F2 U2
R' L' D' F2 U R2 U
R' L' D' F2 U2 D' F2
R' L' D' F2 D B2 U2
R' L' D' F2 D' U2 F2
L' R' D' F2 U R2 U
L' R' D' F2 U2 D' F2
L' R' D' F2 D B2 U2
L' R' D' F2 D' U2 F2
R' L' D2 U L2 U F2
L' R' D2 U L2 U F2
F2 L' U R D2 L2 F2
F2 L' U R D2 F2 L2
R' L' D2 U2 F2 D' B2
L' R' D2 U2 F2 D' B2
B2 L' U D F2 L' U
B2 L' U F2 L' U L'
B2 L' U' R U' L2 D
B2 L' U' R U' L2 D'
B2 L' U' R U' L2 D2
B2 L' U' R D' B2 U'
B2 L' U' R B U' L2
B2 L' U' R B' U' L2
