B2 L' F' U' F' B'
B2 L' F' U' B' F'
F' L' B2 U' F' B
F' L' B2 U' B F'
L' F' B2 U' F' B
L' F' B2 U' B F'
B2 F' L' U' F' B'
B2 F' L' U' B' F'
F' B2 L' U' F' B'
F' B2 L' U' B' F'
L' B2 F' U' F' B
L' B2 F' U' B F'
F' L U' D L2 F' B'
F' L U' D L2 B' F'
F' L D U' L2 F' B'
F' L D U' L2 B' F'
B2 L D' L2 F' U' B'
B2 L F' U F2 U2 F
B2 L F' U' D2 F' B2
B2 L F' U' D2 B2 F'
B2 L F' D2 U' F' B2
B2 L F' D2 U' B2 F'
F' L B2 L2 U' F' B'
F' L B2 L2 U' B' F'
F' L B2 U F U2 F2
F' L B2 U' F' D2 B2
B2 L' R U' F2 B' R'
B2 L' R U' B' R' F2
B2 L' R U' B' F2 R'
D L' R2 B U L' B2
D L' R2 B U B2 L'
F2 L' U B2 U' B R'
F' L' U' D F' B' L2
F' L' U' D B' L2 F'
F' L' U' D B' F' L2
F' L' U' F' D B' L2
F' L' D U' F' B' L2
F' L' D U' B' L2 F'
F' L' D U' B' F' L2
B2 L' F' U' D F' B'
B2 L' F' U' D B' F'
B2 L' F' U' D' F' B'
B2 L' F' U' D' B' F'
B2 L' F' U' D2 F' B'
B2 L' F' U' D2 B' F'
B2 L' F' U' F' D B'
B2 L' F' U' F' D' B'
B2 L' F' U' F' D2 B'
B2 L' F' U' F' B' D
B2 L' F' U' F' B' D'
B2 L' F' U' F' B' D2
B2 L' F' U' B' D F'
B2 L' F' U' B' D' F'
B2 L' F' U' B' D2 F'
B2 L' F' U' B' F' D
B2 L' F' U' B' F' D'
B2 L' F' U' B' F' D2
B2 L' F' D U' F' B'
B2 L' F' D U' B' F'
B2 L' F' D' U' F' B'
B2 L' F' D' U' B' F'
B2 L' F' D2 U' F' B'
B2 L' F' D2 U' B' F'
B L' F' B U' F' B2
B L' F' B U' B2 F'
B L' B F' U' F' B2
B L' B F' U' B2 F'
F2 L' B' U B' U' R'
F' L' B2 L U' F' B
F' L' B2 L U' B F'
F' L' B2 L' U' F' B
F' L' B2 L' U' B F'
F' L' B2 L2 U' F' B
F' L' B2 L2 U' B F'
F' L' B2 U' D F' B
F' L' B2 U' D B F'
F' L' B2 U' D' F' B
F' L' B2 U' D' B F'
F' L' B2 U' D2 F' B
F' L' B2 U' D2 B F'
F' L' B2 U' F' D B
F' L' B2 U' F' D' B
F' L' B2 U' F' D2 B
F' L' B2 U' F' B D
F' L' B2 U' F' B D'
F' L' B2 U' F' B D2
F' L' B2 U' B D F'
F' L' B2 U' B D' F'
F' L' B2 U' B D2 F'
F' L' B2 U' B F' D
F' L' B2 U' B F' D'
F' L' B2 U' B F' D2
F' L' B2 D U' F' B
F' L' B2 D U' B F'
F' L' B2 D' U' F' B
F' L' B2 D' U' B F'
F' L' B2 D2 U' F' B
F' L' B2 D2 U' B F'
D' L2 D F' R B2 U'
D' L2 D F' B2 R U'
D' L2 D B2 F' R U'
B2 L2 F' L U' F' B'
B2 L2 F' L U' B' F'
F' L2 B2 L U' F' B'
F' L2 B2 L U' B' F'
B2 R L' U' F2 B' R'
B2 R L' U' B' R' F2
B2 R L' U' B' F2 R'
L' U F' B2 U' F' B
L' U F' B2 U' B F'
L' U B2 F' U' F' B
L' U B2 F' U' B F'
U2 R B2 U' F2 B' R'
U2 R B2 U' B' R' F2
U2 R B2 U' B' F2 R'
L' U' F' B2 U' F' B
L' U' F' B2 U' B F'
L' U' B2 F' U' F' B
L' U' B2 F' U' B F'
D R2 L' B U L' B2
D R2 L' B U B2 L'
L' U2 F' B2 U' F' B
L' U2 F' B2 U' B F'
L' U2 B2 F' U' F' B
L' U2 B2 F' U' B F'
D R2 B L' U B' L'
L' D R2 B U L2 B2
L' D R2 B U B2 L2
L D R2 B U L2 B'
D U R2 B L U L
U D R2 B L U L
F2 U F B' R' B' U'
F2 U B' R' F B' U'
F2 U B' R' B' F U'
F2 U B' F R' B' U'
F2 U' F R B2 L U'
U' F R F2 B2 U' F'
U' F R B2 F2 U' F'
F' D L' U' B' L' F'
L' F D R2 F B' L2
L' F D R2 B' F L2
L F U' F2 B2 U' F'
L' F D F R2 B' L2
L' F D F B' L2 R2
L' F D F B' R2 L2
L F U' B2 F2 U' F'
L' F D B' R2 F L2
L' F D B' F L2 R2
L' F D B' F R2 L2
