F L B U' B'
U F L B U'
F L D B U' B'
F L D' B U' B'
U L D' B U' R'
F L D2 B U' B'
F2 L F' B U' B'
F' L F2 B U' B'
F L B R U' B'
F L B R U' B'
F L B R' U' B'
F L B R2 U' B'
F L B U' D B'
F L B U' D B'
F L B U' D' B'
F L B U' D2 B'
F L B U' B' D
F L B U' B' D'
F L B U' B' D2
F' L B F2 U' B'
F L B D U' B'
F L B D' U' B'
F2 L B F' U' B'
F L B D2 U' B'
F' U L F2 B U'
F' U L B F2 U'
F2 U L F' B U'
F2 U L B F' U'
D2 U F L B U'
D' U F L B U'
D U F L B U'
U D F L B U'
F2 U F' L B U'
F' U F2 L B U'
U D' F L B U'
L D' B U' R' B'
U D2 F L B U'
D' F L B U' B'
D2 F L B U' B'
U F L D B U'
U F L D' B U'
U F L D2 B U'
D F L B U' B'
U F L B U' D
U F L B U' D'
U F L B U' D2
U F L B D U'
U F L B D' U'
U F L B D2 U'
U F L' B L2 U'
U F L2 B L' U'
F D L B U' B'
U F D L B U'
U F D' L B U'
U F D2 L B U'
U F' L F2 B U'
U F' L B F2 U'
F D' L B U' B'
U F2 L F' B U'
U F2 L B F' U'
F D2 L B U' B'
U B D2 F L' U'
F L R' B' U' B L
F2 L D F' B U' B'
F' L D B U' R2 B'
F' L D B U' B' R2
F2 L D B F' U' B'
U L D F' B U' R
F L D B R U' B'
F L D B R' U' B'
F L D B R2 U' B'
F L D B U' D B'
F L D B U' D' B'
F L D B U' D2 B'
F L D B U' B' D
F L D B U' B' D'
F L D B U' B' D2
F L D B D U' B'
F L D B D' U' B'
F L D B D2 U' B'
U L D B F' U' R
F2 L D' F' B U' B'
D' L D' B U' R' B'
D2 L D' B U' R' B'
U L D' F B U' R'
D L D' B U' R' B'
F2 L D' B F' U' B'
U L D' F' B U' R'
F L D' B R U' B'
F L D' B R' U' B'
F L D' B R2 U' B'
F L D' B U' D B'
F L D' B U' D' B'
F L D' B U' D2 B'
F L D' B U' B' D
F L D' B U' B' D'
F L D' B U' B' D2
F L D' B D U' B'
F L D' B D' U' B'
F L D' B D2 U' B'
U L D' F2 B U' R'
U L D' B U' R' D
U L D' B U' R' D'
U L D' B U' R' D2
U L D' B U' D R'
U L D' B U' D' R'
U L D' B U' D2 R'
U L D' B D U' R'
U L D' B D' U' R'
U L D' B D2 U' R'
U L D' B F U' R'
U L D' B F' U' R'
U L D' B F2 U' R'
F2 L D2 F' B U' B'
F2 L D2 B F' U' B'
F L D2 B R U' B'
F L D2 B R' U' B'
F L D2 B R2 U' B'
F L D2 B U' D B'
F L D2 B U' D' B'
F L D2 B U' D2 B'
F L D2 B U' B' D
F L D2 B U' B' D'
F L D2 B U' B' D2
F L D2 B D U' B'
F L D2 B D' U' B'
F L D2 B D2 U' B'
U L F D' B U' R'
F2 L F' D B U' B'
F2 L F' D' B U' B'
F2 L F' D2 B U' B'
F2 L F' B R U' B'
F2 L F' B R' U' B'
F2 L F' B R2 U' B'
F2 L F' B U' D B'
F2 L F' B U' D' B'
F2 L F' B U' D2 B'
F2 L F' B U' B' D
F2 L F' B U' B' D'
F2 L F' B U' B' D2
F2 L F' B D U' B'
F2 L F' B D' U' B'
F2 L F' B D2 U' B'
U L F' D' B U' R'
F' L F2 D B U' B'
F' L F2 D' B U' B'
F' L F2 D2 B U' B'
F' L F2 B R U' B'
F' L F2 B R' U' B'
F' L F2 B R2 U' B'
F' L F2 B U' D B'
F' L F2 B U' D' B'
F' L F2 B U' D2 B'
F' L F2 B U' B' D
F' L F2 B U' B' D'
F' L F2 B U' B' D2
F' L F2 B D U' B'
F' L F2 B D' U' B'
F' L F2 B D2 U' B'
U L F2 D' B U' R'
F' L B R F2 U' B'
F2 L B R U' B' R'
F' L B R' F2 U' B'
F' L B R2 F2 U' B'
F L B R U' D B'
F L B R U' D' B'
F L B R U' D2 B'
F L B R U' B' D
F L B R U' B' D'
F L B R U' B' D2
F L B R D U' B'
F L B R D' U' B'
F L B R D2 U' B'
U L B L' F L U'
F L B R' U' D B'
F L B R' U' D' B'
F L B R' U' D2 B'
F L B R' U' B' D
F L B R' U' B' D'
F L B R' U' B' D2
F L B R' D U' B'
F L B R' D' U' B'
F L B R' D2 U' B'
F' L B U' D R2 B'
F' L B U' D B' R2
F' L B U' B' D R2
F L B R2 U' D B'
F L B R2 U' D' B'
F L B R2 U' D2 B'
F L B R2 U' B' D
F L B R2 U' B' D'
F L B R2 U' B' D2
F L B R2 D U' B'
F L B R2 D' U' B'
F L B R2 D2 U' B'
F' L B D U' R2 B'
F L B U F U2 B'
F' L B D U' B' R2
F L B U F' U2 B'
F L B U F2 U2 B'
F L B U' R' B' R
F L B U' R2 B' R2
F L B U' D B' D
F L B U' D B' D'
F L B U' D B' D2
F L B U' D' B' D
F L B U' D' B' D'
F L B U' D' B' D2
F L B U' D2 B' D
F L B U' D2 B' D'
F L B U' D2 B' D2
F L B U' B2 D B
F L B U' B2 D' B
F L B U' B2 D2 B
F2 L B D F' U' B'
F L B D R U' B'
F2 L B D' F' U' B'
F L B D R' U' B'
F L B D R2 U' B'
F L B D U' B' D
F L B D U' B' D'
F L B D U' B' D2
F L B D' R U' B'
F L B D' R' U' B'
F2 L B D2 F' U' B'
F L B D' R2 U' B'
F L B D' U' B' D
F L B D' U' B' D'
F L B D' U' B' D2
F' L B F2 R U' B'
F' L B F2 R' U' B'
F' L B F2 R2 U' B'
F L B D2 R U' B'
F L B D2 R' U' B'
F' L B F2 U' D B'
F' L B F2 U' D' B'
F' L B F2 U' D2 B'
F L B D2 R2 U' B'
F' L B F2 U' B' D
F' L B F2 U' B' D'
F' L B F2 U' B' D2
F L B D2 U' B' D
F L B D2 U' B' D'
F L B D2 U' B' D2
F' L B F2 D U' B'
F' L B F2 D' U' B'
F2 L B F' R U' B'
F' L B F2 D2 U' B'
F2 L B F' R' U' B'
F2 L B F' R2 U' B'
F2 L B F' U' D B'
F2 L B F' U' D' B'
F2 L B F' U' D2 B'
U L B D F' U' R
F2 L B F' U' B' D
F2 L B F' U' B' D'
F2 L B F' U' B' D2
F2 L B F' D U' B'
F2 L B F' D' U' B'
