U L U F B2 R'
U L U B2 R' F
U L U B2 F R'
U L U B2 F R'
F' L2 U' L U' B2
F L2 U R U B2
L2 U L U F B2
L2 U L U B2 F
B' L2 F U R U
L2 U' R' U' F' B2
L2 U' R' U' B2 F'
L2 F U R U B2
L2 F' U' L' U' B2
F L R U B2 L R'
F L R U B2 R' L
U L R U F B2 R'
U L R U B2 R' F
U L R U B2 F R'
U' L R' U' F' B2 R'
U' L R' U' B2 F' R'
L R U B2 L R' F
L R U B2 L F R'
L R U B2 R' L F
U L R' U F B2 R'
U L R' U B2 R' F
U L R' U B2 F R'
R L U B2 L R' F
R L U B2 L F R'
R L U B2 R' L F
U L R2 U F B2 R'
U L R2 U B2 R' F
U L R2 U B2 F R'
L R U' B2 L R' F'
L R U' B2 R' L F'
L R U' B2 R' F' L
R L U' B2 L R' F'
R L U' B2 R' L F'
R L U' B2 R' F' L
F L U R U B2 R'
U L U R F B2 R'
U L U R B2 R' F
U L U R B2 F R'
U L U R' F B2 R'
U L U R' B2 R' F
U L U R' B2 F R'
U L U R2 F B2 R'
U L U R2 B2 R' F
U L U R2 B2 F R'
U L U F R B2 R'
U L U F R' B2 R'
U L U F R2 B2 R'
U L U F B2 R' D
U L U F B2 R' D'
U L U F B2 R' D2
U L U F B2 D R'
U L U F B2 D' R'
U L U F B2 D2 R'
U L U F' B2 R' F2
U2 L U B2 L' R' F'
U2 L U B2 R' L' F'
U L U B2 R F R2
U L U B2 R' D F
U L U B2 R' D' F
U L U B2 R' D2 F
U L U B2 R' F D
U L U B2 R' F D'
U L U B2 R' F D2
U L U B2 D R' F
U L U B2 D F R'
U L U B2 D' R' F
U L U B2 D' F R'
U L U B2 D2 R' F
U L U B2 D2 F R'
U L U B2 F R' D
U L U B2 F R' D'
U L U B2 F R' D2
U L U B2 F D R'
U L U B2 F D' R'
U L U B2 F D2 R'
U L U B2 F' R' F2
F' L U2 B2 R' D F2
F' L U2 B2 D R' F2
F' L U2 B2 D F2 R'
F L U2 B2 R' D' F2
U L B U F B R'
U L B U B R' F
U L B U B F R'
F' L B2 R' D F2 L'
U' L B2 R' D L2 F'
U' L B2 R' D F' L2
