F2 L' B R' D' B2
F2 L' B D' R' B2
F2 L' B' D' B2 R'
L B U F2 L' R'
L B U F2 R' L'
F2 B L' D' R' B
F2 B D' L' R' B
F2 B D' R' L' B
F2 B D' R' B L'
F2 B D' R' B L'
B F2 L' D' R' B
B F2 D' L' R' B
B F2 D' R' L' B
B F2 D' R' B L'
D L D' B' U F2 L'
B L F2 L' D' R' B
D L F2 R2 B' U L'
B L F2 D' L' R' B
B L F2 D' R' L' B
B L F2 D' R' B L'
D L F2 B' R2 U L'
F2 L B L2 R' D' B2
F2 L B L2 D' R' B2
F2 L B R' L2 D' B2
D L B R2 B2 U L
U' L B U F2 L' R'
U' L B U F2 R' L'
U2 L B U F2 L' R'
U2 L B U F2 R' L'
U L B U F2 L' R'
U L B U F2 R' L'
D L B' R2 U' R' U2
D L B' U D' F2 L'
D L B' D' U F2 L'
D L B' F2 R2 U L'
F2 L' R B R' D' B2
F2 L' R B D' R' B2
F2 L' R B' D' B2 R'
F2 L' R' B R' D' B2
F2 L' R' B D' R' B2
F2 L' R' B' D' B2 R'
F2 L' R2 B R' D' B2
F2 L' R2 B D' R' B2
F2 L' R2 B' D' B2 R'
F2 L' U' L2 B U R'
F2 L' U' B L2 U R'
F2 L' D' B D B R'
B L' F2 L' D' R' B
B L' F2 D' L' R' B
B L' F2 D' R' L' B
B L' F2 D' R' B L'
F2 L' B R' U' L2 U
F2 L' B R' D' B2 D
F2 L' B R' D' B2 D'
F2 L' B R' D' B2 D2
F2 L' B R' B D' B2
F2 L' B R' B' D' B2
F2 L' B R' B2 D' B2
F2 L' B R2 D' R B2
F2 L' B R2 D' B2 R
F2 L' B U' L2 U R'
F2 L' B D R' D2 B2
F2 L' B D' R B2 R2
F2 L' B D' R' B2 D
F2 L' B D' R' B2 D'
F2 L' B D' R' B2 D2
F2 L' B D' R2 B2 R
F2 L' B' R D' B2 R'
F2 L' B' R' D' B2 R'
F2 L' B' R2 D' B2 R'
F2 L' B' D' R B2 R'
F2 L' B' D' R' B2 R'
F2 L' B' D' R2 B2 R'
F2 L' B' D' B2 R' D
F2 L' B' D' B2 R' D'
F2 L' B' D' B2 R' D2
F2 L' B' D' B2 D R'
F2 L' B' D' B2 D' R'
F2 L' B' D' B2 D2 R'
F2 L' B2 D' B' R' B'
B' L2 U F2 L' R B
B' L2 U F2 R L' B
B' L2 U F2 R B L'
B' L2 U' F2 L' R B'
B' L2 U' F2 L' B' R
B' L2 U' F2 R L' B'
R U L B U R' F2
R U L B U F2 R'
B L2 F2 L' D' R' B
B L2 F2 D' L' R' B
B L2 F2 D' R' L' B
B L2 F2 D' R' B L'
R U D L R2 B' U
R U D L B' R2 U
R U D R2 L B' U
F2 R L' B R' D' B2
F2 R L' B D' R' B2
F2 R L' B' D' B2 R'
D R U L R B' U
D R U L B' R U
D R U R L B' U
L U F' D2 F' L' R
L U F' D2 F' R L'
L U F2 L' B R' B'
L U F2 B R' B' L'
L U B F2 R' B' L'
L U' R B U2 R' F2
L U' R B U2 F2 R'
L U' R B' L U2 F2
F2 R B L' D' R' B
F2 R B D' L' R' B
F2 R B D' R' L' B
F2 R B D' R' B L'
F2 R' L' B R' D' B2
F2 R' L' B D' R' B2
F2 R' L' B' D' B2 R'
L U' B R U2 R2 F2
L U' B R U2 F2 R2
L U' B U2 F2 L' R'
L U' B U2 F2 R' L'
L U' B' L R U2 F2
L U' B' L U2 F2 L'
L U' B' R L U2 F2
F2 R' B L' D' R' B
F2 R' B D' L' R' B
F2 R' B D' R' L' B
F2 R' B D' R' B L'
F2 R2 L' B R' D' B2
F2 R2 L' B D' R' B2
F2 R2 L' B' D' B2 R'
R U2 F2 B D' R' B
L U2 B U' F2 L' R'
L U2 B U' F2 R' L'
R U2 B F2 D' R' B
F2 R2 B L' D' R' B
F2 R2 B D' L' R' B
F2 R2 B D' R' L' B
F2 R2 B D' R' B L'
R D U L R2 B' U
R D U L B' R2 U
B' U L R U2 F2 B
B' U L R U2 B F2
R D U R2 L B' U
B' U L U2 F2 L' B'
B' U L2 F2 L' R B
B' U L2 F2 R L' B
B' U L2 F2 R B L'
B' U R L U2 F2 B
B' U R L U2 B F2
B U F2 L' D' R' B
B U F2 D' L' R' B
B U F2 D' R' L' B
B U F2 D' R' B L'
B' U' L R F U2 F
B' U' L F U2 F L'
F2 U' L B U L2 R'
F2 U' L B U R' L2
B' U' R L F U2 F
F2 U' D L B' U L2
B' U' F2 L' D2 R2 B'
B' U' F2 L' D2 B' R2
B' U' F2 L' B' D2 R2
B' U' F2 B' L' B' R'
B' U' F2 B2 L' R' B'
B' U' F2 B2 R' L' B'
B U' F2 L' D' R' B
B U' F2 D' L' R' B
B U' F2 D' R' L' B
B U' F2 D' R' B L'
B' U' B' F2 L' B' R'
B' U' B2 F2 L' R' B'
B' U' B2 F2 R' L' B'
B U2 F2 L' D' R' B
B U2 F2 D' L' R' B
B U2 F2 D' R' L' B
B U2 F2 D' R' B L'
F2 D L' U' L2 B' U
L F B U R' F L'
L F B U F L' R'
