F2 L B' U F
L F2 B' U F'
L B' F2 U F'
F2 L R B' U F
F2 L R' B' U F
F2 L R2 B' U F
F2 L D B' U F
F2 L D' B' U F
F2 L D2 B' U F
R' L F2 B' U F'
R2 L F2 B' U F'
L R F2 B' U F'
R L F2 B' U F'
F' L F' B' U F2
R' L B' F2 U F'
R2 L B' F2 U F'
L R B' F2 U F'
R L B' F2 U F'
U L F2 B' R' U
F2 L B' R U F
F2 L B' R' U F
F2 L B' R2 U F
F2 L B' U D F
F2 L B' U D' F
F2 L B' U D2 F
F2 L B' U F D
F2 L B' U F D'
F2 L B' U F D2
U L B' R' F2 U
F' L B' F' U F2
F2 L B' D U F
F2 L B' D' U F
F2 L B' D2 U F
U L B' F2 R' U
L R' F2 B' U F'
L R' B' F2 U F'
L R2 F2 B' U F'
L R2 B' F2 U F'
F2 R L B' U F
F2 R' L B' U F
F2 R2 L B' U F
L D' B' U F L2
R' F2 L B' U F
R2 F2 L B' U F
U F2 L B' R' U
R F2 L B' U F
L F2 D B' U F'
L F2 D' B' U F'
L F2 D2 B' U F'
L F2 B' U D F'
L F2 B' U D' F'
L F2 B' U D2 F'
L F2 B' U F' D
L F2 B' U F' D'
L F2 B' U F' D2
L F2 B' D U F'
L F2 B' D' U F'
L F2 B' D2 U F'
L B' R F2 U F'
L B' R' F2 U F'
L B' R2 F2 U F'
L B' U D' F L2
L B' D' U F L2
L B' F2 U D F'
L B' F2 U D' F'
L B' F2 U D2 F'
L B' F2 U F' D
L B' F2 U F' D'
L B' F2 U F' D2
L B' F2 D U F'
L B' F2 D' U F'
L B' F2 D2 U F'
F2 L R D B' U F
F2 L R D' B' U F
F2 L R D2 B' U F
F2 L R B' R U F
F2 L R B' R' U F
F2 L R B' R2 U F
F2 L R B' U D F
F2 L R B' U D' F
F2 L R B' U D2 F
F2 L R B' U F D
F2 L R B' U F D'
F2 L R B' U F D2
F2 L R B' D U F
F2 L R B' D' U F
F2 L R B' D2 U F
U L R F2 B' R' U
U L R B' R' F2 U
U L R B' F2 R' U
F2 L R' D B' U F
F2 L R' D' B' U F
F2 L R' D2 B' U F
U2 L R' F2 B' U F
U2 L R' B' F2 U F
F2 L R' B' R U F
F2 L R' B' R' U F
F2 L R' B' R2 U F
F2 L R' B' U D F
F2 L R' B' U D' F
F2 L R' B' U D2 F
F2 L R' B' U F D
F2 L R' B' U F D'
F2 L R' B' U F D2
F2 L R' B' D U F
F2 L R' B' D' U F
F2 L R' B' D2 U F
U L R' F2 B' R' U
U L R' B' R' F2 U
U L R' B' F2 R' U
F2 L R2 D B' U F
F2 L R2 D' B' U F
F2 L R2 D2 B' U F
F2 L R2 B' R U F
F2 L R2 B' R' U F
F2 L R2 B' R2 U F
F2 L R2 B' U D F
F2 L R2 B' U D' F
F2 L R2 B' U D2 F
F2 L R2 B' U F D
F2 L R2 B' U F D'
F2 L R2 B' U F D2
F2 L R2 B' D U F
F2 L R2 B' D' U F
F2 L R2 B' D2 U F
U L R2 F2 B' R' U
U L R2 B' R' F2 U
U L R2 B' F2 R' U
F2 L U F U' B' U
D L U F' R F2 L'
R' L D' B' U F L2
R2 L D' B' U F L2
L R D' B' U F L2
R L D' B' U F L2
F2 L D R B' U F
F2 L D R' B' U F
F2 L D R2 B' U F
F' L D F' B' U F2
F' L D B' F' U F2
F2 L D B' R U F
F2 L D B' R' U F
F2 L D B' R2 U F
F2 L D B' U D F
F2 L D B' U D' F
F2 L D B' U D2 F
F2 L D B' U F D
F2 L D B' U F D'
F2 L D B' U F D2
F2 L D B' D U F
F2 L D B' D' U F
F2 L D B' D2 U F
F L D B' U F L'
F2 L D' R B' U F
F2 L D' R' B' U F
F2 L D' R2 B' U F
F' L D' F' B' U F2
F' L D' B' F' U F2
F2 L D' B' R U F
F2 L D' B' R' U F
F2 L D' B' R2 U F
F2 L D' B' U D F
F2 L D' B' U D' F
F2 L D' B' U D2 F
F2 L D' B' U F D
F2 L D' B' U F D'
F2 L D' B' U F D2
F2 L D' B' D U F
F2 L D' B' D' U F
F2 L D' B' D2 U F
F L D' B' U F L
U L D' B' R' U L2
F2 L D2 R B' U F
F2 L D2 R' B' U F
F2 L D2 R2 B' U F
F' L D2 F' B' U F2
F' L D2 B' F' U F2
F2 L D2 B' R U F
F2 L D2 B' R' U F
F2 L D2 B' R2 U F
F2 L D2 B' U D F
F2 L D2 B' U D' F
F2 L D2 B' U D2 F
F2 L D2 B' U F D
F2 L D2 B' U F D'
F2 L D2 B' U F D2
F2 L D2 B' D U F
F2 L D2 B' D' U F
F2 L D2 B' D2 U F
R' L F2 D B' U F'
R' L F2 D' B' U F'
R' L F2 D2 B' U F'
R2 L F2 D B' U F'
L R F2 D B' U F'
R' L F2 B' U D F'
R' L F2 B' U D' F'
R' L F2 B' U D2 F'
R' L F2 B' U F' D
R' L F2 B' U F' D'
R' L F2 B' U F' D2
R' L F2 B' D U F'
R' L F2 B' D' U F'
R2 L F2 D' B' U F'
R' L F2 B' D2 U F'
L R F2 D' B' U F'
U' L F R F B' U
R L F2 D B' U F'
U' L F R B' F U
R2 L F2 D2 B' U F'
L R F2 D2 B' U F'
R L F2 D' B' U F'
R2 L F2 B' U D F'
R2 L F2 B' U D' F'
R2 L F2 B' U D2 F'
R2 L F2 B' U F' D
R2 L F2 B' U F' D'
R2 L F2 B' U F' D2
R L F2 D2 B' U F'
L R F2 B' U D F'
L R F2 B' U D' F'
L R F2 B' U D2 F'
R2 L F2 B' D U F'
L R F2 B' U F' D
L R F2 B' U F' D'
L R F2 B' U F' D2
R2 L F2 B' D' U F'
R2 L F2 B' D2 U F'
L R F2 B' D U F'
L R F2 B' D' U F'
L R F2 B' D2 U F'
R L F2 B' U D F'
R L F2 B' U D' F'
R L F2 B' U D2 F'
R L F2 B' U F' D
R L F2 B' U F' D'
R L F2 B' U F' D2
R L F2 B' D U F'
R L F2 B' D' U F'
R L F2 B' D2 U F'
U' L F B' R F U
U L F B' R' F U
F' L F' R B' U F2
F' L F' R' B' U F2
F' L F' R2 B' U F2
D L F' U R F2 L'
F' L F' D R2 B' U
R' L B' R F2 U F'
F' L F' D B' R2 U
R' L B' R' F2 U F'
R' L B' R2 F2 U F'
R2 L B' R F2 U F'
R' L B' U D' F L2
L R B' R F2 U F'
F' L F' B' R U F2
F' L F' B' R' U F2
R2 L B' R' F2 U F'
F' L F' B' R2 U F2
L R B' R' F2 U F'
R L B' R F2 U F'
F' L F' B' U F2 D
F' L F' B' U F2 D'
F' L F' B' U F2 D2
F' L F' B' D R2 U
R2 L B' R2 F2 U F'
L R B' R2 F2 U F'
R L B' R' F2 U F'
R2 L B' U D' F L2
L R B' U D' F L2
R L B' R2 F2 U F'
R' L B' D' U F L2
R L B' U D' F L2
L R B' D' U F L2
R2 L B' D' U F L2
R' L B' F2 U D F'
R' L B' F2 U D' F'
R' L B' F2 U D2 F'
R' L B' F2 U F' D
R' L B' F2 U F' D'
R' L B' F2 U F' D2
R' L B' F2 D U F'
R' L B' F2 D' U F'
R' L B' F2 D2 U F'
R L B' D' U F L2
U2 L F2 R' B' U F'
R2 L B' F2 U D F'
R2 L B' F2 U D' F'
R2 L B' F2 U D2 F'
R2 L B' F2 U F' D
R2 L B' F2 U F' D'
R2 L B' F2 U F' D2
L R B' F2 U D F'
L R B' F2 U D' F'
L R B' F2 U D2 F'
R2 L B' F2 D U F'
L R B' F2 U F' D
L R B' F2 U F' D'
L R B' F2 U F' D2
R2 L B' F2 D' U F'
R2 L B' F2 D2 U F'
L R B' F2 D U F'
L R B' F2 D' U F'
L R B' F2 D2 U F'
U L F2 R B' R' U
R L B' F2 U D F'
R L B' F2 U D' F'
R L B' F2 U D2 F'
R L B' F2 U F' D
R L B' F2 U F' D'
R L B' F2 U F' D2
R L B' F2 D U F'
R L B' F2 D' U F'
R L B' F2 D2 U F'
U L F2 R' B' R' U
U L F2 R2 B' R' U
U2 L F2 B' R' U F'
U L F2 D B' R' U
U L F2 D' B' R' U
B L F2 B' L U F'
U L F2 D2 B' R' U
U L F2 B' R' U D
U L F2 B' R' U D'
U L F2 B' R' U D2
U L F2 B' R' D U
U L F2 B' R' D' U
U L F2 B' R' D2 U
U L F2 B' D R' U
U L F2 B' D' R' U
U L F2 B' D2 R' U
F2 L B R B2 U F
F2 L B R' B2 U F
F2 L B R2 B2 U F
F2 L B U D' R2 F
F2 L B U D' F R2
F2 L B U F D' R2
F2 L B D' U R2 F
