L2 R U' D' R2 F
L2 R U' D' F R2
L2 R U' F D' R2
L2 R U2 B2 U F
L2 R D' U' R2 F
L2 R D' U' F R2
L2 R D2 F2 U' F'
R L2 U' D' R2 F
R L2 U' D' F R2
R L2 U' F D' R2
R L2 U2 B2 U F
R L2 D' U' R2 F
R L2 D' U' F R2
D' L2 R U' R F
D2 L2 R F2 U' F'
R L2 D2 F2 U' F'
R U D L2 U2 F
R U D B' L2 U2
R U D' B' U2 R2
D' R L2 U' R F
D2 R L2 F2 U' F'
D R U L2 U2 F
D' R U B' U2 R
D R U B' L2 U2
R U B' U B' U
D2 R F2 L2 U' F
D2 R F2 U B' U2
R U2 B2 R2 U F'
R U2 B2 U' B U2
R D U L2 U2 F
R D U B' L2 U2
R D' L2 U' R2 F
R D' L2 U' F R2
L2 D' R U' R F
R D' U B' U2 R2
L' D2 R F2 U' F
L2 D2 R F2 U' F'
R D2 L2 F2 U' F'
R D2 F2 L2 U' F
R D2 F2 U B' U2
L2 R U D L2 B' U2
D2 L R F2 L U' F
L2 R U' R D' R2 F
L2 R U' R D' F R2
L2 R U' R F D' R2
L2 R U' R' D' R2 F
L2 R U' R' D' F R2
L2 R U' R' F D' R2
L2 R U' R2 D' R2 F
L2 R U' R2 D' F R2
L2 R U' R2 F D' R2
L2 R U' D F D2 R2
L2 R U' D' R' F R'
L2 R U' D' R2 D F
L2 R U' D' R2 D' F
L2 R U' D' R2 D2 F
L2 R U' D' R2 F D
L2 R U' D' R2 F D'
L2 R U' D' R2 F D2
L2 R U' D' F R2 D
L2 R U' D' F R2 D'
L2 R U' D' F R2 D2
L2 R U' D' F' R2 F2
L2 R U' F R D' R2
L2 R U' F R' D' R2
L2 R U' F R2 D' R2
L2 R U' F U' B2 U
L2 R U' F D' R2 D
L2 R U' F D' R2 D'
L2 R U' F D' R2 D2
L2 R U' F2 D' F' R2
L2 R U2 R B2 U F
L2 R U2 R' B2 U F
L R U2 R' B2 U F'
U2 L R2 B2 L U F
L2 R U2 R2 B2 U F
R L U2 R' B2 U F'
L2 R U2 B2 R U F
L2 R U2 B2 R' U F
L2 R U2 B2 R2 U F
L2 R U2 B2 U D F
L2 R U2 B2 U D' F
L2 R U2 B2 U D2 F
L2 R U2 B2 U F D
L2 R U2 B2 U F D'
L2 R U2 B2 U F D2
L R U2 B2 R' U F'
L2 R U2 B2 D U F
L2 R U2 B2 D' U F
L2 R U2 B2 D2 U F
R L U2 B2 R' U F'
L2 R D U L2 B' U2
L2 R D U' F D2 R2
L R D' L U' R2 F
L R D' L U' F R2
R L D' L U' R2 F
R L D' L U' F R2
L2 R D' U' R' F R'
L2 R D' U' R2 D F
L2 R D' U' R2 D' F
L2 R D' U' R2 D2 F
L2 R D' U' R2 F D
L2 R D' U' R2 F D'
L2 R D' U' R2 F D2
L2 R D' U' F R2 D
L2 R D' U' F R2 D'
L2 R D' U' F R2 D2
L2 R D' U' F' R2 F2
L2 R D' F' U' R2 F2
L2 R D' F' U' F2 R2
L2 R D' F2 U' F' R2
L R D2 L F2 U' F'
R L D2 L F2 U' F'
L R D2 F2 L U' F
L2 R D2 F2 L U' F'
L2 R D2 F2 L' U' F'
L2 R D2 F2 L2 U' F'
L2 R D2 F2 U' D F'
L2 R D2 F2 U' D' F'
L2 R D2 F2 U' D2 F'
L2 R D2 F2 U' F' D
L2 R D2 F2 U' F' D'
L2 R D2 F2 U' F' D2
L2 R D2 F2 D U' F'
L2 R D2 F2 D' U' F'
L2 R D2 F2 D2 U' F'
R L D2 F2 L U' F
L2 R F D2 F2 U' F2
L2 R F' U' F2 D' R2
L2 R F' U2 B2 U F2
L2 R F' D' L2 U' R2
L2 R F2 U' D' F' R2
L2 R F2 U' F' D' R2
L2 R F2 U2 B2 U F'
L2 R F2 D' U' F' R2
L2 R F2 D2 F2 U' F
D' L' R U' D2 R F'
D L' R U L' U2 F
D' L' R D2 U' R F'
D2 L' R F2 L' U' F
R L2 U D L2 B' U2
D2 L' F2 U2 L' U F
R L2 U' R D' R2 F
R L2 U' R D' F R2
R L2 U' R F D' R2
R L2 U' R' D' R2 F
R L2 U' R' D' F R2
R L2 U' R' F D' R2
R L2 U' R2 D' R2 F
R L2 U' R2 D' F R2
R L2 U' R2 F D' R2
R L2 U' D F D2 R2
R L2 U' D' R' F R'
R L2 U' D' R2 D F
R L2 U' D' R2 D' F
R L2 U' D' R2 D2 F
R L2 U' D' R2 F D
R L2 U' D' R2 F D'
R L2 U' D' R2 F D2
R L2 U' D' F R2 D
R L2 U' D' F R2 D'
R L2 U' D' F R2 D2
R L2 U' D' F' R2 F2
R L2 U' F R D' R2
R L2 U' F R' D' R2
R L2 U' F R2 D' R2
R L2 U' F U' B2 U
R L2 U' F D' R2 D
R L2 U' F D' R2 D'
R L2 U' F D' R2 D2
R L2 U' F2 D' F' R2
R L2 U2 R B2 U F
R L2 U2 R' B2 U F
R L2 U2 R2 B2 U F
R L2 U2 B2 R U F
R L2 U2 B2 R' U F
R L2 U2 B2 R2 U F
R L2 U2 B2 U D F
R L2 U2 B2 U D' F
R L2 U2 B2 U D2 F
R L2 U2 B2 U F D
R L2 U2 B2 U F D'
R L2 U2 B2 U F D2
R L2 U2 B2 D U F
R L2 U2 B2 D' U F
R L2 U2 B2 D2 U F
R L2 D U L2 B' U2
R L2 D U' F D2 R2
L2 R2 D' R' U' R' F
L2 R2 D' R' U' F R'
R2 L2 D' R' U' R' F
R2 L2 D' R' U' F R'
R L2 D' U' R' F R'
R L2 D' U' R2 D F
R L2 D' U' R2 D' F
R L2 D' U' R2 D2 F
R L2 D' U' R2 F D
R L2 D' U' R2 F D'
R L2 D' U' R2 F D2
R L2 D' U' F R2 D
R L2 D' U' F R2 D'
R L2 D' U' F R2 D2
R L2 D' U' F' R2 F2
D' L2 R U' R D F
D' L2 R U' R D' F
D' L2 R U' R D2 F
D' L2 R U' R F D
D' L2 R U' R F D'
D' L2 R U' R F D2
D' L2 R U' R' F R2
D2 L2 R U' D R2 F
D2 L2 R U' D F R2
D' L2 R U' R2 F R'
D' L2 R U' D R F
D' L2 R U' D' R F
D' L2 R U' D2 R F
R L2 D' F' U' R2 F2
R L2 D' F' U' F2 R2
D2 L2 R D U' R2 F
D2 L2 R D U' F R2
D' L2 R D U' R F
R L2 D' F2 U' F' R2
D' L2 R D' U' R F
D' L2 R D2 U' R F
D2 L2 R F2 L U' F'
D2 L2 R F2 L' U' F'
D2 L2 R F2 L2 U' F'
L2 R2 D2 R' F2 U' F'
D2 L2 R F2 U' D F'
D2 L2 R F2 U' D' F'
D2 L2 R F2 U' D2 F'
D2 L2 R F2 U' F' D
D2 L2 R F2 U' F' D'
D2 L2 R F2 U' F' D2
D2 L2 R F2 D U' F'
D2 L2 R F2 D' U' F'
D2 L2 R F2 D2 U' F'
R2 L2 D2 R' F2 U' F'
R L2 D2 F2 L U' F'
R L2 D2 F2 L' U' F'
R L2 D2 F2 L2 U' F'
R L2 D2 F2 U' D F'
R L2 D2 F2 U' D' F'
R L2 D2 F2 U' D2 F'
R L2 D2 F2 U' F' D
R L2 D2 F2 U' F' D'
R L2 D2 F2 U' F' D2
R L2 D2 F2 D U' F'
R L2 D2 F2 D' U' F'
R L2 D2 F2 D2 U' F'
R L2 F D2 F2 U' F2
R L2 F' U' F2 D' R2
R L2 F' U2 B2 U F2
R L2 F' D' L2 U' R2
R L2 F2 U' D' F' R2
R L2 F2 U' F' D' R2
R L2 F2 U2 B2 U F'
R L2 F2 D' U' F' R2
B' L2 U' B R F U'
R L2 F2 D2 F2 U' F
D2 L2 D R U' R F
D' L2 D' R F2 U' F'
R U L2 U B2 U F
R U L2 U2 D' R2 F
R U L2 U2 D' F R2
R U L2 U2 F D' R2
R U L2 D L2 B' U2
R U L2 D' U2 R2 F
R U L2 D' U2 F R2
D2 L2 F2 U2 L' U F'
R' U D L2 U2 F B2
R' U D L2 U2 B2 F
R' U D B' L2 F U2
R U D L2 U2 D F
R U D L2 U2 D' F
R U D L2 U2 D2 F
R U D L2 U2 F D
R U D L2 U2 F D'
R U D L2 U2 F D2
R U D L2 D U2 F
R U D L2 D' U2 F
R U D L2 D2 U2 F
R U D L2 B U2 F
R U D L2 B' U2 F
R U D L2 B2 U2 F
U2 L2 B2 U2 R U' F
R' U D' F2 B' U2 R2
R U D B L2 B2 U2
R U D B' L2 U2 D
R U D B' L2 U2 D'
R U D B' L2 U2 D2
R U D B' L2 D U2
R U D B' L2 D' U2
R U D B' L2 D2 U2
R U D B' U2 D2 R2
R U D B' D2 U2 R2
R' U D' B' F2 U2 R2
R U D B2 L2 B U2
R U D' L2 U2 R2 F
R U D' L2 U2 F R2
D2 R L F2 L U' F
R U D' B' L U2 R2
R U D' B' L' U2 R2
R U D' B' L2 U2 R2
R U D' B' U2 R2 D
R U D' B' U2 R2 D'
R U D' B' U2 R2 D2
R U D' B' D2 L2 U2
R U D' B2 U2 R2 F'
D' R L' U' D2 R F'
D' R L' D2 U' R F'
D R L' U L' U2 F
D2 R L' F2 L' U' F
R U D2 B' U' F2 U'
R U D2 B' U2 D R2
R U D2 B' D U2 R2
R U D2 B' D' L2 U2
D2 R L2 U' D R2 F
D2 R L2 U' D F R2
D' R L2 U' R D F
D' R L2 U' R D' F
D' R L2 U' R D2 F
D' R L2 U' R F D
D' R L2 U' R F D'
D' R L2 U' R F D2
D' R L2 U' R' F R2
D' R L2 U' R2 F R'
D' R L2 U' D R F
D' R L2 U' D' R F
D' R L2 U' D2 R F
D2 R L2 D U' R2 F
D2 R L2 D U' F R2
D' R L2 D U' R F
D' R L2 D' U' R F
D' R L2 D2 U' R F
D2 R L2 F2 L U' F'
D2 R L2 F2 L' U' F'
D2 R L2 F2 L2 U' F'
D2 R L2 F2 U' D F'
D2 R L2 F2 U' D' F'
D2 R L2 F2 U' D2 F'
D2 R L2 F2 U' F' D
D2 R L2 F2 U' F' D'
D2 R L2 F2 U' F' D2
D2 R L2 F2 D U' F'
D2 R L2 F2 D' U' F'
D2 R L2 F2 D2 U' F'
D' R U L2 U2 R F
D2 R U D B' U2 R2
D2 R U D' L2 U2 F
D2 R U D' B' L2 U2
D' R U D B' U2 R
D' R U D' B' U2 R
D' R U D2 B' U2 R
D R U L2 U2 D F
D R U L2 U2 D' F
D R U L2 U2 D2 F
D R U L2 U2 F D
D R U L2 U2 F D'
D R U L2 U2 F D2
D R U L2 D U2 F
D R U L2 D' U2 F
D R U L2 D2 U2 F
D R U L2 B U2 F
D R U L2 B' U2 F
D R U L2 B2 U2 F
D2 R U B' U' F2 U'
D2 R U B' U2 D R2
D2 R U B' D U2 R2
D2 R U B' D' L2 U2
D' R U B' L U2 R
D' R U B' L' U2 R
D' R U B' L2 U2 R
D' R U B' U2 R D
D' R U B' U2 R D'
