B' R2 F L B U' B2
D' R2 F B R' U' F'
B2 R2 F B L U' B'
D' R2 B R' F U' F2
D' R2 B F R' U' F'
B2 R2 B F L U' B'
D F U2 L' F2 U F'
R2 F B' L B2 U' B
D2 F' R U D R2 B
D2 F' R D U R2 B
B' F L U' D' B' L2
B' F L U' B' D' L2
B' F L U2 F2 U B'
B' F L D' U' B' L2
B' F L D2 B2 U' B
F' B D2 R' B2 U B'
F B' L U' D' B' L2
F B' L U' B' D' L2
F B' L U2 F2 U B'
F B' L D' U' B' L2
F B' L D2 B2 U' B
B' F' U2 L F2 U' B'
F' B' U2 L F2 U' B'
R2 B' F L B2 U' B
B' F' U2 F2 L U' B'
F' B' U2 F2 L U' B'
B' F' D2 B2 R' U B
F' B' D2 B2 R' U B
B F' D2 R' B2 U B'
