F L B U' L B'
F L R B U' L B'
F L R' B U' L B'
F L R2 B U' L B'
F L D' B R' U' L
F L B R U' L B'
F L B R' U' L B'
F L B R2 U' L B'
F L B U' L D B'
F L B U' L D' B'
F L B U' L D2 B'
F L B U' L B' D
F L B U' L B' D'
F L B U' L B' D2
F L B' U' B2 L B'
F L B2 U' L B' L
F L B2 U' B' L B'
F' L' D R2 F2 B L
F' L' D R2 B L F2
F' L' D R2 B F2 L
F2 L2 U' L' F' B' U'
F2 L2 U' L' B' F' U'
F L2 B L' U' L2 B2
F L2 B L' U' B2 L2
F R L B U' L B'
F R' L B U' L B'
F R2 L B U' L B'
D R2 F L B U' L
F2 U' L F' U' D' L2
F2 U' L F' U2 F2 U
F2 U' L F' D' U' L2
F2 U' L F' D2 B2 U'
F2 U' L' F' B' L2 U'
F2 U' L' B' L2 F' U'
F2 U' L' B' F' L2 U'
F2 U' F' L U2 F U
F2 U' F' L' B' L2 U'
R' F L B U' L B'
D2 F L B U' L B
D F L R2 B U' L
R2 F L B U' L B'
U F L U' B L B'
D F L B R2 U' L
R F L B U' L B'
D F R2 L B U' L
F D L B U' L B'
U2 F' L F2 U' L2 B'
U2 F' L' D R2 F2 B
U2 F' L' D R2 B F2
F D' L B U' L B'
U' F2 U' L F' U' L'
U' F2 U' F' L U' L2
F D2 L B U' L B'
B' D2 F U' B2 L F
B D2 F L' U' L2 B2
B D2 F L' U' B2 L2
B' F U R' F U2 F2
B' F U F R' U2 F'
F B' U R' F U2 F2
F B' U F R' U2 F'
D' B2 L2 R' B' U L
D' B2 R' L2 B' U L
