B2 D' F2 R F'
F2 B2 D' R F'
B2 F2 D' R F'
L2 U B2 L2 R' F'
L2 U B2 R' L2 F'
L2 U B2 R' F' L2
L2 U B2 R' F' L2
B' R D' F2 R B'
B' R D' F2 B' R
B' R D' B' F2 R
B2 R D' F2 R F'
B2 R F2 D' R F'
B' R B' D' F2 R
B2 R' D' F2 R F'
B2 R' F2 D' R F'
B2 R2 D' F2 R F'
B2 R2 F2 D' R F'
B2 U2 D L' U2 F
B2 D U2 L' U2 F
B2 D F2 D2 R F'
B2 D' R F2 R F
B2 D' F' R F' R
B2 D' F2 R D F'
B2 D' F2 R D' F'
B2 D' F2 R D2 F'
B2 D' F2 R F' D
B2 D' F2 R F' D'
B2 D' F2 R F' D2
R' F2 B2 D' R F'
R2 F2 B2 D' R F'
R F2 B2 D' R F'
B2 F D' F R F'
F2 B' R D' F2 B'
F2 B' R D' B' F2
F2 B' R B' D' F2
B' F2 R D' F2 B'
B' F2 R D' B' F2
B' F2 R B' D' F2
R' B2 D' F2 R F'
R2 B2 D' F2 R F'
B2 F2 D' R D F'
B2 F2 D' R D' F'
B2 F2 D' R D2 F'
F2 B2 D' R D F'
F2 B2 D' R D' F'
B2 F2 D' R F' D
B2 F2 D' R F' D'
B2 F2 D' R F' D2
F2 B2 D' R D2 F'
F2 B2 D' R F' D
F2 B2 D' R F' D'
F2 B2 D' R F' D2
R' B2 F2 D' R F'
R B2 D' F2 R F'
R2 B2 F2 D' R F'
F B2 D' F R F'
R B2 F2 D' R F'
F2 L R B2 D L' F
L2 R U B2 L2 R' F'
L2 R U B2 R' L2 F'
L2 R U B2 R' F' L2
B L U L2 U2 L B
U' L U F B2 D2 R2
U' L U B2 D2 R2 F
U' L U B2 D2 F R2
U' L U B2 F D2 R2
U' L U' L2 B' U2 B'
B L U' D2 L' B R2
B L U' D2 B L' R2
B L U' D2 B R2 L'
B L U' B D2 L' R2
B L U' B D2 R2 L'
B2 L D L' D R2 F
B2 L D L' D F R2
B2 L D2 R2 D' L' F
B L D2 U' L' B R2
B L D2 U' B L' R2
B L D2 U' B R2 L'
L2 R' U B2 L2 R' F'
L2 R' U B2 R' L2 F'
L2 R' U B2 R' F' L2
F2 L B2 L' D' R F'
F2 L B2 R D L' F
F2 L B2 D L' R F
F2 L B2 D R L' F
F2 L B2 D' L' R F'
F2 L B2 D' R L' F'
F L B2 D L' F R
U2 L' U L U F B2
U2 L' U L U B2 F
B' L' U R' U L B'
U' L' U B2 D' R2 F'
F2 L' U' L R F B2
F2 L' U' L R B2 F
F2 L' U' L B2 R F
F2 L' U' R L F B2
F2 L' U' R L B2 F
U2 L' U' R' U' F' B2
U2 L' U' R' U' B2 F'
B L' U' L2 U' L' B
B L' U' L2 U' B L'
B L' U2 D L F2 B
B L' U2 D L B F2
B L' U2 D F2 L B
B L' D L F2 B R
B L' D L B F2 R
B L' D U2 L F2 B
B L' D U2 L B F2
B L' D U2 F2 L B
B2 L' D' L F2 R F'
B L' D' B2 R' U2 B'
U2 L' F U R U B2
U2 L' F' U' L' U' B2
R' L2 U B2 L2 R' F'
R' L2 U B2 R' L2 F'
R' L2 U B2 R' F' L2
L2 R2 U B2 L2 R' F'
L2 R2 U B2 R' L2 F'
L2 R2 U B2 R' F' L2
R2 L2 U B2 L2 R' F'
R2 L2 U B2 R' L2 F'
R2 L2 U B2 R' F' L2
R L2 U B2 L2 R' F'
R L2 U B2 R' L2 F'
R L2 U B2 R' F' L2
U L2 R' U' F' B2 R'
U L2 R' U' B2 F' R'
F2 L2 U R B2 L2 F
U' L2 U' L B' U2 B'
D L2 U' L U2 F L
L2 U L U2 L F B2
L2 U L U2 L B2 F
L U L B2 L2 R' F'
L U L B2 R' L2 F'
L U L B2 R' F' L2
L U L2 U2 L F B2
L U L2 U2 L B2 F
L' U R' U L F' B2
L' U R' U L B2 F'
L' U R' U F' L B2
L2 U R B2 L2 R' F
L2 U R B2 L2 F R'
L2 U R B2 R' L2 F
L2 U R' F' B2 L2 R'
L2 U R' F' B2 R' L2
L2 U R' B2 L2 F' R'
L2 U R' B2 F' L2 R'
L2 U R' B2 F' R' L2
F2 L2 B2 L2 D' R F'
U L2 B2 R' D L2 F'
U L2 B2 R' D F' L2
U L2 B2 R' F' D L2
U L2 B2 D L2 R' F'
U L2 B2 D R' L2 F'
U L2 B2 D R' F' L2
F2 R L B2 D L' F
L2 U F B2 L2 R' F'
L2 U F B2 R' L2 F'
L2 U F B2 R' F' L2
F2 R U R' U' F' B2
F2 R U R' U' B2 F'
L2 U F' B2 L2 R' F'
L2 U F' B2 R' L2 F'
L2 U F' B2 R' F' L2
U R U L' B U2 B
F2 R U' L U F B2
F2 R U' L U B2 F
U R U B L' U2 B
L2 U F2 B2 L2 R' F'
L2 U F2 B2 R' L2 F'
L2 U F2 B2 R' F' L2
L2 U B L2 B R' F'
B2 R U2 D L' U2 F
B2 R D U2 L' U2 F
L2 U B2 L R' F' L
B2 R D F2 D2 R F'
L2 U B2 L2 R' D F'
L2 U B2 L2 R' D' F'
L2 U B2 L2 R' D2 F'
L2 U B2 L2 R' F' D
L2 U B2 L2 R' F' D'
L2 U B2 L2 R' F' D2
L2 U B2 L2 D R' F'
L2 U B2 L2 D' R' F'
L2 U B2 L2 D2 R' F'
L2 U B2 L2 F R' F'
L2 U B2 L2 F' R' F'
L2 U B2 L2 F2 R' F'
L2 U B2 R' L F' L
L2 U B2 R' L2 D F'
L2 U B2 R' L2 D' F'
L2 U B2 R' L2 D2 F'
L2 U B2 R' L2 F' D
L2 U B2 R' L2 F' D'
L2 U B2 R' L2 F' D2
L2 U B2 R' F L2 F2
L2 U B2 R' F' L2 D
L2 U B2 R' F' L2 D'
L2 U B2 R' F' L2 D2
B' R D' R F2 R B'
B' R D' R F2 B' R
B' R D' R B' F2 R
B' R D' R' F2 R B'
B' R D' R' F2 B' R
B' R D' R' B' F2 R
B' R D' R2 F2 R B'
B' R D' R2 F2 B' R
B' R D' R2 B' F2 R
B2 R D' R F2 R F
L2 U B2 F L2 R' F'
L2 U B2 F R' L2 F'
L2 U B2 F R' F' L2
B' R D' F2 R D B'
B' R D' F2 R D' B'
B' R D' F2 R D2 B'
B' R D' F2 R B' D
B' R D' F2 R B' D'
B' R D' F2 R B' D2
B' R D' F2 R' B' R2
L2 U B2 F' L2 R' F'
L2 U B2 F' R' L2 F'
L2 U B2 F' R' F' L2
B' R D' F2 D R B'
B' R D' F2 D B' R
B' R D' F2 D' R B'
B' R D' F2 D' B' R
B' R D' F2 D2 R B'
B' R D' F2 D2 B' R
B' R D' F2 B R B2
B' R D' F2 B' R D
B' R D' F2 B' R D'
B' R D' F2 B' R D2
B' R D' F2 B' D R
B' R D' F2 B' D' R
B' R D' F2 B' D2 R
L2 U B2 F2 L2 R' F'
L2 U B2 F2 R' L2 F'
L2 U B2 F2 R' F' L2
B2 R D' F' R F' R
B' R D' B F2 R B2
B' R D' B' R F2 R
B' R D' B' R' F2 R
B' R D' B' R2 F2 R
B2 R D' F2 R D F'
B2 R D' F2 R D' F'
B' R D' B' F2 R D
B' R D' B' F2 R D'
B' R D' B' F2 R D2
B2 R D' F2 R D2 F'
B2 R D' F2 R F' D
B2 R D' F2 R F' D'
B2 R D' F2 R F' D2
B' R D' B' F2 D R
B' R D' B' F2 D' R
B' R D' B' F2 D2 R
L2 U' L U2 F L B2
L' U' L' U' L2 F B2
L' U' L' U' L2 B2 F
L U' L F B2 L2 R'
L U' L F B2 R' L2
B' R D2 B' D F2 R
L U' L B2 R' F L2
L U' L B2 F L2 R'
L U' L B2 F R' L2
L' U' L2 U' L' F B2
L' U' L2 U' L' B2 F
L' U' L2 U' B2 L' F
B2 R F D' F R F'
F R F B2 D' R F'
F' R F' B2 D' R F'
B' R F2 D' R F2 B'
B' R F2 D' R B' F2
B' R F2 D' B' R F2
B2 R F2 D' R D F'
B2 R F2 D' R D' F'
B2 R F2 D' R D2 F'
B2 R F2 D' R F' D
B2 R F2 D' R F' D'
B2 R F2 D' R F' D2
B' R F2 B' D' R F2
F2 R B U L U' B
B' R B' D' R F2 R
B' R B' D' R' F2 R
B' R B' D' R2 F2 R
B' R B' D' F2 R D
B' R B' D' F2 R D'
B' R B' D' F2 R D2
B' R B' D' F2 D R
B' R B' D' F2 D' R
B' R B' D' F2 D2 R
F2 R B' U' R' U B'
B' R B' F2 D' R F2
F2 R B2 L D L' F
F2 R B2 R' D' R F'
B' R B2 D' F2 B R
B' R B2 D' B F2 R
F2 R B2 D L' F L
F2 R B2 D L' F L
F' R B2 F' D' R F'
F2 R B2 D' R F' R'
F R B2 D' F R F'
F R B2 F D' R F'
U R' L2 U' F' B2 R'
U R' L2 U' B2 F' R'
U R' U L' U2 F' B2
U R' U L' U2 B2 F'
B2 R' U2 D L' U2 F
U R' U' F2 R F B2
U R' U' F2 R B2 F
U R' U' F2 B2 R F
U R' U' B2 F2 R F
B2 R' D U2 L' U2 F
L2 U' B2 L R' F L
L2 U' B2 L F L R'
L2 U' B2 L F R' L
B2 R' D F2 D2 R F'
L2 U' B2 R' L F L
B2 R' D' R F2 R F
B2 R' D' F' R F' R
B2 R' D' F2 R D F'
B2 R' D' F2 R D' F'
B2 R' D' F2 R D2 F'
B2 R' D' F2 R F' D
B2 R' D' F2 R F' D'
B2 R' D' F2 R F' D2
B2 R' F D' F R F'
F R' F B2 D' R F'
F' R' F' B2 D' R F'
B2 R' F2 D' R D F'
B2 R' F2 D' R D' F'
B2 R' F2 D' R D2 F'
B2 R' F2 D' R F' D
B2 R' F2 D' R F' D'
B2 R' F2 D' R F' D2
U R' F2 U' R F B2
U R' F2 U' R B2 F
U R' F2 U' B2 R F
B' R' B' R2 D' F2 R
F2 R' B2 R D' R F'
F' R' B2 F' D' R F'
F R' B2 D' F R F'
F R' B2 F D' R F'
L' U2 F' L B2 D F2
B2 R2 U2 D L' U2 F
U R2 U' F2 R F' B2
U R2 U' F2 R B2 F'
U R2 U' F2 B2 R F'
U R2 U' B2 F2 R F'
B2 R2 D U2 L' U2 F
B2 R2 D F2 D2 R F'
B2 R2 D' R F2 R F
B2 R2 D' F' R F' R
B2 R2 D' F2 R D F'
B2 R2 D' F2 R D' F'
B2 R2 D' F2 R D2 F'
B2 R2 D' F2 R F' D
B2 R2 D' F2 R F' D'
B2 R2 D' F2 R F' D2
B2 R2 F D' F R F'
F' R2 F' B2 D' R F'
F R2 F B2 D' R F'
B2 R2 F2 D' R D F'
B2 R2 F2 D' R D' F'
B2 R2 F2 D' R D2 F'
B2 R2 F2 D' R F' D
B2 R2 F2 D' R F' D'
B2 R2 F2 D' R F' D2
U R2 F2 U' R F' B2
U R2 F2 U' R B2 F'
U R2 F2 U' B2 R F'
B' R2 B' R' D' F2 R
F' R2 B2 F' D' R F'
F R2 B2 D' F R F'
F R2 B2 F D' R F'
B U L U L2 U2 B
B U L U' D2 B R2
B U L U' B D2 R2
B U L D F2 U' B
B U L D2 U' B R2
U' D L2 U' L B' U2
F2 U R B2 D L2 F
F' U R' U' F' R B2
F' U R' U' F' B2 R
F' U R' U' B2 F' R
F2 U R' U' F' R2 B2
F2 U R' U' F' B2 R2
F2 U R' U' B2 F' R2
D' U R2 U' F2 R F'
D' U R2 F2 U' R F'
B2 U D' F2 U' R F'
B2 U F2 U' D' R F'
B U F2 L U' B R
B2 U F2 D' U' R F'
F2 U' L U R F B2
F2 U' L U R B2 F
F2 U' L U B2 R F
D U' L2 U' L B' U2
F U' L U F R B2
F U' L U F B2 R
F U' L U B2 F R
U D' R2 U' F2 R F'
U D' R2 F2 U' R F'
B2 U' B R' U' L' U2
B2 U' B2 U' L' B' U2
B2 U2 L' B U R' U
B2 U2 L' B' U' L U'
B U2 L' U' L2 U' B
B U2 L' U2 D F2 B
B U2 L' U2 D B F2
B U2 L' U2 B D F2
B U2 L' D U2 F2 B
B U2 L' D U2 B F2
B2 U2 L2 D L B' U2
B U2 L' D' B2 U2 B'
D2 U2 F2 U2 D R F'
D2 U2 F2 D U2 R F'
U2 D2 F2 U2 D R F'
U2 D2 F2 D U2 R F'
B2 U2 D L B' L2 U2
B2 U2 D L' U2 D F
B2 U2 D L' U2 D' F
B2 U2 D L' U2 D2 F
B2 U2 D L' U2 F D
B2 U2 D L' U2 F D'
B2 U2 D L' U2 F D2
B2 U2 D L' D U2 F
B2 U2 D L' D' U2 F
B2 U2 D L' D2 U2 F
B2 U2 D L' B U2 F
B2 U2 D L' B' U2 F
B2 U2 D L' B2 U2 F
B2 U2 D B L' U2 F
B2 U2 D B' L' U2 F
B2 U2 D B2 L' U2 F
B2 U2 B L' U R' U
B2 U2 B' L' U' L2 U'
B2 U2 B' L' U2 D F2
B2 U2 B' L' D U2 F2
B2 U2 B' L' D' B2 U2
L2 F U B2 L2 R' F'
L2 F U B2 R' L2 F'
L2 F U B2 R' F' L2
B2 D L' F' L F2 R
B' D R D' F2 R B'
B' D R D' F2 B' R
B' D R D' B' F2 R
B2 D R U2 L' U2 F
B' D R B' D' F2 R
B2 D R D2 F2 R F'
B2 D R F2 D2 R F'
B2 D R' U2 L' U2 F
B2 D R' D2 F2 R F'
B2 D R' F2 D2 R F'
B2 D R2 U2 L' U2 F
B2 D R2 D2 F2 R F'
B2 D R2 F2 D2 R F'
R' F B2 D' F R F'
R2 F B2 D' F R F'
B2 D U2 L B' L2 U2
B2 D U2 L' U2 D F
B2 D U2 L' U2 D' F
B2 D U2 L' U2 D2 F
B2 D U2 L' U2 F D
B2 D U2 L' U2 F D'
B2 D U2 L' U2 F D2
B2 D U2 L' D U2 F
B2 D U2 L' D' U2 F
B2 D U2 L' D2 U2 F
B2 D U2 L' B U2 F
B2 D U2 L' B' U2 F
B2 D U2 L' B2 U2 F
B2 D U2 B L' U2 F
B2 D U2 B' L' U2 F
B2 D U2 B2 L' U2 F
B2 D F L' F L R
B2 D F L' F R L
R F B2 D' F R F'
B2 D F D2 F R F'
B' D F2 R D' F2 B'
B' D F2 R D' B' F2
B' D F2 R B' D' F2
B2 D F2 L' R F L
B2 D F2 R L' F L
B' D F2 B' D' R F'
B2 D F2 D2 R D F'
B2 D F2 D2 R D' F'
B2 D F2 D2 R D2 F'
B2 D F2 D2 R F' D
B2 D F2 D2 R F' D'
B2 D F2 D2 R F' D2
B D F2 B D' R F'
U F' R' U' F' R B2
U F' R' U' F' B2 R
U F' R' U' B2 F' R
B' D B' D' F2 R F'
F2 D B' R D' F2 B2
F2 D B' R D' B2 F2
B' D B' F2 D' R F'
B D B D' F2 R F'
B D B F2 D' R F'
L2 F' U B2 L2 R' F'
L2 F' U B2 R' L2 F'
L2 F' U B2 R' F' L2
F2 D B2 D' R F' B2
F2 D B2 D' R B2 F'
F2 D B2 D' B2 R F'
B2 D' L D2 L' R2 F
B2 D' L D2 L' F R2
B2 D' L D2 R2 L' F
B' D' R D' F2 R B'
B' D' R D' F2 B' R
B' D' R D' B' F2 R
B2 D' R U2 L' U2 F'
B2 D' R D F2 R F
B' D' R B' D' F2 R
B2 D' R D' F2 R F
B2 D' R D2 F2 R F
B2 D' R F2 R D F
B2 D' R F2 R D' F
B2 D' R F2 R D2 F
B2 D' R F2 R F D
B2 D' R F2 R F D'
B2 D' R F2 R F D2
B2 D' R F2 R' F R2
B2 D' R F2 R2 F R'
B2 D' R F2 D R F
B2 D' R F2 D' R F
B2 D' R F2 D2 R F
B2 D' R' U2 L' B U2
B2 D' R' U2 B L' U2
B2 D' R' F' R2 F' R
B2 D' R' F2 R2 F' R'
B2 D' R2 U2 L' B' U2
B2 D' R2 F' R' F' R
B2 D' R2 F2 R' F' R2
B2 D' U F2 U' R F'
B2 D' F R F R F2
B2 D' F' R F' R D
B2 D' F' R F' R D'
B2 D' F' R F' R D2
B2 D' F' R F' D R
B2 D' F' R F' D' R
B2 D' F' R F' D2 R
B' D' F2 R D' F2 B'
B' D' F2 R D' B' F2
B' D' F2 R B' D' F2
B2 D' F2 L' R F' L
B2 D' F2 L2 R F' L2
B2 D' F2 R L' F' L
B2 D' F2 R L2 F' L2
B2 D' F2 R D F' D
B2 D' F2 R D F' D'
B2 D' F2 R D F' D2
B2 D' F2 R D' F' D
B2 D' F2 R D' F' D'
B2 D' F2 R D' F' D2
B2 D' F2 R D2 F' D
B2 D' F2 R D2 F' D'
B2 D' F2 R D2 F' D2
B2 D' F2 R F2 D F
B2 D' F2 R F2 D' F
B2 D' F2 R F2 D2 F
B2 D' F2 R' F R2 F'
B2 D' F2 R' F' R2 F'
B2 D' F2 R' F2 R2 F'
B2 D' F2 R2 D R' F'
B2 D' F2 R2 D' R' F'
B2 D' F2 R2 D2 R' F'
B2 D' F2 R2 F R' F'
B2 D' F2 R2 F' R' F'
B2 D' F2 R2 F2 R' F'
B' D' F2 B' D' R F'
B2 D' F2 B R F' B'
B2 D' F2 B R B' F'
B2 D' F2 B2 R F' B2
B2 D' F2 B2 R B2 F'
B D' F2 B D' R F'
B2 D' B F2 R F' B'
B2 D' B F2 R B' F'
U F2 R B2 D L2 F
B' D' B' D' F2 R F'
U F2 R' U' F' R2 B2
U F2 R' U' F' B2 R2
U F2 R' U' B2 F' R2
B' D' B' F2 D' R F'
B D' B D' F2 R F'
B D' B F2 D' R F'
L2 F2 U B2 L2 R' F'
L2 F2 U B2 R' L2 F'
L2 F2 U B2 R' F' L2
B2 D' B2 F2 R F' B2
B2 D' B2 F2 R B2 F'
U2 F2 U2 B2 D R F'
U F2 U' B2 D' R F'
D' F2 D B2 D' R F'
B' D2 R D' F2 R B'
B' D2 R D' F2 B' R
B' D2 R D' B' F2 R
B' D2 R B' D' F2 R
B2 D2 R D F2 R F'
B2 D2 R' D F2 R F'
D F2 D' B2 D' R F'
R' F2 B' R D' F2 B'
R' F2 B' R D' B' F2
R' F2 B' R B' D' F2
B2 D2 R2 D F2 R F'
R' F2 B2 D' R D F'
R' F2 B2 D' R D' F'
R' F2 B2 D' R D2 F'
R' F2 B2 D' R F' D
R' F2 B2 D' R F' D'
R' F2 B2 D' R F' D2
R2 F2 B' R D' F2 B'
R2 F2 B' R D' B' F2
R2 F2 B' R B' D' F2
D F2 B' R D' F2 B2
D F2 B' R D' B2 F2
L2 B L U' L B R'
R F2 B' R D' F2 B'
R F2 B' R D' B' F2
R F2 B' R B' D' F2
R2 F2 B2 D' R D F'
R2 F2 B2 D' R D' F'
R2 F2 B2 D' R D2 F'
R2 F2 B2 D' R F' D
R2 F2 B2 D' R F' D'
R2 F2 B2 D' R F' D2
D F2 B2 D' R F' B2
D F2 B2 D' R B2 F'
D F2 B2 D' B2 R F'
R F2 B2 D' R D F'
R F2 B2 D' R D' F'
R F2 B2 D' R D2 F'
R F2 B2 D' R F' D
R F2 B2 D' R F' D'
R F2 B2 D' R F' D2
L B L' D F2 B R
L B L' D B F2 R
B' D2 F2 R D' F2 B'
B' D2 F2 R D' B' F2
B' D2 F2 R B' D' F2
L B L' B D F2 R
B' D2 F2 B' D' R F'
B D2 F2 B D' R F'
B' D2 B' D' F2 R F'
B' D2 B' F2 D' R F'
B D2 B D' F2 R F'
B D2 B F2 D' R F'
B2 F L D L' F R
F2 B L U' L' B R
F2 B L U' B L' R
F2 B L U' B R L'
B2 F R D' F R F'
B2 F R F D' R F'
B2 F R' D' F R F'
B2 F R' F D' R F'
B2 F R2 D' F R F'
B2 F R2 F D' R F'
F2 B U L U' B R
B F U L F U' B
B2 F U' R B R' U
F B U L F U' B
B2 F D L' F L R
B2 F D L' F R L
B2 F D F D2 R F'
F2 B D B D' R F'
R' B' R D' F2 R B'
R' B' R D' F2 B' R
R' B' R D' B' F2 R
B2 F D' R F R F2
R' B' R B' D' F2 R
B2 F D' F R D F'
B2 F D' F R D' F'
B2 F D' F R D2 F'
B2 F D' F R F' D
B2 F D' F R F' D'
B2 F D' F R F' D2
B2 F D' F2 R F' R
F2 B D' B D' R F'
R2 B' R D' F2 R B'
R2 B' R D' F2 B' R
R2 B' R D' B' F2 R
D B' R D' F2 R B2
D B' R D' F2 B2 R
D B' R D' B2 F2 R
R2 B' R B' D' F2 R
F2 B D2 B D' R F'
R B' R D' F2 R B'
R B' R D' F2 B' R
R B' R D' B' F2 R
L' B' U R' F' U B'
R B' R B' D' F2 R
F2 B' R U' R2 U B'
F2 B' R D' F2 D B'
F2 B' R D' F2 D' B'
F2 B' R D' F2 D2 B'
F2 B' R D' F2 B' D
F2 B' R D' F2 B' D'
F2 B' R D' F2 B' D2
F2 B' R D' B' F2 D
F2 B' R D' B' F2 D'
F2 B' R D' B' F2 D2
F2 B' R D2 B' D F2
B2 F' R F' D' R F'
F2 B' R F D' F2 B'
F2 B' R F D' B' F2
F2 B' R F B' D' F2
F2 B' R F' D' F2 B'
F2 B' R F' D' B' F2
F2 B' R F' B' D' F2
F2 B' R F2 D' F2 B'
F2 B' R F2 D' B' F2
F2 B' R F2 B' D' F2
F2 B' R B' U' R2 U
F2 B' R B' D' F2 D
F2 B' R B' D' F2 D'
F2 B' R B' D' F2 D2
F2 B' R B' F D' F2
F2 B' R B' F' D' F2
F2 B' R B' F2 D' F2
F2 B' R B2 D' F2 B
F2 B' R B2 D' B F2
B2 F' R' F' D' R F'
F2 B' R' B' R2 D' F2
B2 F' R2 F' D' R F'
F2 B' U' R' U R2 B'
F2 B' U' R' U B' R2
R' B' F2 R D' F2 B'
R' B' F2 R D' B' F2
R' B' F2 R B' D' F2
F2 B' D R D' F2 B'
F2 B' D R D' B' F2
F2 B' D R B' D' F2
R2 B' F2 R D' F2 B'
R2 B' F2 R D' B' F2
R2 B' F2 R B' D' F2
D B' F2 R D' F2 B2
D B' F2 R D' B2 F2
F2 B' D B' D' R F'
B2 F' D' R D F' R
F2 B' D' R D' F2 B'
F2 B' D' R D' B' F2
F2 B' D' R B' D' F2
L2 B2 L' R' D L' F
F2 B' D' B' D' R F'
R B' F2 R D' F2 B'
R B' F2 R D' B' F2
L2 B2 L' D L' R' F
L2 B2 L' D L' F R'
R B' F2 R B' D' F2
L2 B2 L' D R' L' F
F2 B' D2 R D' F2 B'
F2 B' D2 R D' B' F2
F2 B' D2 R B' D' F2
L2 B2 L2 R2 D' R F'
B2 F2 L R D L' F
F2 B' D2 B' D' R F'
F2 B2 L R D L' F
L2 B2 L2 D' R F' R2
B2 F2 L D L' R F
B2 F2 L D R L' F
R' B2 R D' F2 R F'
B2 F2 L D' L' R F'
B2 F2 L D' R L' F'
F2 B2 L D L' R F
F2 B2 L D R L' F
F2 B2 L D' L' R F'
F2 B2 L D' R L' F'
R' B2 R F2 D' R F'
L B2 L' D' F2 R F'
L B2 L' F2 D' R F'
B F2 L U' L' B R
B F2 L U' B L' R
B F2 L U' B R L'
R' B2 R' D' F2 R F'
B2 F2 L' D' L R F'
B2 F2 L' D' R L F'
B2 F2 L' D' R F' L
F2 B2 L' D' L R F'
F2 B2 L' D' R L F'
F2 B2 L' D' R F' L
R' B2 R' F2 D' R F'
L2 B2 R' L' D L' F
R2 B2 R D' F2 R F'
F B2 L D L' F R
R2 B2 R F2 D' R F'
R' B2 R2 D' F2 R F'
B' F2 R U' R2 U B'
R' B2 R2 F2 D' R F'
B' F2 R D' F2 D B'
B' F2 R D' F2 D' B'
B' F2 R D' F2 D2 B'
B' F2 R D' F2 B' D
B' F2 R D' F2 B' D'
B' F2 R D' F2 B' D2
B' F2 R D' B' F2 D
B' F2 R D' B' F2 D'
B' F2 R D' B' F2 D2
B' F2 R D2 B' D F2
B' F2 R F D' F2 B'
B' F2 R F D' B' F2
R2 B2 R' D' F2 R F'
B' F2 R F B' D' F2
L2 B2 R2 L2 D' R F'
B' F2 R F' D' F2 B'
B' F2 R F' D' B' F2
B' F2 R F' B' D' F2
B2 F2 R L D L' F
B' F2 R F2 D' F2 B'
B' F2 R F2 D' B' F2
B' F2 R F2 B' D' F2
F2 B2 R L D L' F
B' F2 R B' U' R2 U
B' F2 R B' D' F2 D
B' F2 R B' D' F2 D'
B' F2 R B' D' F2 D2
R2 B2 R' F2 D' R F'
B' F2 R B' F D' F2
B' F2 R B' F' D' F2
B' F2 R B' F2 D' F2
B' F2 R B2 D' F2 B
B' F2 R B2 D' B F2
R B2 R D' F2 R F'
B2 F2 R D L' F L
B2 F2 R D' R F' R'
F' B2 R F' D' R F'
F2 B2 R D L' F L
R B2 R F2 D' R F'
F2 B2 R D' R F' R'
R2 B2 R2 D' F2 R F'
B' F2 R' B' R2 D' F2
R2 B2 R2 F2 D' R F'
R B2 R' D' F2 R F'
F' B2 R' F' D' R F'
R B2 R' F2 D' R F'
F B2 R D' F R F'
F B2 R F D' R F'
R' B2 U2 D L' U2 F
R B2 R2 D' F2 R F'
B2 F2 R2 D' R F' R2
F' B2 R2 F' D' R F'
F2 B2 R2 D' R F' R2
R B2 R2 F2 D' R F'
F B2 R' D' F R F'
F B2 R' F D' R F'
R' B2 D U2 L' U2 F
B' F2 U' R' U R2 B'
B' F2 U' R' U B' R2
R' B2 D F2 D2 R F'
R2 B2 U2 D L' U2 F
B F2 U L U' B R
F B2 R2 D' F R F'
R' B2 D' R F2 R F
F B2 R2 F D' R F'
L' B2 D' R' B U2 B'
R' B2 D' F' R F' R
R' B2 D' F2 R D F'
R' B2 D' F2 R D' F'
R' B2 D' F2 R D2 F'
R' B2 D' F2 R F' D
R' B2 D' F2 R F' D'
R' B2 D' F2 R F' D2
B2 F2 U' B R' U R2
F2 B2 U' B R' U R2
R2 B2 D U2 L' U2 F
R2 B2 D F2 D2 R F'
R B2 U2 D L' U2 F
L B2 D L' D R2 F
L B2 D L' D F R2
B' F2 D R D' F2 B'
B' F2 D R D' B' F2
B' F2 D R B' D' F2
R2 B2 D' R F2 R F
F B2 U' R B R' U
B2 F2 D L' R F L
R2 B2 D' F' R F' R
B' F2 D B' D' R F'
R2 B2 D' F2 R D F'
R2 B2 D' F2 R D' F'
R2 B2 D' F2 R D2 F'
R2 B2 D' F2 R F' D
R2 B2 D' F2 R F' D'
R2 B2 D' F2 R F' D2
B2 F2 D R L' F L
F2 B2 D L' R F L
D B2 D' F2 R F' B2
F2 B2 D R L' F L
D B2 D' F2 R B2 F'
R B2 D U2 L' U2 F
D B2 D' F2 B2 R F'
B' F2 D' R D' F2 B'
