R' B R U L B'
R' L B R U L B2
D2 L B' U' R' U2 B
L R' B R U L B2
U2 R D F' R U' L'
U2 R F' U' L B' L2
U' R' U B U L B'
U2 R' U2 B U L B'
L2 U2 R F' U' L' B
L2 U2 R F' U' B L'
L U2 R F' U' B' L'
F' R' B R U L B'
F2 R' B R U L B'
F R' B R U L B'
B U L R' B' D' R2
B U L D B R' B2
B U L B2 D B R'
B U R' L B' D' R2
L D B U L R' B2
L D B U R' L B2
B U2 R F' U' L B'
B U2 R2 U' L B' R'
D F L' B U L R'
D F L' B U R' L
D F B L' U L2 R'
D F B L' U R' L2
R' F' B U L F B'
R' F' B U L B' F
R F' B U' L F B'
R F' B U' L B' F
R F' B2 L U' B' L
R' B L' R U L2 B'
R' B R L' U L2 B'
R' B R U L D B'
R' B R U L D' B'
R' B R U L D2 B'
R' B R U L B' D
R' B R U L B' D'
R' B R U L B' D2
R' B R F U L B'
R' B R F' U L B'
R' B R F2 U L B'
D B U L D R' B
D B U R' D' L B'
D B U D L R' B
D B U D R' L B
D B U D' L R' B'
D B U D' R' L B'
D B D U L R' B
D B D U R' L B
D B D' U L R' B'
D B D' U R' L B'
R' B F' U L F B'
R' B F' U L B' F
D B F L' U L2 R'
D B F L' U R' L2
R B F' U' L F B'
R B F' U' L B' F
R B2 L F' U' B' L
R' B2 R B' U L B'
R B2 F' L U' B' L
