D' L R' F U' F
D2 L R' F L U'
R' L F U2 R' U
D2 L F L R' U'
D' L F R' U' F
D2 L F R' L U'
R' L' U2 R' B' U
L' R' U2 R' B' U
L R' F U2 R' U
R' U' F R D' F2
D' R' L F U' F
D2 R' L F L U'
D' R' U' F R F
D' R' F U' F R
R' U2 R B R2 U
R' U2 R' U2 F' U'
U2 R2 U2 R F' U'
L D' R' F U' F
L D' F R' U' F
L' D2 L2 R' F U'
L' D2 L2 F R' U'
L' D2 R' L2 F U'
L D2 R' F L2 U'
L D2 F L2 R' U'
L D2 F R' L2 U'
D' F R' U' F R
L F R' U2 R' U
L F D' R' U' F2
L F D2 L2 R' U'
L F D2 R' L2 U'
R' B2 L F B2 U'
R' B2 L B2 F U'
D2 L R F L R2 U'
D2 L R F R2 L U'
D' L R F R2 U' F
D2 L R' D F L U'
D' L R' D' F L2 U'
D2 L R' D' F L U'
D L R' D F L2 U'
D2 L R' D2 F L U'
F' L R' F U2 R' U
D2 L R' F L U' D
D2 L R' F L U' D'
D2 L R' F L U' D2
D2 L R' F L D U'
D2 L R' F L D' U'
D2 L R' F L D2 U'
D' L R' F U' D F
D' L R' F U' D' F
D' L R' F U' D2 F
D' L R' F U' F D
D' L R' F U' F D'
D' L R' F U' F D2
D' L R' F D U' F
D2 L R' F D L U'
D' L R' F D' U' F
D2 L R' F D' L U'
D' L R' F D2 U' F
D2 L R' F D2 L U'
D2 L R' F' L F2 U'
D L R' D2 F U' F
F2 L R' F U2 R' U
D2 L R' F2 L F' U'
D L R' F U B2 U2
D L R' F U' D2 F2
D L R' F D L2 U'
F L R' F U2 R' U
D L R' F D2 U' F2
U2 L R2 U2 R F' U'
B2 L R2 U2 F B2 U'
B2 L R2 U2 B2 F U'
R' L U2 R' U2 F U'
R' L D F U2 R' U
R' L D' F U2 R' U
R' L D2 F U2 R' U
D2 L D R' F L U'
R' L F L U2 R' U
D L D R' F L2 U'
R' L F L' U2 R' U
R' L F L2 U2 R' U
D2 L D F L R' U'
D2 L D F R' L U'
D L D F L2 R' U'
D L D F R' L2 U'
R' L F U2 R' U D
R' L F U2 R' U D'
R' L F U2 R' U D2
R' L F U2 R' D U
R' L F U2 R' D' U
R' L F U2 R' D2 U
R' L F U2 D R' U
R' L F U2 D' R' U
R' L F U2 D2 R' U
R' L F D U2 R' U
R' L F D' U2 R' U
R' L F D2 U2 R' U
D' L D' R' F L2 U'
D2 L D' R' F L U'
F' L D' R' F U' F
R' L F B2 L B2 U'
F2 L D' R' F U' F
F L D' R' F U' F
D' L D' F L2 R' U'
D2 L D' F L R' U'
D' L D' F R' L2 U'
D2 L D' F R' L U'
F' L D' F R' U' F
F2 L D' F R' U' F
F L D' F R' U' F
D2 L D2 R' F L U'
F' L D2 R' F L2 U'
F2 L D2 R' F L2 U'
D L D2 R' F U' F
F L D2 R' F L2 U'
D2 L D2 F L R' U'
D2 L D2 F R' L U'
F' L D2 F L2 R' U'
F' L D2 F R' L2 U'
F2 L D2 F L2 R' U'
L2 R F2 L' R2 F U'
F2 L D2 F R' L2 U'
L R F2 L' F' R2 U'
D L D2 F R' U' F
L2 R F2 L' F R2 U'
F L D2 F L2 R' U'
F L D2 F R' L2 U'
R L F2 L' F' R2 U'
L2 R F2 R2 L' F U'
D2 L F L R' U' D
D2 L F L R' U' D'
D2 L F L R' U' D2
D2 L F L R' D U'
D2 L F L R' D' U'
D2 L F L R' D2 U'
D2 L F L D R' U'
D2 L F L D' R' U'
D2 L F L D2 R' U'
D2 L F R' L U' D
D2 L F R' L U' D'
D2 L F R' L U' D2
D2 L F R' L D U'
D2 L F R' L D' U'
D2 L F R' L D2 U'
D' L F R' U' D F
D' L F R' U' D' F
D' L F R' U' D2 F
D' L F R' U' F D
D' L F R' U' F D'
D' L F R' U' F D2
D' L F R' D U' F
D' L F R' D' U' F
D2 L F R' D L U'
D' L F R' D2 U' F
