L R U' B L U'
R L U' B L U'
R L U' B L U'
R2 L D B R' U2
L R2 D B R' U2
L U F U F2 L'
L U F2 U F L'
L U' B U' L F'
L U' B U' F' L
L U2 L F' D' L2
R2 D L B R' U2
D2 L R U' B L U'
D' L R U' B L U'
R' L U R U F' L'
D L R U' B L U'
R2 L U R2 U F' L'
R' L U D' F' R U
R' L U F' R U F'
L R U' L B L U'
L R U' L' B L U'
L R U' L2 B L U'
R L U' L B L U'
R L U' L' B L U'
R L U' L2 B L U'
L R U' D B L U'
L R U' D' B L U'
L R U' D2 B L U'
R L U' D B L U'
R L U' D' B L U'
R L U' D2 B L U'
L R U' B L U' D
L R U' B L U' D'
L R U' B L U' D2
L R U' B L D U'
L R U' B L D' U'
L R U' B L D2 U'
L R U' B D L U'
L R U' B D' L U'
L R U' B D2 L U'
D' L R2 D B R' U2
D2 L R2 D B R' U2
D L R2 D B R' U2
R L U' B L U' D
R L U' B L U' D'
R L U' B L U' D2
R L U' B L D U'
R L U' B L D' U'
R L U' B L D2 U'
R L U' B D L U'
R L U' B D' L U'
R L U' B D2 L U'
D' L U F U F2 L'
D2 L U F U F2 L'
D L U F U F2 L'
D' L U F2 U F L'
D2 L U F2 U F L'
D L U F2 U F L'
L R D U' B L U'
R L D U' B L U'
R2 L D B R' U2 D
R2 L D B R' U2 D'
R2 L D B R' U2 D2
R2 L D B R' D U2
R2 L D B R' D' U2
R2 L D B R' D2 U2
R2 L D B D R' U2
R2 L D B D' R' U2
R2 L D B D2 R' U2
D2 L U' B U' L F'
D' L U' B U' L F'
D2 L U' B U' F' L
D' L U' B U' F' L
R' L D' U F' R U
D L U' B U' L F'
D L U' B U' F' L
D2 L U2 L F' D' L2
D' L U2 L F' D' L2
L R D' U' B L U'
D L U2 L F' D' L2
R L D' U' B L U'
U2 L U2 F' D' L2 B'
L R D2 U' B L U'
R L D2 U' B L U'
R2 L B R U F' U
R2 L B R' U' B U'
U2 L F' D' L2 D2 R2
R2 L B2 D B' U2 L
L R' U R U F' L'
L R' U D' F' R U
L R' U F' R U F'
L R' D' U F' R U
L R2 U R2 U F' L'
L2 R2 D L' B R' U2
R2 L2 D L' B R' U2
L2 R2 D B L' R' U2
L2 R2 D B R' L' U2
R2 L2 D B L' R' U2
R2 L2 D B R' L' U2
L R2 D B R' U2 D
L R2 D B R' U2 D'
L R2 D B R' U2 D2
L R2 D B R' D U2
L R2 D B R' D' U2
L R2 D B R' D2 U2
L R2 D B D R' U2
L R2 D B D' R' U2
L R2 D B D2 R' U2
L R2 B R U F' U
L R2 B R' U' B U'
L R2 B2 D B' U2 L
U2 L2 F2 R D F L'
U2 L2 F2 D R F L'
L U D F U F2 L'
L U D F2 U F L'
D2 R L U' B L U'
D' R L U' B L U'
L U D' F U F2 L'
L U D' F2 U F L'
D R L U' B L U'
L U D2 F U F2 L'
L U D2 F2 U F L'
L U F U L F2 L'
L U F U L' F2 L'
L U F U L2 F2 L'
L U F U F2 L' D
L U F U F2 L' D'
L U F U F2 L' D2
