B L D B' U2 L B2
U2 L' B2 D' F L' R
U2 L' B2 D' F R L'
B' R' B' L D L2 F
B' R' B' L' D F L2
B' R' B' L' F D L2
L' U2 B2 D' F L' R
L' U2 B2 D' F R L'
L' F B' R' B' D L2
L' F B' D R' B' L
R' B U L B' U2 B2
L' B' R' F B' D L2
L' B' R' B' D F L2
L' B' R' B' F D L2
L' B' D R' F B' L
L' B' D R' B' F L
L' B' D F R' B' L
L2 B' D R' B' L F
L' B' D' R' F B' L'
L' B' D' R' B' F L'
L B' U2 R' B' D L2
L B' U2 D R' B' L
L' B' D' F R' B' L'
L B' D U2 R' B' L
L' B' F R' B' D L2
L' B' F D R' B' L
U2 B2 L' D' F L' R
U2 B2 L' D' F R L'
