U' L' B' U' B' R'
B L D F B R F
B L D F2 D2 B R'
B L D B F R F
B L F D B R F2
B L F B R D F2
B L F B D R F2
B L F' D F2 B R
B L F' D B F2 R
B L F' B D F2 R
B L B D F R F
B L B F R D F2
B L B F D R F2
B L B F' D F2 R
U' L' R' F' B' U' B'
U' L' R' B' F' U' B'
B L' F U' L2 B R
B L' F U' B L2 R
B L' F U' B R L2
U' L' F B' U' B' R'
U' L' F' B' U' B' R'
U' L' F2 B' U' B' R'
U' L' B' R' F' U' B'
U' L' B' U' R B' R'
U' L' B' U' R' B' R'
U' L' B' U' R2 B' R'
U' L' B' U' D B' R'
U' L' B' U' D' B' R'
U' L' B' U' D2 B' R'
U' L' B' U' B' R' D
U' L' B' U' B' R' D'
U' L' B' U' B' R' D2
U' L' B' U' B' D R'
U' L' B' U' B' D' R'
U' L' B' U' B' D2 R'
U' L' B' D U' B' R'
U' L' B' D' U' B' R'
U' L' B' D2 U' B' R'
U' L' B' F U' B' R'
U' L' B' F' U' B' R'
U' L' B' F2 U' B' R'
B L2 B D L' F R
R' U' L' B' U' B' R'
R2 U' L' B' U' B' R'
R U' L' B' U' B' R'
U' R' L' F' B' U' B'
U' R' L' B' F' U' B'
B2 U L' U2 B' U L
F U2 B2 D' R F' L'
L' F B U' L B R
U' F2 R B U B L
L' B F U' L B R
B F U L B R F
F B U L B R F
