F2 U' F' L' U
F' L D' L2 F' B'
F' L D' L2 B' F'
F2 L' U' F' U B'
F' L' D' F' B' L2
F' L' D' B' L2 F'
F' L' D' B' F' L2
F' L' B' D' L2 F'
F2 L' B' U' F' U
F' L' B' D' F' L2
U L2 B' R' U' F2
D' U L2 B' R' U'
F2 U' L F' L' U
U D' L2 B' R' U'
F2 U' L' F' L' U
F2 U' L2 F' L' U
F2 U' D F' L' U
F2 U' D' F' L' U
F2 U' D2 F' L' U
F2 U' F' L' U D
F2 U' F' L' U D'
F2 U' F' L' U D2
F2 U' F' L' D U
F2 U' F' L' D' U
F2 U' F' L' D2 U
F2 U' F' D L' U
F2 U' F' D' L' U
F2 U' F' D2 L' U
U' F U2 R U' F
U' F U2 R U' F
F2 D U' F' L' U
U' F' L' F2 U F
F' D' L' B' L' F'
F2 D' U' F' L' U
F' D' F' L' B' L'
F2 D2 U' F' L' U
F2 B U' F' L' U
F2 B' U' F' L' U
B' F2 U' F' L' U
F2 B2 U' F' L' U
B2 F2 U' F' L' U
B F2 U' F' L' U
F2 L U' L2 F' U B'
F2 L U' F' U D2 B2
F2 L U' F' U' F2 U2
F2 L U' F' D' L2 U
F2 L U' F' D2 U B2
F2 L U2 F U F2 U
F2 L U2 F U2 D' L2
F2 L U2 F D R2 U2
F2 L U2 F D' U2 L2
F' L D F' D2 L2 B2
F' L D F' D2 B2 L2
F' L D' L F' L B'
F' L D' L2 D F' B'
F' L D' L2 D B' F'
F' L D' L2 D' F' B'
F' L D' L2 D' B' F'
F' L D' L2 D2 F' B'
F' L D' L2 D2 B' F'
F' L D' L2 F' D B'
F' L D' L2 F' D' B'
F' L D' L2 F' D2 B'
F' L D' L2 F' B' D
F' L D' L2 F' B' D'
F' L D' L2 F' B' D2
F' L D' L2 B' D F'
F' L D' L2 B' D' F'
F' L D' L2 B' D2 F'
F' L D' L2 B' F' D
F' L D' L2 B' F' D'
F' L D' L2 B' F' D2
D L D' L2 F2 B' L
D L D' L2 B' L F2
D L D' L2 B' F2 L
F' L D' F' L2 D2 B2
F' L D' B L2 F' B'
F' L D' B L2 B' F'
F' L D' B' L2 F' B'
F' L D' B' L2 B' F'
F' L D' B2 L2 F' B'
F' L D' B2 L2 B' F'
F2 L F D' F' L2 B'
U' L F' L' F U F2
F' L B D' L2 F' B'
F' L B D' L2 B' F'
R2 L' U B' R2 F2 L'
F' L B' D' L2 F' B'
F' L B' D' L2 B' F'
F' L B2 D' L2 F' B'
F' L B2 D' L2 B' F'
F2 L' R' D R B' L
F2 L' R' D B' L R
F2 L' R' D B' R L
F2 L' R2 B' R2 D L2
F2 L' U R2 B U' B2
F2 L' U' D F' U B'
F2 L' U' D' F' U B'
F2 L' U' D2 F' U B'
F' L' U' F2 U F B'
F' L' U' F2 U B' F
F2 L' U' F' U D B'
F2 L' U' F' U D' B'
F2 L' U' F' U D2 B'
F2 L' U' F' U B' D
F2 L' U' F' U B' D'
F2 L' U' F' U B' D2
F2 L' U' F' D U B'
F2 L' U' F' D' U B'
F2 L' U' F' D2 U B'
U L' U' F' L' F' B'
U L' U' F' L' B' F'
F2 L' D U' F' U B'
F' L' D F' D2 B' L2
F' L' D F' B' D2 L2
F' L' D B' D2 L2 F'
F' L' D B' D2 F' L2
F' L' D B' F' D2 L2
F2 L' D B' U' F' U
F' L' D' L2 F' D2 B2
F2 L' D' U' F' U B'
F' L' D' F B' L2 F2
F' L' D' F' B L2 B2
F' L' D' F' B' L2 D
F' L' D' F' B' L2 D'
F' L' D' F' B' L2 D2
F' L' D' F' B2 L2 B
F' L' D' B L2 F' B2
F' L' D' B L2 B2 F'
F' L' D' B F' L2 B2
F' L' D' B' L F' L
F' L' D' B' L2 D F'
F' L' D' B' L2 D' F'
F' L' D' B' L2 D2 F'
F' L' D' B' L2 F' D
F' L' D' B' L2 F' D'
F' L' D' B' L2 F' D2
F' L' D' B' F L2 F2
F' L' D' B' F' L2 D
F' L' D' B' F' L2 D'
F' L' D' B' F' L2 D2
F' L' D' B2 L2 F' B
F' L' D' B2 L2 B F'
F' L' D' B2 F' L2 B
F2 L' D' B' U' F' U
F2 L' D2 U' F' U B'
F' L' D2 F' D B' L2
F2 L' D2 B' U' F' U
F2 L' F D' F' B' L2
F2 L' F D' B' L2 F'
F2 L' F D' B' F' L2
F2 L' F B' D' L2 F'
F2 L' F B' D' F' L2
F' L' F' U' F' U B'
L' R2 U B' R2 F2 L'
F' L' F' B' U' F' U
F2 L' B U' F' U B2
F' L' B' L D' L2 F'
F' L' B' L D' F' L2
F' L' B' L' D' L2 F'
F' L' B' L' D' F' L2
D2 L' B' L2 D F L'
F2 L' B' L U' F' U
F' L' B' L2 D' L2 F'
F' L' B' L2 D' F' L2
F2 L' B' L' U' F' U
F2 L' B' L2 U' F' U
F' L' B' U' F2 U F
F2 L' B' U' D F' U
F2 L' B' U' D' F' U
F2 L' B' U' D2 F' U
F' L' B' D F' D2 L2
F2 L' B' U' F' U D
F2 L' B' U' F' U D'
F2 L' B' U' F' U D2
F2 L' B' U' F' D U
F2 L' B' U' F' D' U
F2 L' B' U' F' D2 U
F' L' B' D' L F' L
F' L' B' D' L2 D F'
F' L' B' D' L2 D' F'
F' L' B' D' L2 D2 F'
F' L' B' D' L2 F' D
F' L' B' D' L2 F' D'
F' L' B' D' L2 F' D2
F' L' B' D' F L2 F2
F' L' B' D' F' L2 D
F' L' B' D' F' L2 D'
F' L' B' D' F' L2 D2
F2 L' B' D U' F' U
F' L' B' D2 F' D L2
F2 L' B' D' U' F' U
F' L' B' F' U' F' U
F2 L' B' D2 U' F' U
F2 L' B' F D' L2 F'
F2 L' B' F D' F' L2
F2 L' B2 U' F' U B
F' L' B2 D' L2 F' B
F' L' B2 D' L2 B F'
F' L' B2 D' F' L2 B
F' L' B2 D' F' B L2
F' L' B2 D' B L2 F'
F' L' B2 D' B F' L2
U L2 R B' R' U' F2
U L2 R' B' R' U' F2
U L2 R2 B' R' U' F2
F2 L2 U' L F' U B'
F2 L2 U' F' L U B'
U' L2 U2 B' R' U' F2
U L2 D' B' L2 R' U'
U L2 D' B' R' L2 U'
U L2 B' L R' U' F2
U L2 B' L' R' U' F2
U L2 B' L2 R' U' F2
U L2 B' R' L U' F2
U L2 B' R' L' U' F2
U L2 B' R' L2 U' F2
U L2 B' R' U' F2 D
U L2 B' R' U' F2 D'
U L2 B' R' U' F2 D2
U L2 B' R' D' L2 U'
U L2 B' D' L2 R' U'
U L2 B' D' R' L2 U'
L U D' L2 U' B' L
U R L2 B' R' U' F2
U2 R U F U F B
U2 R U F U B F
L' U B U' L F2 B2
L' U B U' L B2 F2
L' U B U' F2 L B2
L2 U B' L U' F2 B'
L2 U B' L U' B' F2
U R D' L2 B' R' U'
U' R F U2 R U' F
U' R F' L' F2 U F
F2 R' L' D R B' L
F2 R' L' D B' L R
F2 R' L' D B' R L
L' U' F' U B' L' F'
U R' L2 B' R' U' F2
F2 R' D L' R B' L
F2 R' D L' B' L R
F2 R' D L' B' R L
F2 R' D R L' B' L
U R' D' L2 B' R' U'
U' R' F U2 R U' F
U' R' F' L' F2 U F
U2 R' F' U F2 U F
U2 R' F' U2 D' L2 F'
U2 R' F' U2 D' F' L2
U2 R' F' D R2 B U2
U2 R' F' D' U2 L2 F'
U2 R' F' D' U2 F' L2
F2 R2 L' B' R2 D L2
L U2 F U2 D F L'
L U2 F D U2 F L'
U R2 L2 B' R' U' F2
U R2 D' L2 B' R' U'
U' R2 F U2 R U' F
D R2 F L' U R2 B'
D R2 F L' U B' R2
U' R2 F' L' F2 U F
F U L U' L' F B'
F U L U' L' B' F
D' U L2 R B' R' U'
D' U L2 R' B' R' U'
D' U L2 R2 B' R' U'
D' U L2 D B' R' U'
D' U L2 D' B' R' U'
D' U L2 D2 B' R' U'
D' U L2 B' R' U' D
D' U L2 B' R' U' D'
D' U L2 B' R' U' D2
D' U L2 B' R' D U'
D' U L2 B' R' D' U'
D' U L2 B' R' D2 U'
D' U L2 B' D R' U'
D' U L2 B' D' R' U'
D' U L2 B' D2 R' U'
B' U L2 B' R' U' F2
