F R F2 U' L'
F R F2 U' L' D
F R F2 U' L' D'
F R F2 U' L' D2
F R F2 U' D L'
F R F2 U' D' L'
F R F2 U' D2 L'
F R F2 D U' L'
F R F2 D' U' L'
F R F2 D2 U' L'
F R F2 B U' L'
F R F2 B' U' L'
F R F2 B2 U' L'
F R B F2 U' L'
F R B' F2 U' L'
F R B2 F2 U' L'
F' R2 U2 L' U L
U R2 U B L U
R2 U2 B L U L'
F' U R2 U L' U
F' U2 L' U D2 L2
F' U2 L' U' R2 U2
F' U2 L' D' F2 U
F' U2 L' D2 U L2
F' U2 D' L' F2 U
F' U2 D2 L' U L'
D2 F R F2 U' L2
D F R F2 B2 U'
D F R B2 F2 U'
F D R B2 U' R
D F B2 R F2 U'
F' D B2 U2 L' U
D2 F' U2 L' U L'
D' F' U2 L' F' U
F D B2 R U' R
F' D' U2 L' F2 U
D F' B2 U2 L' U
F' D2 U2 L' U L'
B' F R F2 U' L'
B2 F R F2 U' L'
B F R F2 U' L'
F B R F2 U' L'
F B' R F2 U' L'
F B2 R F2 U' L'
D B2 F R F2 U'
D B2 F' U2 L' U
U L R2 F U B U
F' L D2 L' R2 U' L'
F' L D2 R2 L' U' L'
U L F R2 U' F2 U'
U L F R2 U2 D R2
U L F R2 D U2 R2
U L F R2 D' L2 U2
F L' R F2 L U' L2
U L' R2 U B U B2
U L' R2 U2 B' D' R2
F L2 R F2 L2 U' L
F' L2 D B2 R' U' F2
R U L R F U2 R
R U L' R U2 B' R'
D L2 F' L2 B2 R' U'
R U R L F U2 R
R U R L' U2 B' R'
R' U R' U B L U
R U R F U2 R B
R U R F' L' U2 B'
F R L' F2 L U' L2
F' R U R U L' U
F R L2 F2 L2 U' L
F R U R U' F2 U'
F R U R U2 D R2
F R U R D U2 R2
F R U R D' L2 U2
F R U D R U2 R
F R U D' L2 R U2
F R U D' R L2 U2
F' R U2 L' U' R U2
F' R U2 L' F2 U L'
F R D U R U2 R
F R D F2 U' L' R2
F R D F2 U' R2 L'
F R D' U L2 R U2
F R D' U R L2 U2
F R F' D F' U' L'
F R F' D' F' U' L'
F R F' D2 F' U' L'
F R F2 U R U2 L'
F R F2 U R' U2 L'
F R F2 U R2 U2 L'
F R F2 U' L2 D L
F R F2 U' L2 D' L
F R F2 U' L2 D2 L
F R F2 U' D L' D
F R F2 U' D L' D'
F R F2 U' D L' D2
F R F2 U' D' L' D
F R F2 U' D' L' D'
F R F2 U' D' L' D2
F R F2 U' D2 L' D
F R F2 U' D2 L' D'
F R F2 U' D2 L' D2
F R F2 U' B' L' B
F R F2 U' B2 L' B2
F R F2 D U' L' D
F R F2 D U' L' D'
F R F2 D U' L' D2
F R F2 D B U' L'
F R F2 D B' U' L'
F R F2 D B2 U' L'
F R F2 D' U' L' D
F R F2 D' U' L' D'
F R F2 D' U' L' D2
F R F2 D' B U' L'
F R F2 D' B' U' L'
F R F2 D' B2 U' L'
F R F2 D2 U' L' D
F R F2 D2 U' L' D'
F R F2 D2 U' L' D2
F R F2 D2 B U' L'
F R F2 D2 B' U' L'
F R F2 D2 B2 U' L'
F R F2 B U' L' D
F R F2 B U' L' D'
F R F2 B U' L' D2
F R F2 B U' D L'
F R F2 B U' D' L'
F R F2 B U' D2 L'
F R F2 B D U' L'
F R F2 B D' U' L'
F R F2 B D2 U' L'
F R F2 B' U' L' D
F R F2 B' U' L' D'
F R F2 B' U' L' D2
F R F2 B' U' D L'
F R F2 B' U' D' L'
F R F2 B' U' D2 L'
F R F2 B' D U' L'
F R F2 B' D' U' L'
F R F2 B' D2 U' L'
F R F2 B2 U' L' D
F R F2 B2 U' L' D'
F R F2 B2 U' L' D2
F R F2 B2 U' D L'
F R F2 B2 U' D' L'
F R F2 B2 U' D2 L'
F R F2 B2 D U' L'
F R F2 B2 D' U' L'
F R F2 B2 D2 U' L'
F R B F2 U' L' D
F R B F2 U' L' D'
F R B F2 U' L' D2
F R B F2 U' D L'
F R B F2 U' D' L'
F R B F2 U' D2 L'
F R B F2 D U' L'
F R B F2 D' U' L'
F R B F2 D2 U' L'
F R B' F2 U' L' D
F R B' F2 U' L' D'
F R B' F2 U' L' D2
F R B' F2 U' D L'
F R B' F2 U' D' L'
F R B' F2 U' D2 L'
F R B' F2 D U' L'
F R B' F2 D' U' L'
F R B' F2 D2 U' L'
F R B2 F2 U' L' D
F R B2 F2 U' L' D'
F R B2 F2 U' L' D2
F R B2 F2 U' D L'
F R B2 F2 U' D' L'
F R B2 F2 U' D2 L'
F R B2 F2 D U' L'
F R B2 F2 D' U' L'
F R B2 F2 D2 U' L'
F' R' U R' U L' U
F' R' U' L D' B2 L
F' R' U' B2 L D' B2
F' R' U2 L' U' R' U2
F R' U' D B2 L R2
F R' U' D B2 R2 L
F R' D U' B2 L R2
F R' D U' B2 R2 L
R2 U2 L B L U L2
D2 R' F R F' U' L2
D R' F R F' B2 U'
D R' F R B2 F' U'
D R' F B2 R F' U'
R2 U2 L2 B L U L
F R' F2 R2 U R U2
F R' F2 U' D B2 L
F R' F2 D U' B2 L
F R' F2 B2 R2 U' L
F' R' B2 U' L D' B2
F' R' B2 U2 L' U L2
R2 U2 D B L U L'
F R' B2 R2 F2 U' L
D R' B2 F R F' U'
R2 U2 D' B L U L'
F R' B2 F2 R2 U' L
R2 U2 D2 B L U L'
U R2 L F U B U
U R2 L' U B U B2
U R2 L' U2 B' D' R2
R2 U2 F B L U L'
R2 U2 F' B L U L'
U R2 U L B L U
U R2 U L' B L U
U R2 U L2 B L U
U R2 U D B L U
U R2 U D' B L U
U R2 U D2 B L U
U R2 U B L U D
U R2 U B L U D'
U R2 U B L U D2
U R2 U B L D U
U R2 U B L D' U
U R2 U B L D2 U
R2 U2 F2 B L U L'
U R2 U B D L U
U R2 U B D' L U
U R2 U B D2 L U
F' R2 U2 L' U L D
F' R2 U2 L' U L D'
F' R2 U2 L' U L D2
F' R2 U2 L' U D L
F' R2 U2 L' U D' L
F' R2 U2 L' U D2 L
F' R2 U2 L' D U L
R2 U2 B L U L' D
R2 U2 B L U L' D'
R2 U2 B L U L' D2
F' R2 U2 L' D' U L
R2 U2 B L U D L'
R2 U2 B L U D' L'
R2 U2 B L U D2 L'
F' R2 U2 L' D2 U L
F' R2 U2 L' F U L
F' R2 U2 L' F' U L
R2 U2 B L D U L'
R2 U2 B L D' U L'
F' R2 U2 L' F2 U L
