B' U R' F' U' L'
B' L U R' F' U' L'
U2 L U F L' U B'
U2 L F' U L' F2 U
B' L' U R' F' U' L'
U' L' B U L B2 R'
B' L2 U R' F' U' L'
B2 R U B R' U' R'
R U B R U' B R'
B' R B' D L2 R' B2
B' R B' D R' L2 B2
B' R B' D R' B2 L2
B2 R' U R2 B R' U'
B2 R' B' U' L F' U
B2 R' B' U' F' L U
B2 R2 D L R B' L
B2 R2 D L B' L R
B2 R2 D L B' R L
B2 R2 D R L B' L
B2 R2 D R B' L B'
B2 R2 D B' L R B'
B2 R2 D B' L B' R
B2 R2 D B' R L B'
B' U R' D F' U' L'
B' U R' D' F' U' L'
B' U R' D2 F' U' L'
B' U R' F' U' L' D
B' U R' F' U' L' D'
B' U R' F' U' L' D2
B' U R' F' U' D L'
B' U R' F' U' D' L'
B' U R' F' U' D2 L'
B' U R' F' D U' L'
B' U R' F' D' U' L'
B' U R' F' D2 U' L'
B' U R' F' B U' L'
B' U R' F' B' U' L'
B' U R' F' B2 U' L'
B' U R' B F' U' L'
B' U R' B' F' U' L'
B' U R' B2 F' U' L'
B' U D R' F' U' L'
B' U D' R' F' U' L'
R2 D B2 D' R' B L
B' U D2 R' F' U' L'
B U' L B U L R'
B U' L B U R' L
B' D U R' F' U' L'
U2 F' L U F L2 U
B2 D' R' U' F' U B
B2 D' R' B U' F' U
B' D' U R' F' U' L'
U2 F2 L U F L' U
B' D2 U R' F' U' L'
D2 B' U R' F' U' L'
D' B' U R' F' U' L'
R2 B' U R' F' B U'
R2 B' U R' B F' U'
D B' U R' F' U' L'
R B' U R' F' B2 U'
R B' U R' B2 F' U'
U' B2 L' U R' B' L
R' B2 R' D L B' L
R' B2 R' D B' L B'
R2 B2 R' U B R' U'
R2 B2 D L R' B' L
R2 B2 D R' L B' L
R2 B2 D R' B' L B'
R B2 D' R' B D L2
