U L' U2 F U' L'
L' U2 F U' L' F'
F' D R F' U2 R
L' R U2 F U' L' F'
U L F B' L2 U L
B2 L B' L2 U F L'
U L B' L2 F U L'
U L B' F L2 U L
R' L' U2 F U' L' F'
L' R' U2 F U' L' F'
R2 L' U2 F U' L' F'
R L' U2 F U' L' F'
F2 L' U' R F B U'
F2 L' U' R B F U'
U' L' U2 F L U' L2
B L' U2 F U' L' F
U L' U2 F U' L' D
U L' U2 F U' L' D'
U L' U2 F U' L' D2
U L' U2 F U' D L'
U L' U2 F U' D' L'
U L' U2 F U' D2 L'
U L' U2 F D U' L'
U L' U2 F D' U' L'
U L' U2 F D2 U' L'
U L' U2 F B U' L'
U L' U2 F B' U' L'
U L' U2 F B2 U' L'
U L' U2 B F U' L'
U L' U2 B' F U' L'
U L' U2 B2 F U' L'
U L' F' U2 F2 U' L'
L' R2 U2 F U' L' F'
U L' B U2 F U' L'
U L' B' U2 F U' L'
U L' B2 U2 F U' L'
R' U L' U2 F U' L'
R2 U L' U2 F U' L'
R U L' U2 F U' L'
L U L2 U2 F U' L'
L U F B' L2 U L
D R U L' F' U R
L U B' L2 F U L'
L U B' F L2 U L
L' U' F R2 U' L' B
L' U' F R2 U' B L'
L' U2 F L U' L2 F'
L' U2 F L U' F' L2
L' U2 F L2 U' L F'
L' U2 F L2 U' F' L
L' U2 F U' L F' L2
L' U2 F U' L' D F'
L' U2 F U' L' D' F'
L' U2 F U' L' D2 F'
L' U2 F U' L' F' D
L' U2 F U' L' F' D'
L' U2 F U' L' F' D2
L' U2 F U' L2 F' L
L' U2 F U' D L' F'
L' U2 F U' D' L' F'
L' U2 F U' D2 L' F'
L' U2 F D U' L' F'
L' U2 F D' U' L' F'
L' U2 F D2 U' L' F'
L' U2 F B U' L' F'
L' U2 F B' U' L' F'
L' U2 F B2 U' L' F'
L' U2 B F U' L' F'
L' U2 B' F U' L' F'
L' U2 B2 F U' L' F'
D' U L' F B U R'
D' U L' B F U R'
F U L B' U L2 B'
F U L2 U L B' R'
D' U B L' F U R'
U D' L' F B U R'
U D' L' B F U R'
F2 U' R D' B U' R'
F2 U' D' R B U' R'
U D' B L' F U R'
F2 U' D2 R F' B U'
F2 U' D2 R B F' U'
F' D L R F' U2 R
L F U B' L2 U L
F' D L' R F' U2 R
F' D L2 R F' U2 R
F' D R L F' U2 R
F' D R L' F' U2 R
F' D R L2 F' U2 R
F' D R F L' F2 U2
F' D R F' L U2 R
F' D R F' L' U2 R
F' D R F' L2 U2 R
F' D R F' U2 R D
F' D R F' U2 R D'
F' D R F' U2 R D2
F' D R F' U2 D R
F' D R F' U2 D' R
F' D R F' U2 D2 R
F' D R F' D U2 R
F' D R F' D' U2 R
F' D R F' D2 U2 R
L F' R U B' L2 U
L' F' U2 F2 U' L' F2
R' F' D R F' U2 R
R2 F' D R F' U2 R
R F' D R F' U2 R
F2 D' U' R B U' R'
U' F2 D2 R F' U' L'
F2 D2 U' R F' B U'
F2 D2 U' R B F' U'
U B L' U2 F U' L'
L B L2 B2 U F L'
U B' L' U2 F U' L'
U B2 L' U2 F U' L'
