F2 U' F' B L B'
F2 U' B L F' B'
F2 U' B L B' F'
F2 U' B F' L B'
F2 L U' F' B L B2
F2 L U' B L F' B2
F2 L U' B L B2 F'
F2 L U' B F' L B2
F2 L B2 U' F' B L
F2 L B2 U' B L F'
F2 L B2 U' B F' L
F2 L' U F R U2 F2
F2 L' U F U2 F2 L'
F2 R D' B R' U' F'
D2 R' F D' L2 B R2
D2 R' F D' B L2 R2
D2 R' F D' B R2 L2
D2 R' F' B2 U F2 B'
D2 R' F' B2 U B' F2
D2 R' B2 F' U F2 B'
D2 R' B2 F' U B' F2
D R2 D' F L B' L2
F2 U' L F' B L B2
F2 U' L B L F' B2
F2 U' L B L B2 F'
F2 U' L B F' L B2
F2 U' F B L F2 B'
F2 U' F B L B' F2
F2 U' F' L B L B2
F2 U' F' B L D B'
F2 U' F' B L D' B'
F2 U' F' B L D2 B'
F2 U' F' B L B' D
F2 U' F' B L B' D'
F2 U' F' B L B' D2
F2 U' F' B2 L B' L
F2 U' B L D F' B'
F2 U' B L D B' F'
F2 U' B L D' F' B'
F2 U' B L D' B' F'
F2 U' B L D2 F' B'
F2 U' B L D2 B' F'
F2 U' B L F' D B'
F2 U' B L F' D' B'
F2 U' B L F' D2 B'
F2 U' B L F' B' D
F2 U' B L F' B' D'
F2 U' B L F' B' D2
F2 U' B L B' D F'
F2 U' B L B' D' F'
F2 U' B L B' D2 F'
F2 U' B L B' F' D
F2 U' B L B' F' D'
F2 U' B L B' F' D2
F2 U' B F L F2 B'
F2 U' B F L B' F2
F2 U' B F' L D B'
F2 U' B F' L D' B'
F2 U' B F' L D2 B'
F2 U' B F' L B' D
F2 U' B F' L B' D'
F2 U' B F' L B' D2
F2 U' B2 L F' B' L
F2 U' B2 L B' L F'
F2 U' B2 L B' F' L
F2 U' B2 F' L B' L
F2 U2 L F U F2 B'
F2 U2 L F U B' F2
D F' R B U' R F2
F2 D' R B R' U' F'
R F2 L B U' F' B2
R F2 L B U' B2 F'
U2 F2 U' L F' B' L'
U2 F2 U' L B' F' L'
U2 F2 U' L2 F' L' B'
D F2 U F' L' R2 B'
D F2 U F' L' B' R2
D F2 U F' R2 L' B'
U2 F2 U' F' L B' L2
U' F2 B U' L F' B'
U' F2 B U' L B' F'
U' F2 B U' F' L B'
R F2 B L U' F' B'
R F2 B L U' B' F'
U' B F2 U' L F' B'
U' B F2 U' L B' F'
U' B F2 U' F' L B'
F2 B U' F' B L B'
F2 B U' B L F' B'
F2 B U' B L B' F'
F2 B U' B F' L B'
R B F2 L U' F' B'
R B F2 L U' B' F'
F2 B' U' F' B L B'
F2 B' U' B L F' B'
F2 B' U' B L B' F'
F2 B' U' B F' L B'
D2 B2 R' F' U F2 B
D2 B2 R' F' U B F2
B' F2 U' F' B L B'
B' F2 U' B L F' B'
B' F2 U' B L B' F'
B' F2 U' B F' L B'
B2 F2 U' F' B L B'
B2 F2 U' B L F' B'
B2 F2 U' B L B' F'
B2 F2 U' B F' L B'
F2 B2 U' F' B L B'
F2 B2 U' B L F' B'
F2 B2 U' B L B' F'
F2 B2 U' B F' L B'
B F2 U' F' B L B'
B F2 U' B L F' B'
B F2 U' B L B' F'
B F2 U' B F' L B'
