U' L B' R' U' F R
B' L' R' F U D2 B2
B' L' R' F U' F2 U2
B' L' R' F D' L2 U
B' L' R' F D2 U B2
B' L' F R' U' F' U2
B' L2 R' U' F' U2 L'
D2 R F' B' R' U B2
D' R B' R' U L B2
D2 R B' F' R' U B2
B' R' L' F U D2 B2
B' R' L' F U' F2 U2
B' R' L' F D' L2 U
B' R' L' F D2 U B2
B' R' L2 U' F' U2 L'
B' R' U' D F' R U2
B' R' D U' F' R U2
D' R2 B' R' U L B
D2 R2 B' R' F' U B
R D' B' R' U L B2
B' D R' U' F' R U2
R2 B' L' R' F U B
U2 B' L' F R U B'
R2 B' L' F R' U B
R2 B' L2 R' U B L
R B' L' R' F U B2
R B' L' F R' U B2
D' B' R' U' F' U2 L
R2 B' R' L' F U B
R2 B' R' L2 U B L
D B' R' U' F' R U2
R B' R' L' F U B2
