D L' F2 R B
D L' R F2 B R
D L' R B F2 R
D L' F2 R D B
D L' F2 R D' B
D L' F2 R D2 B
D L' F2 R B D
D L' F2 R B D'
D L' F2 R B D2
D L' F2 D R B
D L' F2 D' R B
D L' F2 D2 R B
D L' F2 B R B
D L' F2 B' R B
D L' F2 B2 R B
D L' B F2 R B
D L' B' F2 R B
D L' B2 F2 R B
D R L' F2 B R
D R L' B F2 R
D R B L' F2 R
R D L' F2 B R
R D L' B F2 R
U2 D L' F2 R B'
U2 D L' F2 B' R
U2 D L' B' F2 R
R D B L' F2 R
R D' L' B R2 F'
R D' B L' R2 F'
R D' B R2 L' F'
D U2 L' F2 R B'
D U2 L' F2 B' R
D U2 L' B' F2 R
B2 U2 L2 U' L B'
D B L' F2 R B
D B' L' F2 R B
D B2 L' F2 R B
D' B2 U2 L' R2 B'
D' B2 U2 L' B' R2
D' B2 U2 R2 L' B'
L2 R U' L D' B R2
L2 R U' D' L B R2
L2 R D' U' L B R2
L2 R D2 F2 U' L B
R2 L B2 R' U L2 B
R2 L B2 R' U B L2
L R B2 R' U B' L2
R L B2 R' U B' L2
L2 R' U' L D' R2 B
L2 R' U' D' L R2 B
L2 R' U' D' R2 L B
U2 L B2 R' U L2 B'
D L B2 R' F2 L2 B'
D' L' R D2 B R F2
D' L' R B R2 F' R'
D L' R F2 D B R
D L' R F2 D' B R
D L' R F2 D2 B R
D L' R F2 B R D
D L' R F2 B R D'
D L' R F2 B R D2
D L' R F2 B D R
D L' R F2 B D' R
D L' R F2 B D2 R
D L' R F2 B' R B2
D L' R F2 B2 R B'
D L' R B R F2 R
D L' R B R' F2 R
D L' R B R2 F2 R
D L' R B F2 R D
D L' R B F2 R D'
D L' R B F2 R D2
D L' R B F2 D R
D L' R B F2 D' R
D L' R B F2 D2 R
D L' R B' F2 R B2
D L' R B2 F2 R B'
L2 R' D' U' L R2 B
L2 R' D' U' R2 L B
D L' R2 F2 R' B R2
B' L' U L' F R U'
D L' U2 L' U2 F2 B'
D L' U2 L' U2 B' F2
D L' F R F B R
D L' F R B F R
D L' F D F R B
D L' F D' F R B
D L' F D2 F R B
R' L2 U' L D' R2 B
D L' F2 L R B L'
R' L2 U' D' L R2 B
R' L2 U' D' R2 L B
D L' F2 L2 R B L2
R L2 U' L D' B R2
D L' F2 R L B L'
D L' F2 R L2 B L2
D L' F2 R D B D
D L' F2 R D B D'
D L' F2 R D B D2
D L' F2 R D' B D
D L' F2 R D' B D'
D L' F2 R D' B D2
D L' F2 R D2 B D
D L' F2 R D2 B D'
D L' F2 R D2 B D2
D L' F2 R B2 D B'
D L' F2 R B2 D' B'
D L' F2 R B2 D2 B'
D L' F2 R' B R2 B
D L' F2 R' B' R2 B
D L' F2 R' B2 R2 B
R L2 U' D' L B R2
D L' F2 D R D B
D L' F2 D R D' B
D L' F2 D R D2 B
D L' F2 D R B D
D L' F2 D R B D'
D L' F2 D R B D2
D L' F2 D B R B
D L' F2 D B' R B
D L' F2 D B2 R B
D L' F2 D' R D B
D L' F2 D' R D' B
D L' F2 D' R D2 B
D L' F2 D' R B D
D L' F2 D' R B D'
D L' F2 D' R B D2
D L' F2 D' B R B
D L' F2 D' B' R B
D L' F2 D' B2 R B
D L' F2 D2 R D B
D L' F2 D2 R D' B
D L' F2 D2 R D2 B
D L' F2 D2 R B D
D L' F2 D2 R B D'
D L' F2 D2 R B D2
D L' F2 D2 B R B
D L' F2 D2 B' R B
D L' F2 D2 B2 R B
D L' F2 B R D B
D L' F2 B R D' B
D L' F2 B R D2 B
D L' F2 B R B D
D L' F2 B R B D'
D L' F2 B R B D2
D L' F2 B D R B
D L' F2 B D' R B
D L' F2 B D2 R B
D L' F2 B' R D B
D L' F2 B' R D' B
D L' F2 B' R D2 B
D L' F2 B' R B D
D L' F2 B' R B D'
D L' F2 B' R B D2
D L' F2 B' D R B
D' L' B R B R F'
D L' F2 B' D' R B
D L' F2 B' D2 R B
D L' F2 B2 R D B
D L' F2 B2 R D' B
D L' F2 B2 R D2 B
D L' F2 B2 R B D
D L' F2 B2 R B D'
D L' F2 B2 R B D2
D L' F2 B2 D R B
D L' F2 B2 D' R B
D L' F2 B2 D2 R B
D L' B R F2 B R
D L' B R B F2 R
D L' B F2 R D B
D L' B F2 R D' B
D L' B F2 R D2 B
D L' B F2 R B D
D L' B F2 R B D'
D L' B F2 R B D2
D L' B F2 D R B
D L' B F2 D' R B
D L' B F2 D2 R B
D L' B' R F2 B R
D L' B' R B F2 R
D L' B' F2 R D B
D L' B' F2 R D' B
D L' B' F2 R D2 B
D L' B' F2 R B D
D L' B' F2 R B D'
D L' B' F2 R B D2
R' L2 D' U' L R2 B
D L' B' F2 D R B
D L' B' F2 D' R B
R' L2 D' U' R2 L B
D L' B' F2 D2 R B
D L' B2 R F2 B R
D L' B2 R B F2 R
R L2 D' U' L B R2
D L' B2 F2 R D B
D L' B2 F2 R D' B
D L' B2 F2 R D2 B
D L' B2 F2 R B D
D L' B2 F2 R B D'
D L' B2 F2 R B D2
D L' B2 F2 D R B
D L' B2 F2 D' R B
D L' B2 F2 D2 R B
B' L2 R F U' L B
D L2 R U2 L F2 B
D L2 R U2 L B F2
D L2 R U2 F2 L B
L2 R2 D2 F2 U' L B'
R2 L2 D2 F2 U' L B'
R L2 D2 F2 U' L B
D L2 R' F' U2 L F'
D L2 R' F' U2 F' L
D' L2 R2 D2 L F2 B'
D' L2 R2 D2 L B' F2
D' L2 R2 D2 F2 L B'
U2 L2 U' L D' R2 B'
U2 L2 U' L D' B' R2
D L2 U2 L' F2 B' L2
D L2 U2 L' B' L2 F2
D L2 U2 L' B' F2 L2
D L2 U2 F2 L' B' L2
L R2 B2 R' U L2 B
L R2 B2 R' U B L2
B' L2 F R U' L B
D L2 D2 B2 R' F' U2
D' L2 B2 R' F' U2 R'
R U D L' F2 B R
R U D L' B F2 R
D L2 B2 R' F' U2 F'
R U D B L' F2 R
R U D' L' B R2 F'
R U D' B L' R2 F'
R U D' B R2 L' F'
D' R L' D2 B R F2
D' R L' B R2 F' R'
D R L' F2 D B R
D R L' F2 D' B R
D R L' F2 D2 B R
D R L' F2 B R D
D R L' F2 B R D'
D R L' F2 B R D2
D R L' F2 B D R
D R L' F2 B D' R
D R L' F2 B D2 R
D R L' F2 B' R B2
D R L' F2 B2 R B'
D R L' B R F2 R
D R L' B R' F2 R
D R L' B R2 F2 R
D R L' B F2 R D
D R L' B F2 R D'
D R L' B F2 R D2
D R L' B F2 D R
D R L' B F2 D' R
D R L' B F2 D2 R
D R L' B' F2 R B2
D R L' B2 F2 R B'
B' R L2 F U' L B
D R L2 U2 L F2 B
D R L2 U2 L B F2
D R L2 U2 F2 L B
D R U L' F2 B R
D R U L' B F2 R
B2 R U D L' F2 B
B2 R U D L' B F2
B2 R U D B L' F2
B2 R U B D L' F2
D R U B L' F2 R
D R U' L' F2 B R
D R U' L' B F2 R
D R U' B L' F2 R
B2 R U2 L2 U' L B
D R U2 L' F2 B R
D R U2 L' B F2 R
F2 R U2 D' B R2 F'
D R U2 B L' F2 R
U2 R D L' F2 R B'
U2 R D L' F2 B' R
U2 R D L' B' F2 R
F2 R D L2 U2 F2 B
F2 R D L2 U2 B F2
B R D L' F2 B R'
B R D L' B R' F2
B R D L' B F2 R'
B2 R D U L' F2 B
B2 R D U L' B F2
B2 R D U B L' F2
B R D B L' R' F2
B R D B L' F2 R'
B R D B R' L' F2
F2 R D' U2 B R2 F'
D' R D2 L' B R F2
F2 R D' B2 U2 R2 B'
F2 R D' B2 U2 B' R2
F R D' B R2 F' L'
D R D2 L' B R2 F'
D' R D2 B L' R F2
D' R D2 B R L' F2
D R D2 B L' R2 F'
D R D2 B R2 L' F'
D' R B L' R2 F' R'
D' R B R D2 L' F
D' R B R2 L' F' R'
D R B L' R F2 R
D R B L' R' F2 R
D R B L' R2 F2 R
D R B L' F2 R D
D R B L' F2 R D'
D R B L' F2 R D2
D R B L' F2 D R
D R B L' F2 D' R
D R B L' F2 D2 R
B' R B D L' F2 R
D R B R L' F2 R
D R B R' L' F2 R
D R B R2 L' F2 R
D R B' L' F2 R B2
D R B' L' F2 B2 R
D R B' L' B2 F2 R
R U' D L' F2 B R
R U' D L' B F2 R
D' R B2 U2 R B' L'
D' R B2 U2 B' L' R
D' R B2 U2 B' R L'
R U' D B L' F2 R
R U' D' L' B R2 F'
R U' D' B L' R2 F'
R U' D' B R2 L' F'
D R' L2 F' U2 L F'
D R' L2 F' U2 F' L
U2 R' D L' F2 R B'
U2 R' D L' F2 B' R
U2 R' D L' B' F2 R
B2 R' D2 R2 U L' B
B2 R' D2 R2 U B L'
L2 U2 L' B2 U L2 B
L2 U2 L' B2 U B L2
D' R' B2 L F' U2 L2
R U2 D L' F2 B R
R U2 D L' B F2 R
R U2 D B L' F2 R
R U2 D' L' B R2 F'
R U2 D' B L' R2 F'
R U2 D' B R2 L' F'
D' R2 L2 D2 L F2 B'
D' R2 L2 D2 L B' F2
D' R2 L2 D2 F2 L B'
D R2 L' F2 R' B R2
U2 R2 D L' F2 R B'
U2 R2 D L' F2 B' R
U2 R2 D L' B' F2 R
D' R2 D2 L F2 B' L2
D' R2 D2 L B' L2 F2
D' R2 D2 L B' F2 L2
R' D L' R F2 R B
R' D L' R2 F2 B R
R' D L' R2 B F2 R
R D L' R' F2 R B
R' D L2 F' U2 L F'
R' D L2 F' U2 F' L
R' D R L' F2 R B
R D L' F2 D B R
R D L' F2 D' B R
R D L' F2 D2 B R
R D L' F2 B R D
R D L' F2 B R D'
R D L' F2 B R D2
R D L' F2 B D R
R D L' F2 B D' R
R D L' F2 B D2 R
R D L' F2 B' R B2
R D L' F2 B2 R B'
R D L' B R F2 R
R D L' B R' F2 R
R D L' B R2 F2 R
R D L' B F2 R D
R D L' B F2 R D'
R D L' B F2 R D2
R D L' B F2 D R
R D L' B F2 D' R
R D L' B F2 D2 R
R D L' B' F2 R B2
R D L' B2 F2 R B'
R D L2 U2 L F2 B
R D L2 U2 L B F2
R D L2 U2 F2 L B
R' D R2 L' F2 B R
R' D R2 L' B F2 R
R D R' L' F2 R B
R' D R2 B L' F2 R
R D U L' F2 B R
R D U L' B F2 R
R D U B L' F2 R
R D U' L' F2 B R
R D U' L' B F2 R
R D U' B L' F2 R
B2 U L' U L' U' B'
U2 D L' R F2 R B'
U2 D L' R F2 B' R
U2 D L' R B' F2 R
U2 D L' R' F2 R B'
U2 D L' R' F2 B' R
U2 D L' R' B' F2 R
U2 D L' R2 F2 R B'
U2 D L' R2 F2 B' R
U2 D L' R2 B' F2 R
R D U2 L' F2 B R
R D U2 L' B F2 R
R D U2 B L' F2 R
U2 D L' F2 R D B'
U2 D L' F2 R D' B'
U2 D L' F2 R D2 B'
U2 D L' F2 R B' D
U2 D L' F2 R B' D'
U2 D L' F2 R B' D2
U2 D L' F2 R' B' R2
U2 D L' F2 D R B'
U2 D L' F2 D B' R
U2 D L' F2 D' R B'
U2 D L' F2 D' B' R
U2 D L' F2 D2 R B'
U2 D L' F2 D2 B' R
U2 D L' F2 B R B2
U2 D L' F2 B' R D
U2 D L' F2 B' R D'
U2 D L' F2 B' R D2
U2 D L' F2 B' D R
U2 D L' F2 B' D' R
U2 D L' F2 B' D2 R
U2 D L' B F2 R B2
U2 D L' B' R F2 R
U2 D L' B' R' F2 R
U2 D L' B' R2 F2 R
U2 D L' B' F2 R D
U2 D L' B' F2 R D'
U2 D L' B' F2 R D2
U2 D L' B' F2 D R
U2 D L' B' F2 D' R
U2 D L' B' F2 D2 R
B' U L2 F R U' L
U2 D L2 U2 L F2 B'
U2 D L2 U2 L B' F2
U2 D L2 U2 F2 L B'
U2 D R L' F2 R B'
U2 D R L' F2 B' R
U2 D R L' B' F2 R
U2 D R' L' F2 R B'
U2 D R' L' F2 B' R
U2 D R' L' B' F2 R
R D B L' R F2 R
R D B L' R' F2 R
R D B L' R2 F2 R
U2 D R2 L' F2 R B'
U2 D R2 L' F2 B' R
U2 D R2 L' B' F2 R
R D B L' F2 R D
R D B L' F2 R D'
R D B L' F2 R D2
R D B L' F2 D R
R D B L' F2 D' R
R D B L' F2 D2 R
R D B R L' F2 R
R D B R' L' F2 R
R D B R2 L' F2 R
R D B' L' F2 R B2
R D B' L' F2 B2 R
R D B' L' B2 F2 R
R' D' L' R2 D2 F2 B
R' D' L' R2 D2 B F2
R' D' L' B R2 F' B
R' D' L' B R2 B F'
R D' L B L2 R2 F'
R D' L B R2 L2 F'
R D' L B R2 F' L2
U2 D B L' F2 R B'
U2 D B L' F2 B' R
U2 D B L' B' F2 R
R D' L' F B R2 F'
R D' L' F' B R2 F'
R D' L' F2 B R2 F'
R D' L' B R2 D F'
R D' L' B R2 D' F'
R D' L' B R2 D2 F'
R D' L' B R2 F' D
R D' L' B R2 F' D'
R D' L' B R2 F' D2
R D' L' B F R2 F'
R D' L' B F' R2 F'
R D' L' B F2 R2 F'
U2 D B' L' F2 R B'
U2 D B' L' F2 B' R
U2 D B' L' B' F2 R
L2 D' R U' L B R
U2 D B2 L' F2 R B'
U2 D B2 L' F2 B' R
U2 D B2 L' B' F2 R
R' D' R2 L' D2 F2 B
R' D' R2 L' D2 B F2
R' D' R2 D2 L' F2 B
R' D' R2 D2 L' B F2
R' D' R2 D2 B L' F2
U2 D' L' R2 D2 F2 B'
U2 D' L' R2 D2 B' F2
U2 D' L' B R2 F' B2
U2 D' L' B R2 B2 F'
R D' U L' B R2 F'
R D' U B L' R2 F'
R D' U B R2 L' F'
R D' U' L' B R2 F'
R D' U' B L' R2 F'
R D' U' B R2 L' F'
R D' U2 L' B R2 F'
R D' U2 B L' R2 F'
R D' U2 B R2 L' F'
U2 D' R2 L' D2 F2 B'
U2 D' R2 L' D2 B' F2
R D' F B R2 F' L'
U2 D' R2 D2 L' F2 B'
U2 D' R2 D2 L' B' F2
R' D' B L' R2 F' B
R' D' B L' R2 B F'
R' D' B R2 L' F' B
R' D' B R2 L' B F'
R' D' B R2 B L' F'
R D' B L R2 F' L2
R D' B L' R2 D F'
R D' B L' R2 D' F'
R D' B L' R2 D2 F'
R D' B L' R2 F' D
R D' B L' R2 F' D'
R D' B L' R2 F' D2
R D' B L' F R2 F'
R D' B L' F' R2 F'
R D' B L' F2 R2 F'
R D' B L2 R2 F' L
R D' B R2 L F' L2
R D' B R2 L' D F'
R D' B R2 L' D' F'
R D' B R2 L' D2 F'
R D' B R2 L' F' D
R D' B R2 L' F' D'
R D' B R2 L' F' D2
R D' B R2 L2 F' L
R D' B R2 D L' F'
R D' B R2 D' L' F'
R D' B R2 D2 L' F'
R' D' B2 U2 L' R2 B
R' D' B2 U2 R2 L' B
R' D' B2 U2 R2 B L'
R D' B F R2 F' L'
U2 D' B L' R2 F' B'
U2 D' B L' R2 B' F'
U2 D' B R2 L' F' B'
U2 D' B R2 L' B' F'
R D' B2 U2 R2 B' L'
R D' B2 U2 B' L' R2
R D' B2 U2 B' R2 L'
U2 D' B2 L' B' R2 F'
R D2 L' D B R2 F'
D' U2 L' R2 D2 F2 B'
D' U2 L' R2 D2 B' F2
D' U2 L' B R2 F' B2
D' U2 L' B R2 B2 F'
L2 D2 R F2 U' L B
D U2 L' R F2 R B'
D U2 L' R F2 B' R
D U2 L' R B' F2 R
D U2 L' R' F2 R B'
D U2 L' R' F2 B' R
D U2 L' R' B' F2 R
D U2 L' R2 F2 R B'
D U2 L' R2 F2 B' R
D U2 L' R2 B' F2 R
D U2 L' F2 R D B'
D U2 L' F2 R D' B'
D U2 L' F2 R D2 B'
D U2 L' F2 R B' D
D U2 L' F2 R B' D'
D U2 L' F2 R B' D2
D U2 L' F2 R' B' R2
D U2 L' F2 D R B'
D U2 L' F2 D B' R
D U2 L' F2 D' R B'
D U2 L' F2 D' B' R
D U2 L' F2 D2 R B'
D U2 L' F2 D2 B' R
D U2 L' F2 B R B2
D U2 L' F2 B' R D
D U2 L' F2 B' R D'
D U2 L' F2 B' R D2
D U2 L' F2 B' D R
D U2 L' F2 B' D' R
D U2 L' F2 B' D2 R
D U2 L' B F2 R B2
D U2 L' B' R F2 R
D U2 L' B' R' F2 R
D U2 L' B' R2 F2 R
D U2 L' B' F2 R D
D U2 L' B' F2 R D'
D U2 L' B' F2 R D2
D U2 L' B' F2 D R
D U2 L' B' F2 D' R
D U2 L' B' F2 D2 R
D U2 L2 U2 L F2 B'
D U2 L2 U2 L B' F2
D U2 L2 U2 F2 L B'
D U2 R L' F2 R B'
D U2 R L' F2 B' R
D U2 R L' B' F2 R
D' U2 R2 L' D2 F2 B'
D' U2 R2 L' D2 B' F2
D U2 R' L' F2 R B'
D U2 R' L' F2 B' R
D U2 R' L' B' F2 R
D' U2 R2 D2 L' F2 B'
D' U2 R2 D2 L' B' F2
D U2 R2 L' F2 R B'
D U2 R2 L' F2 B' R
D U2 R2 L' B' F2 R
B2 U2 L2 R U' L B'
B2 U2 L2 R' U' L B'
B2 U2 L2 R2 U' L B'
B2 U2 L2 U' L D B'
B2 U2 L2 U' L D' B'
B2 U2 L2 U' L D2 B'
B2 U2 L2 U' L B' D
B2 U2 L2 U' L B' D'
B2 U2 L2 U' L B' D2
B' U2 L2 F U' L B'
B2 U2 R L2 U' L B'
L2 D2 F2 R U' L B
D' U2 B L' R2 F' B'
D' U2 B L' R2 B' F'
D' U2 B R2 L' F' B'
D' U2 B R2 L' B' F'
B2 U2 R' L2 U' L B'
D U2 B L' F2 R B'
D U2 B L' F2 B' R
D U2 B L' B' F2 R
B2 U2 R2 L2 U' L B'
D' U2 B2 L' B' R2 F'
D U2 B' L' F2 R B'
D U2 B' L' F2 B' R
D U2 B' L' B' F2 R
R D2 B D' L' F2 R
D U2 B2 L' F2 R B'
D U2 B2 L' F2 B' R
D U2 B2 L' B' F2 R
B2 U2 B L2 U' L B'
B2 U2 B' L2 U' L B'
B2 U2 B2 L2 U' L B'
F2 D L' F2 L' R B
F2 D L' F2 R L' B
F2 D L' F2 R B L'
F2 D L2 R U2 F2 B
F2 D L2 R U2 B F2
F2 D L2 U2 F2 L' B'
