B' L2 F' R U' F2
F' R D B' L2 U'
F' R D2 B' U' F2
F' R B' L2 U' F
F' R B' U B' U2
B2 U' F' B R U'
B2 U' B F' R U'
F' D R B' L2 U'
F' D B' L2 R U'
F' D B' R L2 U'
F' D2 R B' U' F2
F' D2 B' R U' F2
F' B' L2 R U' F
B' F' L2 R U' F
F' B' R L2 U' F
F' B' R U B' U2
B' F' R L2 U' F
B' F' R U B' U2
B2 L U' F' B R U'
B2 L U' B F' R U'
B' L F' L R U' F
B' L F' R L U' F
B2 L' U' F' B R U'
B2 L' U' B F' R U'
B' L' F' L' R U' F
B' L' F' R L' U' F
B' L' F' D2 R U' F'
F' L2 R D L2 B' U'
B2 L2 U' F' B R U'
B2 L2 U' B F' R U'
F' L2 D L2 R B' U'
F' L2 D L2 B' R U'
F' L2 D R L2 B' U'
B' L2 F' L R U' F2
B' L2 F' L' R U' F2
B' L2 F' L2 R U' F2
B' L2 F' R L U' F2
B' L2 F' R L' U' F2
B' L2 F' R L2 U' F2
B' L2 F' R U' F2 D
B' L2 F' R U' F2 D'
B' L2 F' R U' F2 D2
B' L2 F' R D' L2 U'
B' L2 F' D' L2 R U'
B' L2 F' D' R L2 U'
F' R L2 D L2 B' U'
F' R U B2 U' B U'
F' R D L2 U2 F U
F' R D B L2 B2 U'
F' R D B' L2 U' D
F' R D B' L2 U' D'
F' R D B' L2 U' D2
F' R D B' L2 D U'
F' R D B' L2 D' U'
F' R D B' L2 D2 U'
F' R D B' U' D F2
F' R D B' D U' F2
F' R D B2 L2 B U'
F' R D' B' U' D' F2
F' R D' B' U2 R2 U
F' R D' B' D' U' F2
F' R D' B' D2 L2 U'
F' R D2 B' L U' F2
F' R D2 B' L' U' F2
F' R D2 B' L2 U' F2
F' R D2 B' U' F2 D
F' R D2 B' U' F2 D'
F' R D2 B' U' F2 D2
F' R D2 B' D' L2 U'
F' R B' L2 U' D F
F' R B' L2 U' D' F
F' R B' L2 U' D2 F
F' R B' L2 U' F D
F' R B' L2 U' F D'
F' R B' L2 U' F D2
F' R B' L2 D U' F
F' R B' L2 D' U' F
F' R B' L2 D2 U' F
F' R B' U D B' U2
F' R B' U D' B' U2
F' R B' U D2 B' U2
F' R B' U B' U2 D
F' R B' U B' U2 D'
F' R B' U B' U2 D2
F' R B' U B' D U2
F' R B' U B' D' U2
F' R B' U B' D2 U2
F' R B' U' L2 F L2
F' R B' D L2 U' F
F' R B' D U B' U2
F' R B' D' L2 U' F
F' R B' D' U B' U2
F' R B' D2 L2 U' F
F' R B' D2 U B' U2
F' R' B R2 B2 U' F'
F' R' B' L2 R2 U' F
F' R' B' R2 L2 U' F
F' R' B' R2 U B' U2
F' R2 D R' B' L2 U'
F' R2 D2 R' B' U' F2
B' U B' U' F' R U'
F' U B2 U' B R U'
B2 U' D2 F' B R' U'
B2 U' D2 B F' R' U'
B2 U' F' D B R U'
B2 U' F' D' B R U'
B2 U' F' D2 B R U'
B2 U' F' B R U' D
B2 U' F' B R U' D'
B2 U' F' B R U' D2
B2 U' F' B R D U'
B2 U' F' B R D' U'
B2 U' F' B R D2 U'
B2 U' F' B D R U'
B2 U' F' B D' R U'
B2 U' F' B D2 R U'
B2 U' F' B' R B2 U'
B2 U' F' B2 R B' U'
B2 U' B F' R U' D
B2 U' B F' R U' D'
B2 U' B F' R U' D2
B2 U' B F' R D U'
B2 U' B F' R D' U'
B2 U' B F' R D2 U'
B2 U' B F' D R U'
B2 U' B F' D' R U'
B2 U' B F' D2 R U'
B2 U' B' F' R B2 U'
B2 U' B2 F' R B' U'
L2 F L' D2 B2 U F2
B2 U2 F' B R U' F
B2 U2 B F' R U' F
F' D L2 R U2 F U
F' D R L2 U2 F U
F' D R D B' U' F2
F' D R B L2 B2 U'
F' D R B' L2 U' D
F' D R B' L2 U' D'
F' D R B' L2 U' D2
F' D R B' L2 D U'
F' D R B' L2 D' U'
F' D R B' L2 D2 U'
F' D R B' U' D F2
F' D R B' D U' F2
F' D R B2 L2 B U'
L2 F D2 L' B2 U F2
F' D R' B' L2 R2 U'
F' D R' B' R2 L2 U'
