B U L B' R'
B L' B' U L2 B'
B2 U L B' L R'
B2 U L B' R' L
B U L R B' R'
B U L R' B' R'
B U L R2 B' R'
B U L D B' R'
B U L D' B' R'
B U L D2 B' R'
B U L B' R' D
B U L B' R' D'
B U L B' R' D2
B U L B' D R'
B U L B' D' R'
B U L B' D2 R'
B U R L B' R'
B U R' L B' R'
B U R2 L B' R'
B2 U B' L R' B'
B2 U B' R' L B'
F' B U L B' R'
F2 B U L B' R'
B F U L B' R'
F B U L B' R'
L' B' U' R' F U2
L' B' U' F R' U2
B F' U L B' R'
B F2 U L B' R'
U L R B' R' D L2
U L R B' D L2 R'
U L R B' D R' L2
U L R2 D B' L R'
U L R2 D B' R' L
U' L U F U B' R'
B L U F U' F' B'
B L U F U' B' F'
B2 L U2 F U' B' L
U L B' R' U' F' U
B L B' U F U' F'
U' L' F U' B' U' R
D' L' B' L U' R' U2
B' L' B' L2 U B' L
B L' B' L U L B'
B2 L' B' L2 U B' L'
B' L' B' U L2 B' L
D2 L' B' U' R' U2 B
F' L' B' U' R' F U2
F' L' B' U' F R' U2
B2 L' B' U L2 B' L'
F2 L' B' U' R' F U2
F2 L' B' U' F R' U2
B2 L' B' U' F U2 L
B L' B' U L2 D B'
B L' B' U L2 D' B'
B L' B' U L2 D2 B'
B L' B' U L2 B' D
B L' B' U L2 B' D'
B L' B' U L2 B' D2
B L' B' U B L2 B'
B L' B' U B' L2 B'
B L' B' U B2 L2 B'
B L' B' U' F U2 L2
F L' B' U' R' F U2
F L' B' U' F R' U2
U R L B' R' D L2
U R L B' D L2 R'
U R L B' D R' L2
U2 R U2 B U L B'
U2 R' D F' R U' L'
U2 R' F' U' L B' L2
U R2 L D B' L R'
U R2 L D B' R' L
L U2 F U R U2 B'
B2 U L R B' L R'
B2 U L R B' R' L
B2 U L R' B' L R'
B2 U L R' B' R' L
B2 U L R2 B' L R'
B2 U L R2 B' R' L
B U L R D B' R'
B U L R D' B' R'
B U L R D2 B' R'
B U L R B' R' D
B U L R B' R' D'
B U L R B' R' D2
B U L R B' D R'
B U L R B' D' R'
B U L R B' D2 R'
B U L R' D B' R'
B U L R' D' B' R'
B U L R' D2 B' R'
B U L R' B' R' D
B U L R' B' R' D'
B U L R' B' R' D2
B U L R' B' D R'
B U L R' B' D' R'
B U L R' B' D2 R'
B U L R2 D B' R'
B U L R2 D' B' R'
B U L R2 D2 B' R'
B' U L B2 L B R'
B U L R2 B' R' D
B U L R2 B' R' D'
B U L R2 B' R' D2
B U L R2 B' D R'
B U L R2 B' D' R'
B U L R2 B' D2 R'
B2 U L B' L R' D
B2 U L B' L R' D'
B2 U L B' L R' D2
B2 U L B' L D R'
B2 U L B' L D' R'
B2 U L B' L D2 R'
B2 U L B' R' L D
B2 U L B' R' L D'
B2 U L B' R' L D2
B2 U L B' R' D L
B2 U L B' R' D' L
B2 U L B' R' D2 L
B2 U L B' D L R'
B2 U L B' D R' L
B2 U L B' D' L R'
B2 U L B' D' R' L
B2 U L B' D2 L R'
B2 U L B' D2 R' L
B U L D R B' R'
B U L D R' B' R'
B U L D R2 B' R'
B U L D B' R' D
B U L D B' R' D'
B U L D B' R' D2
B U L D B' D R'
B U L D B' D' R'
B U L D B' D2 R'
B U L D' R B' R'
B U L D' R' B' R'
B U L D' R2 B' R'
B U L D' B' R' D
B U L D' B' R' D'
B U L D' B' R' D2
B U L D' B' D R'
B U L D' B' D' R'
B U L D' B' D2 R'
B U L D2 R B' R'
B U L D2 R' B' R'
B U L D2 R2 B' R'
B U L D2 B' R' D
B U L D2 B' R' D'
B U L D2 B' R' D2
B U L D2 B' D R'
B U L D2 B' D' R'
B U L D2 B' D2 R'
B U L F' B' R' F
B U L F2 B' R' F2
B U L B R B2 R'
B U L B R' B2 R'
B U L B R2 B2 R'
B U L B' R2 D R
B U L B' R2 D' R
B U L B' R2 D2 R
B U L B' D R' D
B U L B' D R' D'
B U L B' D R' D2
B U L B' D' R' D
B U L B' D' R' D'
B U L B' D' R' D2
B U L B' D2 R' D
B U L B' D2 R' D'
B U L B' D2 R' D2
B U L B' F' R' F
B U L B' F2 R' F2
B U L' B' L2 R' B'
B U L' B' R' L2 B'
B U L2 D L' B' R'
B2 U R L B' L R'
B2 U R L B' R' L
B U L2 D' L' B' R'
B U L2 D2 L' B' R'
B U L2 B' L' R' B'
B U L2 B' R' L' B'
B U R L D B' R'
B U R L D' B' R'
B U R L D2 B' R'
B U R L B' R' D
B U R L B' R' D'
B U R L B' R' D2
B U R L B' D R'
B U R L B' D' R'
B U R L B' D2 R'
B2 U R B' L R' B'
B2 U R B' R' L B'
B2 U R' L B' L R'
B2 U R' L B' R' L
B U R' L D B' R'
B U R' L D' B' R'
B U R' L D2 B' R'
B U R' L B' R' D
B U R' L B' R' D'
B U R' L B' R' D2
