F2 L U R2 B' U
F2 L U B' R2 U
F' D F' B2 U2 R
F D F L' B2 U2
F D F B2 L' U2
F' D B2 F' U2 R
F D B2 F L' U2
L' F2 U R2 B U
F2 D' B U2 R' F2
F2 D' B U2 F2 R'
F2 D' B' L U2 F2
L F2 U R2 B' U
L F2 U B' R2 U
U L R2 D' B' L2 U
U L R2 D2 B' U B'
U L R2 B' U D2 B2
U L R2 B' U' F2 U2
U L R2 B' D' L2 U
U L R2 B' D2 U B2
F2 L U R B' R U
F' L U R2 B' U B2
F2 L U R2 D B' U
F2 L U R2 D' B' U
F2 L U R2 D2 B' U
F2 L U R2 B' U D
F2 L U R2 B' U D'
F2 L U R2 B' U D2
F2 L U R2 B' D U
F2 L U R2 B' D' U
F2 L U R2 B' D2 U
F2 L U D' B' U F2
F' L U B' R2 U B
F2 L U B R2 B2 U
F2 L U B' R2 U D
F2 L U B' R2 U D'
F2 L U B' R2 U D2
F2 L U B' R2 D U
F2 L U B' R2 D' U
F2 L U B' R2 D2 U
F2 L U B' U D' F2
F2 L U B' D' U F2
F2 L U' D2 L2 F U'
R2 L D' F2 B' L2 U
R2 L D' B' L2 F2 U
R2 L D' B' F2 L2 U
R2 L D2 B' U B' L2
F2 L D B2 U B U
F2 L D' U B' U F2
U L D' B' L2 U F2
U' L D2 L2 F U' B2
F2 L D2 U' L2 F U'
F' L F' U R2 B' U
F' L F' U B' R2 U
R2 L B' U D2 L2 B2
R2 L B' U D2 B2 L2
R2 L B' U' R2 F2 U2
R2 L B' U' F2 R2 U2
R2 L B' D' L2 F2 U
R2 L B' D' F2 L2 U
R2 L B' D2 U L2 B2
R2 L B' D2 U B2 L2
B' L F2 U R2 B' U
B2 L F2 U R2 B' U
B' L F2 U B' R2 U
B2 L F2 U B' R2 U
B L F2 U R2 B' U
B L F2 U B' R2 U
F2 L B U R2 B2 U
F2 L B U B2 R2 U
F2 L B U2 D' R2 F2
F2 L B U2 D' F2 R2
F2 L B D L2 B2 U2
F2 L B D B2 L2 U2
F2 L B D' U2 R2 F2
F2 L B D' U2 F2 R2
F2 L B' U R2 U R2
U L B' R2 U D2 B2
U L B' R2 U' F2 U2
U L B' R2 D' L2 U
U L B' R2 D2 U B2
U L B' D' L2 U F2
F2 L B2 U B R2 U
R2 L' D' L2 F2 B' U
R2 L' D' L2 B' F2 U
U L' R2 D' L2 B' U
F2 L' U R2 U2 F U'
F2 L' U' D' F U' F
F2 L' U' D2 F L2 U'
F2 L' U' F U' D' F2
F2 L' U' F U2 R2 U
F2 L' U' F D' U' F2
F2 L' U' F D2 L2 U'
F2 L' D B2 U' F U'
F2 L' D' U' F U' F
U L' D' L2 B' U F2
F2 L' D2 U' F L2 U'
U' L' D2 F L2 U' B2
U' L' F D2 L2 U' B'
F' L' F' D B2 U2 R2
F' L' F' D' L2 U2 F2
B' L' F2 U R2 B U
B2 L' F2 U R2 B U
B L' F2 U R2 B U
L' R2 D' L2 F2 B' U
L' R2 D' L2 B' F2 U
L R2 D' F2 B' L2 U
L R2 D' B' L2 F2 U
L R2 D' B' F2 L2 U
D2 L2 R F' U' B2 L
L R2 D2 B' U B' L2
F2 L2 U R2 B' U R'
F2 L2 U B' R2 U R
L R2 B' U D2 L2 B2
L R2 B' U D2 B2 L2
L R2 B' U' R2 F2 U2
L R2 B' U' F2 R2 U2
L R2 B' D' L2 F2 U
L R2 B' D' F2 L2 U
L R2 B' D2 U L2 B2
L R2 B' D2 U B2 L2
L' U R2 D' L2 B' U
L U R2 D' B' L2 U
L U R2 D2 B' U B'
L U R2 B' U D2 B2
L U R2 B' U' F2 U2
L U R2 B' D' L2 U
L U R2 B' D2 U B2
L' U D' L2 B' U F2
L U D' B' L2 U F2
D2 R L2 F' U' B2 L
L U B' R2 U D2 B2
L U B' R2 U' F2 U2
L U B' R2 D' L2 U
L U B' R2 D2 U B2
L U B' D' L2 U F2
D2 R F' L2 U' B2 L
L' U' D2 F L2 U' B2
L U' D2 L2 F U' B2
L' U' F D2 L2 U' B'
U R' D2 R' B U B
U R2 L D' B' L2 U
U R2 L D2 B' U B'
U R2 L B' U D2 B2
U R2 L B' U' F2 U2
U R2 L B' D' L2 U
U R2 L B' D2 U B2
U R2 L' D' L2 B' U
F' R2 D' F2 U B R'
U R2 D' L2 B U R'
U R2 D' B L2 U R'
F' U L R2 B' U B2
F2 U L R2 B' L' U
F' U L B' R2 U B
F2 U L B' L' R2 U
F2 U L B' R2 L' U
D' U L2 B U R' F2
D' U L2 B U F2 R'
F U L2 R2 U B' R'
F2 U R' D2 R' B U
F' U R2 L B' U B2
F' U R2 U D' B R'
F2 U R2 L B' L' U
F' U R2 D' U B R'
F2 U R2 D' B U R'
F U R2 L2 U B' R'
L' D B2 U' R2 F U'
L' D B2 U' F R2 U'
F2 U D' B U R' F2
F2 U D' B U F2 R'
L D B2 U' R2 F' U'
D' U B L2 U R' F2
D' U B L2 U F2 R'
D' U B' L2 U F2 R
R2 D' L2 F2 B U R'
R2 D' L2 B F2 U R'
L' D' U L2 B' U F2
D2 U' L2 R F' U' B2
D2 U' R L2 F' U' B2
L D' U B' L2 U F2
F2 U' L U2 R2 B' U
F2 U' L U2 B' R2 U
F2 U' L D2 L2 F U'
D2 U' R F' L2 U' B2
U D' L2 B U R' F2
U D' L2 B U F2 R'
F2 U' L' D' F U' F
F2 U' L' D2 F L2 U'
F2 U' L' F U' D' F2
F2 U' L' F U2 R2 U
F2 U' L' F D' U' F2
F2 U' L' F D2 L2 U'
R2 D' F2 L2 B U R'
R2 D' F2 B L2 U R'
R2 D' B L2 F2 U R'
R2 D' B F2 L2 U R'
R2 D' B' L2 F2 U R
U2 D' F2 B R' D' B2
U2 D' F2 B D' R' B2
U2 D' F2 B' D' B2 R'
U2 D' B R' F2 D' B2
U2 D' B F2 R' D' B2
U2 D' B F2 D' R' B2
U D' B L2 U R' F2
U D' B L2 U F2 R'
U2 D' B' F2 D' B2 R'
U D' B' L2 U F2 R
U' D2 L2 R F' U' B2
U' D2 R L2 F' U' B2
U' D2 R F' L2 U' B2
L' D2 U' F L2 U' B2
L D2 U' L2 F U' B2
D' U2 F2 B R' D' B2
D' U2 F2 B D' R' B2
D' U2 F2 B' D' B2 R'
D' U2 B R' F2 D' B2
D2 U2 B D F2 B R'
D2 U2 B D B R' F2
D2 U2 B D B F2 R'
D' U2 B F2 R' D' B2
D' U2 B F2 D' R' B2
U2 D2 B D F2 B R'
U2 D2 B D B R' F2
U2 D2 B D B F2 R'
D' U2 B' F2 D' B2 R'
F2 U2 D F D2 F2 R
F2 U2 D F' R D2 F2
F2 U2 D F' D2 R F2
F' U2 D' R2 F2 B R'
F' U2 D' R2 B R' F2
F' U2 D' R2 B F2 R'
F2 U2 D' F' D2 F' R
F2 U2 D' F2 B R' B'
F2 U2 D' B R' F2 B'
F2 U2 D' B R' B' F2
F2 U2 D' B F2 R' B'
F U2 D' F2 R2 B R'
D F L' B2 U' R2 U'
D F L' B2 U2 D B2
D F L' B2 D U2 B2
D F L' B2 D' F2 U2
F2 U2 B' D' F2 B R'
F2 U2 B' D' B R' F2
F2 U2 B' D' B F2 R'
F' D L F' B2 U2 R
F' D L B2 F' U2 R
F' D L' F' B2 U2 R
F' D L' B2 F' U2 R
F' D L2 F' B2 U2 R
F' D L2 B2 F' U2 R
U2 F D' F2 R2 B R'
D F B2 L' U' R2 U'
D F B2 L' U2 D B2
D F B2 L' D U2 B2
D F B2 L' D' F2 U2
D F B2 D L' U2 B2
D F B2 D' L' F2 U2
D F B2 D' F2 U2 R
F2 D U2 F D2 F2 R
F2 D U2 F' R D2 F2
F2 D U2 F' D2 R F2
F' D F L' F2 B2 U2
F' D F L' B2 F2 U2
F2 D F L' F' B2 U2
F2 D F L' B2 F' U2
F' D F B2 L' F2 U2
F' D F' L B2 U2 R
F' D F' L' B2 U2 R
F' D F' L2 B2 U2 R
F2 D F B2 L' F' U2
F D F L B2 L2 U2
F' D F' U2 R D2 F2
F' D F' U2 D2 R F2
F D F L' U2 D2 F2
F D F L' D2 U2 F2
F D F L' B2 U2 D
F D F L' B2 U2 D'
F D F L' B2 U2 D2
F D F L' B2 D U2
F D F L' B2 D' U2
F D F L' B2 D2 U2
F D F L2 B2 U2 R'
F' D F' D2 U2 R F2
F' D F' B2 L U2 R
F' D F' B2 L' U2 R
F' D F' B2 L2 U2 R
F' D F' B2 U2 R D
F' D F' B2 U2 R D'
F' D F' B2 U2 R D2
F' D F' B2 U2 D R
F' D F' B2 U2 D' R
F' D F' B2 U2 D2 R
F' D F' B2 D U2 R
F' D F' B2 D' U2 R
F' D F' B2 D2 U2 R
F D F U2 D2 F2 R
F D F D2 L' U2 F2
F D F D2 U2 F2 R
F D F B L' B U2
F D F B2 L' U2 D
F D F B2 L' U2 D'
F D F B2 L' U2 D2
F D F B2 L' D U2
F D F B2 L' D' U2
F D F B2 L' D2 U2
F D F B2 D L' U2
F D F B2 D' L' U2
F D F B2 D2 L' U2
F2 D B U2 R2 F' R
F2 D B D2 B U2 R'
F' D B2 L F' U2 R
F' D B2 L' F' U2 R
F2 D B' D2 B' L U2
F' D B2 L2 F' U2 R
F D B F L' B U2
F' D B2 F L' F2 U2
F2 D B2 U' F' U' R
F' D B2 F' L U2 R
F' D B2 F' L' U2 R
F' D B2 F' L2 U2 R
F2 D B2 U2 F' R F
F' D B2 F' U2 R D
F' D B2 F' U2 R D'
F' D B2 F' U2 R D2
F' D B2 F' U2 D R
F' D B2 F' U2 D' R
F' D B2 F' U2 D2 R
F' D B2 F' D U2 R
F' D B2 F' D' U2 R
F' D B2 F' D2 U2 R
F2 D B2 F L' F' U2
L F' U R2 B' U B2
L F' U B' R2 U B
F2 D' L B U2 R' F2
F2 D' L B U2 F2 R'
F2 D' L B' L U2 F2
F D B2 F L' U2 D
F D B2 F L' U2 D'
F D B2 F L' U2 D2
F D B2 F L' D U2
F D B2 F L' D' U2
F D B2 F L' D2 U2
F D B2 F D L' U2
F D B2 F D' L' U2
F D B2 F D2 L' U2
F2 D' L' B U2 R' F2
F2 D' L' B U2 F2 R'
L' F' D F' B2 U2 R2
F2 D' L' B' L U2 F2
L' F' D B2 U2 R2 B
L' F' D B2 F' U2 R2
L' F' D' L2 F' U2 F'
L' F' D' F' L2 U2 F'
F2 D' L2 B U2 R' F2
F2 D' L2 B U2 F2 R'
F2 D' L2 B' L U2 F2
U2 F' D' R2 F2 B R'
U2 F' D' R2 B R' F2
U2 F' D' R2 B F2 R'
F2 D' U B U R' F2
F2 D' U B U F2 R'
L' F2 L U R2 B U
D F' B2 U' R2 U' R'
D F' B2 U2 D R B2
D F' B2 U2 D B2 R
D F' B2 D U2 R B2
D F' B2 D U2 B2 R
F' D' U2 R2 F2 B R'
F' D' U2 R2 B R' F2
F' D' U2 R2 B F2 R'
D F' B2 D' F2 L' U2
L' F2 L' U R2 B U
F2 D' U2 F' D2 F' R
F2 D' U2 F2 B R' B'
F2 D' U2 B R' F2 B'
F2 D' U2 B R' B' F2
F2 D' U2 B F2 R' B'
L2 F2 L' U R2 B' U
L2 F2 L' U B' R2 U
L' F2 L2 U R2 B U
F D' U2 F2 R2 B R'
F' D' F' U2 D2 F' R
F' D' F' D2 U2 F' R
F D' F L2 B' L U2
F' D' F' B U2 F' R'
F' D' F' B' L U2 F'
F D' F B U2 R' F
F D' F B U2 F R'
F D' F B2 U2 F R
F2 D' B L U2 R' F2
F2 D' B L U2 F2 R'
F2 D' B L' U2 R' F2
F2 D' B L' U2 F2 R'
F2 D' B L2 U2 R' F2
F2 D' B L2 U2 F2 R'
F2 D' B U2 R F2 R2
F2 D' B U2 R' F2 D
F2 D' B U2 R' F2 D'
F2 D' B U2 R' F2 D2
F' D' B F' U2 F' R'
F2 D' B U2 F R' F
F2 D' B U2 F2 R' D
F2 D' B U2 F2 R' D'
F2 D' B U2 F2 R' D2
F2 D' B U2 F2 D R'
F2 D' B U2 F2 D' R'
F2 D' B U2 F2 D2 R'
F' D' B' L F' U2 F'
F2 D' B D2 B2 L U2
F2 D' B' L U2 F2 D
F2 D' B' L U2 F2 D'
F2 D' B' L U2 F2 D2
F2 D' B' L D2 B2 U2
F2 D' B' L B U2 F2
F2 D' B' L B' U2 F2
F2 D' B' L B2 U2 F2
F2 D' B' L2 U2 F2 R
L' F2 U R2 D B U
L' F2 U R2 D' B U
L' F2 U R2 D2 B U
L' F2 U R2 B U D
L' F2 U R2 B U D'
L' F2 U R2 B U D2
L' F2 U R2 B D U
L' F2 U R2 B D' U
L' F2 U R2 B D2 U
R F2 R' U' L' F U'
F' D' B' F' L U2 F'
F2 D' B' D2 L B2 U2
F2 D' B' D2 B2 U2 R'
L' F2 U B R2 B U
L' F2 U B' R2 B U
L' F2 U B2 R2 B U
L2 F2 U R2 B' U R'
F D' B F U2 R' F
F D' B F U2 F R'
F2 D' B2 U2 F R F
L' F2 U' D' F' U' F'
L2 F2 U B' R2 U R
L' F2 U' D2 L2 F' U'
L' F2 U' D2 F' L2 U'
L' F2 U' F' U' D' F2
L' F2 U' F' U2 R2 U
L' F2 U' F' D' U' F2
L' F2 U' F' D2 L2 U'
L F2 U R B' R U
L F2 U R2 D B' U
L F2 U R2 D' B' U
L F2 U R2 D2 B' U
L F2 U R2 B' U D
L F2 U R2 B' U D'
L F2 U R2 B' U D2
L F2 U R2 B' D U
L F2 U R2 B' D' U
L F2 U R2 B' D2 U
L F2 U D' B' U F2
L F2 U B R2 B2 U
L F2 U B' R2 U D
L F2 U B' R2 U D'
L F2 U B' R2 U D2
L F2 U B' R2 D U
L F2 U B' R2 D' U
L F2 U B' R2 D2 U
L F2 U B' U D' F2
L F2 U B' D' U F2
F D' B2 F U2 F R
L F2 U' D2 L2 F U'
L' F2 D B2 U' F' U'
L' F2 D' U' F' U' F'
L' F2 D2 U' L2 F' U'
L' F2 D2 U' F' L2 U'
L F2 D B2 U B U
L F2 D' U B' U F2
L' F2 B U R2 B U
L' F2 B' U R2 B U
L F2 D2 U' L2 F U'
L' F2 B2 U R2 B U
L F2 B U R2 B2 U
L F2 B U B2 R2 U
L F2 B U2 D' R2 F2
L F2 B U2 D' F2 R2
L F2 B D L2 B2 U2
L F2 B D B2 L2 U2
L F2 B D' U2 R2 F2
L F2 B D' U2 F2 R2
L F2 B' U R2 U R2
L F2 B2 U B R2 U
D' B R' F2 D' L' B2
D' B R' F2 D' B2 L'
D' B U L2 U R' F2
D' B U L2 U F2 R'
F2 B L U R2 B' U
F2 B L U B' R2 U
D' B U2 R' F2 D' B2
D2 B U2 D F2 B R'
D2 B U2 D B R' F2
D2 B U2 D B F2 R'
D' B U2 F2 R' D' B2
D' B U2 F2 D' R' B2
D B U' R2 U' F' R
D2 B D U2 F2 B R'
D2 B D U2 B R' F2
D2 B D U2 B F2 R'
D2 B D B R' F2 L'
L' B F2 U R2 B U
D' B' L U L U F2
L B F2 U R2 B2 U
L B F2 U B2 R2 U
L B F2 U2 D' R2 F2
L B F2 U2 D' F2 R2
L B F2 D L2 B2 U2
L B F2 D B2 L2 U2
L B F2 D' U2 R2 F2
L B F2 D' U2 F2 R2
B' F D F L' B2 U2
B' F D F B2 L' U2
B' F D B2 F L' U2
