D' L' F U F2
L' U F L' F2
F U L' F2 B'
F U L' B' F2
L' F U L' F2
D' L' U F' D' L2
D' L' D F U F2
D' L' D' F U F2
D' L' D2 F U F2
D' L' F R U F2
D' L' F R' U F2
D' L' F R2 U F2
D' L' F U F2 D
D' L' F U F2 D'
D' L' F U F2 D2
D' L' F D R2 U
L' U L F L' F2
L' U L' F L' F2
L' U L2 F L' F2
L' U F L F2 L2
L' U F L' F2 D
L' U F L' F2 D'
L' U F L' F2 D2
L' U F L2 F2 L
L' U F' U2 R U2
F R U L' F2 B'
F R U L' B' F2
F R' U L' F2 B'
F R' U L' B' F2
F R2 U L' F2 B'
F R2 U L' B' F2
F U L' F2 D B'
F U L' F2 D' B'
F U L' F2 D2 B'
F U L' F2 B' D
F U L' F2 B' D'
F U L' F2 B' D2
F U L' B' F2 D
F U L' B' F2 D'
F U L' B' F2 D2
F U L2 F2 L B'
F U B L' F2 B'
F U B L' B' F2
F U B' L' F2 B'
F U B' L' B' F2
F U B2 L' F2 B'
F U B2 L' B' F2
L' F R U L' F2
L2 F L U L2 F2
L2 F L U F2 L2
L' F R' U L' F2
L' F R2 U L' F2
L F L2 U L F2
L F L2 U F2 L
L' F U L F2 L2
L' F U L' F2 D
L' F U L' F2 D'
L' F U L' F2 D2
L' F U L2 F2 L
L' F D R2 U L'
F D R2 U L' B'
L' R U2 L U' F L'
F L U L' B' L' F2
F L U F2 L' B' L'
L' R F R' U L' F'
D' L F L2 F U F
D' L F' L2 F U F'
F L F' L' U L' F'
F2 L F' U L' F B'
F2 L F' U L' B' F
B2 L F' D' R2 B2 L
F2 L F2 L' U F L'
F' L F2 U L' F2 B'
F' L F2 U L' B' F2
R' L' U F D2 L' F
L' R' U F D2 L' F
R2 L' U' D2 B R' U2
R L' U2 L U' F L'
D' L' R F R' U F'
D L' R F' R' U F'
R2 L' D R2 U F' L'
D' L' R' F R U F'
D2 L' R2 U' B R' U2
D L' R2 U' B U2 L
D' L' R2 F R2 U F'
D' L' R2 F U' B U2
D' L' U D F' D' L2
D2 L' U D2 F L' F2
D' L' U D' F' D' L2
D' L' U D2 F' D' L2
R2 L' D2 U' B R' U2
D' L' U F' L D' L2
D' L' U F' L' D' L2
D2 L' U F' B' L B
D' L' U F' L2 D' L2
D' L' U F' U' F2 U
D' L' U F' D' L2 D
D' L' U F' D' L2 D'
D' L' U F' D' L2 D2
D L' U D' F L' F2
D2 L' U F2 D2 F L'
D2 L' U B' L F' B
D2 L' U B' L B F'
D2 L' U B' F' L B
D L' U F2 D' F L'
R' L' F R U L' F'
L' R' F R U L' F'
R' L' F U D2 L' F
L' R' F U D2 L' F
D2 L' U' R2 B R' U2
R2 L' F R2 U L' F'
R L' F R' U L' F'
R' L' F D2 U L' F
L' R' F D2 U L' F
R2 L' F U' B U2 L'
D2 L' U' B' U2 L F'
D2 L' U' B' U2 F' L
D2 L' U' B2 U2 F' L'
D' L' U2 L' U' F' L'
D' L' U2 L2 B' U' F'
R' L' F' U' R U2 F'
L' R' F' U' R U2 F'
R2 L' F' U' B R U2
D2 L' U2 B' U' L F'
D2 L' U2 B' U' F' L
D' L' D U F' D' L2
D' L' D F R U F2
D' L' D F R' U F2
D' L' D F R2 U F2
D' L' D F U F2 D
D' L' D F U F2 D'
D' L' D F U F2 D2
D' L' D F D R2 U
D' L' D' U F' D' L2
D' L' D' F R U F2
D' L' D' F R' U F2
D' L' D' F R2 U F2
D' L' D' F U F2 D
D' L' D' F U F2 D'
D' L' D' F U F2 D2
D' L' D' F D R2 U
D L' D' U F L' F2
D L' D' F U L' F2
D2 L' D2 U F L' F2
D' L' D2 U F' D' L2
D2 L' D2 F U L' F2
D' L' D2 F R U F2
D' L' D2 F R' U F2
D' L' D2 F R2 U F2
D' L' D2 F U F2 D
D' L' D2 F U F2 D'
D' L' D2 F U F2 D2
D' L' D2 F D R2 U
D' L' F R U F2 D
D' L' F R U F2 D'
D' L' F R U F2 D2
D' L' F R D R2 U
D' L' F R' U F2 D
D' L' F R' U F2 D'
D' L' F R' U F2 D2
D' L' F R' D R2 U
D' L' F R2 U F2 D
D' L' F R2 U F2 D'
D' L' F R2 U F2 D2
D' L' F R2 D R2 U
D' L' F U L' F2 L
D' L' F U L2 F2 L2
D' L' F U R F2 R'
D' L' F U R2 F2 R2
D' L' F U F D F
D' L' F U F D' F
D' L' F U F D2 F
D' L' F U F' D F'
D' L' F U F' D' F'
D' L' F U F' D2 F'
D' L' F U' D2 B2 U2
D' L' F U' B U2 F2
D' L' F U' B' U2 F2
D L' F R F' U F'
D' L' F U' B2 U2 F2
D' L' F U2 L U' F2
D' L' F U2 L' U' F2
D' L' F U2 L2 U' F2
D' L' F U2 D' L2 U'
D' L' F D R2 U D
D' L' F D R2 U D'
D' L' F D R2 U D2
D' L' F D R2 D U
D' L' F D R2 D' U
D' L' F D R2 D2 U
D' L' F D' U2 L2 U'
D' L' F D2 U' B2 U2
B' L' F B U L' F2
B2 L' F B2 U L' F2
D' L' F' R F2 U F2
D' L' F' R' F2 U F2
D' L' F' R2 F2 U F2
F L' F' L' U L F'
F L' F' L' U F' L
D L' F' R F' U F
D' L' F2 U F D' L2
F' L' F2 U L' F2 B'
F' L' F2 U L' B' F2
D2 L' F2 U D2 F L'
L' R2 U' D2 B R' U2
D L' F2 R F' U F2
D' L' F2 D F' U F2
D' L' F2 D' F' U F2
D L' F2 U D' F L'
D2 L' F2 D2 U F L'
D' L' F2 D2 F' U F2
D L' F2 D' U F L'
B' L' B U F L' F2
B' L' B F U L' F2
L' R2 D R2 U F' L'
B2 L' B2 U F L' F2
B2 L' B2 F U L' F2
L' R2 D2 U' B R' U2
L' R2 F R2 U L' F'
L' R2 F U' B U2 L'
L' R2 F' U' B R U2
F L2 U L' F2 B' L2
F L2 U L' B' L2 F2
F L2 U L' B' F2 L2
F L2 U F2 L' B' L2
F L2 U' L F2 R B
D' L2 D L F U F2
D' L2 D' L F U F2
L' U L F L F2 L2
L' U L F L' F2 D
L' U L F L' F2 D'
L' U L F L' F2 D2
D' L2 D2 L F U F2
L' U L F L2 F2 L
L' U L F' U2 R U2
L' U L' F L F2 L2
L' U L' F L' F2 D
L' U L' F L' F2 D'
L' U L' F L' F2 D2
D' L2 F L F U F
L' U L' F L2 F2 L
L' U L' F' U2 R U2
U L2 F L' F2 D' B2
L' U L2 F L F2 L2
L' U L2 F L' F2 D
L' U L2 F L' F2 D'
L' U L2 F L' F2 D2
L' U L2 F L2 F2 L
D' L2 F' L F U F'
L' U L2 F' U2 R U2
F L2 F' L' U L2 F'
F L2 F' L' U F' L2
L' U R F L' R' F'
L' U R F R' L' F'
L' U R F2 R' F' L'
F' L2 F2 U L' F2 B'
F' L2 F2 U L' B' F2
L' U R2 F L' R2 F'
L' U R2 F R2 L' F'
L' U R2 F2 R2 F' L'
L' U D F2 D' F L'
L' U D' L' F' D' L2
L' U D' F2 D F L'
L' U D2 F' B' L B
L' U D2 F2 D2 F L'
L' U D2 B' L F' B
L' U D2 B' L B F'
L' U D2 B' F' L B
L' U F L F' L2 F'
L' U F L F2 L2 D
L' U F L F2 L2 D'
L' U F L F2 L2 D2
L' U F L' R F2 R'
L' U F L' R2 F2 R2
L' U F L' F D F
L' U F L' F D' F
L' U F L' F D2 F
L' U F L' F' D F'
L' U F L' F' D' F'
L' U F L' F' D2 F'
L' U F L2 F' L F'
L' U F L2 F2 L D
L' U F L2 F2 L D'
L' U F L2 F2 L D2
L' U F L2 F2 D L
L' U F L2 F2 D' L
L' U F L2 F2 D2 L
L' U F R L' F2 R'
D' R L' F R' U F'
L' U F R2 L' F2 R2
L2 U F L' F2 D' B2
L' U F D L' D' F2
L' U F D2 L' D2 F2
D R L' F' R' U F'
L' U F B' L' F2 B
L' U F B' L' B F2
L' U F B2 L' F2 B2
L' U F B2 L' B2 F2
L' U F' L U2 R U2
L' U F' L F2 L' F2
L' U F' L' U2 R U2
L' U F' L' F2 L' F2
L' U F' L2 U2 R U2
L' U F' L2 F2 L' F2
L' U F' R' D2 L2 R
L' U F' R' D2 R L2
L' U F' U' F2 U L'
L' U F' U2 R U2 D
L' U F' U2 R U2 D'
L' U F' U2 R U2 D2
L' U F' U2 R D U2
L' U F' U2 R D' U2
L' U F' U2 R D2 U2
L' U F' U2 D R U2
L' U F' U2 D' R U2
L' U F' U2 D2 R U2
L' U F' D U2 R U2
L' U F' D F2 L' F2
L' U F' D' U2 R U2
L' U F' D' F2 L' F2
L' U F' D2 U2 R U2
L' U F' D2 F2 L' F2
L' U F2 L F' L' F
F R U L' F2 D B'
F R U L' F2 D' B'
F R U L' F2 D2 B'
F R U L' F2 B' D
F R U L' F2 B' D'
F R U L' F2 B' D2
F R U L' B' F2 D
F R U L' B' F2 D'
F R U L' B' F2 D2
F R U L2 F2 L B'
L' U F2 D F' L' F2
L' U F2 D' F' L' F2
L' U F2 D2 F' L' F2
F R U B L' F2 B'
F R U B L' B' F2
F R U B' L' F2 B'
F R U B' L' B' F2
F R U B2 L' F2 B'
F R U B2 L' B' F2
L' U B D2 F' B' L
L' U B D2 B' L F'
L' U B D2 B' F' L
L' U B' F L' F2 B
L' U B' F L' B F2
F R D R2 U L' B'
L' U B2 F L' F2 B2
L' U B2 F L' B2 F2
L' U' R U2 L F L'
L' U' R2 D2 B R' U2
L' U' D2 R2 B R' U2
L' U' D2 B' U2 L F'
L' U' D2 B' U2 F' L
L' U' D2 B2 U2 F' L'
D' R' L' F R U F'
L' U' F' R F U2 F'
F R' U L' F2 D B'
F R' U L' F2 D' B'
F R' U L' F2 D2 B'
F R' U L' F2 B' D
F R' U L' F2 B' D'
F R' U L' F2 B' D2
F R' U L' B' F2 D
F R' U L' B' F2 D'
F R' U L' B' F2 D2
F R' U L2 F2 L B'
F R' U B L' F2 B'
F R' U B L' B' F2
F R' U B' L' F2 B'
F R' U B' L' B' F2
F R' U B2 L' F2 B'
F R' U B2 L' B' F2
L' U' B U2 F L' F2
L' U' B' U2 F L' F2
L' U' B2 U2 F L' F2
F R' D R2 U L' B'
L' U2 L U' F L' F2
D2 R' D2 L' U F L'
L' U2 L' U' F L' F2
L' U2 L2 U' F L' F2
L' U2 D' L B' U' F'
L' U2 D' L2 U' F' L'
D2 R2 L' U' B R' U2
L' U2 D2 B' U' L F'
L' U2 D2 B' U' F' L
D' R2 L' F R2 U F'
D' R2 L' F U' B U2
D R2 L' U' B U2 L
F R2 U L' F2 D B'
F R2 U L' F2 D' B'
F R2 U L' F2 D2 B'
F R2 U L' F2 B' D
F R2 U L' F2 B' D'
F R2 U L' F2 B' D2
F R2 U L' B' F2 D
F R2 U L' B' F2 D'
F R2 U L' B' F2 D2
F R2 U L2 F2 L B'
F R2 U B L' F2 B'
F R2 U B L' B' F2
F R2 U B' L' F2 B'
F R2 U B' L' B' F2
F R2 U B2 L' F2 B'
F R2 U B2 L' B' F2
L' U2 B U' F L' F2
L' U2 B' U' F L' F2
L' U2 B2 U' F L' F2
F R2 D R2 U L' B'
R2 D L' R2 U F' L'
L' D R F' R' U F'
L' D R2 U' B U2 L
R2 D R2 L' U F' L'
L' D U F2 D' F L'
F' R2 B2 D' L R2 B'
F' R2 B2 D' L B' R2
F' R2 B2 D' R2 L B'
L' D F R F' U F'
F U L B L2 F2 B'
F U L B L2 B' F2
F U L B' L2 F2 B'
F U L B' L2 B' F2
F U L B2 L2 F2 B'
F U L B2 L2 B' F2
F U L' R F2 R' B'
F U L' R' B' R F2
F U L' R2 F2 R2 B'
F U L' R2 F2 B' R2
F U L' R2 B' R2 F2
F U L' R2 B' F2 R2
L' D F' R F' U F
F U L' D B' D' F2
F U L' D' B' D F2
F U L' F D F B'
F U L' F D B' F
F U L' F D' F B'
F U L' F D' B' F
F U L' F D2 F B'
F U L' F D2 B' F
F U L' F B' D F
F U L' F B' D' F
F U L' F B' D2 F
F U L' F' D F' B'
F U L' F' D B' F'
F U L' F' D' F' B'
F U L' F' D' B' F'
F U L' F' D2 F' B'
F U L' F' D2 B' F'
F U L' F' B' D F'
F U L' F' B' D' F'
F U L' F' B' D2 F'
F U L' F2 R' B' R
F U L' F2 R2 B' R2
F U L' F2 D B' D
F U L' F2 D B' D'
F U L' F2 D B' D2
F U L' F2 D' B' D
F U L' F2 D' B' D'
F U L' F2 D' B' D2
F U L' F2 D2 B' D
F U L' F2 D2 B' D'
F U L' F2 D2 B' D2
F U L' F2 B2 D B
F U L' F2 B2 D' B
F U L' F2 B2 D2 B
F U L' B' L' F2 L
F U L' B' L2 F2 L2
