F' L' R U2 F' U'
F' L' R' B R2 U
F' R L' U2 F' U'
F' R' L' B R2 U
F' R' B L' R2 U
F' R' B R2 L' U
D' F' L' U R F
F' L R' B L2 R2 U
F' L R' B R2 L2 U
F' L' R U2 D F' U'
F' L' R U2 D' F' U'
F' L' R U2 D2 F' U'
F' L' R U2 F' U' D
F' L' R U2 F' U' D'
F' L' R U2 F' U' D2
F' L' R U2 F' D U'
F' L' R U2 F' D' U'
F' L' R U2 F' D2 U'
F' L' R D U2 F' U'
F' L' R D' U2 F' U'
F' L' R D2 U2 F' U'
F L' R D' F' U' L2
F L' R D2 F' B2 U'
F L' R D2 B2 F' U'
F' L' R B U2 F' U'
F' L' R B' U2 F' U'
F L' R F' U2 F' U
F' L' R B2 U2 F' U'
F' L' R' D' B U F2
F' L' R' B R2 U D
F' L' R' B R2 U D'
F' L' R' B R2 U D2
F' L' R' B R2 D U
F' L' R' B R2 D' U
F' L' R' B R2 D2 U
F' L' R' B U D' F2
F' L' R' B D' U F2
F' L' R' B' R2 B2 U
F' L' R' B2 R2 B' U
F' L' D R B U R'
F' L' D B R U R2
D' L' F' L' U R F2
F' L' B R U2 F' U'
F' L' B R' B R2 U
F' L' B' R U2 F' U'
F' L' B' R' B R2 U
F' L' B2 R U2 F' U'
F' L' B2 R' B R2 U
F' L2 D2 L R B' U
F' L2 D2 L B' R U
F' L2 D2 R L B' U
F' R L' U2 D F' U'
F' R L' U2 D' F' U'
F' R L' U2 D2 F' U'
F' R L' U2 F' U' D
F' R L' U2 F' U' D'
F' R L' U2 F' U' D2
F' R L' U2 F' D U'
F' R L' U2 F' D' U'
F' R L' U2 F' D2 U'
F' R L' D U2 F' U'
F' R L' D' U2 F' U'
F' R L' D2 U2 F' U'
F' R L' B U2 F' U'
F' R L' B' U2 F' U'
F' R L' B2 U2 F' U'
F R L' D' F' U' L2
F R L' D2 F' B2 U'
F R L' D2 B2 F' U'
F R L' F' U2 F' U
F' R U2 F2 R F U'
F' R D L' U2 F' U'
F' R D' L' U2 F' U'
F' R D2 L' U2 F' U'
F R D2 L' F' B2 U'
F R D2 L' B2 F' U'
F R D2 B2 L' F' U'
F R F' U2 F' R U
F' R B L' U2 F' U'
F' R B' L' U2 F' U'
F' R B2 L' U2 F' U'
F' R' L B L2 R2 U
F' R' L B R2 L2 U
F' R' L' D' B U F2
F' R' L' B R2 U D
F' R' L' B R2 U D'
F' R' L' B R2 U D2
F' R' L' B R2 D U
F' R' L' B R2 D' U
F' R' L' B R2 D2 U
F' R' L' B U D' F2
F' R' L' B D' U F2
F' R' L' B' R2 B2 U
F' R' L' B2 R2 B' U
F' R' D' L' B U F2
F' R' D' B L' U F2
F2 R' F L' B R U
F2 R' F B L' R U
F2 R' F B R L' U
F' R' B L' R2 U D
F' R' B L' R2 U D'
F' R' B L' R2 U D2
F' R' B L' R2 D U
F' R' B L' R2 D' U
F' R' B L' R2 D2 U
F' R' B L' U D' F2
F' R' B L' D' U F2
F' R' B R2 L' U D
F' R' B R2 L' U D'
F' R' B R2 L' U D2
F' R' B R2 L' D U
F' R' B R2 L' D' U
F' R' B R2 L' D2 U
F' R' B R2 D L' U
F' R' B R2 D' L' U
F' R' B R2 D2 L' U
F' R' B D' L' U F2
F' R' B' L' R2 B2 U
F2 R' B F L' R U
F' R' B' L' B2 R2 U
F2 R' B F R L' U
F' R' B' R2 L' B2 U
F' R' B' R2 B2 L' U
F' R' B2 R2 B' L' U
F2 R2 F L' R B U
F2 R2 F R L' B U
F2 R2 F R B L' U
L' D' F' L' U R F
L2 D' F' L' U R F
L D' F' L' U R F
R F L' R F2 B U'
R F L' R B F2 U'
F' U2 F2 L' R F' U'
F' U2 F2 R L' F' U'
R F R L' F2 B U'
R F R L' B F2 U'
R F R B L' F2 U'
F' D L' R B U R'
F' D L' B R U R2
F' D R L' B U R'
F' D R B L' U R'
D' F' L' R' U R2 F
D' F' L' R' U F R2
D' F' L' R2 U R' F
D' F' L' R2 U F R'
D' F' L' U R D F
D' F' L' U R D' F
D' F' L' U R D2 F
D' F' L' U R F D
D' F' L' U R F D'
D' F' L' U R F D2
D' F' L' U R' F R2
D' F' L' U R2 F R'
D' F' L' U D R F
D' F' L' U D' R F
D' F' L' U D2 R F
L' F' L' R U2 F' U'
L' F' L' R' B R2 U
D' F' L' D U R F
D' F' L' D' U R F
D' F' L' D2 U R F
R' F' L' B R F' U
L2 F' L' R U2 F' U'
D' F' L' B U R F
L2 F' L' R' B R2 U
D' F' L' B' U R F
D' F' L' B2 U R F
L F' L' R U2 F' U'
L F' L' R' B R2 U
U' F' R U2 F' U' B
L' F' R L' U2 F' U'
L2 F' R L' U2 F' U'
D' F' R' L' U R2 F
D' F' R' L' U F R2
L' F' R' L' B R2 U
U' F' R' B R2 U B
F' D B L' R U R2
L2 F' R' L' B R2 U
F' D B R L' U R2
L' F' R' B L' R2 U
L' F' R' B R2 L' U
L F' R L' U2 F' U'
