B L2 F R' U R
D' R U' F' R' B2
R' U' D' R F' B2
R' U' D' R B2 F'
R' U' D' B2 R F'
D2 R2 F L' U' R2
R' D' U' R F' B2
R' D' U' R B2 F'
R' D' U' B2 R F'
B U' L2 R' F U
B U' L2 F R' U
B U' R' L2 F U
D2 F L' R2 U' R2
D2 F R2 L' U' R2
D' L R U' F' R' B2
D2 L R2 F L' U' R2
B2 L U B2 R' U' F'
U' L D L U L2 F
D2 L F L' R2 U' R2
D2 L F R2 L' U' R2
B' L B2 R' B' U' R
D' L' R U' F' R' B2
D2 L' R2 F L' U' R2
R2 L' D' F2 R U' F'
B L' U' L' R' F U
B L' U' L' F R' U
B L' U' R' L' F U
U' L' D L' U F L2
D L' D R2 U' R2 F
D L' D R2 U' F R2
D L' D2 F B2 D L2
D2 L' F L' R2 U' R2
D L' D2 B2 D F L2
D L' D2 B2 F D L2
D2 L' F R2 L' U' R2
D L' F B2 D L2 B'
U2 L' B2 L' U R' F'
L' R2 D' F2 R U' F'
D' L2 R U' F' R' B2
D L' B2 F D L2 B'
B L2 R F R2 U R
D2 L2 R2 F L' U' R2
B' L2 U L' B U' B'
U' L2 U L' D L' F
U' L2 U2 B' L U' L
B L2 D F R' U R
U2 L2 D' R B2 U F'
B L2 D' F R' U R
U2 L2 D' B2 R U F'
D2 L2 F L' R2 U' R2
B L2 D2 F R' U R
D2 L2 F R2 L' U' R2
B L2 F R' U R D
B L2 F R' U R D'
B L2 F R' U R D2
B L2 F R' U D R
B L2 F R' U D' R
B L2 F R' U D2 R
B L2 F R' D U R
B L2 F R' D' U R
B L2 F R' D2 U R
B L2 F R' B U R
B L2 F R' B' U R
B L2 F R' B2 U R
B L2 F D R' U R
B L2 F D' R' U R
B L2 F D2 R' U R
U' L2 B R' B' U L2
U2 L2 B R' U D2 R2
U2 L2 B R' U' L2 U2
U2 L2 B R' D' B2 U
U2 L2 B R' D2 U R2
U2 L2 B D' R' B2 U
U2 L2 B D2 R' U R'
R' U D F2 L' U2 F
U2 L2 B' D' B2 R' U
R' U D' R F' B2 L
R' U D' R B2 L F'
R' U D' R B2 F' L
D' R L U' F' R' B2
D' R L' U' F' R' B2
D' R L2 U' F' R' B2
B R L2 F R2 U R
D' R U' F R' F2 B2
D' R U' F R' B2 F2
D' R U' F' R B2 R2
D' R U' F' R' B2 D
D' R U' F' R' B2 D'
D' R U' F' R' B2 D2
D' R U' F' R2 B2 R
D' R U' F2 R' F B2
D' R U' F2 R' B2 F
D2 R D R U' F' R2
L U' L U D L' F
L U' L D U L' F
D' R F U' R' F2 B2
D' R F U' R' B2 F2
D' R F U' F2 R' B2
D' R F' R' B2 D L2
D' R F2 U' R' F B2
D' R F2 U' R' B2 F
D' R F2 U' F R' B2
R2 U' R D' R F' B2
R2 U' R D' R B2 F'
R2 U' R D' B2 R F'
L' U' D L' U F L
R U' R2 D' R F' B2
R U' R2 D' R B2 F'
R U' R2 D' B2 R F'
R' U' D' R F' B2 D
R' U' D' R F' B2 D'
R' U' D' R F' B2 D2
R' U' D' R B2 D F'
R' U' D' R B2 D' F'
R' U' D' R B2 D2 F'
R' U' D' R B2 F' D
R' U' D' R B2 F' D'
R' U' D' R B2 F' D2
R' U' D' B' R F' B'
R' U' D' B' R B' F'
R' U' D' B2 R D F'
R' U' D' B2 R D' F'
R' U' D' B2 R D2 F'
R' U' D' B2 R F' D
R' U' D' B2 R F' D'
R' U' D' B2 R F' D2
R U' D' R F' R2 B2
R U' D' R F' B2 R2
R U' D' R B2 F' R2
D' R' U B U2 B R
D R' U F2 L' U2 F
D' R' U' R2 F' R' B2
R' U' B R D' F2 B2
R' U' B R D' B2 F2
F' R' U' D' R F' B2
F' R' U' D' R B2 F'
F' R' U' D' B2 R F'
F2 R' U' D' R F' B2
F2 R' U' D' R B2 F'
F2 R' U' D' B2 R F'
D R' U' D2 R F' B2
D R' U' D2 R B2 F'
D R' U' D2 B2 R F'
F R' U' D' R F' B2
F R' U' D' R B2 F'
F R' U' D' B2 R F'
D2 R' D R' U' R2 F'
D' R' D' R2 U' F' R'
F' R' D' U' R F' B2
F' R' D' U' R B2 F'
F' R' D' U' B2 R F'
F2 R' D' U' R F' B2
F2 R' D' U' R B2 F'
F2 R' D' U' B2 R F'
F R' D' U' R F' B2
F R' D' U' R B2 F'
F R' D' U' B2 R F'
D R' D2 U' R F' B2
D R' D2 U' R B2 F'
D R' D2 U' B2 R F'
L' U2 L' B2 U R' F'
R' U2 L2 U D' R F'
R' U2 L2 D' U R F'
R' U2 L2 B R' U R2
B R' F' L2 F U R
R2 U2 L2 B R' U R'
D' R' B2 R D L2 F
D' R' B2 D L2 R F
D' R' B2 D R L2 F
D2 R2 L F L' U' R2
D2 R2 L' F L' U' R2
D2 R2 L2 F L' U' R2
D2 R2 U' R D R F'
R' U2 B L2 R' U R2
R' U2 B R' L2 U R2
R2 U2 B L2 R' U R'
R2 U2 B R' L2 U R'
D2 R2 D' L' F2 U' F'
D2 R2 D' F2 L' U' F
D2 R2 F L' U' R2 D
D2 R2 F L' U' R2 D'
D2 R2 F L' U' R2 D2
D2 R2 F L' D' F2 U'
D2 R2 F L' F U' R2
D2 R2 F L' F' U' R2
D2 R2 F L' F2 U' R2
D2 R2 F D' L' F2 U'
D2 R2 F' U2 R U R
D2 R2 F' D' F2 L' U'
D2 R2 F2 U' R' F' R'
R' D U F2 L' U2 F
L' D U' L' U F L
B' U L B2 R' B' U'
B2 U L B2 R' U' F'
D' U R U' F' B2 L
D' U R U' B2 L F'
D' U R U' B2 F' L
B' U D' L B U' B
R' D' L U' R F' B2
R' D' L U' R B2 F'
R' D' L U' B2 R F'
B' U D2 L B R2 U'
R' D' L' U' R F' B2
R' D' L' U' R B2 F'
R' D' L' U' B2 R F'
R' D' L2 U' R F' B2
R' D' L2 U' R B2 F'
R' D' L2 U' B2 R F'
R' D' R F' B2 D L2
R' D' R B2 D L2 F'
R' D' R B2 D F' L2
R' D' R B2 F' D L2
R' D' R' U' R2 F' B2
R' D' R' U' R2 B2 F'
R2 D' R F2 U' F B2
R2 D' R F2 U' B2 F
R D' R U' F' R2 B2
R D' R U' F' B2 R2
R D' R U' B2 F' R2
R' D' U R F' B2 L
R' D' U R B2 L F'
R' D' U R B2 F' L
R D' R' B2 D L2 F
R' D' U' R F' B2 D
R' D' U' R F' B2 D'
R' D' U' R F' B2 D2
R' D' U' R B2 D F'
R' D' U' R B2 D' F'
R' D' U' R B2 D2 F'
R' D' U' R B2 F' D
R' D' U' R B2 F' D'
R' D' U' R B2 F' D2
R' D' U' B' R F' B'
R' D' U' B' R B' F'
R' D' U' B2 R D F'
R' D' U' B2 R D' F'
R' D' U' B2 R D2 F'
R' D' U' B2 R F' D
R' D' U' B2 R F' D'
R' D' U' B2 R F' D2
U' D' R F' B2 D' R2
D' U' R F' B2 D' R2
R D' U' R F' R2 B2
R D' U' R F' B2 R2
R D' U' R B2 F' R2
D' U' R B2 D' F' R2
U' D' R B2 D' F' R2
D' U' R B2 F' D' R2
U' D' R B2 F' D' R2
U D' R U' F' B2 L
U D' R U' B2 L F'
U D' R U' B2 F' L
B' U' L2 U2 L' B U'
B' U' L2 U2 B L' U'
B U' L2 R F R2 U
B U' L2 R' D F U
B U' L2 R' D' F U
B U' L2 R' D2 F U
B U' L2 R' F U D
B U' L2 R' F U D'
B U' L2 R' F U D2
B U' L2 R' F D U
B U' L2 R' F D' U
B U' L2 R' F D2 U
L' D' F2 R U' F' R'
B U' L2 D R' F U
B U' L2 D F R' U
B U' L2 D' R' F U
B U' L2 D' F R' U
B U' L2 D2 R' F U
B U' L2 D2 F R' U
B U' L2 F R' U D
B U' L2 F R' U D'
B U' L2 F R' U D2
B U' L2 F R' D U
B U' L2 F R' D' U
B U' L2 F R' D2 U
B U' L2 F D R' U
B U' L2 F D' R' U
B U' L2 F D2 R' U
B U' L2 F' R' F2 U
R2 D' F2 R U' F' B2
R2 D' F2 R U' B2 F'
B U' R L2 F R2 U
B U' R' L2 D F U
B U' R' L2 D' F U
B U' R' L2 D2 F U
B U' R' L2 F U D
B U' R' L2 F U D'
B U' R' L2 F U D2
B U' R' L2 F D U
B U' R' L2 F D' U
B U' R' L2 F D2 U
B U' R' F L2 F U
B U' R' F' L2 F U
B U' R' F2 L2 F U
R' D' B2 R D L2 F'
R' D' B2 R D F' L2
R' D' B2 R F' D L2
D' U' B2 R D' F' R2
U' D' B2 R D' F' R2
D' U' B2 R F' D' R2
U' D' B2 R F' D' R2
D' U' B2 R' D' R2 F'
U' D' B2 R' D' R2 F'
B U' F L2 R' F U
B U' F L2 F R' U
B U' F R' L2 F U
B U' F' L2 R' F U
B U' F' L2 F R' U
B U' F' R' L2 F U
B U' F2 L2 R' F U
B U' F2 L2 F R' U
B U' F2 R' L2 F U
R' D2 R2 F L' U' R'
R' D2 R2 F2 U' R' F'
R D2 R2 U' D R F'
R D2 R2 D U' R F'
R D2 F L' R2 U' R
R D2 F R2 L' U' R
L' D2 F2 R U' R' F'
D2 F L' R2 U' R2 D
D2 F L' R2 U' R2 D'
D2 F L' R2 U' R2 D2
D2 F L' R2 D' F2 U'
D2 F L' R2 F U' R2
D2 F L' R2 F' U' R2
D2 F L' R2 F2 U' R2
D2 F L' F R2 U' R2
D2 F L' F' R2 U' R2
D2 F L' F2 R2 U' R2
D' F R U' F' R' B2
D2 F R2 L' U' R2 D
D2 F R2 L' U' R2 D'
D2 F R2 L' U' R2 D2
D2 F R2 L' D' F2 U'
D2 F R2 L' F U' R2
D2 F R2 L' F' U' R2
D2 F R2 L' F2 U' R2
D2 F R2 D' L' F2 U'
D' F' R U' F' R' B2
D2 F' R2 U2 R' U R'
F' D' R U' F' R' B2
F2 D' R U' F' R' B2
F D' R U' F' R' B2
B' D' U L B U' B
D' F2 R U' F' R' B2
D2 F2 R2 U' R' F' R'
D2 F2 R2 F' L' U' R2
B' D2 L B R2 U' R2
B D' B2 U L B U'
L' F2 D' R U' F' R'
F' D2 R2 F L' U' R2
B' D2 U L B R2 U'
F2 D2 R2 F L' U' R2
F D2 R2 F L' U' R2
F' D2 F L' R2 U' R2
R' B L2 R' F U R2
F' D2 F R2 L' U' R2
F2 D2 F L' R2 U' R2
F2 D2 F R2 L' U' R2
U2 B L2 R' U D2 R2
U2 B L2 R' U' L2 U2
U2 B L2 R' D' B2 U
U2 B L2 R' D2 U R2
U2 B L2 D' R' B2 U
U2 B L2 D2 R' U R'
R2 B L2 R' F U R'
F D2 F L' R2 U' R2
F D2 F R2 L' U' R2
R2 B L2 F R' U R'
R' B R' L2 F U R2
U' B R' B' L2 U L2
U2 B R' L2 U D2 R2
U2 B R' L2 U' L2 U2
U2 B R' L2 D' B2 U
U2 B R' L2 D2 U R2
L2 B R' U2 B' U' R
R2 B R' L2 F U R'
U2 B U L2 R' U L2
U' B U' R' B' L2 U
U2 B U R' L2 U L2
U B U2 L2 R' U L2
F' B L2 F R' U R
U B U2 R' L2 U L2
F2 B L2 F R' U R
B F L2 F R' U R
F B L2 F R' U R
F' B U' L2 R' F U
F' B U' L2 F R' U
F' B U' R' L2 F U
F2 B U' L2 R' F U
F2 B U' L2 F R' U
F2 B U' R' L2 F U
B F U' L2 R' F U
B F U' L2 F R' U
B F U' R' L2 F U
F B U' L2 R' F U
F B U' L2 F R' U
F B U' R' L2 F U
U B' L U2 L U L'
L2 B' U L B U' B'
B F' L2 F R' U R
B F' U' L2 R' F U
B F' U' L2 F R' U
B F' U' R' L2 F U
D B2 L' F D L2 B'
D' B2 R D L2 F' R'
D' B2 R D F' L2 R'
D' B2 R D F' R' L2
D' B2 R F' R' D L2
D' B2 R F' D L2 R'
D' B2 R F' D R' L2
B F2 L2 F R' U R
L B2 U R' B2 U' F'
D' B2 D L' D L' F
D' B2 D2 L D' L2 F
B F2 U' L2 R' F U
B F2 U' L2 F R' U
D' B2 D2 L' D' F L2
B F2 U' R' L2 F U
