U R U F' R' B
U L R U F' R' B
U2 L U' D2 L' F B
U2 L U' D2 L' B F
U2 L U' D2 B L' F
U' L U' F2 B R F'
U' L U' B F2 R F'
U2 L U' B D2 L' F
U2 L D2 U' L' F B
U2 L D2 U' L' B F
U2 L D2 U' B L' F
U' L F2 U' B R F'
D2 L B' U B U B
U L' R U F' R' B
U L2 R U F' R' B
L' U R U F' R' B
L2 U R U F' R' B
L U R U F' R' B
R U R' U2 B R F'
U R L U F' R' B
R U D2 F' B2 L B'
U R L' U F' R' B
R U D2 B2 L F' B'
R U D2 B2 L B' F'
R U D2 B2 F' L B'
U R L2 U F' R' B
R U F' U2 R' U2 B
R U F' D2 B2 L B'
R U F' B2 D2 L B'
U R U F R' F2 B
U R U F R' B F2
U R U F' R' D B
U R U F' R' D' B
U R U F' R' D2 B
U R U F' R' B D
U R U F' R' B D'
U R U F' R' B D2
U R U F2 R' F B
U R U F2 R' B F
R U B2 D2 L F' B'
R U B2 D2 L B' F'
R U B2 D2 F' L B'
R U B2 F' D2 L B'
B' R B2 L D' F' R
R U' R2 B R U2 B
B2 R B2 U L F' B
B2 R B2 U L B F'
B2 R B2 U F' L B
B' R B2 D' L F' R
B' R B2 D' F' L R
B' R B2 D' F' R L
R U' F R' U2 F2 B
R U' F R' U2 B F2
R' U' B R U L U
R U' F2 R' U2 F B
R U' F2 R' U2 B F
U' R' B U' B' R' U'
F' U R U F' R' B
F2 U R U F' R' B
B2 U R B2 U F' B
B2 U R B2 U B F'
F U R U F' R' B
B' U D L2 B R' U
B' U D B L2 R' U
B' U D B R' L2 U
U2 D B U' R' U R
U2 D B' L U' L' B2
U2 D B' L U' B2 L'
D2 U2 L' U' F L B
U2 D2 L' U' F L B
R D2 U F' B2 L B'
R D2 U B2 L F' B'
R D2 U B2 L B' F'
R D2 U B2 F' L B'
B2 U2 R D' F' R2 B'
B2 U2 R D' F' B' R2
B2 U2 R D' B' F' R2
B' U2 R B2 D' F' R
B2 U2 R F' D' R2 B'
B2 U2 R F' D' B' R2
B2 U2 R' D' R2 F' B'
B2 U2 R' D' R2 B' F'
D U2 B U' R' U R
D U2 B' L U' L' B2
D U2 B' L U' B2 L'
D' F U2 L' U' L B
R F U' R' U2 F2 B
R F U' R' U2 B F2
B' D U L2 B R' U
B' D U B L2 R' U
B' D U B R' L2 U
D' F' R U' R' U2 B
D' F' U R U R' B
U2 F' B R F' D R2
R F2 U' R' U2 F B
R F2 U' R' U2 B F
U2 F2 B R D F' R2
U2 F2 B R' D R2 F'
R' B R U B' U B2
R' B R U2 B D' R2
U2 B R F' U F U'
U2 B R F2 D R2 F
U2 B R F2 D F R2
U2 B R' F2 D R2 F'
U2 B U' R U F' R'
U2 B F' R F' D R2
U2 B F2 R D F' R2
U2 B F2 R' D R2 F'
U B' R U F' R' B2
U B2 R U F' R' B'
