F2 L' B R' U L'
B R' U L2 D B2
B R' U2 R2 U' L2
B R' D F2 U B2
B D F2 L' R' U
B D F2 R' L' U
D F2 L' B U F
D F2 B L' U F
F2 B L' R' U L'
F2 B R' L' U L'
D B F2 L' U F
B F2 L' R' U L'
B F2 R' L' U L'
B' L R U' L D' R2
B' L R U' D' L R2
B' L R U' D' R2 L
B2 L R U' L F R
B' L R D' U' L R2
B' L R D' U' R2 L
B' L R D2 F2 U' L
B L R' U L D B2
B L R' U D L B2
B L R' U2 R2 U' L
B L R' D U L B2
B L R' D2 L2 U L'
B' L D' R U' L R
B' L D' R U' R L
B' L D2 R F2 U' L
B L F2 L' R' U L2
B L F2 R' L' U L2
B L' R' U L' D B2
B L' R' U D L' B2
B L' R' U D B2 L'
B L' R' U2 R2 U' L'
B L' R' D U L' B2
B L' R' D U B2 L'
B L' R' D2 L2 U L
F2 L' D B U L' F
D L' F2 L' B U F'
D L' F2 B L' U F'
F' L' B R' U L' B'
F2 L' B R' U L' D
F2 L' B R' U L' D'
F2 L' B R' U L' D2
F2 L' B R' U D L'
F2 L' B R' U D' L'
F2 L' B R' U D2 L'
F2 L' B R' D U L'
F2 L' B R' D' U L'
F2 L' B R' D2 U L'
F2 L' B D R' U L'
F2 L' B D' R' U L'
F2 L' B D2 R' U L'
D L' B F2 L' U F'
B L2 R' D2 L2 U L2
F2 L2 U' L B R' U
B L2 F2 L' R' U L
B L2 F2 R' L' U L
B' R L U' L D' R2
B' R L U' D' L R2
B' R L U' D' R2 L
B2 R L U' L F R
B' R L D' U' L R2
B' R L D' U' R2 L
B' R L D2 F2 U' L
B' R U2 B2 R' U L2
B' R D' L B2 U' R2
R U' L2 D' R F' R
R U' L2 D' F' R F'
D' R B2 U' D' F' R
D' R B2 D' U' F' R
B R' L U L D B2
B R' L U D L B2
B R' L U2 R2 U' L
B R' L D U L B2
B R' L D2 L2 U L'
B R' L' U L' D B2
B R' L' U D L' B2
B R' L' U D B2 L'
B R' L' U2 R2 U' L'
B R' L' D U L' B2
B R' L' D U B2 L'
B R' L' D2 L2 U L
B R' L2 D2 L2 U L2
B R' U L D L B2
B R' U L' D L' B2
B R' U L' D B2 L'
B R' U L2 U R2 U'
B R' U L2 D B2 D
B R' U L2 D B2 D'
B R' U L2 D B2 D2
B R' U L2 B D B2
B R' U L2 B' D B2
B R' U L2 B2 D B2
B R' U D B2 D' L2
B R' U B L2 D B2
B R' U B' L2 D B2
B R' U B2 L2 D B2
L2 U' B R' U D B2
L2 U' B R' U2 R2 U'
L2 U' B R' D U B2
L2 U' B R' D2 L2 U
B R' U2 R2 U' L2 D
B R' U2 R2 U' L2 D'
B R' U2 R2 U' L2 D2
B R' U2 R2 D' B2 U'
B R' U2 R2 B U' L2
B R' U2 R2 B' U' L2
B R' U2 R2 B2 U' L2
B R' U2 B R2 U' L2
B R' U2 B' R2 U' L2
B R' U2 B2 R2 U' L2
B R' D L F2 U B2
B R' D L' F2 U B2
B R' D L2 F2 U B2
B R' D U B2 D' L2
B R' D F2 L U B2
B R' D F2 L' U B2
B R' D F2 L2 U B2
B R' D F2 U B2 D
B R' D F2 U B2 D'
B R' D F2 U B2 D2
B R' D F2 D L2 U
B R' D2 L2 U D2 L2
B R' D2 L2 U' R2 U2
B R' D2 L2 D' F2 U
B R' D2 L2 D2 U L2
B R' F U L2 D B2
B R' F U2 R2 U' L2
B R' F D F2 U B2
B R' F' U L2 D B2
B R' F' U2 R2 U' L2
B R' F' D F2 U B2
B R' F2 U L2 D B2
B R' F2 U2 R2 U' L2
B R' F2 D F2 U B2
R U2 R' B R' U L2
R U2 B R' B U L2
D' R2 F' R' B2 U' F'
B' R2 B2 L R' U L
B' R2 B2 R' L U L
F2 U L' B R' U L'
U' D F2 L' B U F
U2 D F2 L' B U F
U' D F2 B L' U F
D U F2 L' B U F
U2 D F2 B L' U F
U D F2 L' B U F
D U F2 B L' U F
U' D B F2 L' U F
U D F2 B L' U F
U2 D B F2 L' U F
D U B F2 L' U F
U D B F2 L' U F
F2 U B L' R' U L'
F2 U B R' L' U L'
F2 U' L' B R' U L'
R D' F' B2 U' R F'
D U' F2 L' B U F
D U' F2 B L' U F
R D' B2 U' R F' R
R D' B2 U' F' R F'
D U' B F2 L' U F
R D' B2 F' U' R F'
F2 U' B L' R' U L'
F2 U' B R' L' U L'
F2 U2 L' B R' U L'
D U2 F2 L' B U F
B U2 R U' L2 D' F2
B U2 R U2 R2 U L2
B U2 R D' B2 U' F2
D U2 F2 B L' U F
D U2 B F2 L' U F
B U2 D' B2 L R U'
B U2 D' B2 R L U'
F' U2 B L R' U L
F' U2 B R' L U L
F2 U2 B L' R' U L'
F2 U2 B R' L' U L'
B U2 B2 L R U' L
B U2 B2 R L U' L
B D L F2 L' R' U
B D L F2 R' L' U
F2 D L' F2 B U F'
F2 D L' B F2 U F'
B D L' F2 L' R' U
B D L' F2 R' L' U
B D L2 F2 L' R' U
B D L2 F2 R' L' U
B D R' F2 U D B2
B D R' F2 U2 R2 U'
B D R' F2 D U B2
B D R' F2 D2 L2 U
B D F R' F L' U
B2 D F2 B' L' R' U
B2 D F2 B' R' L' U
B D F2 L' R' U D
B D F2 L' R' U D'
B D F2 L' R' U D2
B D F2 L' R' D U
B D F2 L' R' D' U
B D F2 L' R' D2 U
B D F2 L' D R' U
B D F2 L' D' R' U
B D F2 L' D2 R' U
B D F2 R' L' U D
B D F2 R' L' U D'
B D F2 R' L' U D2
B D F2 R' L' D U
B D F2 R' L' D' U
B D F2 R' L' D2 U
F2 D B L' F2 U F'
B D F2 R' D L' U
B D F2 R' D' L' U
B D F2 R' D2 L' U
B D F2 D L' R' U
B D F2 D R' L' U
B D F2 D' L' R' U
B D F2 D' R' L' U
B D F2 D2 L' R' U
B D F2 D2 R' L' U
R2 F' R' B' L U' L
B2 D B' F2 L' R' U
B2 D B' F2 R' L' U
B' D' L R B2 U' R
B' D' L B2 R U' R
B' D' R L B2 U' R
B D' R' U D L2 B2
B D' R' U D B2 L2
B D' R' U2 R2 B2 U'
B D' R' U2 B2 R2 U'
B D' R' D U L2 B2
B D' R' D U B2 L2
B D' R' D2 L2 F2 U
B D' R' D2 F2 L2 U
U' F2 L' B R' U L'
D F2 L' R' U F R
