B R' F' L' U' L
B' L U L F L2 R
B' L U L F R L2
B2 L U' L' B' R' F'
D L U' B' L' R' F'
D L U' B' R' L' F'
B L' R' F' L' U' L2
B2 L' U L F R B
F' L' U' D L B' R'
F' L' D U' L B' R'
B L2 R' F' L' U' L'
L' U D L F R B'
L' U D L F B' R
L' U D L B' F R
L' U' D L B' R' F'
F R B' L B2 U L'
B R' L' F' L' U' L2
B R' L2 F' L' U' L'
B R' D F' L' U' L
B R' D' F' L' U' L
B R' D2 F' L' U' L
D2 R' F' L' R U' L
D' R' F' L' U' L B
D2 R' F' R L' U' L
B R' F' L' U' L D
B R' F' L' U' L D'
B R' F' L' U' L D2
B R' F' L' U' D L
B R' F' L' U' D' L
B R' F' L' U' D2 L
B R' F' L' D U' L
B R' F' L' D' U' L
B R' F' L' D2 U' L
B R' F' D L' U' L
B R' F' D' L' U' L
B R' F' D2 L' U' L
B R' F' B L' U' L
B R' F' B' L' U' L
B R' F' B2 L' U' L
U' R' B' L U F' R'
B R' B F' L' U' L
B R' B' F' L' U' L
B R' B2 F' L' U' L
L' D U L F R B'
L' D U L F B' R
L' D U L B' F R
L' D U' L B' R' F'
F U' R B' L U R'
F U' B' L R U R2
F U' B' R L U R2
R' D2 F' L' R U' L
R' D2 F' R L' U' L
D2 F R B L' U L
B D R' F' L' U' L
R' F' L' U' D L B'
R' F' L' D U' L B'
R' F' B L' R' U' L
R' F' B R' L' U' L
B D' R' F' L' U' L
B D2 R' F' L' U' L
L2 B R' F' L' U' L'
B' F L R B U L'
F' B L' R' F' U' L
B' F R L B U L'
B2 F R B L U L'
F' B R' L' F' U' L
R' B F' L' R' U' L
R' B F' R' L' U' L
U' B' L R U R2 F'
U' B' L R2 U R F'
L2 B' L U L F R
U' B' R L U R2 F'
U' B' R2 L U R F'
F B' L R B U L'
B F' L' R' F' U' L
F B' R L B U L'
B F' R' L' F' U' L
F B2 R B L U L'
L B2 U' L' B' R' F'
