D' L F L U F R
B' L' F2 U' B' U' R'
D' L2 U D F L' R
D' L2 U D F R L'
D' L2 D U F L' R
D' L2 D U F R L'
U L2 F2 U2 F' L' R
U L2 F2 U2 F' R L'
B' R F2 U B U L
F2 R' B' U' F' U' L'
D2 U B' R' U2 B' R'
F' U F' B' L' R' U2
F' U F' B' R' L' U2
F U F B' R' U2 R2
F' U B' F' L' R' U2
F' U B' F' R' L' U2
F U B' R' F U2 R
F U B' F R' U2 R2
F U' F R B' U2 R'
F' U' F' B' U2 L' R'
F' U' F' B' U2 R' L'
F U' F B' R U2 R2
F' U' B' F' U2 L' R'
F' U' B' F' U2 R' L'
F U' B' F R U2 R2
U D2 B' R' U2 B' R'
U' F R F B' U2 R'
U' F R B' F U2 R'
U' F B' R F U2 R2
U F B' R' F U2 R2
R' F' U F' B' R' U2
R' F' U B' F' R' U2
U F' B' L' F' R' U2
U' F2 L2 U2 F L' R
U' F2 L2 U2 F R L'
U' F2 U2 L2 F L' R
U' F2 U2 L2 F R L'
U' F2 D2 B' U2 L R'
U' F2 D2 B' U2 R' L
U F2 D2 B' L R' U2
U F2 D2 B' R' L U2
F2 B' L U F U R
U B' R' F' L' F' U2
F2 B' L' U' B' U' R'
F2 B' R U B U L
F2 B' R' U' F' U' L'
U' B' F R F U2 R2
U B' F R' F U2 R2
U B' F' L' F' R' U2
B' F2 L U F U R
B' F2 L' U' B' U' R'
B' F2 R U B U L
B' F2 R' U' F' U' L'
