L R U F' U2 L'
R L U F' U2 L'
D L R2 B R' U'
D2 L R2 B U' B2
D2 L U2 F' U B'
R2 L B R U' B
L R2 B R U' B
D2 R2 L B U' B2
D R2 L B R' U'
L D R2 B R' U'
R' D2 L B' U' B2
B2 U2 F' R' U B
D2 L R U' B L B2
L R U R2 U2 B L
L R U D F' U2 L'
L R U D' F' U2 L'
R L U R2 U2 B L
L R U D2 F' U2 L'
L R U F R F2 U2
R L U D F' U2 L'
L R U F' R U2 L'
L R U F' R' U2 L'
L R U F' R2 U2 L'
R L U D' F' U2 L'
L R U F' U2 L' D
L R U F' U2 L' D'
L R U F' U2 L' D2
L R U F' U2 D L'
L R U F' U2 D' L'
L R U F' U2 D2 L'
L R U F' D U2 L'
L R U F' D' U2 L'
L R U F' D2 U2 L'
D2 L R B2 U' B L
R L U D2 F' U2 L'
R L U F R F2 U2
R L U F' R U2 L'
R L U F' R' U2 L'
R L U F' R2 U2 L'
D2 L R' U' D B' L
R L U F' U2 L' D
R L U F' U2 L' D'
R L U F' U2 L' D2
R L U F' U2 D L'
R L U F' U2 D' L'
R L U F' U2 D2 L'
R L U F' D U2 L'
R L U F' D' U2 L'
R L U F' D2 U2 L'
D2 L R' D U' B' L
R' L U' D B' L B2
L R U' R2 B L R2
L R U' R2 B R2 L
D L R' B R' B U'
R L U' R2 B L R2
R L U' R2 B R2 L
D2 L R2 U' B' D L2
R' L U' B2 D B' L
D2 L R2 D B U' B2
D2 L R2 D' B U' B2
D' L R2 D2 B R' U'
D2 L R2 D2 B U' B2
D2 L R2 B R U' B2
D2 L R2 B R' U' B2
D2 L R2 B R2 U' B2
D2 L R2 B U' B2 D
D2 L R2 B U' B2 D'
D2 L R2 B U' B2 D2
D2 L R2 B D' R2 U'
D L R2 B R' U' D
D L R2 B R' U' D'
D L R2 B R' U' D2
D L R2 B R' D U'
D L R2 B R' D' U'
D L R2 B R' D2 U'
D L R2 B D R' U'
D L R2 B D' R' U'
D L R2 B D2 R' U'
R' L D U' B' L B2
L R D U F' U2 L'
R L D U F' U2 L'
R' L D B' U' L B2
R2 L D B R U' B
D2 L U' B' U' F' U
L R D' U F' U2 L'
R L D' U F' U2 L'
R2 L D' B R U' B
D2 L U2 D F' U B'
D2 L U2 D' F' U B'
D2 L U2 D2 F' U B'
D' L U2 F L' F2 U
D2 L U2 F' U D B'
D2 L U2 F' U D' B'
D2 L U2 F' U D2 B'
D2 L U2 F' U B' D
D2 L U2 F' U B' D'
D2 L U2 F' U B' D2
D2 L U2 F' D U B'
D2 L U2 F' D' U B'
D' L U2 F' U2 R U'
D2 L U2 F' D2 U B'
B2 L U2 F' R' U B
L R D2 U F' U2 L'
R L D2 U F' U2 L'
D2 L D R2 B U' B2
R2 L D2 B R U' B
D2 L D U2 F' U B'
D2 L D' R2 B U' B2
D2 L D' U2 F' U B'
F L D' F' R U' L2
D' L D2 R2 B R' U'
D2 L D2 R2 B U' B2
D2 L D2 U2 F' U B'
R' L B R' B U' B'
R2 L B R U' D B
R2 L B R U' D' B
R2 L B R U' D2 B
R2 L B R U' B D
R2 L B R U' B D'
R2 L B R U' B D2
R2 L B R D U' B
R2 L B R D' U' B
R2 L B R D2 U' B
R2 L B R' U F' U2
L R B U F' U2 L'
R L B U F' U2 L'
R2 L B U2 L' U B'
R2 L B D R U' B
R2 L B D' R U' B
R2 L B D2 R U' B
R' L B' R' B U' B
R2 L B' R B2 U' B'
L R B' U F' U2 L'
R L B' U F' U2 L'
R' L B2 R' B U' B2
R2 L B2 R B' U' B2
R' L B2 U' D B' L
R' L B2 D U' B' L
L R B2 U F' U2 L'
R L B2 U F' U2 L'
D2 L B R2 B U' B
D L B R2 B R U'
D2 L B U2 F' U B2
D2 L B D' R2 B U'
D2 L B' R2 B U' B'
D L B' U2 L F' U
D L B' U2 F' L U
L R' U' D B' L B2
D2 L B2 U2 F' U B
L R' U' B2 D B' L
D L B2 U2 F' L' U
L R' D U' B' L B2
L R' D B' U' L B2
D2 L' R2 B L2 U' B'
D L' R2 B L2 R' U'
D L' R2 B R' L2 U'
B2 L' U2 F' R' U B
R2 L' B L2 R U' B
R2 L' B R L2 U' B
L R' B R' B U' B'
L R' B' R' B U' B
L R' B2 R' B U' B2
L R' B2 U' D B' L
L R' B2 D U' B' L
L R2 D B R U' B
L R2 D' B R U' B
L R2 D2 B R U' B
D2 L2 R2 B L' U' B'
D L2 R2 B L' R' U'
D L2 R2 B R' L' U'
L' R2 B L2 R U' B
L' R2 B R L2 U' B
L2 R2 B L' R U' B
R2 L2 B L' R U' B
L2 R2 B R L' U' B
R2 L2 B R L' U' B
L R2 B R U' D B
L R2 B R U' D' B
L R2 B R U' D2 B
L R2 B R U' B D
L R2 B R U' B D'
L R2 B R U' B D2
L R2 B R D U' B
L R2 B R D' U' B
L R2 B R D2 U' B
L R2 B R' U F' U2
L R2 B U2 L' U B'
L R2 B D R U' B
L R2 B D' R U' B
L R2 B D2 R U' B
B2 L2 U2 F' R' U B
L R2 B' R B2 U' B'
L R2 B2 R B' U' B2
D2 R L U' B L B2
D2 R L B2 U' B L
R U F' U' L U' L2
R U F' U2 L' D F2
B2 R U2 R2 U B L
D2 R' L U' D B' L
D2 R' L D U' B' L
D R' L B R' B U'
F' R' U2 F L U' B
D R' D L U' B' L
D2 R2 L U' B' D L2
D2 R2 L D B U' B2
D2 R2 L D' B U' B2
D2 R2 L D2 B U' B2
D' R2 L D2 B R' U'
D2 R2 L B R U' B2
D2 R2 L B R' U' B2
D2 R2 L B R2 U' B2
D2 R2 L B U' B2 D
D2 R2 L B U' B2 D'
D2 R2 L B U' B2 D2
D2 R2 L B D' R2 U'
L U2 D' F L' F2 U
L U2 D' F' U2 R U'
L U2 D2 L F' U B'
D R2 L B R' U' D
D R2 L B R' U' D'
D R2 L B R' U' D2
D R2 L B R' D U'
D R2 L B R' D' U'
D R2 L B R' D2 U'
D R2 L B D R' U'
D R2 L B D' R' U'
D R2 L B D2 R' U'
D2 R2 L' B L2 U' B'
L U2 D2 F' L U B'
D R2 L' B L2 R' U'
D R2 L' B R' L2 U'
D2 R2 L2 B L' U' B'
D R2 L2 B L' R' U'
D R2 L2 B R' L' U'
L U2 F' U R' B R
L U2 F' U2 R' U' B
L U2 F' D2 L U B'
L U2 F2 D' F L' U
D R2 D L B U' B2
D2 R2 D' L B R' U'
D' R2 D' L B U' B2
R' D L U' B' L B2
D' R2 D2 L B R' U'
R' D L B' U' L B2
R D L U F' U2 L'
R2 D L B R U' B
L2 D L' R2 B R' U'
B' R2 B L R U' B
B' R2 B R L U' B
L2 D R2 L' B R' U'
L' D R2 B R' U' F2
L D R' B R' B U'
L2 D R2 B L' R' U'
L2 D R2 B R' L' U'
L D R2 B R' U' D
L D R2 B R' U' D'
L D R2 B R' U' D2
L D R2 B R' D U'
L D R2 B R' D' U'
L D R2 B R' D2 U'
L D R2 B D R' U'
L D R2 B D' R' U'
L D R2 B D2 R' U'
R' D B' U' L F B2
R' D B' U' L B2 F
L D B R2 B R U'
L D B' U2 L F' U
L D B' U2 F' L U
L D B2 U2 F' L' U
R2 D' L B R U' B
R D' L U F' U2 L'
L D' R2 D2 B R' U'
L D' U2 F L' F2 U
L D' U2 F' U2 R U'
U2 D' F' U2 L R U'
U2 D' F' U2 R L U'
R' D2 L U' B D L2
R' D2 L D B' U' B2
R' D2 L D' B' U' B2
R' D2 L D2 B' U' B2
R' D2 L B' R U' B2
R' D2 L B' R' U' B2
R' D2 L B' R2 U' B2
R' D2 L B' U' B2 D
R' D2 L B' U' B2 D'
R' D2 L B' U' B2 D2
R' D2 L B' D' R2 U'
R2 D2 L B R U' B
R D2 L U F' U2 L'
B2 U' F' R' U B R
L D2 R U' B L B'
L D2 R2 D' B R' U'
B2 U2 L F' R' U B
L D2 U2 L F' U B'
B2 U2 L' F' R' U B
L D2 U2 F' L U B'
D' U2 F' U2 L R U'
D' U2 F' U2 R L U'
D2 U2 F' U2 L U' B'
B2 U2 L2 F' R' U B
