B L B' U L F L2
F' L' F U' L' B' L2
F R B L B' U L'
B' R' F' L' F U' L
L' U2 F R U' L F
L U2 B' R' U L' B'
F' U L' R F U' B
F' U L' F R U' B
F' U R L' F U' B
B U' L R' B' U F'
B U' L B' R' U F'
B U' R' L B' U F'
B F L R B' U L'
F B L R B' U L'
B F L B' R U L'
F B L B' R U L'
B F R L B' U L'
F B R L B' U L'
B F U' L R B' U
B F U' L B' R U
B F U' R L B' U
F B U' L R B' U
F B U' L B' R U
F B U' R L B' U
B' F' L' R' F U' L
F' B' L' R' F U' L
B' F' L' F R' U' L
F' B' L' F R' U' L
B' F' R' L' F U' L
F' B' R' L' F U' L
B' F' U L' R' F U'
B' F' U L' F R' U'
B' F' U R' L' F U'
F' B' U L' R' F U'
F' B' U L' F R' U'
F' B' U R' L' F U'
