B L B U F2 D L2
B L B U2 B2 U' F2
B L B D R2 U L2
U' L' F B2 U F B
U' L' F B2 U B F
U' L' B2 F U F B
U' L' B2 F U B F
D' L2 U' L' R2 B' L
D' L2 U' L' B' L R2
D' L2 U' L' B' R2 L
D' L2 U' R2 L' B' L
D' L2 B' R' U' L R'
D' L2 B' R' U' R' L
L' D' L2 B' R' U' R'
F2 U' L' F B2 U B
F2 U' L' B2 F U B
L D' B' L2 R' U' R'
L D' B' R' L2 U' R'
F2 U' B2 L' F U B'
U2 F' L' F B2 U F2
U2 F' L' B2 F U F2
U2 F' B2 L' F U F2
U' F2 D' L' R2 B' L
U' F2 D' L' B' L R2
U' F2 D' L' B' R2 L
U' F2 D' R2 L' B' L
U2 F2 D' L R2 B' L
U2 F2 D' L B' L R2
U2 F2 D' L B' R2 L
U2 F2 D' R2 L B' L
U2 F2 D' R2 B' L B'
U2 F2 D' B' L R2 B'
U2 F2 D' B' L B' R2
U2 F2 D' B' R2 L B'
L2 B L F B U F
L2 B L B F U F
D' B' L2 R' U' L' R'
D' B' L2 R' U' R' L'
D' B' R' L2 U' L' R'
D' B' R' L2 U' R' L'
L B' L2 R' F U' F
L B' L2 F R' U' F
L B' R' L2 F U' F
L B' R' U2 B' U F2
L B' R' D' L2 F U'
L B' D' L2 R' F U'
L B' D' L2 F R' U'
L B' D' R' L2 F U'
U' B2 L' F U F B'
U' B2 L' F U B' F
L B2 U2 B R' U' F2
U2 B2 F' L' F U F2
