F' U' L' F2 U'
F' L U' L2 F2 U'
F' L U' F2 L2 U'
F' L U2 D R2 F2
F' L U2 D F2 R2
F' L D U2 R2 F2
F' L D U2 F2 R2
F' L D' L2 B2 U2
F' L D' B2 L2 U2
F' L' U' F2 U' F2
F' L2 U' L F2 U'
F' L2 U' F2 L U'
F' U' L F2 L2 U'
F' U' L' U' D R2
F' U' L' D U' R2
F' U' L' F2 U' D
F' U' L' F2 U' D'
F' U' L' F2 U' D2
F' U' L' F2 D U'
F' U' L' F2 D' U'
F' U' L' F2 D2 U'
F' U' L2 F2 L U'
F' U' D L' U' R2
F' U' F2 U2 R U
F' D U' L' U' R2
D2 F' U' L' F2 U'
D' F' U' L' F2 U'
L F' U' L' F U'
D F' U' L' F2 U'
F' D' L2 U' L U'
F' B U' L' F2 U'
F' B' U' L' F2 U'
B' F' U' L' F2 U'
B2 F' U' L' F2 U'
B F' U' L' F2 U'
F' B2 U' L' F2 U'
F' L U D2 R2 B2 U
F' L U D2 B2 R2 U
F' L U' L F2 L U'
F' L U' L2 U' D R2
F' L U' L2 D U' R2
F' L U' L2 F2 U' D
F' L U' L2 F2 U' D'
F' L U' L2 F2 U' D2
F' L U' L2 F2 D U'
F' L U' L2 F2 D' U'
F' L U' L2 F2 D2 U'
F' L U' F' L2 F' U'
F' L U' F2 L2 U' D
F' L U' F2 L2 U' D'
F' L U' F2 L2 U' D2
F' L U' F2 L2 D U'
F' L U' F2 L2 D' U'
F' L U' F2 L2 D2 U'
F' L U' F2 U' D F2
F' L U' F2 D U' F2
F' L U2 R D R2 F2
F' L U2 R D F2 R2
F' L U2 R' D R2 F2
F' L U2 R' D F2 R2
F' L U2 R2 D R2 F2
F' L U2 R2 D F2 R2
F' L U2 D R' F2 R'
F' L U2 D R2 F2 D
F' L U2 D R2 F2 D'
F' L U2 D R2 F2 D2
F' L U2 D F R2 F
F' L U2 D F2 R2 D
F' L U2 D F2 R2 D'
F' L U2 D F2 R2 D2
F' L D L U2 R2 F2
F' L D L U2 F2 R2
F' L D L' U2 R2 F2
F' L D L' U2 F2 R2
F' L D L2 U2 R2 F2
F' L D L2 U2 F2 R2
F' L D U2 R' F2 R'
F' L D U2 R2 F2 D
F' L D U2 R2 F2 D'
F' L D U2 R2 F2 D2
F' L D U2 F R2 F
F' L D U2 F2 R2 D
F' L D U2 F2 R2 D'
F' L D U2 F2 R2 D2
F' L D B U2 R2 F2
F' L D B U2 F2 R2
F' L D B' U2 R2 F2
F' L D B' U2 F2 R2
F' L D B2 U2 R2 F2
F' L D B2 U2 F2 R2
F' L D' L B2 U2 R'
F' L D' L' B2 L' U2
F' L D' L2 U2 D2 F2
F' L D' L2 D2 U2 F2
F' L D' L2 B2 U2 D
F' L D' L2 B2 U2 D'
F' L D' L2 B2 U2 D2
F' L D' L2 B2 D U2
F' L D' L2 B2 D' U2
F' L D' L2 B2 D2 U2
F' L D' B L2 B U2
F' L D' B' L2 U2 F
F' L D' B2 L2 U2 D
F' L D' B2 L2 U2 D'
F' L D' B2 L2 U2 D2
F' L D' B2 L2 D U2
F' L D' B2 L2 D' U2
F' L D' B2 L2 D2 U2
F' L D' B2 U2 D2 R2
F' L D' B2 D2 U2 R2
F' L D2 U R2 B2 U
F' L D2 U B2 R2 U
D2 L F' U' L' F U'
D' L F' U' L' F U'
B' L F' U' L' F U'
D L F' U' L' F U'
B2 L F' U' L' F U'
B L F' U' L' F U'
F L F2 U' L' F2 U'
F' L B U' L2 F2 U'
F' L B U' F2 L2 U'
F' L B U2 D R2 F2
F' L B U2 D F2 R2
F' L B D U2 R2 F2
F' L B D U2 F2 R2
F' L B D' L2 B2 U2
F' L B D' B2 L2 U2
F' L B' U' L2 F2 U'
F' L B' U' F2 L2 U'
F' L B' U2 D R2 F2
F' L B' U2 D F2 R2
F' L B' D U2 R2 F2
F' L B' D U2 F2 R2
F' L B' D' L2 B2 U2
F' L B' D' B2 L2 U2
F' L B2 U' L2 F2 U'
F' L B2 U' F2 L2 U'
F' L B2 U2 D R2 F2
F' L B2 U2 D F2 R2
F' L B2 D U2 R2 F2
F' L B2 D U2 F2 R2
F' L B2 D' L2 B2 U2
F' L B2 D' B2 L2 U2
F' L' U' L F2 U' F2
F' L' U' L' F2 U' F2
F' L' U' L2 F2 U' F2
F' L' U' F2 L U' F2
F' L' U' F2 L' U' F2
F' L' U' F2 L2 U' F2
F' L' U' F2 U' F2 D
F' L' U' F2 U' F2 D'
F' L' U' F2 U' F2 D2
F' L' U' F2 D' L2 U'
U L' U' F' B' L' U2
U L' U' B' F' L' U2
F' L' U2 D R2 D' F2
F' L' D U2 R2 D' F2
F' L' D' L2 U' L2 U'
F' L' D' L2 U2 D F2
F' L' D' L2 D U2 F2
F' L' D' L2 D' B2 U2
F L' F2 U' L' F2 U'
F' L' B U' F2 U' F2
F' L' B' U' F2 U' F2
F' L' B2 U' F2 U' F2
F' L2 U D2 B2 R' U
F' L2 U' L U' D R2
F' L2 U' L D U' R2
F' L2 U' L F2 U' D
F' L2 U' L F2 U' D'
F' L2 U' L F2 U' D2
F' L2 U' L F2 D U'
F' L2 U' L F2 D' U'
F' L2 U' L F2 D2 U'
F' L2 U' L' F2 L2 U'
F' L2 U' D L U' R2
F' L2 U' F' L F' U'
F' L2 U' F2 L U' D
F' L2 U' F2 L U' D'
F' L2 U' F2 L U' D2
F' L2 U' F2 L D U'
F' L2 U' F2 L D' U'
F' L2 U' F2 L D2 U'
F' L2 U' F2 D L U'
F' L2 U' F2 D' L U'
F' L2 U' F2 D2 L U'
F' L2 D U' L U' R2
F' L2 D' L2 U' L' U'
F' L2 D2 U B2 R' U
F L2 F2 U' L' F2 U'
F R U R' F2 U2 F2
F R U F2 R' U2 F2
F R U' R' F2 L' U2
F R U' F2 R' U2 R
F' R' U' L' F2 U' L'
U' R' F R' U' F2 B
U' R' F R' U' B F2
U' R2 D' F L' U' B
F R2 D B2 L R2 U'
F R2 D B2 R2 L U'
U2 R2 B U F L U'
F' U R U2 L' F2 U'
L D F' U' L' U' R
F' U R' U2 L' F2 U'
F' U R2 U2 L' F2 U'
F' U D2 B2 U2 L' U'
F' U B U2 L' F2 U'
F U F2 U F2 R U
F' U B' U2 L' F2 U'
F' U B2 U2 L' F2 U'
F' U' L U' D R2 F2
F' U' L U' D F2 R2
F' U' L D U' R2 F2
F' U' L D U' F2 R2
F' U' L F' L2 F' U'
F' U' L F2 L2 U' D
F' U' L F2 L2 U' D'
F' U' L F2 L2 U' D2
F' U' L F2 L2 D U'
F' U' L F2 L2 D' U'
F' U' L F2 L2 D2 U'
F' U' L F2 U' D F2
F' U' L F2 D U' F2
F' U' L' R F2 R' U'
F' U' L' R2 F2 R2 U'
F' U' L' U D' L2 U2
F' U' L' U' R D R2
F' U' L' U' R' D R2
F' U' L' U' R2 D R2
F' U' L' U' D R2 D
F' U' L' U' D R2 D'
F' U' L' U' D R2 D2
F' U' L' U2 D2 B2 U
F' U' L' D U' R2 D
F' U' L' D U' R2 D'
F' U' L' D U' R2 D2
F' U' L' D F U' R2
F' U' L' D F' U' R2
F' U' L' D F2 U' R2
F' U' L' D' U L2 U2
F' U' L' D2 U2 B2 U
F' U' L' F D F U'
F' U' L' F D' F U'
F' U' L' F D2 F U'
F' U' L' F' D F' U'
F' U' L' F' D' F' U'
F' U' L' F' D2 F' U'
F' U' L2 D L U' R2
F' U' L2 F' L F' U'
F' U' L2 F2 L U' D
F' U' L2 F2 L U' D'
F' U' L2 F2 L U' D2
F' U' L2 F2 L D U'
F' U' L2 F2 L D' U'
F' U' L2 F2 L D2 U'
F' U' L2 F2 D L U'
F' U' L2 F2 D' L U'
F' U' L2 F2 D2 L U'
F' U' R L' F2 R' U'
F' U' R2 L' F2 R2 U'
F' U' D L' U' R2 D
F' U' D L' U' R2 D'
F' U' D L' U' R2 D2
F' U' D L' D' F2 U'
F' U' D L' F U' R2
F' U' D L' F' U' R2
F' U' D L' F2 U' R2
F' U' D' L' U L' U2
F' U' D' L' F2 U' R
F' U' D2 L' U' D' R2
F' U' D2 L' U2 B2 U
F' U' D2 L' D' U' R2
F' U' D2 L' D2 F2 U'
F' U' F2 L U2 R U
F' U' F2 L' U2 R U
F' U' F2 L2 U2 R U
F' U' F2 U2 R U D
F' U' F2 U2 R U D'
F' U' F2 U2 R U D2
