R U' B R' U B'
B' L R U2 B U L'
L2 R U2 B R' U L2
L R U2 B R' U L'
R L U2 B R' U L'
R L2 U2 B R' U L2
R2 U R' U2 B R' U
R' U R2 U2 B R' U
B' R L U2 B U L'
F2 R U' L' B R' U
D' R U' B U F' B'
D' R U' B U B' F'
F2 R U' B L' R' U
F2 R U' B R' L' U
B R U' B R2 U B'
U R D' F U' R F'
R U' L B R' U B'
U R D2 F L' U' R
R U' L' B R' U B'
U R F U' D' R F'
D' R F' U' B U B'
U R F D' U' R F'
R U' L2 B R' U B'
F2 R B L' R' U L
F2 R B R' L' U L
U2 R B2 U' L F R
B' R' U L F' R2 U'
D' R' U F' R2 U' F'
B' R' U F' L R2 U'
B' R' U F' R2 L U'
B R' U F' R2 U' F
R2 U' B R' B L U
R U' B R' U D B'
R U' B R' U D' B'
R U' B R' U D2 B'
R U' B R' U B' D
R U' B R' U B' D'
R U' B R' U B' D2
R U' B R' D U B'
R U' B R' D' U B'
R U' B R' D2 U B'
R U' B D R' U B'
R U' B D' R' U B'
R U' B D2 R' U B'
D' R' F D R2 F' B2
D' R' F D R2 B2 F'
B' R' F' L R2 U' L'
B' R' F' R2 L U' L'
R U2 B R' U' R U2
R U2 B R' F2 U L'
B' U L R F U' R
B' U R L F U' R
D' U R F U' R F2
D2 U R F L' U' R
B' U R F L U' R
L2 D F2 L' U F R
R2 D' R F' D R B2
R2 D' R F' D B2 R
U D' R F U' R F2
R2 D' F' R D F' B2
R2 D' F' R D B2 F'
R2 D' F' R F' D B2
U D2 R F L' U' R
F2 D L' U F L R
F2 D L' U F R L
R F U' B R' U B'
R' F' R2 B' L U' L'
R F' U' B R' U B'
R' F' B' L R2 U' L'
R' F' B' R2 L U' L'
D2 F2 L' U L F R
D F2 L' U F L R
D F2 L' U F R L
R F2 U' B R' U B'
U' B R' U D B2 R'
U' B R' D U B2 R'
R2 B R' B L U L'
R B R' F2 L' U L
R B' L U' L' D' R2
R B' L U' D' L' R2
R B' L U' D' R2 L'
R B' L U2 B2 U L'
R B' L D' U' L' R2
R B' L D' U' R2 L'
R' B' U L F' R2 U'
R' B' U F' L R2 U'
R' B' U F' R2 L U'
U' B' U2 L R U' R2
U' B' U2 R L U' R2
R B' U' B2 R' U B2
R' B' F' L R2 U' L'
R B' D' L U' L' R2
R B' D' L U' R2 L'
R' B' F' R2 L U' L'
R B' D2 F2 L U' L'
