L' D L2 B' U2 B'
L D L2 U2 F B2
L D L2 U2 B2 F
L D B' L2 F U2
L' D' F2 U2 F' R2
L D' F2 B' U2 R2
L D' B' F2 U2 R2
F' L D L2 U2 F B2
F' L D L2 U2 B2 F
F2 L D L2 U2 F B2
F2 L D L2 U2 B2 F
R2 L D2 F2 U' L2 F
F L D L2 U2 F B2
F L D L2 U2 B2 F
F' L D B' L2 F U2
F2 L D B' L2 F U2
F L D B' L2 F U2
F' L D' F2 B' U2 R2
F2 L D' F2 B' U2 R2
F' L D' B' F2 U2 R2
F L D' F2 B' U2 R2
F2 L D' B' F2 U2 R2
F L D' B' F2 U2 R2
B2 L B' U' R2 F' U'
B L B' D L2 U2 B2
B L B' D' F2 U2 R2
U L B2 U2 R2 U' F'
U' L' R2 U' D' R2 F
U' L' R2 U' D' F R2
U' L' R2 U' F D' R2
U' L' R2 U2 B2 U F
U' L' R2 D' U' R2 F
U' L' R2 D' U' F R2
U' L' R2 D2 F2 U' F'
R2 L' D2 F2 U' L2 F'
R2 L' D2 F2 U' F' L2
D2 L' U' F2 R U' F'
B L' U' R2 F' U' F2
F' L' D L2 B' U2 B'
F2 L' D L2 B' U2 B'
F L' D L2 B' U2 B'
U2 L' D F L B2 R'
F' L' D' F2 U2 F' R2
F2 L' D' F2 U2 F' R2
F L' D' F2 U2 F' R2
U2 L' F D L B2 R'
U L' B2 U D F B2
U L' B2 U D B2 F
U L' B2 U F D B2
U L' B2 U2 R2 U' F
U L' B2 D U F B2
U L' B2 D U B2 F
L' R2 D2 F2 U' L2 F'
L' R2 D2 F2 U' F' L2
L R2 D2 F2 U' L2 F
U L2 R' B2 L U F
B L2 U' R2 F' L' U'
D L2 F U' L' U' B2
D L2 F' U R U B2
L' U B2 U D F B2
L' U B2 U D B2 F
L' U B2 U F D B2
L' U B2 U2 R2 U' F
L' U B2 D U F B2
L' U B2 D U B2 F
L U B2 U2 R2 U' F'
U' R D2 R F2 U' F
L' U' R2 U' D' R2 F
L' U' R2 U' D' F R2
L' U' R2 U' F D' R2
L' U' R2 U2 B2 U F
L' U' R2 D' U' R2 F
L' U' R2 D' U' F R2
L' U' R2 D2 F2 U' F'
U R' L2 B2 L U F
L' U2 D F B2 D2 R2
L' U2 D B2 D2 R2 F
L' U2 D B2 D2 F R2
L' U2 D B2 F D2 R2
L' U2 D' R2 D2 F B2
L' U2 D' R2 D2 B2 F
L' U2 D' F' R2 F2 B
L' U2 D' F' R2 B F2
U R' B2 L U' B' U2
L U2 D B2 D2 R2 F'
U' R2 L' U' D' R2 F
U' R2 L' U' D' F R2
U' R2 L' U' F D' R2
U' R2 L' U2 B2 U F
U' R2 L' D' U' R2 F
U' R2 L' D' U' F R2
U' R2 L' D2 F2 U' F'
L' U2 F D B2 D2 R2
L' U2 F D' R2 D2 B2
L' U2 F2 D' F' R2 B
L2 D L U2 F B2 R'
L2 D L U2 B2 R' F
L2 D L U2 B2 F R'
L D L U2 B2 R' F'
L' D L2 D2 F2 B' U2
L' D L2 D2 B' F2 U2
L' D L2 F B' U2 B'
L' D L2 F' B' U2 B'
L' D L2 F2 B' U2 B'
L' D L2 B' U2 D B'
L' D L2 B' U2 D' B'
L' D L2 B' U2 D2 B'
L' D L2 B' U2 B' D
L' D L2 B' U2 B' D'
L' D L2 B' U2 B' D2
L' D L2 B' D U2 B'
L' D L2 B' D' U2 B'
L' D L2 B' D2 U2 B'
L' D L2 B' F U2 B'
L' D L2 B' F' U2 B'
L' D L2 B' F2 U2 B'
L D L2 U2 F B2 D
L D L2 U2 F B2 D'
L D L2 U2 F B2 D2
L D L2 U2 B2 D F
L D L2 U2 B2 D' F
L D L2 U2 B2 D2 F
L D L2 U2 B2 F D
L D L2 U2 B2 F D'
L D L2 U2 B2 F D2
L D L2 D2 F2 U2 F'
L D L2 F' U2 F2 B2
L D L2 F' U2 B2 F2
L D L2 F2 U2 F' B2
L D L2 F2 U2 B2 F'
L D L2 B U2 F B
L D L2 B U2 B F
L D L2 B' U2 F B'
L D L2 B' U2 B' F
L' D U2 F B2 D2 R2
L' D U2 B2 D2 R2 F
L' D U2 B2 D2 F R2
L' D U2 B2 F D2 R2
L' D F' L2 U2 F2 B2
L' D F' L2 U2 B2 F2
L D U2 B2 D2 R2 F'
L D F L2 U2 F B2
L D F L2 U2 B2 F
L D F B' L2 F U2
L' D F2 L2 U2 F' B2
L' D F2 L2 U2 B2 F'
L D F' L2 U2 F B2
L D F' L2 U2 B2 F
L D F' B' L2 F U2
L' D B L2 B' U2 B2
L D F2 L2 U2 F B2
L D F2 L2 U2 B2 F
L D F2 B' L2 F U2
L' D B' L2 F B' U2
L' D B' L2 B' F U2
L D B L2 B2 U2 B'
L' D B2 L2 B' U2 B
L D B' L2 D F U2
L D B' L2 D' F U2
L D B' L2 D2 F U2
L D B' L2 F U2 D
L D B' L2 F U2 D'
L D B' L2 F U2 D2
L D B' L2 F D U2
L D B' L2 F D' U2
L D B' L2 F D2 U2
L D B' U2 D2 R2 B'
L D B' U2 D2 B' R2
L D B' U2 B' D2 R2
L D B' D2 U2 R2 B'
L D B' D2 U2 B' R2
L D B' F L2 F U2
L D B' F' L2 F U2
L D B' F2 L2 F U2
L D B2 L2 B U2 B'
L2 D' L F2 U2 F' R2
L2 D' L' F2 B' U2 R2
L2 D' L' B' F2 U2 R2
L' D' L2 F2 B' U2 R2
L' D' L2 B' F2 U2 R2
L D' L2 F2 U2 F' R2
L' D' R2 D2 F L2 B2
L' D' R2 D2 F B2 L2
L' D' R2 D2 B2 F L2
L' D' R2 F D2 L2 B'
D2 U' L' F2 R U' F'
L D' R2 D2 L2 F B2
L D' R2 D2 L2 B2 F
L' D' U2 R2 D2 F B2
L' D' U2 R2 D2 B2 F
L' D' U2 F' R2 F2 B
L' D' U2 F' R2 B F2
L' D' F R2 D2 L2 B'
B U' L' R2 F' U' F2
L' D' F' U2 R2 F2 B
L' D' F' U2 R2 B F2
L' D' F2 L U2 F' R2
L' D' F2 L' U2 F' R2
L' D' F2 L2 U2 F' R2
L2 D' F2 L U2 R2 F
L2 D' F2 L U2 F R2
L' D' F2 U2 F R2 F2
L' D' F2 U2 F' R2 D
L' D' F2 U2 F' R2 D'
L' D' F2 U2 F' R2 D2
L' D' F2 U2 F2 R2 F
L2 D' F2 L' B' U2 R2
L' D' F2 D2 L2 U2 F'
L' D' F2 B U2 F' R2
L' D' F2 B' U2 F' R2
L' D' F2 B2 U2 F' R2
L2 D' F2 U2 R' F' R'
L D' F' B' U2 R2 B
L D' F2 L2 U2 R2 F
L D' F2 L2 U2 F R2
L' D' B F2 U2 F' R2
L D' F2 D2 L2 U2 F
L D' F2 D2 B' L2 U2
L D' F2 B' L U2 R2
L D' F2 B' L' U2 R2
L D' F2 B' L2 U2 R2
L D' F2 B' U2 R2 D
L D' F2 B' U2 R2 D'
L D' F2 B' U2 R2 D2
L D' F2 B' D2 L2 U2
L D' F2 B2 U2 R2 F'
L' D' B' F2 U2 F' R2
B U' R2 L' F' U' F2
L D' B' L F2 U2 R2
L D' B' L' F2 U2 R2
L D' B' L2 F2 U2 R2
B U' R2 F' L' U' F
L' D' B2 F2 U2 F' R2
L D' B' U2 R2 D2 B2
L D' B' D2 L2 U2 B2
L D' B' F' U2 R2 B
L D' B' F2 L U2 R2
L D' B' F2 L' U2 R2
L D' B' F2 L2 U2 R2
L D' B' F2 U2 R2 D
L D' B' F2 U2 R2 D'
L D' B' F2 U2 R2 D2
L D' B' F2 D2 L2 U2
L D' B2 F2 U2 R2 F'
U' D2 L' F2 R U' F'
D2 U2 R D F' R2 B
U2 D2 R D F' R2 B
B2 U2 L' R2 U' F L
B2 U2 R2 L' U' F L
L D2 B' D F2 U2 R2
L D2 B' D' L2 U2 B2
D F L2 U' L U' B2
L' F D' R2 D2 L2 B2
L' F D' R2 D2 B2 L2
L' F D' F2 U2 R2 F2
L' F D' F2 U2 F2 R2
L F D L2 U2 F B2
L F D L2 U2 B2 F
L F D B' L2 F U2
L F D' F2 B' U2 R2
L F D' B' F2 U2 R2
B2 D F' R U B2 L
D F' L2 U R U B2
L F' D L2 U2 F B2
L F' D L2 U2 B2 F
L F' D B' L2 F U2
L F' D' F2 B' U2 R2
L F' D' B' F2 U2 R2
R F2 L' B2 U F L
B D' F2 U B R' U
D' F2 U B R' U R'
D' F2 U2 R D' R F'
L' F2 U2 D' F' R2 B
L' F2 D L2 U2 F' B2
L' F2 D L2 U2 B2 F'
L' F2 D' U2 F' R2 B
L' F2 D' F2 U2 R2 F
L' F2 D' F2 U2 F R2
L F2 D L2 U2 F B2
L F2 D L2 U2 B2 F
L F2 D B' L2 F U2
D' F2 B U R' U R'
L F2 D' F2 B' U2 R2
L F2 D' B' F2 U2 R2
D' F2 B' U' L U' R2
R' F2 B2 L U L2 F
R F2 B2 L' U F L2
L' B U' R2 F' U' F2
L2 B U' R2 F' L' U'
D' B F2 U R' U R'
D B' L2 F U' L' U'
L B' L2 U' R2 F U'
L B' L2 U' F R2 U'
L B' U D B' U B'
L B' U D2 B' L2 U
L B' U B' U D B2
L B' U B' U2 R2 U'
L B' U B' D U B2
L B' U B' D2 L2 U
L B' U' R2 U2 B' U
