R U R B U2 R' B
R2 U R' U F' B R'
R2 U R' U B F' R'
R U F' B R' F' L'
R U F2 L' B R' F'
R U F2 B L' R' F'
R U F2 B R' L' F'
R U B R' D2 L2 F'
R U B R' D2 F' L2
R U B R' F' D2 L2
R U B F' R' F' L'
R U B F2 L' R' F'
R U B F2 R' L' F'
B' R' U' L F' R' U2
B' R' U' F' L R' U2
B' R' U' F' R' L U2
R F2 U L' B R' F'
R F2 U B L' R' F'
R F2 U B R' L' F'
R F2 B L' R' D F2
R F2 B L' D R' F2
R F2 B L' D F2 R'
R F2 B R' L' D F2
R B L' D F2 L' R'
R B L' D F2 R' L'
R2 B U' L U' R' B
R2 B' L U R' U B
R B F2 L' R' D F2
R B F2 L' D R' F2
R B F2 L' D F2 R'
R B F2 R' L' D F2
