F' U L' B' U' R'
F2 L U F L' U' L'
F' L F' D L' R2 F2
F' L F' D L' F2 R2
F' L F' D R2 L' F2
F2 L' U L2 F L' U'
F2 L' F' U' R B' U
F2 L' F' U' B' R U
F2 L2 D L R F' R
F2 L2 D L F' R F'
F2 L2 D R L F' R
F2 L2 D R F' L R
F2 L2 D R F' R L
F2 L2 D F' L R F'
F2 L2 D F' R L F'
F2 L2 D F' R F' L
L U F L U' F L'
F' R U L' B' U' R'
U2 R U B R' U F'
U2 R B' U R' B2 U
F' R' U L' B' U' R'
U' R' F U R F2 L'
F' R2 U L' B' U' R'
F' U L' D B' U' R'
F' U L' D' B' U' R'
F' U L' D2 B' U' R'
F' U L' F B' U' R'
F' U L' F' B' U' R'
F' U L' F2 B' U' R'
F' U L' B' U' R' D
F' U L' B' U' R' D'
F' U L' B' U' R' D2
F' U L' B' U' D R'
F' U L' B' U' D' R'
F' U L' B' U' D2 R'
F' U L' B' D U' R'
F' U L' B' D' U' R'
F' U L' B' D2 U' R'
F' U L' B' F U' R'
F' U L' B' F' U' R'
F' U L' B' F2 U' R'
L2 D F2 D' L' F R
F' U D L' B' U' R'
F' U D' L' B' U' R'
F' U D2 L' B' U' R'
F U' R F U L' R
F U' R F U R L'
F' D U L' B' U' R'
D2 F' U L' B' U' R'
D' F' U L' B' U' R'
L2 F' U L' F B' U'
L2 F' U L' B' F U'
D F' U L' B' U' R'
L F' U L' F2 B' U'
L F' U L' B' F2 U'
F2 D' L' U' B' U F
F2 D' L' F U' B' U
F' D' U L' B' U' R'
L' F2 L' D R F' R
L' F2 L' D F' R F'
L2 F2 L' U F L' U'
U' F2 R' U L' F' R
L2 F2 D L' R F' R
L2 F2 D L' F' R F'
L2 F2 D R L' F' R
L F2 D' L' F D R2
F' D2 U L' B' U' R'
U2 B' R U B R2 U
U2 B2 R U B R' U
