D2 L2 U2 F' U B' R'
F R U B R F2 U
F' R D' L2 B R U
F' R D' B L2 R U
F' R D' B R L2 U
F' R B R U D2 B2
F' R B R U' F2 U2
F' R B R D' L2 U
F' R B R D2 U B2
F2 R B R F U B
F' R B D' L2 R U
F' R B D' R L2 U
F' R B D2 R U B2
L2 U2 F' R2 U B' R'
F2 R2 D F U B R'
F' R2 D2 L B' U B'
F2 R2 F U D B R'
F2 R2 F D U B R'
F2 U R2 F U B R
F U F R2 F U R'
D' F U F2 U F' R
U F U R2 F2 U R'
U F U2 D' L2 R F2
U F U2 D' R L2 F2
U F U2 D' R F2 L2
U F D R2 B2 L U2
U F D B2 R2 U2 R'
U F D' U2 L2 R F2
U F D' U2 R L2 F2
U F D' U2 R F2 L2
L2 F' R B R U B2
U F' R2 U' L' F2 U2
U F' R2 U' F2 U2 R
D' F' U' F2 U2 F R
F' D' L2 R B U F2
F' D' L2 U F R F
F' D' R L2 B U F2
F' D' R B L2 U F2
