F' U2 R U B'
F' L U2 R U B
D R U' F' B' R'
D R U' B' F' R'
F' R' U' D' F2 B'
F' R' U' D' B' F2
F' R' U' B' D' F2
F' R' U2 R2 U B'
F' R' D' U' F2 B'
F' R' D' U' B' F2
F' R2 U2 R' U B'
L' D F' R U' F'
F' U' B' U' R U
F' U' B' U' R U
F' U2 R U D B'
F' U2 R U D' B'
F' U2 R U D2 B'
F' U2 R U B' D
F' U2 R U B' D'
F' U2 R U B' D2
F' U2 R D U B'
F' U2 R D' U B'
F' U2 R D2 U B'
F' U2 D R U B'
F' U2 D' R U B'
F' U2 D2 R U B'
L F L' F2 U' B'
F' D U2 R U B'
D F' R U' F' B'
D F' R U' B' F'
L F' U2 R U B
F' D' U2 R U B'
R F2 U' B' R' F'
F' D2 U2 R U B'
F' L U2 L R U B
F' L U2 L' R U B
F' L U2 L2 R U B
F' L U2 R L U B
F' L U2 R L' U B
F' L U2 R L2 U B
F' L U2 R U D B
F' L U2 R U D' B
F' L U2 R U D2 B
F' L U2 R U B D
F' L U2 R U B D'
F' L U2 R U B D2
F' L U2 R D U B
F' L U2 R D' U B
F' L U2 R D2 U B
F' L U2 D R U B
F' L U2 D' R U B
F' L U2 D2 R U B
F' L D U2 R U B
L R F L' U' B' R'
R L F L' U' B' R'
F' L D' U2 R U B
F' L D2 U2 R U B
F2 L F' L' F U' B'
F' L F2 L' F2 U' B'
F' L' U2 L R U B'
F' L' U2 R L U B'
D' L' D F' R U' F2
F L' D F' R U' R
D' L' F' L U' F2 B'
D' L' F' L U' B' F2
F L' F' D F' R U'
F L' F2 U' L B' L'
F L' F2 U2 L U B'
F L' F2 D2 R' U' B
F' L2 R U F U2 F'
F' L2 R' D2 L2 U' B'
F' L2 U2 L2 R U B'
F' L2 U2 R L2 U B'
F' L2 U2 R U' F U2
U L2 F U' L' F2 U'
F L2 F2 L R2 U' B
F L2 F2 L U F' U2
F L2 F2 R2 L U' B
F' R L2 U F U2 F'
L2 U F U' L' F2 U'
F' R U F U2 F' B'
F' R U F U2 B' F'
F' R U F' U2 F B'
F' R U F' U2 B' F
F' R U F2 U2 F2 B'
F' R U F2 U2 B' F2
F' R U' R2 B' R2 F'
D R U' R B' R' F'
D R U' D F' B' R'
D R U' D B' F' R'
D R U' D' F' B' R'
F' R U' B' R2 F' R2
D R U' D' B' F' R'
F' R U' B' U2 B U2
D R U' D2 F' B' R'
D R U' D2 B' F' R'
F' R U' B2 D2 F2 B
F' R U' B2 D2 B F2
D R U' F B' R' F2
D R U' F' R B' R'
D R U' F' R' B' R'
D R U' F' R2 B' R'
D R U' F' D B' R'
D R U' F' D' B' R'
D R U' F' D2 B' R'
D R U' F' B' R' D
D R U' F' B' R' D'
D R U' F' B' R' D2
D R U' F' B' D R'
D R U' F' B' D' R'
D R U' F' B' D2 R'
D R U' F2 B' R' F
D R U' B' D F' R'
D R U' B' D' F' R'
D R U' B' D2 F' R'
D R U' B' F R' F2
D R U' B' F' R' D
D R U' B' F' R' D'
D R U' B' F' R' D2
D R U' B' F' D R'
D R U' B' F' D' R'
D R U' B' F' D2 R'
D R U' B' F2 R' F
D R D U' F' B' R'
D R D U' B' F' R'
D R D' U' F' B' R'
D R D' U' B' F' R'
D R D2 U' F' B' R'
D R D2 U' B' F' R'
F2 R F U2 R U B'
D R F U' F2 B' R'
D R F U' B' R' F2
D R F U' B' F2 R'
D R F2 U' F B' R'
D R F2 U' B' R' F
D R F2 U' B' F R'
F R F2 U2 R U B'
R U' D R F' B' R'
R U' D R B' F' R'
R U' D R2 B' R' F'
R U' D B' R F' R2
F' R' L2 D2 L2 U' B'
F' R' U D B2 U2 B
R U' F' B' R' D' F2
F' R' U' D' F2 D B'
F' R' U' D' F2 D' B'
F' R' U' D' F2 D2 B'
F' R' U' D' F2 B' D
F' R' U' D' F2 B' D'
F' R' U' D' F2 B' D2
F' R' U' D' B' F2 D
F' R' U' D' B' F2 D'
F' R' U' D' B' F2 D2
F' R' U' D2 B' D F2
F' R' U' F D' F2 B'
F' R' U' F D' B' F2
F' R' U' F B' D' F2
F' R' U' F' D' F2 B'
F' R' U' F' D' B' F2
F' R' U' F' B' D' F2
F' R' U' F2 D' F2 B'
F' R' U' F2 D' B' F2
F' R' U' F2 B' D' F2
F' R' U' B' U' R2 U
F' R' U' B' D' F2 D
F' R' U' B' D' F2 D'
F' R' U' B' D' F2 D2
F' R' U' B' F D' F2
F' R' U' B' F' D' F2
F' R' U' B' F2 D' F2
F' R' U' B2 D' F2 B
F' R' U' B2 D' B F2
F' R' U2 R2 U D B'
F' R' U2 R2 U D' B'
F' R' U2 R2 U D2 B'
F' R' U2 R2 U B' D
F' R' U2 R2 U B' D'
F' R' U2 R2 U B' D2
F' R' U2 R2 D U B'
F' R' U2 R2 D' U B'
F' R' U2 R2 D2 U B'
F' R' D U B2 U2 B
R U' B' R2 D R F'
R U' B' D R F' R2
F' R' D' R U' F2 B'
F' R' D' R U' B' F2
R U' B' F' R' D' F2
F' R' D' R' U' F2 B'
F' R' D' R' U' B' F2
F' R' D' R2 U' F2 B'
F' R' D' R2 U' B' F2
F' R' D' U' F2 D B'
F' R' D' U' F2 D' B'
F' R' D' U' F2 D2 B'
F' R' D' U' F2 B' D
F' R' D' U' F2 B' D'
F' R' D' U' F2 B' D2
F' R' D' U' B' F2 D
F' R' D' U' B' F2 D'
F' R' D' U' B' F2 D2
F' R' D2 L2 U F U2
F' R' D2 U' B' D F2
F2 R' F U2 R U B'
F R' F2 U2 R U B'
R2 U2 D2 B R' U B2
B' R2 U' F' B R U
B' R2 U' B F' R U
F' R2 U2 R' U D B'
F' R2 U2 R' U D' B'
F' R2 U2 R' U D2 B'
F' R2 U2 R' U B' D
F' R2 U2 R' U B' D'
F' R2 U2 R' U B' D2
F' R2 U2 R' D U B'
F' R2 U2 R' D' U B'
F' R2 U2 R' D2 U B'
F' R2 U2 D R' U B'
F' R2 U2 D' R' U B'
F' R2 U2 D2 R' U B'
D2 R2 U2 B R' U B2
F' R2 D U2 R' U B'
F' R2 D' U2 R' U B'
L' D L F' R U' F'
F' R2 D2 U2 R' U B'
L' D L' F' R U' F'
U2 R2 D2 B R' U B2
F2 R2 F U2 R U B'
L' D L2 F' R U' F'
B' R2 F' B R U B'
F R2 F2 U2 R U B'
B' R2 B F' R U B'
F' R2 B2 L B2 U' B'
R D U' R F' B' R'
R D U' R B' F' R'
R D U' R2 B' R' F'
R D U' B' R F' R2
L' D F' L R U' F'
L' D F' L' R U' F'
L' D F' L2 R U' F'
L' D F' R L U' F'
L' D F' R L' U' F'
L' D F' R L2 U' F'
L' D F' R U' D F'
L' D F' R U' D' F'
L' D F' R U' D2 F'
L' D F' R U' F' D
L' D F' R U' F' D'
L' D F' R U' F' D2
L' D F' R D U' F'
L' D F' R D' U' F'
L' D F' R D2 U' F'
B' U F L' F2 B U'
B' U F L' B F2 U'
B' U F B L' F2 U'
L D' L' F' U' F2 B'
L D' L' F' U' B' F2
B' U F' B U2 R U
F' U B U R U B2
B' U B F L' F2 U'
B' U B F' U2 R U
F U' L' F2 U' L B'
L D' F' L' U' F B'
L D' F' L' U' B' F
F' U' R' D' R F2 B'
F' U' R' D' R B' F2
F' U' R' D' B' R F2
F' U' R' B' D' R F2
F2 U' R' F' D R2 B'
F2 U' R' F' D B' R2
F2 U' R' F' B' D R2
F2 U' R' B' F' D R2
B' U' R2 F' B R U
B' U' R2 B F' R U
F' U' D B' U' R U
F' U' D' B' U' R U
D2 U' B' U L F' U'
D2 U' B' U F' L U'
F' U' D2 B' U' R U
F' U' F2 B' U L' U'
F' U' B U' R U B2
F' U' B' R' D' R F2
F' U' B' U' R U D
F' U' B' U' R U D'
F' U' B' U' R U D2
F' U' B' U' R D U
F' U' B' U' R D' U
F' U' B' U' R D2 U
F' U' B' U' D R U
F' U' B' U' D' R U
F' U' B' U' D2 R U
F2 U' B' R' F' D R2
F' U' B' D U' R U
F' U' B' D' U' R U
F' U' B' D2 U' R U
F' U' B' F2 U L' U'
F U' B' U L' F2 U'
D2 U2 R2 B R' U B2
U2 D2 R2 B R' U B2
R2 D2 U2 B R' U B2
F' U2 L2 R U' F U2
