U2 R' B' L U R
U2 R' B2 U R B
U2 D' R' U B R
D' U2 R' U B R
U' B2 L U' L' B'
U2 L R' B' L U R
U2 L R' B2 U R B
U2 L D' R' U B R
U2 L' R' B' L U R
U2 L' R' B2 U R B
U2 L' D' R' U B R
U2 L' D' R' U B R
U2 L2 R' B' L U R
U2 L2 R' B2 U R B
U2 L2 D' R' U B R
U2 R U D' R' F2 B
U2 R U D' R' B F2
U2 R U D' F2 R' B
D' R U2 R2 U B R2
U2 R D' U R' F2 B
U2 R D' U R' B F2
U2 R D' U F2 R' B
U2 R' L B' L U R
U2 R' L B2 U R B
U2 R' L' B' L U R
U2 R' L' B2 U R B
U2 R' L2 B' L U R
U2 R' L2 B2 U R B
U2 R' U R2 D' R' B
U2 R' U D' R' B R2
U2 R' U B R D B2
U R' U' D' R F' U2
U2 R' D L U R B'
U2 R' D L U B' R
U2 R' D' U R' B R2
U R' D' U' R F' U2
U R' D2 F2 U L' B'
R2 U2 R U D' R' B
R2 U2 R D' U R' B
U2 R' B U R D B2
U2 R' B U2 R' U' R2
U2 R' B' L U R D
U2 R' B' L U R D'
U2 R' B' L U R D2
U2 R' B' L U D R
U2 R' B' L U D' R
U2 R' B' L U D2 R
U2 R' B' L D U R
U2 R' B' L D' U R
U2 R' B' L D2 U R
U2 R' B' L B U R
U2 R' B' L B' U R
U2 R' B' L B2 U R
U2 R' B' D L U R
U2 R' B' D' L U R
U2 R' B' D2 L U R
B R' B' U2 R' U R
R U2 R2 B' L U R2
U2 R' B2 L U R B
U2 R' B2 L' U R B
U2 R' B2 L2 U R B
U2 R' B2 U R D B
U2 R' B2 U R D' B
U2 R' B2 U R D2 B
U2 R' B2 U R B D
U2 R' B2 U R B D'
U2 R' B2 U R B D2
U2 R' B2 U D R B
U2 R' B2 U D' R B
U2 R' B2 U D2 R B
U2 R' B2 U B R B
U2 R' B2 U B' R B
U2 R' B2 U B2 R B
U2 R' B2 D U R B
L2 U2 D' R' B2 U B'
U2 R' B2 D' U R B
U2 R' B2 D2 U R B
R2 U2 B' L R U R'
R2 U2 B' R L U R'
R U2 B' L R2 U R2
R U2 B' R2 L U R2
U2 R2 B' L R U R
U2 R2 B' R L U R
U2 R2 B2 R U R B
U2 D L R' U R B'
U2 D L R' U B' R
U2 D R' L U R B'
U2 D R' L U B' R
D' U R' F2 U L' B
D' U R' F2 U B L'
D2 U R' F2 U L' B'
U' D B2 L U' B' L'
U2 D' L R' U B R
U2 D' L' R' U B R
U2 D' L2 R' U B R
B2 U' L U' D L2 B'
B2 U' L D U' L2 B'
L2 D' U2 R' B2 U B'
B2 U' L B2 U F U2
U2 D' R' L U B R
U2 D' R' L' U B R
U2 D' R' L2 U B R
B2 U' L' B2 L2 U' B
U2 D' R' U D B R
U2 D' R' U D' B R
U2 D' R' U D2 B R
U2 D' R' U B R D
U2 D' R' U B R D'
U2 D' R' U B R D2
U2 D' R' U B D R
U2 D' R' U B D' R
U2 D' R' U B D2 R
U2 D' R' U B' R B2
U2 D' R' U B2 R B'
U2 D' R' D U B R
U2 D' R' D' U B R
U2 D' R' D2 U B R
U2 D' R' B' U R B2
U2 D' R' B' U B2 R
U2 D' R' B2 U R B'
U2 D' R' B2 U B' R
U D' R' F2 U L' B
U D' R' F2 U B L'
B U' R' B' L U' F
D' U2 L R' U B R
D U' B2 L U' B' L'
D' U2 L' R' U B R
D U2 L R' U R B'
D U2 L R' U B' R
D' U2 L2 R' U B R
D' U2 R' L U B R
D' U2 R' L' U B R
D' U2 R' L2 U B R
D' U2 R' U D B R
D' U2 R' U D' B R
D' U2 R' U D2 B R
D' U2 R' U B R D
D' U2 R' U B R D'
D' U2 R' U B R D2
D' U2 R' U B D R
D' U2 R' U B D' R
D' U2 R' U B D2 R
D' U2 R' U B' R B2
D' U2 R' U B2 R B'
F' U' B2 L U' L' B'
D' U2 R' D U B R
D' U2 R' D' U B R
D' U2 R' D2 U B R
F2 U' B2 L U' L' B'
D' U2 R' B' U R B2
D' U2 R' B' U B2 R
D' U2 R' B2 U R B'
D' U2 R' B2 U B' R
D U2 R' L U R B'
D U2 R' L U B' R
F U' B2 L U' L' B'
U D2 R' F2 U L' B'
F' U2 R' B' L U R
F' U2 R' B2 U R B
F2 U2 R' B' L U R
F2 U2 R' B2 U R B
F U2 R' B' L U R
F U2 R' B2 U R B
F' U2 D' R' U B R
F2 U2 D' R' U B R
F U2 D' R' U B R
D2 F U2 L' R' U R
D' F U2 R' U B R
D2 F U2 R' L' U R
D2 F' R U2 R2 U R2
D' F' U2 R' U B R
F' D' U2 R' U B R
F2 D' U2 R' U B R
F D' U2 R' U B R
D2 F2 U2 R' U R B
D' F2 U2 R' U B R
U' B L' R' U' L F
U' B R' L' U' L F
U' B R' B L U' L'
R' B U2 R' B' U' R
U2 B' L B R' U R
U B' U L B R' U
R B' U L R2 F' U
R B' U R2 L F' U
R B' U R2 F' L U
U' B2 L R U' L' B'
U' B2 L R' U' L' B'
U' B2 L R2 U' L' B'
U' B2 L U' L' D B'
U' B2 L U' L' D' B'
U' B2 L U' L' D2 B'
U' B2 L U' L' B' D
U' B2 L U' L' B' D'
U' B2 L U' L' B' D2
U' B2 L U' D L' B'
U' B2 L U' D' L' B'
U' B2 L U' D2 L' B'
U' B2 L U' B L' B'
U' B2 L U' B' L' B'
U' B2 L U' B2 L' B'
U' B2 L D U' L' B'
U' B2 L D' U' L' B'
U' B2 L D2 U' L' B'
U' B2 L B' R' U' L'
U' B2 R L U' L' B'
U' B2 R' L U' L' B'
U' B2 R2 L U' L' B'
U' B2 D L U' L' B'
D B2 U' L B2 U' B
U' B2 D' L U' L' B'
U' B2 D2 L U' L' B'
