U2 R' F U' F2
U2 F R' U' F'
B2 L2 B' L' U F
U2 R F R2 U' F'
U2 R' U' F' D R2
U2 R' D F U' F2
U2 R' D' F U' F2
U2 R' D2 F U' F2
U2 R' F L U' F2
U2 R' F L' U' F2
U2 R' F L2 U' F2
U2 R' F U' F2 D
U2 R' F U' F2 D'
U2 R' F U' F2 D2
U2 R' F D' L2 U'
U2 D R' F U' F2
U2 D F R' U' F'
U2 D' R' F U' F2
U2 D' F R' U' F'
D2 U2 R' F U' F2
U2 D2 R' F U' F2
D' U2 R' F U' F2
D U2 R' F U' F2
U2 D2 F R' U' F'
D2 U2 F R' U' F'
D' U2 F R' U' F'
D U2 F R' U' F'
U2 F L R' U' F'
U2 F L' R' U' F'
U2 F L2 R' U' F'
U2 F R' L U' F'
U2 F R' L' U' F'
U2 F R' L2 U' F'
U2 F R' U' D F'
U2 F R' U' D' F'
U2 F R' U' D2 F'
U2 F R' U' F' D
U2 F R' U' F' D'
U2 F R' U' F' D2
U2 F R' D U' F'
U2 F R' D' U' F'
U2 F R' D2 U' F'
U2 F D R' U' F'
U2 F D' R' U' F'
U2 F D2 R' U' F'
U2 F' R' F2 U' F
U2 L R' U' D F' R
F L R' U' D' F L'
U2 L R' D U' F' R
F L R' D' U' F L'
F L R2 B R U' F
B2 L U D F' R F2
B2 L U F2 D F' R
U2 L D R' U' F' R
B2 L D U F' R F2
B2 L D' B U R' F
B2 L D' B U F R'
B2 L D2 R' B U F
B2 L D2 R2 U F R
U2 L' R' U' F R F2
U L' R' U' L F R
U2 L' R' F2 U' F R
B2 L2 R B' L' U F
U2 L2 R' U2 B' U F'
B2 L2 R' B' L' U F
B2 L2 R2 B' L' U F
B2 L2 B L' B2 U F
B' L2 B' L U' B' U2
B2 L2 B' L' R U F
B2 L2 B' L' R' U F
B2 L2 B' L' R2 U F
B2 L2 B' L' U D F
B2 L2 B' L' U D' F
B2 L2 B' L' U D2 F
B2 L2 B' L' U F D
B2 L2 B' L' U F D'
B2 L2 B' L' U F D2
B2 L2 B' L' D U F
B2 L2 B' L' D' U F
B2 L2 B' L' D2 U F
B2 L2 B' R L' U F
B2 L2 B' R' L' U F
B2 L2 B' R2 L' U F
B2 L2 B2 L' B U F
B2 R L2 B' L' U F
U2 R F L R2 U' F'
U2 R F L' R2 U' F'
U2 R F L2 R2 U' F'
U2 R F R2 L U' F'
U2 R F R2 L' U' F'
U2 R F R2 L2 U' F'
U2 R F R2 U' D F'
U2 R F R2 U' D' F'
U2 R F R2 U' D2 F'
U2 R F R2 U' F' D
U2 R F R2 U' F' D'
U2 R F R2 U' F' D2
U2 R F R2 D U' F'
U2 R F R2 D' U' F'
U2 R F R2 D2 U' F'
U2 R F' R2 F2 U' F
U2 R' L U' D F' R
U2 R' L D U' F' R
F R' L U' D' F L'
F R' L D' U' F L'
U2 R' L' U' F R F2
U2 R' L' F2 U' F R
U R' L' U' L F R
U2 R' L2 U2 B' U F'
B2 R' L2 B' L' U F
U2 R' U' D F' D R2
U2 R' U' D' F' D R2
U2 R' U' D2 F' D R2
U2 R' U' F' R D R2
U2 R' U' F' R' D R2
U2 R' U' F' R2 D R2
U2 R' U' F' U F2 U'
U2 R' U' F' D R2 D
U2 R' U' F' D R2 D'
U2 R' U' F' D R2 D2
U2 R' D U' F' D R2
U2 R' D F L U' F2
U2 R' D F L' U' F2
U2 R' D F L2 U' F2
U2 R' D F U' F2 D
U2 R' D F U' F2 D'
U2 R' D F U' F2 D2
U2 R' D F D' L2 U'
U2 R' D' U' F' D R2
F R' D' L U' F L'
U2 R' D' F L U' F2
U2 R' D' F L' U' F2
U2 R' D' F L2 U' F2
U2 R' D' F U' F2 D
U2 R' D' F U' F2 D'
U2 R' D' F U' F2 D2
U2 R' D' F D' L2 U'
U2 R' D2 U' F' D R2
F R' D2 L B' U' F
U2 R' D2 F L U' F2
U2 R' D2 F L' U' F2
U2 R' D2 F L2 U' F2
U2 R' D2 F U' F2 D
U2 R' D2 F U' F2 D'
U2 R' D2 F U' F2 D2
U2 R' D2 F D' L2 U'
U2 R' F L U' F2 D
U2 R' F L U' F2 D'
U2 R' F L U' F2 D2
U2 R' F L D' L2 U'
U2 R' F L' U' F2 D
U2 R' F L' U' F2 D'
U2 R' F L' U' F2 D2
U2 R' F L' D' L2 U'
U2 R' F L2 U' F2 D
U2 R' F L2 U' F2 D'
U2 R' F L2 U' F2 D2
U2 R' F L2 D' L2 U'
L' U2 L2 R' F' U' F2
U2 R' F U D2 B2 U2
U2 R' F U B U2 F2
U2 R' F U B' U2 F2
U2 R' F U B2 U2 F2
