F2 U2 F' L'
B' R' F2 U2 F'
F2 R2 B U2 L
F2 U2 L F' L'
F2 U2 L' F' L'
F2 U2 L2 F' L'
F2 U2 D F' L'
F2 U2 D' F' L'
F2 U2 D2 F' L'
F2 U2 F' L' D
F2 U2 F' L' D'
F2 U2 F' L' D2
F2 U2 F' D L'
F2 U2 F' D' L'
F2 U2 F' D2 L'
F2 D U2 F' L'
R' F2 U2 F' L'
F2 D' U2 F' L'
R2 F2 U2 F' L'
R F2 U2 F' L'
F2 D2 U2 F' L'
F2 B U2 L F'
F2 B U2 F' L
B F2 U2 L F'
B F2 U2 F' L
F L2 B L B2 R'
F R F U2 F' L'
B' R F2 R2 B U2
B R F2 U2 L F'
B R F2 U2 F' L
F2 R B U2 L F
F2 R B' R' U2 F'
B' R' U2 D2 F B2
B' R' U2 D2 B2 F
B' R' D2 U2 F B2
B' R' D2 U2 B2 F
F R' F U2 F' L'
B' R' F2 U2 D F'
B' R' F2 U2 D' F'
B' R' F2 U2 D2 F'
B' R' F2 U2 F' D
B' R' F2 U2 F' D'
B' R' F2 U2 F' D2
B' R' F2 D U2 F'
B' R' F2 D' U2 F'
B' R' F2 D2 U2 F'
B' R' F2 B U2 F'
B' R' F2 B' U2 F'
B' R' F2 B2 U2 F'
B R' F2 U2 L F'
B R' F2 U2 F' L
B' R' B F2 U2 F'
F2 R' B' R' B U2
B' R' B' F2 U2 F'
B' R' B2 F2 U2 F'
F2 R2 D B U2 L
F2 R2 D B U2 L
F2 R2 D' B U2 L
F2 R2 D2 B U2 L
F R2 F U2 F' L'
B' R2 F2 U2 L' F'
F' R2 B L F2 R
F2 R2 B R U2 L
F2 R2 B R' U2 L
F2 R2 B R2 U2 L
B R2 F2 U2 L F'
B R2 F2 U2 F' L
F2 R2 B U2 L D
F2 R2 B U2 L D'
F2 R2 B U2 L D2
F2 R2 B U2 D L
F2 R2 B U2 D' L
F2 R2 B U2 D2 L
F2 R2 B D U2 L
F2 R2 B D' U2 L
F2 R2 B D2 U2 L
F2 R2 B' R' B2 U2
F2 U' L' B' U' F'
F2 U' B U' F' L'
F2 U' B' U' F' L'
F2 U' B2 U' F' L'
F2 U2 L D F' L'
F2 U2 L D' F' L'
F2 U2 L D2 F' L'
F2 U2 L F' L' D
F2 U2 L F' L' D'
F2 U2 L F' L' D2
F2 U2 L F' D L'
F2 U2 L F' D' L'
F2 U2 L F' D2 L'
F2 U2 L' D F' L'
F2 U2 L' D' F' L'
F2 U2 L' D2 F' L'
F2 U2 L' F' L' D
F2 U2 L' F' L' D'
F2 U2 L' F' L' D2
F2 U2 L' F' D L'
F2 U2 L' F' D' L'
F2 U2 L' F' D2 L'
U2 D2 F' L' F2 B2
U2 D2 F' L' B2 F2
D2 U2 F' L' F2 B2
D2 U2 F' L' B2 F2
F2 U2 L2 D F' L'
F2 U2 L2 D' F' L'
F2 U2 L2 D2 F' L'
F2 U2 L2 F' L' D
F2 U2 L2 F' L' D'
F2 U2 L2 F' L' D2
F2 U2 L2 F' D L'
F2 U2 L2 F' D' L'
F2 U2 L2 F' D2 L'
U2 D2 F' B2 L' F2
D2 U2 F' B2 L' F2
F2 U2 D L F' L'
F2 U2 D L' F' L'
F2 U2 D L2 F' L'
F2 U2 D F' L' D
F2 U2 D F' L' D'
F2 U2 D F' L' D2
F2 U2 D F' D L'
F2 U2 D F' D' L'
F2 U2 D F' D2 L'
U2 D2 B2 F' L' F2
D2 U2 B2 F' L' F2
F2 U2 D' L F' L'
F2 U2 D' L' F' L'
F2 U2 D' L2 F' L'
F2 U2 D' F' L' D
F2 U2 D' F' L' D'
F2 U2 D' F' L' D2
F2 U2 D' F' D L'
F2 U2 D' F' D' L'
F2 U2 D' F' D2 L'
B2 U2 D2 F L' B2
F2 U2 D2 L F' L'
B2 U2 D2 F B2 L'
F2 U2 D2 L' F' L'
B' U2 D2 F B2 L
F2 U2 D2 L2 F' L'
B2 U2 D2 B2 F L'
F2 U2 D2 F' L' D
F2 U2 D2 F' L' D'
F2 U2 D2 F' L' D2
B' U2 D2 B2 F L
F2 U2 D2 F' D L'
F2 U2 D2 F' D' L'
F2 U2 D2 F' D2 L'
B2 U2 F L2 B' L
F2 U2 F L F2 L'
F2 U2 F L' F2 L'
F2 U2 F L2 F2 L'
B U2 D2 F L B2
F2 U2 F' L2 D L
F2 U2 F' L2 D' L
F2 U2 F' L2 D2 L
B U2 F L2 B' L'
F U2 F R U2 R'
F2 U2 F' D L' D
F2 U2 F' D L' D'
F2 U2 F' D L' D2
F2 U2 F' D' L' D
F2 U2 F' D' L' D'
F2 U2 F' D' L' D2
F2 U2 F' D2 L' D
F2 U2 F' D2 L' D'
F2 U2 F' D2 L' D2
F2 U2 F' B' L' B
F2 U2 F' B2 L' B2
F2 U2 B' F' L' B
F2 U2 B2 F' L' B2
U2 F U2 R F U2
F2 D R2 B U2 L
U2 F' L F2 L2 B'
F2 D U2 L F' L'
F2 D U2 L' F' L'
F2 D U2 L2 F' L'
F2 D U2 F' L' D
F2 D U2 F' L' D'
F2 D U2 F' L' D2
F2 D U2 F' D L'
F2 D U2 F' D' L'
F2 D U2 F' D2 L'
F D F U2 F' L'
F2 D B U2 L F'
F2 D B U2 F' L
F2 D' R2 B U2 L
F2 D' U2 L F' L'
F2 D' U2 L' F' L'
F2 D' U2 L2 F' L'
F2 D' U2 F' L' D
F2 D' U2 F' L' D'
F2 D' U2 F' L' D2
F2 D' U2 F' D L'
F2 D' U2 F' D' L'
F2 D' U2 F' D2 L'
R' F2 R2 B U2 L
F D' F U2 F' L'
F2 D' B U2 L F'
F2 D' B U2 F' L
R2 F2 R2 B U2 L
R' F2 U2 L F' L'
R' F2 U2 L' F' L'
R' F2 U2 L2 F' L'
R' F2 U2 D F' L'
R' F2 U2 D' F' L'
R' F2 U2 D2 F' L'
R' F2 U2 F' L' D
R' F2 U2 F' L' D'
R' F2 U2 F' L' D2
R' F2 U2 F' D L'
R' F2 U2 F' D' L'
R' F2 U2 F' D2 L'
R' F2 D U2 F' L'
R2 F2 U2 L F' L'
R2 F2 U2 L' F' L'
R2 F2 U2 L2 F' L'
R F2 R2 B U2 L
R2 F2 U2 D F' L'
R2 F2 U2 D' F' L'
R2 F2 U2 D2 F' L'
D2 F2 U2 F' L' B2
D2 F2 U2 F' B2 L'
R2 F2 U2 F' L' D
R2 F2 U2 F' L' D'
R2 F2 U2 F' L' D2
R2 F2 U2 F' D L'
R2 F2 U2 F' D L'
R2 F2 U2 F' D' L'
R2 F2 U2 F' D2 L'
R' F2 D' U2 F' L'
D2 F2 U2 B2 F' L'
R2 F2 D U2 F' L'
R' F2 D2 U2 F' L'
R2 F2 D' U2 F' L'
R F2 U2 L F' L'
R' F2 B U2 L F'
R F2 U2 L' F' L'
R' F2 B U2 F' L
R F2 U2 L2 F' L'
R F2 U2 D F' L'
R F2 U2 D' F' L'
R F2 U2 D2 F' L'
R F2 U2 F' L' D
R F2 U2 F' L' D'
R F2 U2 F' L' D2
R F2 U2 F' D L'
R F2 U2 F' D' L'
R F2 U2 F' D2 L'
R2 F2 D2 U2 F' L'
B' D2 R' U2 F B2
B' D2 R' U2 B2 F
R F2 D U2 F' L'
R2 F2 B U2 L F'
R2 F2 B U2 F' L
L2 F2 B' L2 R' U2
L2 F2 B' R' L2 U2
R F2 D' U2 F' L'
F2 D2 R2 B U2 L
R F2 D2 U2 F' L'
B' D2 U2 F B2 L
R F2 B U2 L F'
R F2 B U2 F' L
B2 D2 U2 F L' B2
B2 D2 U2 F B2 L'
B' D2 U2 B2 F L
F2 D2 U2 L F' L'
F2 D2 U2 L' F' L'
F2 D2 U2 L2 F' L'
B2 D2 U2 B2 F L'
B2 D2 F L' B2 R'
F2 D2 U2 F' L' D
F2 D2 U2 F' L' D'
F2 D2 U2 F' L' D2
F2 D2 U2 F' D L'
F2 D2 U2 F' D' L'
F2 D2 U2 F' D2 L'
B D2 U2 F L B2
F D2 F U2 F' L'
F2 D2 B U2 L F'
F2 D2 B U2 F' L
D2 B U2 F L B
F2 B R U2 L F
B' F R' F U2 F'
R' B F2 U2 L F'
R' B F2 U2 F' L
R2 B F2 U2 L F'
R2 B F2 U2 F' L
F2 B U2 L D F'
F2 B U2 L D' F'
F2 B U2 L D2 F'
F2 B U2 L F' D
F2 B U2 L F' D'
F2 B U2 L F' D2
F2 B U2 L' F' L2
F2 B U2 D L F'
F2 B U2 D F' L
F2 B U2 D' L F'
F2 B U2 D' F' L
F2 B U2 D2 L F'
F2 B U2 D2 F' L
F2 B U2 F L F2
L2 B' L2 R' F2 U2
F2 B U2 F' L D
F2 B U2 F' L D'
F2 B U2 F' L D2
F2 B U2 F' D L
F2 B U2 F' D' L
F2 B U2 F' D2 L
L2 B' L2 F2 R' U2
F2 B D U2 L F'
F2 B D U2 F' L
R B F2 U2 L F'
R B F2 U2 F' L
R' B' R' F2 U2 F'
F2 B D' U2 L F'
F2 B D' U2 F' L
D2 B' R' U2 F B'
D2 B' R' U2 B' F
L2 B' R' L2 F2 U2
L2 B' R' F2 L2 U2
R2 B' R' F2 U2 F'
F2 B D2 U2 L F'
F2 B D2 U2 F' L
R B' R' F2 U2 F'
F2 B' R2 B R U2
F B' R' F U2 F'
L2 B' F2 L2 R' U2
L2 B' F2 R' L2 U2
B F2 R U2 L F
B' F2 R2 B R U2
B2 F2 R2 B R' U2
F2 B2 R2 B R' U2
B F2 U2 L D F'
B F2 U2 L D' F'
B F2 U2 L D2 F'
B F2 U2 L F' D
B F2 U2 L F' D'
B F2 U2 L F' D2
B F2 U2 L' F' L2
B F2 U2 D L F'
B F2 U2 D F' L
B F2 U2 D' L F'
B F2 U2 D' F' L
B F2 U2 D2 L F'
B F2 U2 D2 F' L
B F2 U2 F L F2
B F2 U2 F' L D
B F2 U2 F' L D'
B F2 U2 F' L D2
B F2 U2 F' D L
B F2 U2 F' D' L
B F2 U2 F' D2 L
B F2 D U2 L F'
B F2 D U2 F' L
B F2 D' U2 L F'
B F2 D' U2 F' L
B F2 D2 U2 L F'
B F2 D2 U2 F' L
F' L R F2 R B L
F' L R2 F2 B L R
F' L R2 F2 B R L
F' L R2 B F2 L R
F' L R2 B F2 R L
F2 L R2 B L' U2 L2
B L U2 L' F2 U2 F'
F L U2 L' F R U2
F2 L U2 F2 R F L'
F2 L D L' U2 F' L'
F2 L D' L' U2 F' L'
F2 L D2 L' U2 F' L'
B L D2 F2 R F' B2
B L D2 F2 R B2 F'
B L D2 F2 B2 R F'
B L D2 B2 F2 R F'
L2 R F2 B' L2 R' U2
L2 R F2 B' R' L2 U2
U2 L F' L' F D2 B2
F' L F' U2 F' L' R
F' L F' U2 F' R L'
L2 R B' L2 R' F2 U2
L2 R B' L2 F2 R' U2
