R2 L U' R' U2 R
U2 L R2 U' R' U2
U2 L U D' F2 L'
U2 L D' U F2 L'
U2 L F2 R2 U L'
U' L' D' F2 L' B2
U' L' D' F2 B2 L'
U' L' D' B2 F2 L'
L R2 U' R' U2 R
U R U L R U
U R U R L U
L' U' D' F2 L' B2
L' U' D' F2 B2 L'
L' U' D' B2 F2 L'
B2 R' D B2 L U'
R U2 L R U L'
R U2 R L U L'
U2 R2 L U' R' U2
R' D B2 L R' U'
R' D B2 R' L U'
L' D' U' F2 L' B2
L' D' U' F2 B2 L'
L' D' U' B2 F2 L'
U2 D' L U F2 L'
U' D' F2 L' D' B2
D' U' F2 L' D' B2
B' U' D' F2 L' B'
D' U2 L U F2 L'
U2 F2 L R2 U L2
B' D' U' F2 L' B'
U' F2 L' D' F2 B2
U' F2 L' D' B2 F2
U2 F2 R2 L U L2
D' B' U' F2 L' B'
R2 L U' L R' U2 R
R2 L U' L' R' U2 R
B2 L R' D B2 L U'
U2 L R' D' R' F2 U
U2 L R' D' F2 R' U
R2 L U' L2 R' U2 R
U2 L R' D2 R' U L2
R2 L U' R' L U2 R
R2 L U' R' L' U2 R
R2 L U' R' L2 U2 R
R2 L U' R' U2 R D
R2 L U' R' U2 R D'
R2 L U' R' U2 R D2
R2 L U' R' U2 D R
R2 L U' R' U2 D' R
R2 L U' R' U2 D2 R
R2 L U' R' D U2 R
R2 L U' R' D' U2 R
R2 L U' R' D2 U2 R
R2 L U' D R' U2 R
R2 L U' D' R' U2 R
R2 L U' D2 R' U2 R
F2 L R2 U L2 D R2
U' L R2 U' R' U2 R'
U2 L R2 U B2 L B2
U2 L R2 U' R' U2 D
U2 L R2 U' R' U2 D'
U2 L R2 U' R' U2 D2
U2 L R2 U' R' D U2
U2 L R2 U' R' D' U2
U2 L R2 U' R' D2 U2
U2 L R2 U' D R' U2
U2 L R2 U' D' R' U2
U2 L R2 U' D2 R' U2
U2 L R2 U2 B2 U' L
U' L R2 D B2 U L
F2 L R2 U2 F2 U' L2
U2 L R2 D U' R' U2
U L R2 U' L' R' U2
U L R2 U' R' L' U2
L' R U2 L2 R U L2
F2 L R2 D F2 U R2
U2 L R2 D' U' R' U2
L' R U2 R L2 U L2
U2 L R2 D2 U' R' U2
L2 R U2 L' R U L
U2 L R2 F U' R' U2
U2 L R2 F' U' R' U2
L2 R U2 R L' U L
U2 L R2 F2 U' R' U2
F L R2 F B U L'
U' L R2 B2 U L R2
U' L R2 B2 U R2 L
F L R2 B F U L'
D' L U L F2 L' R
D' L U L F2 R L'
U2 L U L D' F2 L'
U2 L U L' D' F2 L'
U2 L U L2 D' F2 L'
D L U R B2 U2 B2
U2 L U D' L F2 L'
U2 L U D' L' F2 L'
U2 L U D' L2 F2 L'
U2 L U D' F2 L' D
U2 L U D' F2 L' D'
U2 L U D' F2 L' D2
U2 L U D' F2 D L'
U2 L U D' F2 D' L'
U2 L U D' F2 D2 L'
U L U D' F2 L' R
U L U D' F2 R L'
U2 L U F2 L' D' F2
U2 L U F2 D' L' F2
R2 L D U' R' U2 R
D L U B2 R U2 B2
