D' B R F' L' U
B' L U' R B2 U B'
B' L U' B2 R U B
D' L B R F' L' U
D' L' B R F' L' U
F' L' B U' R' U2 F'
B' L2 R B2 U L' B'
D' L2 B R F' L' U
B' L2 B2 R U L' B'
B' R L2 B2 U L' B'
B R U L D2 L2 B'
B R U L' D2 B' L2
B R U L' B' D2 L2
B R U D2 L' B' L'
B R U' R' F' R' U2
D' R D' F' L' U R
B R D' F' L' F' U
B R D2 L' U L' B'
B R D2 U L' B' L'
B R D2 F' L' U L'
B' R F' L' B2 U L2
B R F D' F2 L' U
B R F' L' U D2 L2
B R F' L' U' R2 U2
B R F' L' D' F2 U
B R F' L' D2 U L2
B R F' D' L' F2 U
B R F' D2 L' U L'
B2 R B' U' R' F' U2
B' R B2 U' R' F' U2
L' D' B R F' L' U
L2 D' B R F' L' U
B U' R' U R2 U B
B U' R' D F' B2 U2
B U' R' D B2 F' U2
B U' R' D' F' U2 F'
L D' B R F' L' U
B U' R' F' U R2 U
B U' R' F' U2 D' F2
B U' R' F' D B2 U2
B U' R' F' D' U2 F2
D' U' B R F' U B
U' D' B R F' U B
U2 D' B L R F' U
U2 D' B R L F' U
U2 D' B R F' L U
B2 U' B' R U B L
D' U2 B L R F' U
D' U2 B R L F' U
D' U2 B R F' L U
F' D L' F B R U
F' D L' B F R U
D F' L' F B R U
D F' L' B F R U
F' D B L' F R U
D F' B L' F R U
D' B L R F' L' U
U2 B L R U D2 L2
U2 B L R U' R2 U2
U2 B L R D' F2 U
U2 B L R D2 U L2
D' B L' R F' L' U
D' B L2 R F' L' U
U' B R U D2 L2 B
U' B R U D2 B L2
U' B R U B D2 L2
U' B R U' R2 F' U2
D' B R L F' L' U
D' B R L' F' L' U
D' B R L2 F' L' U
U' B R D' F2 U B
U' B R D2 U L2 B
U' B R D2 U B L2
D' B R D F' L' U
D' B R D' F' L' U
D' B R D2 F' L' U
D' B R F' L' U D
D' B R F' L' U D'
D' B R F' L' U D2
D' B R F' L' D U
D' B R F' L' D' U
D' B R F' L' D2 U
D' B R F' D L' U
D' B R F' D' L' U
D' B R F' D2 L' U
U2 B R L U D2 L2
U2 B R L U' R2 U2
U2 B R L D' F2 U
U2 B R L D2 U L2
U2 B R D' L F2 U
U2 B R D' F2 L U
U2 B R D2 L U L
D B R F' L' F U
F' B L' U' R' U2 F'
D2 B D R F' L' U
D B D2 R F' L' U
D B F' L' F R U
D' B' R F' L' B2 U
D' B' R F' B2 L' U
D' B' R B2 F' L' U
B F' L' U' R' U2 F'
U' B2 R B' U B2 L
D' B2 R F' B' L' U
D' B2 R B' F' L' U
