U' R' F U' F2 B2
U' R' F U' B2 F2
F' U' L' F2 U' B2
U' F R' U' F' B2
U' F R' U' B2 F'
D L U L B' U F
F' L U' L2 F2 U' B2
F' L U' F2 L2 U' B2
F' L U2 B2 D R2 F2
F' L U2 B2 D F2 R2
L2 R B' U B' L F
F' L' R F2 U' B2 L
F' L' R' F2 U' L' B2
F' L' R' F2 U' B2 L'
U2 L' U' L F R B2
U2 L' U' L F B2 R
U2 L' U' L B2 F R
F' L' U' F2 U' F2 B2
F' L' U' F2 U' B2 F2
F' L' U' B2 D L2 R2
F' L' U' B2 D R2 L2
U L' U' B' U2 B' R'
F' L' F2 R U' B2 L
F' L' F2 U' B2 D L2
F' L2 U' L F2 U' B2
F' L2 U' F2 L U' B2
R L2 B' U B' L F
L U L B' U F B'
L U L B' U B' F
B' L2 F U R B' U
B' L2 F U B' R U
U2 L2 B' R' U B' L2
F' R L' F2 U' B2 L
F R U L' B2 L R'
F R U L' B2 R' L
F R U' R' U2 R B2
F R U' R' U2 B2 R
F R U' B2 L D2 F2
F R U' B2 D2 L F2
F R U' B2 D2 F2 L
U' R D' R2 F U' F2
U' R D' F R2 U' F'
U' R F R2 U' F' B2
U' R F R2 U' B2 F'
U' R F U B U2 B
U' R F D' R2 U' F'
F' R B2 L D R2 F2
F' R B2 L D F2 R2
F' R' L' F2 U' L' B2
F' R' L' F2 U' B2 L'
U' R' U' F' B2 D R2
U' R' U' B2 F' D R2
F R' U' B2 D' F2 L'
F R' U2 R2 U B2 L
U' R' D' F R2 U' F2
U' R' F L U' F2 B2
U' R' F L U' B2 F2
U' R' F L' U' F2 B2
U' R' F L' U' B2 F2
U' R' F L2 U' F2 B2
U' R' F L2 U' B2 F2
U' R' F R U' F2 B2
U' R' F R U' B2 F2
U' R' F R' U' F2 B2
U' R' F R' U' B2 F2
U' R' F R2 U' F2 B2
U' R' F R2 U' B2 F2
U' R' F U' F2 B2 D
U' R' F U' F2 B2 D'
U' R' F U' F2 B2 D2
U' R' F U' B2 F2 D
U' R' F U' B2 F2 D'
U' R' F U' B2 F2 D2
U' R' F D' L2 R2 U'
U' R' F D' R2 L2 U'
U' R' F' B2 D L2 R2
U' R' F' B2 D R2 L2
U' R' B2 F' D L2 R2
U' R' B2 F' D R2 L2
R U2 F U' B2 L F
F R2 U2 R' U B2 L
U' R2 D' R2 F L' U'
L2 U2 B2 U' B R' U
U' R2 D' F L' R2 U'
U' R2 D' F R2 L' U'
U' R2 F R U' F' B2
U' R2 F R U' B2 F'
F U L' R U B2 R'
U2 D L2 B' R' U L2
F U R L' U B2 R'
F U R U B2 D' R2
F' U' L F2 L2 U' B2
F' U' L' R F2 U' B2
F' U' L' R' F2 U' B2
F' U' L' R2 F2 U' B2
F' U' L' U' B2 D R2
F' U' L' F2 R U' B2
F' U' L' F2 R' U' B2
F' U' L' F2 R2 U' B2
F' U' L' F2 U' B2 D
F' U' L' F2 U' B2 D'
F' U' L' F2 U' B2 D2
F' U' L' F2 D' R2 U'
U' D' R' F R' U' F2
D' U' R' F R' U' F2
U' D' R2 D' F L' U'
D' U' R2 D' F L' U'
F' U' L2 F2 L U' B2
F' U' R L' F2 U' B2
F' U' R' L' F2 U' B2
B' U' R' F U' F2 B'
B' U' R' F U' B' F2
F' U' R2 L' F2 U' B2
B' U' F R' U' F' B'
B' U' F R' U' B' F'
F2 U' F L' F2 U' B2
F2 U' F' U2 R U B2
F' U' F2 U2 R U B2
D U2 L2 B' R' U L2
F U2 L R U L' B2
F U2 L R U B2 L'
F' U2 L' F2 U' L B2
F U2 L' R U L B2
F U2 L2 R U L2 B2
F U2 L2 R U B2 L2
F U2 R L U L' B2
F U2 R L U B2 L'
F U2 R L' U L B2
F U2 R L2 U L2 B2
F U2 R L2 U B2 L2
F U2 R U B2 D L2
F U2 R D L2 U L2
F U2 R' B2 D' R2 F2
F U2 R' B2 D' F2 R2
U' F L R' U' F' B2
U' F L R' U' B2 F'
F U2 D L2 R U L2
F U2 D R L2 U L2
U' F L' R' U' F' B2
U' F L' R' U' B2 F'
U' F L2 R' U' F' B2
U' F L2 R' U' B2 F'
U2 F L' U' L F B2
U2 F L' U' L B2 F
U' F R U B U2 B
U' F R D' R2 U' F'
U' F R' L U' F' B2
U' F R' L U' B2 F'
U' F R' L' U' F' B2
U' F R' L' U' B2 F'
U' F R' L2 U' F' B2
U' F R' L2 U' B2 F'
U' F R' U' F' B2 D
U' F R' U' F' B2 D'
U' F R' U' F' B2 D2
U' F R' U' B2 D F'
U' F R' U' B2 D' F'
U' F R' U' B2 D2 F'
U' F R' U' B2 F' D
U' F R' U' B2 F' D'
U' F R' U' B2 F' D2
L2 F R B' U B' L
D' F R2 D B2 L U'
B U2 B U F L U'
L2 F U R B' U B'
F' U2 B2 U L' F2 U'
L2 F U B' R U B'
U' F U2 L U F B2
U' F U2 L U B2 F
F U2 B2 R' D' R2 F2
F U2 B2 R' D' F2 R2
F U2 B2 U' R B2 U
F U2 B2 U' B2 R U
D F U2 L2 R U L2
D F U2 R L2 U L2
U2 F B L U' L' B
U2 F B L U' B L'
F D U2 L2 R U L2
F D U2 R L2 U L2
R F' L' F2 U' B2 L
U' F' R' F2 U' F B2
U' F' R' F2 U' B2 F
D' F' U' L' R2 F2 U'
D' F' U' L' F2 R2 U'
D' F' U' R2 L' F2 U'
D F' U' L' F2 R U'
L F' U' L' F U' B2
F' D' L2 U' L R2 U'
F' D' L2 U' R2 L U'
F D' R2 D B2 L U'
R F' B2 L D R2 F2
R F' B2 L D F2 R2
D2 F2 U' F L' F2 U'
D2 F2 U' F' U2 R U
F' D2 F2 U R B2 U
F' D2 F2 U B2 R U
F D2 F2 U' L' F2 U'
U2 B U F L U' B
U2 B F L U' L' B
U2 B F L U' B L'
F' B U' L' F2 U' B
B F' U' L' F2 U' B
U' B2 R' F' D L2 R2
U' B2 R' F' D R2 L2
U2 B2 U D2 F L' U'
U2 B2 D' R F' D R2
U2 B2 D2 U F L' U'
R B2 F' L D R2 F2
R B2 F' L D F2 R2
