F2 U' L' R' F2 B'
F2 U' L' R' B' F2
F2 U' L' F2 R' B'
F2 U' R' L' F2 B'
F2 U' R' L' B' F2
R2 B2 R D L B'
R2 B2 D L R B'
R2 B2 D L B' R
R2 B2 D R L B'
U' L U R' D2 L2 B'
F2 L U R' F2 L2 B'
U' L U' R F U2 R2
B2 L D' R F' U2 F
R2 L B2 R D L B'
R2 L B2 D L R B'
R2 L B2 D L B' R
R2 L B2 D R L B'
U' L' U R' D2 B' L2
U' L' U R' B' D2 L2
U' L' U' R U2 R2 B'
U' L' U' R U2 B' R2
R2 L' B2 R D L B'
R2 L' B2 D L R B'
R2 L' B2 D L B' R
R2 L' B2 D R L B'
U' L' F2 U R' B' L'
L' R2 B2 R D L B'
L2 R2 B2 R D L B'
L' R2 B2 D L R B'
L' R2 B2 D L B' R
L' R2 B2 D R L B'
R2 L2 B2 R D L B'
L R2 B2 R D L B'
L2 R2 B2 D L R B'
L2 R2 B2 D L B' R
L2 R2 B2 D R L B'
R2 L2 B2 D L R B'
R2 L2 B2 D L B' R
R2 L2 B2 D R L B'
L R2 B2 D L R B'
L R2 B2 D L B' R
L R2 B2 D R L B'
R' U R' U F' R' U2
R' U D R B2 U' B'
R' U D B2 R U' B
R' U D2 R U' L2 B
R' U D2 R U' B L2
U2 R U L' U R2 B'
U2 R U L' U B' R2
F2 R U' L' R2 F2 B'
F2 R U' L' R2 B' F2
F2 R U' L' F2 R2 B'
F2 R U' L' F2 B' R2
F2 R U' L' B' R2 F2
F2 R U' L' B' F2 R2
U2 R U' R U' B R
F2 R U' R2 L' F2 B'
F2 R U' R2 L' B' F2
U R U2 B R2 D' F2
R' U' L U D2 L2 B'
R' U' L U' R2 F U2
R' U' L U' F R2 U2
R' U' L D2 U L2 B'
R' U' L' U D2 B' L2
R' U' L' U B' D2 L2
R' U' L' U' R2 U2 B'
R' U' L' D' F2 U B'
R' U' L' D2 U B' L2
R U' L' U' B' R2 F'
U2 R F U' R U' R
U2 R F' U L' U R2
R' U' D' L' F2 U B'
R' U' D' F2 L' U B'
R' U' D2 L' U B' L'
F2 R' B L' F2 D' B2
R' U2 R2 U L' U B'
R' U2 R2 U' R U' B
R' U2 R2 F U' R U'
R' U2 R2 F' U L' U
R' U2 F R2 U' R' U'
R' U2 F' R2 U L' U
F2 R2 U L' R F2 B
F2 R2 U L' R B F2
F2 R2 U R L' F2 B
F2 R2 U R L' B F2
F2 R2 U R B L' F2
F2 R2 U' L' R F2 B'
F2 R2 U' L' R B' F2
U R2 U R' U2 B R2
F2 R2 U' L' B' R F2
F2 R2 U' R L' F2 B'
F2 R2 U' R L' B' F2
B2 R2 D B2 L R' B'
B2 R2 D B2 R' L B'
B2 R2 D' B2 L R' B
B2 R2 D' B2 R' L B
R' D U R B2 U' B'
R' D U B2 R U' B
D' R2 B2 R D L B'
D2 R2 B2 R D L B'
D' R2 B2 D L R B'
D' R2 B2 D L B' R
D' R2 B2 D R L B'
D2 R2 B2 D L R B'
D2 R2 B2 D L B' R
D2 R2 B2 D R L B'
D R2 B2 R D L B'
F2 U L R' F2 L2 B'
D R2 B2 D L R B'
D R2 B2 D L B' R
D R2 B2 D R L B'
F2 U L' R F2 B R2
F2 U L' R B R2 F2
F2 U L' R B F2 R2
F2 U L' F2 R B R2
F2 U R L' F2 B R2
F2 U R L' B R2 F2
F2 U R L' B R2 F2
F2 U R L' B F2 R2
F2 U R B L' R2 F2
F2 U R B L' F2 R2
F2 U R B R2 L' F2
F2 U R' L F2 L2 B'
R' D B' U R' B' U'
R2 D B2 R D L B'
R2 D B2 D L R B'
R2 D B2 D L B' R
R2 D B2 D R L B'
R' D' U' L' F2 U B'
R' D' U' F2 L' U B'
F2 U' L' R F2 R2 B'
F2 U' L' R F2 B' R2
F2 U' L' R B' R2 F2
F2 U' L' R B' F2 R2
F2 U' L' R' F2 D B'
F2 U' L' R' F2 D' B'
F2 U' L' R' F2 D2 B'
F2 U' L' R' F2 B' D
F2 U' L' R' F2 B' D'
F2 U' L' R' F2 B' D2
F2 U' L' R' B' F2 D
F2 U' L' R' B' F2 D'
F2 U' L' R' B' F2 D2
F2 U' L' R2 B' R F2
F2 U' L' F R' F B'
F2 U' L' F R' B' F
F2 U' L' F2 R B' R2
F2 U' L' F2 R' D B'
F2 U' L' F2 R' D' B'
F2 U' L' F2 R' D2 B'
F2 U' L' F2 R' B' D
F2 U' L' F2 R' B' D'
F2 U' L' F2 R' B' D2
F2 U' L' F2 R2 B' R
F2 U' L' F2 D R' B'
F2 U' L' F2 D' R' B'
F2 U' L' F2 D2 R' B'
F2 U' L2 R' F2 L B'
F2 U' L2 F2 L R' B'
F2 U' L2 F2 R' L B'
F2 U' R L' F2 R2 B'
F2 U' R L' F2 B' R2
F2 U' R L' B' R2 F2
F2 U' R L' B' F2 R2
R' D' B L' D' L2 B2
R' D' B L' D' B2 L2
R' D' B U' L F2 U
R' D' B U' F2 L U
F2 U' R' L' F2 D B'
F2 U' R' L' F2 D' B'
F2 U' R' L' F2 D2 B'
F2 U' R' L' F2 B' D
F2 U' R' L' F2 B' D'
F2 U' R' L' F2 B' D2
F2 U' R' L' B' F2 D
F2 U' R' L' B' F2 D'
F2 U' R' L' B' F2 D2
F2 U' R' L2 F2 L B'
F2 U' R' B L' F2 B'
F2 U' R' B L' B' F2
F2 U' R' B' L' F2 B'
F2 U' R' B' L' B' F2
F2 U' R' B2 L' F2 B'
F2 U' R' B2 L' B' F2
F2 U' R2 L' B' R F2
R2 D' B2 R D L B'
R2 D' B2 D L R B'
R2 D' B2 D L B' R
R2 D' B2 D R L B'
R' D2 L' B L' D' B2
R' D2 L2 U R U' B
R' D2 L2 U' L' U B'
R' D2 L2 B U' L U
R' D2 L2 B' U R' U'
F U' F L' R' F2 B'
F U' F L' R' B' F2
F U' F L' F2 R' B'
F U' F R' L' F2 B'
F U' F R' L' B' F2
F2 U' B L' F2 B' R'
F2 U' B L' B' R' F2
F2 U' B L' B' F2 R'
R' D2 U R U' L2 B
R' D2 U R U' B L2
R' D2 U' L' U B' L'
B2 U2 L D' R F' U2
F2 U2 L' F2 D R' B
B2 U2 R D L U2 B'
R' D2 B L' D' L' B2
R' D2 B L' D' B2 L'
R' D2 B L2 U' L' U
R' D2 B U' L U L
R' D2 B' L2 U R' U'
R' D2 B' U R' U' L2
R' D2 B2 L D L B'
B2 U2 D L R U2 B'
B2 U2 D R L U2 B'
B2 U2 D' L R F' U2
R2 D2 B2 R D L B'
B2 U2 D' R L F' U2
B2 U2 D' R F' L U2
R2 D2 B2 D L R B'
R2 D2 B2 D L B' R
R2 D2 B2 D R L B'
F2 D R2 U L' R B
F2 D R2 U R L' B
F2 D R2 U R B L'
B2 D R2 B2 L R' B'
B2 D R2 B2 R' L B'
B2 D U2 L R U2 B'
B2 D U2 R L U2 B'
B2 D' L R F' U2 F
B2 D' R L F' U2 F
U' F2 L U L2 R' B'
U' F2 L U R' L2 B'
B2 D' U2 L R F' U2
B2 D' U2 R L F' U2
B2 D' U2 R F' L U2
U' F2 L2 U L R' B'
U' F2 L2 U R' L B'
U F2 R U' L' B R2
U F2 R U' B L' R2
U F2 R U' B R2 L'
D2 F2 U' L' R' F2 B'
D2 F2 U' L' R' B' F2
D' F2 U' L' R' F2 B'
