U L' B U2 B2
U B L' U2 B'
U L F L2 B U2
U L F B L2 U2
U L B L2 U2 B'
U L B F L2 U2
U L' U2 B' D2 F2
U L' U2 B' D2 F2
U L' D B U2 B2
U L' D' B U2 B2
U L' D2 B U2 B2
U L' F B U2 B2
U L' F' B U2 B2
U L' F2 B U2 B2
U L' B U2 B2 D
U L' B U2 B2 D'
U L' B U2 B2 D2
U L' B D2 F2 U2
U L' B F U2 B2
U L' B F' U2 B2
U L' B F2 U2 B2
L2 U L F B U2
L2 U L B F U2
R2 U L' U2 F' B'
R2 U L' U2 B' F'
F R F U' R F'
U' R F2 B R F'
U' R B F2 R F'
R2 U' F2 R F B
R2 U' F2 R B F
R U' F2 R F' B
R U' F2 R B F'
D2 U L' B U2 B2
D' U L' B U2 B2
U D L' B U2 B2
D U L' B U2 B2
D2 U B L' U2 B'
D' U B L' U2 B'
D U B L' U2 B'
U D B L' U2 B'
U D' L' B U2 B2
U D' B L' U2 B'
U D2 L' B U2 B2
U D2 B L' U2 B'
U' F2 R2 F' R' B
U F2 B U2 R B
U B L F L2 U2
U B L' U2 D B'
U B L' U2 D' B'
U B L' U2 D2 B'
U B L' U2 B' D
U B L' U2 B' D'
U B L' U2 B' D2
U B L' D U2 B'
U B L' D' U2 B'
U B L' D2 U2 B'
U B L' F U2 B'
U B L' F' U2 B'
U B L' F2 U2 B'
U B D L' U2 B'
U B D' L' U2 B'
U B D2 L' U2 B'
U B F2 U2 R B
U B' L' B2 U2 B
U' B' D2 F2 R B
F L R F U' R F'
U L D2 F U2 R2 F'
U L D2 F B U2 R2
U L D2 B F U2 R2
U L F L' B L' U2
U L F L2 D B U2
U L F L2 D' B U2
U L F L2 D2 B U2
U L F L2 B U2 D
U L F L2 B U2 D'
U L F L2 B U2 D2
U L F L2 B D U2
U L F L2 B D' U2
U L F L2 B D2 U2
U L F U2 D2 R2 F'
U L F D2 U2 R2 F'
U L F D2 B U2 R2
U L F B L2 U2 D
U L F B L2 U2 D'
U L F B L2 U2 D2
U L F B L2 D U2
U L F B L2 D' U2
U L F B L2 D2 U2
U L F B U2 D2 R2
U L F B D2 U2 R2
U L F B' L2 B2 U2
U L F B2 L2 U2 F
U L F' L2 F2 B U2
U L F' L2 B F2 U2
U L F' B L2 F2 U2
U L F2 L2 F' B U2
U L F2 L2 B F' U2
U L F2 B L2 F' U2
U L B L2 U2 D B'
U L B L2 U2 D' B'
U L B L2 U2 D2 B'
U L B L2 U2 B' D
U L B L2 U2 B' D'
U L B L2 U2 B' D2
U L B L2 D U2 B'
U L B L2 D' U2 B'
U L B L2 D2 U2 B'
U L B L2 F U2 B'
U L B L2 F' U2 B'
U L B L2 F2 U2 B'
U L B D2 F U2 R2
U L B F L2 U2 D
U L B F L2 U2 D'
U L B F L2 U2 D2
U L B F L2 D U2
U L B F L2 D' U2
U L B F L2 D2 U2
U L B F U2 D2 R2
U L B F D2 U2 R2
U L B F' L2 F2 U2
U L B F2 L2 F' U2
U L B' L2 B2 U2 B
U L B' F L2 B2 U2
U L B2 L2 U2 F B'
U L B2 L2 U2 B' F
U L B2 F L2 U2 F
F L' R F U' R F'
U' L' R' F' U2 L F
B L' U L' F U B'
U L' U R2 U F' B'
U L' U R2 U B' F'
U L' U' R2 U' F' B'
U L' U' R2 U' B' F'
U L' U2 R2 F' R2 B'
U L' U2 R2 F' B' R2
U L' U2 R2 B' F' R2
U L' U2 D B' D2 F2
U L' U2 D' B' D2 F2
U L' U2 D2 B' D2 F2
U L' U2 F B' D2 F2
U L' U2 F' B' D2 F2
U L' U2 F2 B' D2 F2
U L' U2 B' U2 B2 U2
U L' U2 B' D2 F2 D
U L' U2 B' D2 F2 D'
U L' U2 B' D2 F2 D2
U L' U2 B' F D2 F2
U L' U2 B' F' D2 F2
U L' U2 B' F2 D2 F2
U L' D U2 B' D2 F2
U L' D F B U2 B2
U L' D F' B U2 B2
U L' D F2 B U2 B2
U L' D B U2 B2 D
U L' D B U2 B2 D'
U L' D B U2 B2 D2
U L' D B D2 F2 U2
U L' D B F U2 B2
U L' D B F' U2 B2
U L' D B F2 U2 B2
U L' D' U2 B' D2 F2
U L' D' F B U2 B2
U L' D' F' B U2 B2
U L' D' F2 B U2 B2
U L' D' B U2 B2 D
U L' D' B U2 B2 D'
U L' D' B U2 B2 D2
U L' D' B D2 F2 U2
U L' D' B F U2 B2
U L' D' B F' U2 B2
U L' D' B F2 U2 B2
U L' D2 U2 B' D2 F2
U L' D2 F B U2 B2
U L' D2 F' B U2 B2
U L' D2 F2 B U2 B2
U L' D2 B U2 B2 D
U L' D2 B U2 B2 D'
U L' D2 B U2 B2 D2
U L' D2 B D2 F2 U2
U L' D2 B F U2 B2
U L' D2 B F' U2 B2
U L' D2 B F2 U2 B2
U L' F U2 B' D2 F2
U L' F D B U2 B2
R2 L2 U L F U2 F2
L2 R2 U L F U2 F2
U L' F D' B U2 B2
U L' F D2 B U2 B2
