B R' D2 B2 U B' L
B2 R' F2 U' L F B
B2 R' F2 U' L B F
R' D L B' U2 R2 B2
R' D L B' U2 B2 R2
R' D L' U2 F B R2
R' D L' U2 B R2 F
R' D L' U2 B F R2
R2 D' L2 R U2 F' B
R2 D' L2 R U2 B F'
R2 D' R L2 U2 F' B
R2 D' R L2 U2 B F'
R F' R2 U B R' U
D2 F' B2 R U L B'
D2 F2 B2 U L F B'
D2 F2 B2 U L B' F
R' B' U' L F2 U' B2
R' B' U' F2 L U' B2
B2 F2 R' U' L F B
B2 F2 R' U' L B F
F2 B2 R' U' L F B
F2 B2 R' U' L B F
B2 F2 U' D2 L F B'
B2 F2 U' D2 L B' F
F2 B2 U' D2 L F B'
F2 B2 U' D2 L B' F
D2 B2 F' R U L B'
D2 B2 F2 U L F B'
D2 B2 F2 U L B' F
B2 F2 D2 U' L F B'
B2 F2 D2 U' L B' F
F2 B2 D2 U' L F B'
F2 B2 D2 U' L B' F
