F' L R F2 B2 U'
F' L R B2 F2 U'
F' L B2 R F2 U'
F L B2 U' D' B2
F L B2 U2 L2 U
F L B2 D' U' B2
F L B2 D2 R2 U'
F L2 B2 L' R' U'
F L2 B2 R' L' U'
F' R L F2 B2 U'
F' R L B2 F2 U'
F' R F2 L B2 U'
B2 F U2 L' R' U
B2 F U2 R' L' U
F B2 U2 L' R' U
F B2 U2 R' L' U
F' L R U' D L2 R2
F' L R U' D R2 L2
F' L R D U' L2 R2
F' L R D U' R2 L2
F' L R F2 U' D L2
F' L R F2 D U' L2
F' L R F2 B2 U' D
F' L R F2 B2 U' D'
F' L R F2 B2 U' D2
F' L R F2 B2 D U'
F' L R F2 B2 D' U'
F' L R F2 B2 D2 U'
F' L R B2 U' D R2
F' L R B2 D U' R2
F' L R B2 F2 U' D
F' L R B2 F2 U' D'
F' L R B2 F2 U' D2
F' L R B2 F2 D U'
F' L R B2 F2 D' U'
F' L R B2 F2 D2 U'
F L R B2 U' D' B2
F L R B2 U2 L2 U
F L R B2 D' U' B2
F L R B2 D2 R2 U'
F' L R' F2 R2 B2 U'
F' L R' F2 B2 R2 U'
F' L R' B2 R2 F2 U'
F' L R' B2 F2 R2 U'
F L R' B2 U' D' B2
F L R' B2 U2 L2 U
F L R' B2 D' U' B2
F L R' B2 D2 R2 U'
F' L R2 F2 R' B2 U'
F L R2 B2 U' D' B2
F L R2 B2 U2 L2 U
F L R2 B2 D' U' B2
F L R2 B2 D2 R2 U'
F L U D F2 U2 L2
F L U D' R2 U2 B2
F L U' D L2 D2 B2
F L U' D' B2 D2 L2
F L U2 L2 U D L2
F L U2 L2 U2 B2 U'
F L U2 L2 D U L2
F L U2 L2 D2 F2 U
F' L D R U' L2 R
F' L D R U' R L2
F L D U F2 U2 L2
F L D U' L2 D2 B2
F L D' R' U' B2 L
F L D' U R2 U2 B2
F L D' U' B2 D2 L2
F L D2 R2 U' D' L2
F L D2 R2 U2 F2 U
F L D2 R2 D' U' L2
F L D2 R2 D2 B2 U'
F2 L F R F2 B2 U'
F2 L F R B2 F2 U'
F2 L F B2 R F2 U'
F2 L F' B2 U2 L' U
F' L F2 B2 U2 L' U
F L B D' B U' B
F L B D2 B R2 U'
F' L B' R F2 B' U'
F' L B' R B' F2 U'
F L B' U2 L2 F U
F L B' D' B' U' B'
F L B' D2 R2 B' U'
F L B' D2 B' R2 U'
F' L B2 R U' D R2
F' L B2 R D U' R2
F' L B2 R F2 U' D
F' L B2 R F2 U' D'
F' L B2 R F2 U' D2
F' L B2 R F2 D U'
F' L B2 R F2 D' U'
F' L B2 R F2 D2 U'
F' L B2 R' F2 R2 U'
F' L B2 R2 F2 R' U'
F L B2 R U' D' B2
F L B2 R U2 L2 U
F L B2 R D' U' B2
F L B2 R D2 R2 U'
F L B2 R' U' D' B2
F L B2 R' U2 L2 U
F L B2 R' D' U' B2
F L B2 R' D2 R2 U'
F L B2 R2 U' D' B2
F L B2 R2 U2 L2 U
F L B2 R2 D' U' B2
F L B2 R2 D2 R2 U'
F' L B2 D R U' R
F L B2 U D F2 U2
